gen	evals	std                                          	min                                              	avg                                              	max                                          
0  	168  	[0.23440708 1.01739214 0.22469081 1.35824764]	[-1.96803408 -6.59959801 -2.12395606  1.00948062]	[ 0.02206    -0.18369545 -0.02843239  4.99491883]	[1.66107854 2.16363517 0.38679962 6.24393148]
1  	168  	[0.20627265 1.07526418 0.19105283 1.01989337]	[-0.46410788 -6.59959801 -1.37267959  1.38472646]	[0.06535709 0.00582128 0.00893569 5.64744846]    	[1.66107854 3.79037145 0.82188422 6.24393148]
2  	168  	[0.24117126 0.98259219 0.22667487 0.52500879]	[-0.4693994  -5.10790152 -1.92908975  1.91675914]	[0.07821887 0.36397342 0.013335   6.00546408]    	[1.66107854 4.92881105 0.82188422 6.24476542]
3  	168  	[0.26752804 1.29094321 0.25443522 0.65600508]	[-0.87297447 -6.80153488 -1.92908975  1.91675914]	[0.07825076 0.31875331 0.04632303 5.98306941]    	[1.66107854 4.92881105 1.32687738 6.24480237]
4  	168  	[0.37467314 1.86906549 0.28506203 0.80010628]	[ -0.87297447 -15.72622659  -1.92908975   1.91675914]	[0.1511999  0.2860013  0.06246533 5.92276153]    	[2.31623267 4.92881105 1.32687738 6.24476542]
5  	168  	[0.30600601 1.09734999 0.26303727 0.35821709]	[-0.87297447 -4.35050789 -1.92908975  2.0659911 ]    	[0.11350525 0.59473735 0.07230306 6.0704554 ]    	[2.31623267 4.92881105 1.32687738 6.24476542]
6  	168  	[0.4029635  1.37520249 0.28808484 0.49951941]	[-0.87297447 -4.35050789 -1.92908975  2.05800879]    	[0.20102457 0.60262272 0.06634818 6.04071056]    	[2.61556544 4.92881105 1.32687738 6.24192044]
7  	168  	[0.44536325 1.81178415 0.39142156 0.4834119 ]	[-0.87297447 -0.91603519 -1.92908975  2.05800879]    	[0.46083619 1.38871933 0.20857658 5.9081048 ]    	[2.61556544 4.92881105 2.16103514 6.24192044]
8  	168  	[0.47726105 1.83585227 0.43037476 0.47641084]	[-0.87297447 -0.91603519 -1.92908975  2.05800879]    	[0.52697856 2.18644016 0.36400312 5.83418188]    	[2.61556544 4.92881105 2.16103514 6.24090954]
9  	168  	[0.57996846 1.78182113 0.53797972 0.53431331]	[-0.57221286 -0.94066919 -2.28218606  2.05800879]    	[0.69694091 2.2062954  0.42980108 5.82767373]    	[2.99315626 6.16448439 3.40468936 6.24020664]
10 	168  	[0.75821081 1.95920813 0.60089837 0.62920183]	[-0.57221286 -6.99088146 -2.28218606  2.05800879]    	[0.6043348  1.47677875 0.28815806 5.87579663]    	[3.1372106  6.16448439 3.40468936 6.24094398]
