gen	evals	std                                          	min                                                  	avg                                              	max                                          
0  	168  	[0.29031707 2.61715273 0.2720467  1.39181429]	[ -1.37614108 -31.98107056  -2.42370168   0.94856175]	[ 0.0106795  -0.33463973 -0.06095779  5.08823852]	[3.07206917 2.3867654  0.30049705 6.24572328]
1  	168  	[0.32289508 0.8489142  0.43268395 1.07009254]	[-1.65550754 -3.78789069 -3.66098207  2.21072893]    	[ 0.03133135  0.01571482 -0.0694755   5.45796909]	[3.07206917 3.32989553 1.00453213 6.24572328]
2  	168  	[0.40961101 1.22563457 0.42501826 0.49198861]	[-1.78762878 -6.78106981 -3.29640186  2.38349627]    	[ 0.05931356  0.27536638 -0.03542499  6.02002874]	[3.07206917 5.30958738 2.41477683 6.24572328]
3  	168  	[0.43362492 2.05011285 0.58379691 0.74209578]	[ -1.65550754 -19.85490128  -4.93302949   2.38349627]	[ 0.11148615  0.27945969 -0.03681542  5.8836804 ]	[3.07206917 5.30958738 2.41477683 6.2457296 ]
4  	168  	[0.46559016 2.13291183 0.61757696 0.87712016]	[ -1.65550754 -19.85490128  -4.93302949   2.34435153]	[0.14937393 0.31783497 0.02265358 5.83358962]    	[3.07206917 5.30958738 2.41477683 6.2457296 ]
5  	168  	[0.46633336 1.54526032 0.4123242  0.39219319]	[-2.49373134 -6.78106981 -2.30704006  2.5678803 ]    	[0.18447907 0.65920447 0.12155594 6.02641717]    	[3.07206917 5.67073041 2.41477683 6.2457243 ]
6  	168  	[0.47262121 1.50672029 0.37936529 0.18108622]	[-0.09470843 -6.78106981 -0.67814816  5.36762114]    	[0.33827054 0.86132207 0.2003486  6.01154887]    	[3.07206917 6.16580621 2.81433044 6.24572405]
7  	168  	[0.5792763  1.67397985 0.49162732 0.20154054]	[-1.20591191 -6.78106981 -0.67814816  5.36762114]    	[0.55283171 1.13170657 0.26857406 5.92196472]    	[3.07206917 6.16580621 2.81433044 6.24744373]
8  	168  	[0.69031034 2.09134774 0.65483726 0.21144766]	[-0.64436061 -6.78106981 -0.79800431  5.36762114]    	[0.72882627 0.77308665 0.31417726 5.91771444]    	[3.07206917 6.16580621 4.37013148 6.24744373]
9  	168  	[0.69243379 2.31946424 0.79232731 0.19568765]	[-0.64436061 -6.78106981 -0.79800431  5.4460599 ]    	[0.84145953 1.77965927 0.59901639 5.85221163]    	[3.07206917 6.16580621 4.37013148 6.24744373]
10 	168  	[0.72358094 2.56723357 0.84570103 0.19393686]	[-0.64436061 -3.09051017 -0.79800431  5.4460599 ]    	[0.93537642 2.22377645 0.67617392 5.84359155]    	[3.07206917 6.17484172 4.37013148 6.24744373]
11 	168  	[0.81181144 2.55316563 0.87745108 0.24818028]	[-0.97978185 -3.09051017 -0.79800431  4.79154481]    	[0.95122376 1.70434769 0.5040799  5.88578702]    	[3.07206917 6.17484172 4.72717641 6.24744373]
12 	168  	[0.76829686 2.61343415 0.93784613 0.26561304]	[-1.14514684 -3.11533691 -0.79800431  4.79154481]    	[0.67698894 1.43104624 0.52013469 5.96095201]    	[3.07206917 6.17484172 4.72717641 6.24744373]
13 	168  	[0.82452728 2.92127146 1.13289869 0.20094348]	[-0.64436061 -2.70423401 -1.36471091  5.27822485]    	[0.97640302 2.94273309 0.76066779 5.88310742]    	[4.45286834 6.16580621 4.72717641 6.24015197]
14 	168  	[0.83224217 2.66782671 1.07744534 0.1907828 ]	[-0.44695236 -6.16641799 -1.36471091  5.27822485]    	[1.16528736 2.83921478 0.89709857 5.87663675]    	[4.45286834 6.16580621 4.72717641 6.24208049]
15 	168  	[0.9102553  2.62681275 1.17899198 0.18916311]	[-1.2057534  -6.16641799 -1.36471091  5.27822485]    	[1.20475721 3.54816951 1.14606413 5.83366925]    	[4.45286834 6.23721685 4.72717641 6.24121758]
16 	168  	[1.15699418 3.1407185  1.29416003 0.21352808]	[-0.58278619 -9.47804843 -1.36471091  5.27822485]    	[1.20983654 2.96526457 1.52734629 5.83607514]    	[6.44170514 6.17733485 4.72717641 6.24234948]
17 	168  	[1.28181912 3.27826875 1.42315092 0.20854028]	[-1.10000175 -9.47804843 -1.36471091  5.27822485]    	[1.41728502 2.87617209 1.55028825 5.80743458]    	[6.44170514 6.17733485 4.72717641 6.24234948]
18 	168  	[1.43514791 3.32189595 1.48411415 0.22482724]	[-1.10000175 -9.47804843 -1.36471091  5.27822485]    	[1.47963805 2.82026626 1.53632783 5.80382385]    	[6.44170514 6.22568814 5.88041758 6.24230322]
19 	168  	[1.60802839 3.4471849  1.64464838 0.21594102]	[ -1.18854641 -11.5336214   -1.36471091   5.27822485]	[1.47704146 2.53316334 1.65304258 5.83341562]    	[6.44170514 6.22568814 5.88041758 6.24230322]
20 	168  	[1.56209119 3.39018293 1.7660493  0.20990318]	[ -1.18854641 -11.5336214   -1.36471091   5.27822485]	[1.45533999 2.6791409  1.7975062  5.84961686]    	[6.44170514 6.22568814 5.88041758 6.24230322]
21 	168  	[1.61867139 3.19379248 1.71711779 0.20858649]	[ -1.74311155 -11.5336214   -0.92988183   5.27822485]	[1.46033949 3.11732066 2.01849355 5.83118188]    	[6.44170514 6.22568814 5.88041758 6.24179096]
22 	168  	[1.61274918 3.43592085 1.79478961 0.20266137]	[ -1.18854641 -13.15115841  -0.92988183   5.27822485]	[1.5304062  2.83250326 1.86037097 5.86681294]    	[6.44170514 6.22568814 8.66271777 6.24179096]
23 	168  	[1.70285682 2.99196816 1.72988827 0.2011252 ]	[ -1.8215227  -13.15115841  -0.92988183   5.27822485]	[1.47268417 3.7400248  2.21732639 5.85250899]    	[6.44170514 6.22568814 8.66271777 6.24195863]
