gen	evals	std                                          	min                                                  	avg                                                              	max                                          
0  	168  	[0.20183436 1.56816929 0.33299387 1.40859391]	[ -1.65524098 -12.47133836  -3.98422073   1.22352412]	[-3.63329917e-03 -2.67042597e-01 -3.69457230e-02  5.04474494e+00]	[1.17212949 6.17756127 0.31988772 6.2437424 ]
1  	168  	[0.26041593 1.97477108 0.36838867 0.7886976 ]	[ -1.65524098 -17.84007549  -3.98422073   1.6710007 ]	[ 0.02109562 -0.21395763 -0.02733862  5.80307103]                	[1.17212949 6.17756127 0.5842164  6.2437424 ]
2  	168  	[0.42563593 1.45581236 0.39800379 0.24456478]	[-2.72794588 -9.38276443 -3.98422073  4.97487035]    	[0.03871685 0.07076962 0.03687092 5.98343374]                    	[2.21805362 6.17756127 1.36609433 6.2437424 ]
3  	168  	[0.46321504 1.69673687 0.43538273 0.38765037]	[-2.72794588 -9.38276443 -3.98422073  2.92421785]    	[0.07163647 0.21169092 0.04548698 5.95915674]                    	[2.21805362 6.17756127 1.36609433 6.2444497 ]
4  	168  	[0.41635768 1.28445017 0.29375815 0.30309852]	[-2.04211431 -3.50237338 -0.80077454  4.90130298]    	[0.02671061 0.44151109 0.0738721  6.06749619]                    	[2.21805362 6.17756127 1.52802273 6.2444497 ]
5  	168  	[0.54327278 1.35102621 0.39794085 0.23998267]	[-3.15032594 -5.30436964 -0.68952518  4.89833626]    	[-5.37516480e-03  3.82767366e-01  1.02863183e-01  6.12365640e+00]	[2.71938802 6.17756127 3.19019201 6.2444497 ]
6  	168  	[0.53976509 1.51479664 0.36920411 0.2427217 ]	[-2.82754012 -5.30436964 -0.68952518  4.89833626]    	[0.01257391 0.71081439 0.13665118 6.07826453]                    	[2.71938802 6.17756127 3.19019201 6.2444497 ]
7  	168  	[0.56961439 1.26023454 0.39991744 0.14149908]	[-2.82754012 -5.30436964 -0.68952518  5.22526064]    	[0.0401864  0.63491016 0.17391502 6.10530565]                    	[2.71938802 6.17756127 3.19019201 6.2444497 ]
8  	168  	[0.72511296 1.44929958 0.41243877 0.14307716]	[-2.82754012 -5.30436964 -0.05592009  5.22526064]    	[0.10284177 1.08030083 0.25683107 6.05073412]                    	[2.71938802 6.17756127 3.19019201 6.24303965]
9  	168  	[0.81672777 1.58208833 0.48780997 0.15933089]	[-2.82754012 -1.72167451 -0.3114212   5.22526064]    	[0.17293167 0.91214272 0.27433353 6.04145969]                    	[3.32171571 6.17756127 3.19019201 6.24303965]
10 	168  	[0.94241512 1.59882711 0.52290539 0.13984369]	[-2.82754012 -1.35511409 -0.21742486  5.46746656]    	[0.36114892 0.89124843 0.46045206 6.01982976]                    	[3.58125401 6.22273234 3.19019201 6.24303965]
11 	168  	[1.00258048 1.85195275 0.6130573  0.17443405]	[-2.82754012 -5.95100015 -0.41402455  5.24972212]    	[0.46953038 0.79321034 0.4748598  6.04209369]                    	[3.58125401 6.22273234 3.19019201 6.24303965]
