Matsuoka quadruped, body parameters:[2, 6, 9, 8, 6, 7, 10, 7, 9, 6, 2, 4, 8, 9, 10, 4, 7, 7, 4, 6, 7, 10, 2, 1, 5, 4, 10, 10, 2, 6, 6, 2, 9, 3, 10, 1, 10]
{'b': 0.2, 'gam': 0.1, 'x0': 0.4, 'c': 2.5, 'a': 0.2}
Inter-module:
[[ 0.  -1.8  0.  -1.4 -0.8  0. ]
 [-0.2  0.  -0.8 -0.8 -1.4 -0.2]
 [ 0.  -1.   0.   0.  -0.4 -0.6]
 [-1.4 -0.8  0.   0.  -1.8  0. ]
 [-0.8 -1.4 -0.2 -0.2  0.  -0.8]
 [ 0.  -0.4 -0.6  0.  -1.   0. ]]
Intra-module:
[[ 0.  -0.8  0.2]
 [-0.6  0.   1.4]
 [ 0.2 -1.4  0. ]]
Bias:[1.4 1.2 1.6]
Drive coeff:[0.7 0.3 0.9]
Base period:0.2475
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.01884466 0.0197933  0.08222254]	[0. 0. 0.]	[0.00197546 0.00217868 0.00861926]	[0.18174203 0.19075145 0.79297235]
1  	92   	[0.0484988  0.02969366 0.08222254]	[0. 0. 0.]	[0.00945555 0.00462162 0.00861926]	[0.36317983 0.21568627 0.79297235]
2  	92   	[0.0525753  0.04142222 0.09263076]	[0. 0. 0.]	[0.01359313 0.00991332 0.01517235]	[0.36317983 0.22683381 0.79297235]
3  	92   	[0.05497498 0.05485842 0.09263076]	[0. 0. 0.]	[0.01543319 0.01549983 0.01517235]	[0.36317983 0.25709647 0.79297235]
4  	92   	[0.06756452 0.07291362 0.09992499]	[0. 0. 0.]	[0.02217408 0.02330429 0.0210276 ]	[0.36317983 0.45205479 0.79297235]
5  	92   	[0.07728824 0.07729427 0.09992499]	[0. 0. 0.]	[0.02865542 0.02982809 0.0210276 ]	[0.36317983 0.45205479 0.79297235]
6  	92   	[0.09979402 0.08418753 0.14213423]	[0. 0. 0.]	[0.04970121 0.04304836 0.03949439]	[0.36317983 0.45205479 0.79297235]
7  	92   	[0.10840947 0.12142632 0.16858646]	[0. 0. 0.]	[0.06674229 0.06715519 0.05982503]	[0.36317983 0.62264151 0.79297235]
8  	92   	[0.10904423 0.12067332 0.18036321]	[0. 0. 0.]	[0.08621775 0.07968848 0.0803912 ]	[0.36317983 0.62264151 0.79297235]
9  	92   	[0.11229466 0.11855148 0.22526311]	[0. 0. 0.]	[0.1281125  0.10278622 0.13344852]	[0.36317983 0.62264151 0.79297235]
10 	92   	[0.11845497 0.12174013 0.25239444]	[0. 0. 0.]	[0.15536227 0.1156848  0.18058555]	[0.36317983 0.62264151 0.79297235]
11 	92   	[0.11541422 0.15146532 0.28756716]	[0. 0. 0.]	[0.19456671 0.14430035 0.23936377]	[0.36317983 0.62264151 0.79297235]
12 	92   	[0.11499684 0.17749576 0.32923602]	[0. 0. 0.]	[0.229955   0.16182824 0.25452271]	[0.36317983 0.62264151 0.79297235]
13 	92   	[0.11408995 0.19110074 0.36299307]	[0. 0. 0.]	[0.25067067 0.15370727 0.31834579]	[0.36317983 0.62264151 0.89807246]
14 	92   	[0.0906657  0.18186102 0.37622598]	[0. 0. 0.]	[0.26860787 0.1472404  0.38662656]	[0.36317983 0.62264151 0.89807246]
15 	92   	[0.08768192 0.17684091 0.38477489]	[0.18174203 0.         0.        ]	[0.27543389 0.14163812 0.38235413]	[0.36317983 0.62264151 0.89807246]
16 	92   	[0.0912799  0.18019727 0.36770988]	[0. 0. 0.]                        	[0.24491391 0.17842319 0.47547929]	[0.36317983 0.62264151 0.89807246]
17 	92   	[0.09586005 0.20071628 0.36562971]	[0. 0. 0.]                        	[0.27294625 0.17250153 0.4184629 ]	[0.63307879 0.62264151 0.89807246]
18 	92   	[0.09209436 0.23490173 0.3298248 ]	[0. 0. 0.]                        	[0.31236421 0.16632057 0.26195816]	[0.63307879 0.62264151 0.89807246]
19 	92   	[0.10989733 0.24672367 0.34447501]	[0. 0. 0.]                        	[0.29294396 0.23585258 0.38285823]	[0.63307879 1.         0.89807246]
20 	92   	[0.12386771 0.25417895 0.32633029]	[0. 0. 0.]                        	[0.30447436 0.27467183 0.39288494]	[0.63307879 1.         0.89807246]
21 	92   	[0.13492318 0.25135083 0.32475737]	[0. 0. 0.]                        	[0.32695278 0.29115102 0.41318286]	[0.63307879 1.         0.89807246]
22 	92   	[0.15537006 0.26432469 0.29403046]	[0. 0. 0.]                        	[0.36042435 0.3365866  0.41269849]	[0.63307879 1.         0.89807246]
23 	92   	[0.17266799 0.24196858 0.28698873]	[0. 0. 0.]                        	[0.38925648 0.38783713 0.45997556]	[0.63307879 1.         0.89807246]
24 	92   	[0.16486107 0.26936128 0.2757372 ]	[0. 0. 0.]                        	[0.39499334 0.41107348 0.47739463]	[0.63307879 1.         0.89807246]
25 	92   	[0.13682872 0.28377524 0.26676367]	[0. 0. 0.]                        	[0.34246824 0.40906231 0.53356764]	[0.63307879 1.         0.89807246]
26 	92   	[0.13561828 0.27532877 0.29099112]	[0. 0. 0.]                        	[0.35288682 0.35560597 0.54710434]	[0.63307879 1.         0.89807246]
27 	92   	[0.13490412 0.26336962 0.2812935 ]	[0. 0. 0.]                        	[0.35600565 0.35532435 0.57682309]	[0.63307879 1.         0.89807246]
28 	92   	[0.15435008 0.28996789 0.26058954]	[0. 0. 0.]                        	[0.36514248 0.38662997 0.62521455]	[0.63307879 1.         0.89807246]
29 	92   	[0.16797583 0.24785933 0.26002919]	[0. 0. 0.]                        	[0.38740551 0.33742041 0.66436978]	[0.63307879 1.         0.89807246]
30 	92   	[0.14446329 0.24657313 0.22042413]	[0. 0. 0.]                        	[0.38542016 0.26895943 0.69764635]	[0.63307879 1.         0.89807246]
31 	92   	[0.13615963 0.28477188 0.30949864]	[0. 0. 0.]                        	[0.35763206 0.37708564 0.69395665]	[0.63307879 1.         0.89807246]
32 	92   	[0.09657591 0.15213505 0.15133116]	[0. 0. 0.]                        	[0.31057374 0.26471759 0.84355784]	[0.63307879 1.         0.89807246]
33 	92   	[0.11655849 0.15631228 0.12363493]	[0.18174203 0.         0.        ]	[0.34874197 0.22299427 0.84425172]	[0.63307879 1.         0.89807246]
34 	92   	[0.12696479 0.17830776 0.12706164]	[0.18174203 0.         0.        ]	[0.38009099 0.19103675 0.82790654]	[0.63307879 1.         0.89807246]
35 	92   	[0.14991861 0.16953472 0.18176062]	[0. 0. 0.]                        	[0.37243542 0.27518111 0.79529812]	[0.63307879 1.         0.89807246]
36 	92   	[0.18364578 0.1102643  0.14124158]	[0.        0.2481203 0.       ]   	[0.44723192 0.32467237 0.7751839 ]	[0.63307879 1.         0.89807246]
37 	92   	[0.18364578 0.1102643  0.14124158]	[0.        0.2481203 0.       ]   	[0.44723192 0.32467237 0.7751839 ]	[0.63307879 1.         0.89807246]
38 	92   	[0.18364578 0.1102643  0.14124158]	[0.        0.2481203 0.       ]   	[0.44723192 0.32467237 0.7751839 ]	[0.63307879 1.         0.89807246]
39 	92   	[0.18364578 0.1102643  0.14124158]	[0.        0.2481203 0.       ]   	[0.44723192 0.32467237 0.7751839 ]	[0.63307879 1.         0.89807246]
40 	92   	[0.18364578 0.1102643  0.14124158]	[0.        0.2481203 0.       ]   	[0.44723192 0.32467237 0.7751839 ]	[0.63307879 1.         0.89807246]
41 	92   	[0.19314302 0.11817785 0.14139162]	[0.        0.2481203 0.       ]   	[0.43728095 0.33165416 0.77764109]	[0.63307879 1.         0.89807246]
42 	92   	[0.21449144 0.13898688 0.16282029]	[0. 0. 0.]                        	[0.41518592 0.34583166 0.77525099]	[0.71372576 1.         0.89807246]
43 	92   	[0.17963829 0.12887948 0.16444367]	[0. 0. 0.]                        	[0.45880142 0.32527963 0.76002723]	[0.71372576 1.         0.89807246]
44 	92   	[0.17684924 0.1342186  0.17656835]	[0. 0. 0.]                        	[0.48929431 0.35040994 0.71833603]	[0.71372576 1.         0.89807246]
45 	92   	[0.17236559 0.13555969 0.18002463]	[0. 0. 0.]                        	[0.50835236 0.36783351 0.68989205]	[0.71372576 1.         0.89807246]
46 	92   	[0.17236559 0.13555969 0.18002463]	[0. 0. 0.]                        	[0.50835236 0.36783351 0.68989205]	[0.71372576 1.         0.89807246]
47 	92   	[0.17236559 0.13555969 0.18002463]	[0. 0. 0.]                        	[0.50835236 0.36783351 0.68989205]	[0.71372576 1.         0.89807246]
48 	92   	[0.17236559 0.13555969 0.18002463]	[0. 0. 0.]                        	[0.50835236 0.36783351 0.68989205]	[0.71372576 1.         0.89807246]
49 	92   	[0.17236559 0.13555969 0.18002463]	[0. 0. 0.]                        	[0.50835236 0.36783351 0.68989205]	[0.71372576 1.         0.89807246]
50 	92   	[0.17236559 0.13555969 0.18002463]	[0. 0. 0.]                        	[0.50835236 0.36783351 0.68989205]	[0.71372576 1.         0.89807246]
51 	92   	[0.17236559 0.13555969 0.18002463]	[0. 0. 0.]                        	[0.50835236 0.36783351 0.68989205]	[0.71372576 1.         0.89807246]
52 	92   	[0.17236559 0.13555969 0.18002463]	[0. 0. 0.]                        	[0.50835236 0.36783351 0.68989205]	[0.71372576 1.         0.89807246]
53 	92   	[0.17236559 0.13555969 0.18002463]	[0. 0. 0.]                        	[0.50835236 0.36783351 0.68989205]	[0.71372576 1.         0.89807246]
54 	92   	[0.17236559 0.13555969 0.18002463]	[0. 0. 0.]                        	[0.50835236 0.36783351 0.68989205]	[0.71372576 1.         0.89807246]
55 	92   	[0.1407762  0.12459241 0.15741322]	[0. 0. 0.]                        	[0.56933813 0.38898397 0.6314812 ]	[0.71372576 1.         0.89807246]
56 	92   	[0.13393007 0.1216823  0.14154466]	[0. 0. 0.]                        	[0.5853265  0.40519494 0.61447445]	[0.71372576 1.         0.89807246]
57 	92   	[0.09328606 0.11432113 0.12547895]	[0. 0. 0.]                        	[0.61126584 0.41125405 0.60592109]	[0.71372576 1.         0.89807246]
58 	92   	[0.08670314 0.11289995 0.12183714]	[0. 0. 0.]                        	[0.61507745 0.41558412 0.60052607]	[0.71372576 1.         0.89807246]
59 	92   	[0.08670314 0.11289995 0.12183714]	[0. 0. 0.]                        	[0.61507745 0.41558412 0.60052607]	[0.71372576 1.         0.89807246]
60 	92   	[0.09112544 0.11355542 0.12548768]	[0. 0. 0.]                        	[0.6135835  0.41384478 0.60445217]	[0.71372576 1.         0.89807246]
61 	92   	[0.09735148 0.11409557 0.11348708]	[0. 0. 0.]                        	[0.60977189 0.41316213 0.61176788]	[0.71372576 1.         0.89807246]
62 	92   	[0.14279526 0.15151514 0.13615806]	[0. 0. 0.]                        	[0.58457448 0.43732136 0.61672265]	[0.71372576 1.         0.89807246]
63 	92   	[0.19748916 0.20052636 0.15801635]	[0. 0. 0.]                        	[0.5425448  0.47632261 0.63295262]	[0.71372576 1.         0.89807246]
64 	92   	[0.24748786 0.2451228  0.18702955]	[0. 0. 0.]                        	[0.47987125 0.54960033 0.64775408]	[0.71372576 1.         0.89807246]
65 	92   	[0.25189419 0.26238792 0.18985112]	[0. 0. 0.]                        	[0.44249707 0.53030399 0.6869859 ]	[0.71372576 1.         0.89807246]
66 	92   	[0.27243099 0.30956574 0.23954855]	[0. 0. 0.]                        	[0.34467514 0.56842454 0.71766609]	[0.71372576 1.         0.89807246]
67 	92   	[0.26909258 0.30906853 0.17216816]	[0. 0. 0.]                        	[0.33792984 0.55316939 0.77348684]	[0.71372576 1.         0.89807246]
68 	92   	[0.25970317 0.3234184  0.13944185]	[0. 0. 0.]                        	[0.31111257 0.55439818 0.80958449]	[0.71372576 1.         0.89807246]
69 	92   	[0.25766877 0.32113886 0.13944185]	[0. 0. 0.]                        	[0.31418225 0.54670291 0.80958449]	[0.71372576 1.         0.89807246]
70 	92   	[0.25766877 0.32113886 0.13944185]	[0. 0. 0.]                        	[0.31418225 0.54670291 0.80958449]	[0.71372576 1.         0.89807246]
71 	92   	[0.25766877 0.32113886 0.13944185]	[0. 0. 0.]                        	[0.31418225 0.54670291 0.80958449]	[0.71372576 1.         0.89807246]
72 	92   	[0.25766877 0.32113886 0.13944185]	[0. 0. 0.]                        	[0.31418225 0.54670291 0.80958449]	[0.71372576 1.         0.89807246]
73 	92   	[0.25975579 0.32066319 0.13985207]	[0. 0. 0.]                        	[0.31799386 0.54738555 0.8071273 ]	[0.71372576 1.         0.89807246]
74 	92   	[0.25766877 0.32113886 0.13944185]	[0. 0. 0.]                        	[0.31418225 0.54670291 0.80958449]	[0.71372576 1.         0.89807246]
75 	92   	[0.28741947 0.31675319 0.19453688]	[0. 0. 0.]                        	[0.34852078 0.58913513 0.74343986]	[0.71372576 1.         0.89807246]
76 	92   	[0.30687251 0.31618129 0.18700368]	[0. 0. 0.]                        	[0.33158656 0.64385912 0.74733898]	[0.71372576 1.         0.89807246]
77 	92   	[0.31403023 0.32344287 0.14301278]	[0. 0. 0.]                        	[0.3253112  0.67528249 0.77154775]	[0.71372576 1.         0.89807246]
78 	92   	[0.31403023 0.32344287 0.14301278]	[0. 0. 0.]                        	[0.3253112  0.67528249 0.77154775]	[0.71372576 1.         0.89807246]
79 	92   	[0.31403023 0.32344287 0.14301278]	[0. 0. 0.]                        	[0.3253112  0.67528249 0.77154775]	[0.71372576 1.         0.89807246]
80 	92   	[0.27967459 0.27795062 0.34893194]	[0. 0. 0.]                        	[0.1699117  0.83948371 0.65481035]	[0.71372576 1.         0.89807246]
81 	92   	[0.25378208 0.24869304 0.32654345]	[0. 0. 0.]                        	[0.12862395 0.88155945 0.70860009]	[0.71372576 1.         0.89807246]
82 	92   	[0.24853932 0.22246212 0.13971676]	[0. 0. 0.]                        	[0.12174266 0.90021567 0.84070242]	[0.71372576 1.         0.89807246]
83 	92   	[0.10479326 0.11042303 0.09782749]	[0. 0. 0.]                        	[0.01858679 0.98502871 0.88505889]	[0.71372576 1.         0.89807246]
84 	92   	[0.10479326 0.11042303 0.09782749]	[0. 0. 0.]                        	[0.01858679 0.98502871 0.88505889]	[0.71372576 1.         0.89807246]
85 	92   	[0.10479326 0.11042303 0.09782749]	[0. 0. 0.]                        	[0.01858679 0.98502871 0.88505889]	[0.71372576 1.         0.89807246]
86 	92   	[0.10479326 0.11042303 0.09782749]	[0. 0. 0.]                        	[0.01858679 0.98502871 0.88505889]	[0.71372576 1.         0.89807246]
87 	92   	[0.10479326 0.11042303 0.09782749]	[0. 0. 0.]                        	[0.01858679 0.98502871 0.88505889]	[0.71372576 1.         0.89807246]
88 	92   	[0.10479326 0.11042303 0.09782749]	[0. 0. 0.]                        	[0.01858679 0.98502871 0.88505889]	[0.71372576 1.         0.89807246]
89 	92   	[0.10479326 0.11042303 0.09782749]	[0. 0. 0.]                        	[0.01858679 0.98502871 0.88505889]	[0.71372576 1.         0.89807246]
90 	92   	[0.10479326 0.11042303 0.09782749]	[0. 0. 0.]                        	[0.01858679 0.98502871 0.88505889]	[0.71372576 1.         0.89807246]
91 	92   	[0.10479326 0.11042303 0.09782749]	[0. 0. 0.]                        	[0.01858679 0.98502871 0.88505889]	[0.71372576 1.         0.89807246]
92 	92   	[0.10479326 0.11042303 0.09782749]	[0. 0. 0.]                        	[0.01858679 0.98502871 0.88505889]	[0.71372576 1.         0.89807246]
93 	92   	[0.10479326 0.11042303 0.09782749]	[0. 0. 0.]                        	[0.01858679 0.98502871 0.88505889]	[0.71372576 1.         0.89807246]
94 	92   	[0.10479326 0.11042303 0.09782749]	[0. 0. 0.]                        	[0.01858679 0.98502871 0.88505889]	[0.71372576 1.         0.89807246]
95 	92   	[0.10479326 0.11042303 0.09782749]	[0. 0. 0.]                        	[0.01858679 0.98502871 0.88505889]	[0.71372576 1.         0.89807246]
