Matsuoka quadruped, body parameters:[2, 6, 9, 8, 6, 7, 10, 7, 10, 8, 6, 7, 8, 10, 10, 2, 7, 7, 4, 4, 7, 10, 2, 1, 1, 4, 10, 1, 2, 5, 4, 8, 5, 3, 10, 1, 10]
{'b': 0.020000000000000004, 'gam': 0.1, 'x0': 0.4, 'c': 0.5, 'a': 0.2}
Inter-module:
[[ 0.  -1.8  0.  -1.4 -0.8  0. ]
 [-0.2  0.  -0.8 -0.8 -1.8 -0.2]
 [ 0.  -1.4  0.   0.  -0.2 -0.6]
 [-1.4 -0.8  0.   0.  -1.8  0. ]
 [-0.8 -1.8 -0.2 -0.2  0.  -0.8]
 [ 0.  -0.2 -0.6  0.  -1.4  0. ]]
Intra-module:
[[ 0.  -0.8  0.2]
 [-0.6  0.   1.4]
 [ 0.2 -1.4  0. ]]
Bias:[1.7 1.6 1.8]
Drive coeff:[0.9 0.3 0.9]
Base period:0.27749999999999997
gen	evals	std                            	min       	avg                               	max                               
0  	92   	[0.        0.0329065 0.       ]	[0. 0. 0.]	[0.         0.00344954 0.        ]	[0.         0.31735759 0.        ]
1  	92   	[0.        0.0329065 0.       ]	[0. 0. 0.]	[0.         0.00344954 0.        ]	[0.         0.31735759 0.        ]
2  	92   	[0.02963149 0.04693139 0.        ]	[0. 0. 0.]	[0.00516876 0.00811472 0.        ]	[0.19984521 0.31735759 0.        ]
3  	92   	[0.03883974 0.06782536 0.        ]	[0. 0. 0.]	[0.00902181 0.01333776 0.        ]	[0.19984521 0.48051948 0.        ]
4  	92   	[0.04044542 0.0729568  0.        ]	[0. 0. 0.]	[0.01041899 0.01850382 0.        ]	[0.19984521 0.48051948 0.        ]
5  	92   	[0.04591451 0.0822153  0.        ]	[0. 0. 0.]	[0.01618661 0.03035531 0.        ]	[0.19984521 0.48051948 0.        ]
6  	92   	[0.04817614 0.09246591 0.01455047]	[0. 0. 0.]	[0.01790399 0.03686714 0.0015253 ]	[0.19984521 0.48051948 0.14032797]
7  	92   	[0.08122492 0.0964721  0.02042268]	[0. 0. 0.]	[0.03141922 0.0476998  0.00367425]	[0.60966245 0.48051948 0.14032797]
8  	92   	[0.08843925 0.1086003  0.02390126]	[0. 0. 0.]	[0.04602274 0.06033126 0.00501692]	[0.60966245 0.48051948 0.14032797]
9  	92   	[0.10668971 0.11760557 0.02560037]	[0. 0. 0.]	[0.06242641 0.08645278 0.00603502]	[0.60966245 0.48051948 0.14032797]
10 	92   	[0.10830044 0.12414547 0.04405783]	[0. 0. 0.]	[0.0890075  0.12266583 0.01470628]	[0.60966245 0.48051948 0.22028457]
11 	92   	[0.14168451 0.1348626  0.10189852]	[0. 0. 0.]	[0.13429705 0.15634747 0.02938808]	[0.81010416 0.48051948 0.80350576]
12 	92   	[0.15545135 0.14563711 0.13164188]	[0. 0. 0.]	[0.16885057 0.18453003 0.04498623]	[0.81010416 0.48051948 0.80350576]
13 	92   	[0.17406543 0.16745115 0.15630643]	[0. 0. 0.]	[0.20140556 0.21966333 0.05930798]	[0.81010416 0.64912281 0.80350576]
14 	92   	[0.18670135 0.17368027 0.18316251]	[0. 0. 0.]	[0.23150139 0.2578916  0.08259195]	[0.81010416 0.64912281 0.80350576]
15 	92   	[0.20728788 0.19221271 0.19021414]	[0. 0. 0.]	[0.27173566 0.31465345 0.09562513]	[0.81010416 0.64912281 0.80350576]
16 	92   	[0.23819699 0.20908285 0.227788  ]	[0. 0. 0.]	[0.32473455 0.27102673 0.1417767 ]	[0.81010416 0.64912281 0.80350576]
17 	92   	[0.23640043 0.20999269 0.22981394]	[0. 0. 0.]	[0.36487892 0.27323666 0.17205055]	[0.81010416 0.64912281 0.80350576]
18 	92   	[0.22192264 0.20762691 0.23425981]	[0. 0. 0.]	[0.38843916 0.31073677 0.19519494]	[0.81010416 0.64912281 0.80350576]
19 	92   	[0.22848886 0.2144651  0.25769286]	[0. 0. 0.]	[0.37389357 0.31688999 0.25752418]	[0.81010416 0.64912281 0.95715154]
20 	92   	[0.24089869 0.2364813  0.25684165]	[0. 0. 0.]	[0.36350099 0.33017422 0.3327261 ]	[0.81010416 0.64912281 0.95715154]
21 	92   	[0.23571228 0.22859206 0.23722316]	[0. 0. 0.]	[0.39070964 0.35657726 0.34927774]	[0.81010416 0.64912281 0.95715154]
22 	92   	[0.21828646 0.22086023 0.23294029]	[0. 0. 0.]	[0.40814704 0.42061968 0.33732111]	[0.81010416 0.64912281 0.97810672]
23 	92   	[0.21583956 0.19863532 0.22355195]	[0. 0. 0.]	[0.40994963 0.49318454 0.33402045]	[0.81010416 0.64912281 0.97810672]
24 	92   	[0.24656603 0.20771657 0.22647822]	[0. 0. 0.]	[0.44037421 0.46477627 0.27915453]	[0.81010416 0.64912281 0.97810672]
25 	92   	[0.2943413  0.19676864 0.24826887]	[0. 0. 0.]	[0.45245438 0.4579378  0.23376302]	[0.81010416 0.64912281 0.97810672]
26 	92   	[0.29701285 0.18179554 0.27295524]	[0. 0. 0.]	[0.5125282  0.45184937 0.24491573]	[0.81010416 0.64912281 0.97810672]
27 	92   	[0.26134571 0.16635789 0.29072761]	[0. 0. 0.]	[0.60829748 0.45172221 0.23003335]	[0.81010416 1.         0.97810672]
28 	92   	[0.28445665 0.19210191 0.27526317]	[0. 0. 0.]	[0.50146968 0.47292933 0.33429509]	[0.81010416 1.         0.97810672]
29 	92   	[0.26017116 0.21823649 0.23738445]	[0. 0. 0.]	[0.47536937 0.45068947 0.4409262 ]	[0.81010416 1.         0.97810672]
30 	92   	[0.2678176  0.21575746 0.25087574]	[0. 0. 0.]	[0.51143315 0.3732154  0.4735818 ]	[0.81010416 1.         0.97810672]
31 	92   	[0.26586671 0.22027013 0.25137864]	[0. 0. 0.]	[0.46958951 0.36849237 0.52303595]	[0.81010416 1.         0.97810672]
32 	92   	[0.26345279 0.20901743 0.2341795 ]	[0. 0. 0.]	[0.46634846 0.42688145 0.54760797]	[0.81010416 1.         0.97810672]
33 	92   	[0.26626865 0.2294053  0.2328494 ]	[0. 0. 0.]	[0.4889269  0.53500134 0.50724019]	[0.81010416 1.         0.97810672]
34 	92   	[0.27369526 0.22948382 0.23946184]	[0. 0. 0.]	[0.48126194 0.53378914 0.52445424]	[0.81010416 1.         0.97810672]
35 	92   	[0.26607791 0.2133576  0.23914649]	[0. 0. 0.]	[0.50339886 0.49568727 0.54734978]	[0.81010416 1.         0.97810672]
