Matsuoka quadruped, body parameters:[2, 6, 9, 8, 6, 5, 10, 7, 9, 6, 2, 6, 8, 9, 10, 10, 7, 9, 5, 4, 7, 10, 2, 1, 1, 4, 10, 8, 5, 3, 3, 7, 9, 4, 10, 1, 10]
{'b': 0.16000000000000003, 'gam': 0.1, 'x0': 0.4, 'c': 0.5, 'a': 0.2}
Inter-module:
[[ 0.  -1.8  0.  -1.2 -0.4  0. ]
 [-0.2  0.  -0.8 -0.8 -0.2 -0.2]
 [ 0.  -1.4  0.   0.  -0.4 -0.6]
 [-1.2 -0.4  0.   0.  -1.8  0. ]
 [-0.8 -0.2 -0.2 -0.2  0.  -0.8]
 [ 0.  -0.4 -0.6  0.  -1.4  0. ]]
Intra-module:
[[ 0.  -1.2  0.2]
 [-0.6  0.   1.4]
 [ 0.2 -1.4  0. ]]
Bias:[1.6 1.2 1.6]
Drive coeff:[0.7 0.3 0.9]
Base period:0.285
gen	evals	std       	min       	avg       	max       
0  	92   	[0. 0. 0.]	[0. 0. 0.]	[0. 0. 0.]	[0. 0. 0.]
1  	92   	[0.02497447 0.         0.        ]	[0. 0. 0.]	[0.00520618 0.         0.        ]	[0.15072388 0.         0.        ]
2  	92   	[0.02497447 0.03454717 0.        ]	[0. 0. 0.]	[0.00520618 0.00362153 0.        ]	[0.15072388 0.33318049 0.        ]
3  	92   	[0.02497447 0.03454717 0.        ]	[0. 0. 0.]	[0.00520618 0.00362153 0.        ]	[0.15072388 0.33318049 0.        ]
4  	92   	[0.02861858 0.03727875 0.        ]	[0. 0. 0.]	[0.00736892 0.00513021 0.        ]	[0.15072388 0.33318049 0.        ]
5  	92   	[0.03862655 0.0427697  0.        ]	[0. 0. 0.]	[0.01139426 0.00738506 0.        ]	[0.1972257  0.33318049 0.        ]
6  	92   	[0.03967087 0.0440959  0.        ]	[0. 0. 0.]	[0.01247562 0.00859428 0.        ]	[0.1972257  0.33318049 0.        ]
7  	92   	[0.05135084 0.0440959  0.        ]	[0. 0. 0.]	[0.02137702 0.00859428 0.        ]	[0.23466739 0.33318049 0.        ]
8  	92   	[0.05131595 0.0440959  0.        ]	[0. 0. 0.]	[0.02148616 0.00859428 0.        ]	[0.23466739 0.33318049 0.        ]
9  	92   	[0.05645218 0.0440959  0.        ]	[0. 0. 0.]	[0.02659969 0.00859428 0.        ]	[0.23466739 0.33318049 0.        ]
10 	92   	[0.05960072 0.05546347 0.        ]	[0. 0. 0.]	[0.03280258 0.01221657 0.        ]	[0.23466739 0.33325062 0.        ]
11 	92   	[0.06274867 0.05946777 0.        ]	[0. 0. 0.]	[0.03874475 0.01460368 0.        ]	[0.23466739 0.33325062 0.        ]
12 	92   	[0.07514916 0.06709755 0.01415775]	[0. 0. 0.]	[0.05105593 0.01951512 0.00148414]	[0.37368723 0.33325062 0.1365405 ]
13 	92   	[0.08244018 0.06952535 0.01415775]	[0. 0. 0.]	[0.07148626 0.0226467  0.00148414]	[0.37368723 0.33325062 0.1365405 ]
14 	92   	[0.07955624 0.08484933 0.0225319 ]	[0. 0. 0.]	[0.09638158 0.02925808 0.00333799]	[0.37368723 0.48717949 0.17055477]
15 	92   	[0.07521903 0.0864009  0.03108275]	[0. 0. 0.]	[0.12085381 0.03155207 0.0056195 ]	[0.37368723 0.48717949 0.20989913]
16 	92   	[0.0851082 0.0890539 0.0434816]   	[0. 0. 0.]	[0.13035033 0.03637205 0.01020023]	[0.37368723 0.48717949 0.24893441]
17 	92   	[0.09643085 0.0926487  0.0434816 ]	[0. 0. 0.]	[0.13773413 0.04344596 0.01020023]	[0.37368723 0.48717949 0.24893441]
18 	92   	[0.10763949 0.09587283 0.0434816 ]	[0. 0. 0.]	[0.13935634 0.05317978 0.01020023]	[0.37368723 0.48717949 0.24893441]
19 	92   	[0.12289174 0.09742337 0.04603707]	[0. 0. 0.]	[0.13719871 0.06210355 0.0119018 ]	[0.37368723 0.48717949 0.24893441]
20 	92   	[0.13200465 0.10240947 0.07718973]	[0. 0. 0.]	[0.12852567 0.07642269 0.01852891]	[0.37368723 0.48717949 0.60969418]
21 	92   	[0.14075663 0.10461814 0.08071091]	[0. 0. 0.]	[0.13837929 0.08328636 0.02238424]	[0.37368723 0.48717949 0.60969418]
