Matsuoka quadruped, body parameters:[2, 7, 10, 9, 6, 4, 10, 3, 8, 5, 4, 9, 6, 9, 9, 5, 10, 10, 6, 5, 6, 9, 2, 1, 9, 3, 4, 4, 2, 1, 4, 10, 5, 3, 8, 2, 10]
{'b': 0.08000000000000002, 'gam': 0.04000000000000001, 'x0': 0.3, 'c': 4.5, 'a': 0.2}
Inter-module:
[[ 0.  -1.8  0.  -1.  -0.2  0. ]
 [-0.4  0.  -1.  -0.2 -1.2 -0.4]
 [ 0.  -1.2  0.   0.  -0.4 -1. ]
 [-1.  -0.2  0.   0.  -1.8  0. ]
 [-0.2 -1.2 -0.4 -0.4  0.  -1. ]
 [ 0.  -0.4 -1.   0.  -1.2  0. ]]
Intra-module:
[[ 0.  -1.4  0.2]
 [-0.4  0.   1.8]
 [ 0.6 -1.4  0. ]]
Bias:[1.9 1.4 1.5]
Drive coeff:[ 0.5 -0.5  0.9]
Base period:0.7949999999999999
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.         0.02544745 0.10832297]	[0. 0. 0.]	[0.         0.00266762 0.01584994]	[0.         0.24542078 0.99813767]
1  	92   	[0.02202842 0.02544745 0.10832297]	[0. 0. 0.]	[0.00230921 0.00266762 0.01584994]	[0.21244692 0.24542078 0.99813767]
2  	92   	[0.10626294 0.02544745 0.14944159]	[0. 0. 0.]	[0.01479386 0.00266762 0.02861419]	[0.99513885 0.24542078 0.99813767]
3  	92   	[0.10746111 0.03978194 0.15265481]	[0. 0. 0.]	[0.0166418  0.00728083 0.0353465 ]	[0.99513885 0.24542078 0.99813767]
4  	92   	[0.13938902 0.08446851 0.17578612]	[0. 0. 0.]	[0.02729715 0.01517244 0.048977  ]	[0.99513885 0.7260274  0.99813767]
5  	92   	[0.13938902 0.11208346 0.17744989]	[0. 0. 0.]	[0.02729715 0.02306404 0.05393381]	[0.99513885 0.7260274  0.99813767]
6  	92   	[0.16529612 0.1439495  0.2236627 ]	[0. 0. 0.]	[0.03911064 0.03753827 0.09052393]	[0.99513885 0.84126984 0.99813767]
7  	92   	[0.17189107 0.15245003 0.2580647 ]	[0. 0. 0.]	[0.05363934 0.05262201 0.13523178]	[0.99513885 0.84126984 0.99813767]
8  	92   	[0.19861499 0.17605856 0.29914968]	[0. 0. 0.]	[0.07282563 0.07368972 0.22933066]	[0.99513885 0.84126984 0.99813767]
9  	92   	[0.25994417 0.22949565 0.32421936]	[0. 0. 0.]	[0.1317292  0.12191027 0.31335981]	[0.99513885 0.84126984 0.99813767]
10 	92   	[0.30717165 0.29924461 0.38879961]	[0. 0. 0.]	[0.1902243  0.22428992 0.40134228]	[0.99513885 0.84126984 0.99813767]
11 	92   	[0.36795139 0.35211514 0.42268542]	[0. 0. 0.]	[0.27660714 0.31083792 0.52873087]	[0.99513885 1.         0.99813767]
12 	92   	[0.40763446 0.37578364 0.41200241]	[0. 0. 0.]	[0.3506805  0.41347054 0.67348166]	[0.99513885 1.         0.99813767]
13 	92   	[0.43813898 0.40001749 0.34340778]	[0. 0. 0.]	[0.41203658 0.44235855 0.80581022]	[0.99513885 1.         0.99813767]
14 	92   	[0.43412424 0.3320488  0.35086353]	[0. 0. 0.]	[0.52083899 0.63233301 0.76995354]	[0.99513885 1.         0.99813767]
15 	92   	[0.43626801 0.29477344 0.26403356]	[0. 0. 0.]	[0.62318189 0.69562329 0.87702786]	[0.99513885 1.         0.99813767]
