Matsuoka quadruped, body parameters:[2, 5, 10, 9, 6, 4, 10, 3, 8, 5, 4, 10, 6, 8, 9, 5, 10, 6, 2, 5, 6, 9, 2, 1, 9, 3, 4, 4, 2, 1, 4, 10, 5, 3, 8, 2, 10]
{'b': 0.08000000000000002, 'gam': 0.04000000000000001, 'x0': 0.3, 'c': 4.5, 'a': 0.2}
Inter-module:
[[ 0.  -1.8  0.  -1.8 -1.   0. ]
 [-0.4  0.  -1.  -0.2 -1.2 -0.4]
 [ 0.  -1.2  0.   0.  -0.6 -1. ]
 [-1.8 -1.   0.   0.  -1.8  0. ]
 [-0.2 -1.2 -0.4 -0.4  0.  -1. ]
 [ 0.  -0.6 -1.   0.  -1.2  0. ]]
Intra-module:
[[ 0.  -1.4  0.2]
 [-0.4  0.   1.8]
 [-0.2 -1.4  0. ]]
Bias:[2.  1.4 1.5]
Drive coeff:[ 0.5 -0.5  0.9]
Base period:0.27749999999999997
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.04959918 0.         0.        ]	[0. 0. 0.]	[0.01057014 0.         0.        ]	[0.37992224 0.         0.        ]
1  	92   	[0.06785068 0.01594628 0.        ]	[0. 0. 0.]	[0.02160221 0.00167162 0.        ]	[0.37992224 0.15378944 0.        ]
2  	92   	[0.08153032 0.02564503 0.        ]	[0. 0. 0.]	[0.03311935 0.00466129 0.        ]	[0.37992224 0.16018635 0.        ]
3  	92   	[0.09824519 0.0278445  0.        ]	[0. 0. 0.]	[0.05438142 0.0058507  0.        ]	[0.37992224 0.16018635 0.        ]
4  	92   	[0.12219331 0.03828575 0.        ]	[0. 0. 0.]	[0.08080052 0.01095089 0.        ]	[0.50204189 0.17061011 0.        ]
5  	92   	[0.13041099 0.05718259 0.        ]	[0. 0. 0.]	[0.10892259 0.0243749  0.        ]	[0.50204189 0.27007299 0.        ]
6  	92   	[0.13146902 0.06745328 0.03233173]	[0. 0. 0.]	[0.14347353 0.03791522 0.00479647]	[0.50204189 0.27007299 0.24215494]
7  	92   	[0.12311959 0.07897298 0.03797555]	[0. 0. 0.]	[0.18262961 0.05456718 0.00693802]	[0.50204189 0.33985    0.24215494]
8  	92   	[0.15241429 0.08778144 0.04971162]	[0. 0. 0.]	[0.21280344 0.07780088 0.01037798]	[0.79269223 0.33985    0.3164767 ]
9  	92   	[0.13172013 0.10187414 0.09531546]	[0. 0. 0.]	[0.26147231 0.09398219 0.02457934]	[0.79269223 0.33985    0.59152619]
