Matsuoka quadruped, body parameters:[2, 7, 10, 9, 6, 4, 10, 3, 8, 1, 4, 9, 4, 8, 7, 6, 10, 10, 3, 5, 1, 7, 2, 1, 9, 3, 4, 3, 2, 4, 4, 10, 5, 3, 8, 1, 10]
{'b': 0.06, 'gam': 0.04000000000000001, 'x0': 0.3, 'c': 4.5, 'a': 0.2}
Inter-module:
[[ 0.  -1.8  0.  -1.6 -0.2  0. ]
 [-0.8  0.  -2.  -0.2 -1.  -0.8]
 [ 0.  -1.2  0.   0.  -0.6 -1.4]
 [-1.6 -0.2  0.   0.  -1.8  0. ]
 [-0.2 -1.  -0.8 -0.8  0.  -2. ]
 [ 0.  -0.6 -1.4  0.  -1.2  0. ]]
Intra-module:
[[ 0.  -1.4  0.2]
 [-0.4  0.   1.8]
 [ 0.6 -1.4  0. ]]
Bias:[1.9 1.4 1.1]
Drive coeff:[ 0.5 -0.5  0.9]
Base period:0.27
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.04281377 0.02689577 0.01063199]	[0. 0. 0.]	[0.01269071 0.0048178  0.00120482]	[0.22692902 0.20660353 0.10227271]
1  	92   	[0.05723354 0.07948104 0.03781842]	[0. 0. 0.]	[0.02549449 0.02106907 0.00633718]	[0.22692902 0.64285714 0.31753607]
2  	92   	[0.08163836 0.09048995 0.04115225]	[0. 0. 0.]	[0.04700907 0.03672241 0.00881407]	[0.40592614 0.64285714 0.31753607]
3  	92   	[0.10178164 0.10406756 0.07088633]	[0. 0. 0.]	[0.07673525 0.05679024 0.02035921]	[0.44775398 0.64285714 0.50314422]
4  	92   	[0.11690889 0.13385253 0.07423401]	[0. 0. 0.]	[0.12367647 0.08383918 0.02590895]	[0.74939369 0.64285714 0.50314422]
5  	92   	[0.13048402 0.14216961 0.10395257]	[0. 0. 0.]	[0.13258372 0.10957904 0.03975032]	[0.74939369 0.64285714 0.66064785]
6  	92   	[0.14536886 0.15997093 0.14286977]	[0. 0. 0.]	[0.14145256 0.15426908 0.06861494]	[0.74939369 0.64285714 0.72153404]
7  	92   	[0.17808676 0.2107513  0.16314593]	[0. 0. 0.]	[0.1757432  0.2037622  0.10055282]	[0.74939369 0.64285714 0.72153404]
8  	92   	[0.19110679 0.24443949 0.17546921]	[0. 0. 0.]	[0.20072559 0.26151388 0.12119625]	[0.74939369 1.         0.72153404]
9  	92   	[0.1998812  0.25045267 0.20384933]	[0. 0. 0.]	[0.20788924 0.30044366 0.13778022]	[0.74939369 1.         0.92152892]
