Matsuoka quadruped, body parameters:[10, 3, 2, 9, 4, 5, 1, 7, 5, 10, 4, 7, 6, 10, 8, 8, 9, 9, 6, 8, 3, 10, 4, 10, 2, 2, 7, 2, 2, 7, 3, 2, 3, 4, 10, 3, 9]
{'b': 0.04000000000000001, 'gam': 0.06999999999999999, 'x0': 0.2, 'c': 1.0, 'a': 2.0}
Inter-module:
[[ 0.  -1.4  0.  -1.  -0.4  0. ]
 [-0.2  0.  -1.6 -0.4 -0.6 -0.6]
 [ 0.  -0.6  0.   0.  -0.2 -1. ]
 [-1.  -0.4  0.   0.  -1.4  0. ]
 [-0.4 -0.6 -0.6 -0.2  0.  -1.6]
 [ 0.  -0.2 -1.   0.  -0.6  0. ]]
Intra-module:
[[ 0.  -1.2 -0.6]
 [-0.4  0.  -1.4]
 [-1.   1.8  0. ]]
Bias:[1.7 1.4 2. ]
Drive coeff:[-0.1  0.3 -0.9]
Base period:0.2925
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.02592515 0.03018894 0.01355604]	[0. 0. 0.]	[0.0045939  0.00425285 0.00142106]	[0.18468394 0.27003362 0.13073745]
1  	92   	[0.03882488 0.04358965 0.03592502]	[0. 0. 0.]	[0.01173296 0.00884564 0.00492427]	[0.18468394 0.27137248 0.32229554]
2  	92   	[0.05138528 0.06382517 0.03592502]	[0. 0. 0.]	[0.02032603 0.02241033 0.00492427]	[0.22491182 0.27137248 0.32229554]
3  	92   	[0.06544803 0.0720333  0.06244271]	[0. 0. 0.]	[0.03556413 0.02845703 0.01378451]	[0.24258486 0.31266797 0.36562248]
4  	92   	[0.07841769 0.09363314 0.0721335 ]	[0. 0. 0.]	[0.05864289 0.04791998 0.02169685]	[0.25637354 0.35875651 0.36562248]
5  	92   	[0.08060019 0.10121113 0.08686334]	[0. 0. 0.]	[0.09396379 0.06526233 0.0348117 ]	[0.2815505  0.35875651 0.36562248]
6  	92   	[0.09287974 0.11269742 0.10776881]	[0. 0. 0.]	[0.11848474 0.09828325 0.06560371]	[0.34167865 0.35875651 0.36562248]
7  	92   	[0.08578304 0.15707324 0.13452516]	[0. 0. 0.]	[0.1430316  0.1413911  0.11383563]	[0.34167865 1.         0.7237962 ]
8  	92   	[0.11726473 0.16925401 0.13870958]	[0. 0. 0.]	[0.17737109 0.19199017 0.13580019]	[0.92196465 1.         0.7237962 ]
9  	92   	[0.12200214 0.21886143 0.15783613]	[0. 0. 0.]	[0.2010792  0.23083156 0.16843585]	[0.92196465 1.         0.7237962 ]
10 	92   	[0.12580712 0.25325769 0.17431655]	[0. 0. 0.]	[0.22474201 0.27398772 0.19846786]	[0.92196465 1.         0.7237962 ]
