Matsuoka quadruped, body parameters:[10, 3, 2, 9, 5, 6, 9, 6, 7, 10, 3, 7, 6, 1, 9, 9, 5, 8, 6, 8, 3, 7, 4, 2, 2, 1, 8, 8, 1, 5, 8, 4, 2, 4, 7, 1, 9]
{'b': 0.16000000000000003, 'gam': 0.08000000000000002, 'x0': 0.1, 'c': 1.0, 'a': 0.4}
Inter-module:
[[ 0.  -1.4  0.  -1.  -0.6  0. ]
 [-0.8  0.  -1.6 -1.2 -0.4 -0.4]
 [ 0.  -0.6  0.   0.  -2.  -1. ]
 [-1.  -0.6  0.   0.  -1.4  0. ]
 [-1.2 -0.4 -0.4 -0.8  0.  -1.6]
 [ 0.  -2.  -1.   0.  -0.6  0. ]]
Intra-module:
[[ 0.  -1.  -0.2]
 [-0.4  0.  -1.4]
 [-1.   1.8  0. ]]
Bias:[1.7 1.3 2. ]
Drive coeff:[0.3 0.1 0.7]
Base period:0.3525
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.02228513 0.01466089 0.02651126]	[0. 0. 0.]	[0.00242577 0.00153688 0.00277913]	[0.21485312 0.14139284 0.2556804 ]
1  	92   	[0.02228513 0.03666348 0.02651126]	[0. 0. 0.]	[0.00242577 0.00978581 0.00277913]	[0.21485312 0.22811466 0.2556804 ]
2  	92   	[0.02355276 0.03664914 0.02651126]	[0. 0. 0.]	[0.00325195 0.00988991 0.00277913]	[0.21485312 0.22811466 0.2556804 ]
3  	92   	[0.0293848  0.04287581 0.02651922]	[0. 0. 0.]	[0.00625798 0.01415535 0.00288435]	[0.21485312 0.22811466 0.2556804 ]
4  	92   	[0.0446577  0.08633316 0.02652693]	[0. 0. 0.]	[0.01512272 0.02760749 0.00299019]	[0.22246338 0.70149254 0.2556804 ]
5  	92   	[0.08011952 0.11652044 0.0265334 ]	[0. 0. 0.]	[0.02823109 0.04564787 0.00309272]	[0.57080533 0.70149254 0.2556804 ]
6  	92   	[0.08726558 0.13498303 0.0265334 ]	[0. 0. 0.]	[0.03651091 0.06044977 0.00309272]	[0.57080533 0.70149254 0.2556804 ]
7  	92   	[0.088564   0.13604383 0.02767796]	[0. 0. 0.]	[0.04093659 0.07427105 0.00395314]	[0.57080533 0.70149254 0.2556804 ]
8  	92   	[0.12058101 0.15046298 0.03812684]	[0. 0. 0.]	[0.05537141 0.0909999  0.00685501]	[0.77114639 0.70149254 0.25698981]
9  	92   	[0.13603879 0.16454703 0.03812684]	[0. 0. 0.]	[0.07921847 0.10937321 0.00685501]	[0.77114639 0.70149254 0.25698981]
10 	92   	[0.13924504 0.17673747 0.03852345]	[0. 0. 0.]	[0.09361533 0.12599484 0.00761397]	[0.77114639 0.70149254 0.25698981]
11 	92   	[0.18096065 0.20379025 0.05337893]	[0. 0. 0.]	[0.12686489 0.14898987 0.01444438]	[0.96929854 0.70149254 0.33048206]
12 	92   	[0.18790275 0.21418422 0.0540142 ]	[0. 0. 0.]	[0.13859406 0.17016921 0.0154834 ]	[0.96929854 0.70149254 0.33048206]
13 	92   	[0.20388717 0.24285776 0.0540142 ]	[0. 0. 0.]	[0.17054306 0.20003183 0.0154834 ]	[0.96929854 1.         0.33048206]
14 	92   	[0.2233419  0.26898077 0.06367422]	[0. 0. 0.]	[0.20031677 0.24889364 0.02425061]	[0.96929854 1.         0.33048206]
15 	92   	[0.27501769 0.29998062 0.06619512]	[0. 0. 0.]	[0.25472433 0.3021446  0.02868166]	[0.96929854 1.         0.33048206]
16 	92   	[0.30303097 0.3179061  0.07868394]	[0. 0. 0.]	[0.29368454 0.34868288 0.03799811]	[0.96929854 1.         0.33048206]
17 	92   	[0.32587181 0.32887844 0.12751395]	[0. 0. 0.]	[0.3216014  0.40964623 0.05268315]	[0.96929854 1.         0.98804667]
18 	92   	[0.33056451 0.31122642 0.1483471 ]	[0. 0. 0.]	[0.31303808 0.47856248 0.06847619]	[0.96929854 1.         0.98804667]
19 	92   	[0.33075711 0.29885921 0.14885045]	[0. 0. 0.]	[0.43754902 0.49519318 0.07070885]	[0.96929854 1.         0.98804667]
20 	92   	[0.31327638 0.30394812 0.15274816]	[0. 0. 0.]	[0.51824879 0.50535488 0.07825981]	[0.96929854 1.         0.98804667]
21 	92   	[0.32030507 0.28946175 0.21337279]	[0. 0. 0.]	[0.55795088 0.54892751 0.10971509]	[0.96929854 1.         0.98804667]
22 	92   	[0.31578725 0.28015951 0.24470742]	[0. 0. 0.]	[0.58859281 0.59315016 0.12804271]	[0.96929854 1.         0.98804667]
23 	92   	[0.34686752 0.29795926 0.26002464]	[0. 0. 0.]	[0.56256594 0.55508017 0.1734812 ]	[0.96929854 1.         0.98804667]
24 	92   	[0.33589817 0.27497596 0.30631235]	[0. 0. 0.]	[0.62982207 0.59987834 0.20448296]	[0.96929854 1.         0.98804667]
25 	92   	[0.32648355 0.26641595 0.3239416 ]	[0. 0. 0.]	[0.6602144  0.63748447 0.21358818]	[0.96929854 1.         0.98804667]
26 	92   	[0.34650911 0.23739136 0.32825871]	[0. 0. 0.]	[0.6829506  0.66767035 0.21929764]	[0.96929854 1.         0.98804667]
27 	92   	[0.3503092  0.22975875 0.33404494]	[0. 0. 0.]	[0.70649387 0.67185054 0.22191444]	[0.96929854 1.         0.98804667]
28 	92   	[0.30953569 0.20093617 0.31095957]	[0. 0. 0.]	[0.78655405 0.69662234 0.16825239]	[0.96929854 1.         0.98804667]
29 	92   	[0.32292705 0.20430796 0.31599833]	[0. 0. 0.]	[0.76554584 0.72512615 0.18292435]	[0.96929854 1.         0.98804667]
30 	92   	[0.34298408 0.21903333 0.33273774]	[0. 0. 0.]	[0.70708035 0.73661074 0.22989913]	[0.96929854 1.         0.98804667]
31 	92   	[0.3057408  0.23321802 0.2843241 ]	[0. 0. 0.]	[0.77595382 0.73832555 0.15389968]	[0.96929854 1.         0.98804667]
32 	92   	[0.33638855 0.21682909 0.28043013]	[0. 0. 0.]	[0.68714128 0.75733275 0.19594279]	[0.96929854 1.         0.98804667]
