Matsuoka quadruped, body parameters:[10, 2, 2, 9, 5, 6, 7, 9, 5, 8, 3, 9, 6, 10, 9, 8, 7, 9, 5, 8, 3, 7, 4, 1, 2, 2, 8, 9, 1, 7, 3, 6, 3, 4, 10, 1, 9]
{'b': 0.18000000000000002, 'gam': 0.08000000000000002, 'x0': 0.2, 'c': 1.0, 'a': 0.2}
Inter-module:
[[ 0.  -1.4  0.  -1.2 -0.4  0. ]
 [-0.8  0.  -1.6 -0.8 -0.6 -0.4]
 [ 0.  -0.6  0.   0.  -0.2 -1. ]
 [-1.2 -0.4  0.   0.  -1.4  0. ]
 [-0.8 -0.6 -0.4 -0.8  0.  -1.6]
 [ 0.  -0.2 -1.   0.  -0.6  0. ]]
Intra-module:
[[ 0.  -1.  -0.2]
 [-0.4  0.  -1.4]
 [-1.4  1.8  0. ]]
Bias:[1.9 1.3 1.8]
Drive coeff:[-0.1  0.7  0.3]
Base period:0.23249999999999998
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.06269598 0.07699979 0.01656034]	[0. 0. 0.]	[0.02147033 0.01878877 0.00246783]	[0.42125863 0.60784314 0.11645305]
1  	92   	[0.07336735 0.08386382 0.02156315]	[0. 0. 0.]	[0.03867292 0.02738822 0.00455467]	[0.42125863 0.60784314 0.11645305]
2  	92   	[0.07972948 0.08977792 0.0398056 ]	[0. 0. 0.]	[0.05884477 0.04045743 0.01150894]	[0.42125863 0.60784314 0.24535103]
3  	92   	[0.07877071 0.10001436 0.0549427 ]	[0. 0. 0.]	[0.08064959 0.07061395 0.02285846]	[0.42125863 0.60784314 0.24535103]
4  	92   	[0.07956817 0.11485803 0.06651206]	[0. 0. 0.]	[0.09961503 0.10390295 0.0375957 ]	[0.42125863 0.60784314 0.24535103]
5  	92   	[0.08675809 0.12229733 0.07840985]	[0. 0. 0.]	[0.12371524 0.11857799 0.06628223]	[0.42125863 0.60784314 0.26921859]
6  	92   	[0.09622815 0.13117189 0.08710144]	[0. 0. 0.]	[0.14330348 0.13806538 0.09288709]	[0.42125863 0.60784314 0.32715011]
7  	92   	[0.1041861  0.13700449 0.09023581]	[0. 0. 0.]	[0.16869448 0.14392094 0.12283979]	[0.42125863 0.60784314 0.45176007]
8  	92   	[0.11389471 0.19742165 0.14934222]	[0. 0. 0.]	[0.19972596 0.20938086 0.16521413]	[0.42125863 1.         0.88809802]
9  	92   	[0.11728553 0.25426816 0.1905848 ]	[0. 0. 0.]	[0.2373263  0.26983144 0.18916831]	[0.42125863 1.         0.88809802]
10 	92   	[0.12528419 0.26753363 0.21191368]	[0. 0. 0.]	[0.25532884 0.30545224 0.20421077]	[0.42125863 1.         0.88809802]
11 	92   	[0.11731561 0.27087872 0.22897099]	[0. 0. 0.]	[0.2584843  0.36719999 0.24290156]	[0.42125863 1.         0.94073296]
12 	92   	[0.11319135 0.29054946 0.23990448]	[0. 0. 0.]	[0.28409513 0.4011891  0.27139972]	[0.48673158 1.         0.94073296]
13 	92   	[0.10656098 0.31421665 0.24348416]	[0. 0. 0.]	[0.29905418 0.45757712 0.29750248]	[0.48673158 1.         0.94073296]
14 	92   	[0.09921973 0.3351264  0.22999948]	[0. 0. 0.]	[0.3079316  0.49166394 0.34206673]	[0.48673158 1.         0.94073296]
15 	92   	[0.10196392 0.33615708 0.23170981]	[0. 0. 0.]	[0.31103765 0.52299833 0.38049774]	[0.53219623 1.         0.94073296]
16 	92   	[0.10288846 0.34842783 0.22477168]	[0. 0. 0.]	[0.31274784 0.55735175 0.40464452]	[0.53219623 1.         0.94073296]
17 	92   	[0.10190999 0.35781769 0.23112511]	[0. 0. 0.]	[0.31307368 0.60346776 0.4180785 ]	[0.53219623 1.         0.94073296]
18 	92   	[0.10168741 0.3190669  0.2388486 ]	[0. 0. 0.]	[0.3047812  0.67610395 0.42214806]	[0.53219623 1.         0.94073296]
19 	92   	[0.09595837 0.30625168 0.24181926]	[0. 0. 0.]	[0.30182849 0.72244862 0.42052558]	[0.53219623 1.         0.96946152]
20 	92   	[0.09499299 0.30678814 0.24987316]	[0. 0. 0.]	[0.30702629 0.75344069 0.40347165]	[0.53219623 1.         0.96946152]
21 	92   	[0.08563934 0.30781727 0.24794436]	[0. 0. 0.]	[0.31647316 0.77694397 0.41490849]	[0.53219623 1.         0.96946152]
22 	92   	[0.08340514 0.29580334 0.24015283]	[0. 0. 0.]	[0.31856891 0.83049536 0.41186384]	[0.53219623 1.         0.96946152]
23 	92   	[0.09104032 0.29764071 0.23431161]	[0. 0. 0.]	[0.31702095 0.84280697 0.40958392]	[0.56516609 1.         0.96946152]
24 	92   	[0.08143876 0.279926   0.22398772]	[0. 0. 0.]	[0.31928501 0.86820802 0.40053367]	[0.56516609 1.         0.96946152]
25 	92   	[0.10921654 0.29216998 0.24033881]	[0. 0. 0.]	[0.33266205 0.81211188 0.49108693]	[0.85841025 1.         0.96946152]
26 	92   	[0.10182209 0.30391736 0.24502288]	[0. 0. 0.]	[0.35064816 0.79524065 0.44203544]	[0.85841025 1.         0.96946152]
27 	92   	[0.10662769 0.33133153 0.25984564]	[0. 0. 0.]	[0.36185078 0.7541068  0.44783584]	[0.85841025 1.         0.96946152]
28 	92   	[0.10849292 0.34613639 0.26866672]	[0. 0. 0.]	[0.36943531 0.7219814  0.4482597 ]	[0.85841025 1.         0.96946152]
29 	92   	[0.11603156 0.35097363 0.2913275 ]	[0. 0. 0.]	[0.39426556 0.64303751 0.47988749]	[0.85841025 1.         0.96946152]
30 	92   	[0.12154033 0.38406292 0.30302931]	[0. 0. 0.]	[0.39568197 0.63978354 0.455808  ]	[0.85841025 1.         0.96946152]
31 	92   	[0.1547225  0.38211278 0.30992226]	[0. 0. 0.]	[0.39979869 0.63486685 0.4661498 ]	[0.85841025 1.         0.96946152]
32 	92   	[0.16972012 0.34255869 0.28535465]	[0. 0. 0.]	[0.38809991 0.67338619 0.52964864]	[0.85841025 1.         0.96946152]
33 	92   	[0.17598711 0.35680445 0.29840731]	[0. 0. 0.]	[0.40023123 0.63706368 0.54387573]	[0.85841025 1.         0.96946152]
34 	92   	[0.15833532 0.32416789 0.26383232]	[0. 0. 0.]	[0.38118797 0.67610654 0.59979804]	[0.85841025 1.         0.96946152]
35 	92   	[0.16387939 0.30490829 0.26472933]	[0. 0. 0.]	[0.40861797 0.65801707 0.58689897]	[0.85841025 1.         0.96946152]
36 	92   	[0.1671778  0.29276484 0.25987822]	[0. 0. 0.]	[0.41362357 0.667784   0.59422735]	[0.85841025 1.         0.96946152]
37 	92   	[0.1642086  0.27442195 0.22908213]	[0. 0. 0.]	[0.40761198 0.71937405 0.61637864]	[0.85841025 1.         0.96946152]
38 	92   	[0.20608973 0.29559432 0.2732535 ]	[0. 0. 0.]	[0.41083659 0.76540783 0.61764794]	[0.85841025 1.         0.96946152]
39 	92   	[0.2216315  0.29068358 0.3219212 ]	[0. 0. 0.]	[0.48415432 0.69268224 0.55160179]	[0.85841025 1.         0.96946152]
40 	92   	[0.21168872 0.25854559 0.31241864]	[0. 0. 0.]	[0.47257575 0.73566215 0.57311283]	[0.85841025 1.         0.96946152]
41 	92   	[0.20204769 0.24171676 0.30859213]	[0. 0. 0.]	[0.50468493 0.70593705 0.5721466 ]	[0.85841025 1.         0.96946152]
42 	92   	[0.18974039 0.23999888 0.2801766 ]	[0. 0. 0.]	[0.49289781 0.71002441 0.61525168]	[0.85841025 1.         0.96946152]
43 	92   	[0.16860679 0.23252342 0.26389246]	[0. 0. 0.]	[0.50338041 0.67538262 0.64050546]	[0.85841025 1.         0.96946152]
44 	92   	[0.14499807 0.17937255 0.24414161]	[0.25208558 0.         0.        ]	[0.5445077  0.64836451 0.61179469]	[0.85841025 1.         0.96946152]
45 	92   	[0.10739364 0.14376379 0.17008896]	[0.34211936 0.         0.        ]	[0.55035853 0.62247371 0.63497602]	[0.85841025 1.         0.96946152]
46 	92   	[0.09125118 0.11845104 0.15847398]	[0.34211936 0.43661972 0.        ]	[0.54132352 0.64434518 0.64462309]	[0.85841025 1.         0.96946152]
47 	92   	[0.13092475 0.1692494  0.23825312]	[0.34211936 0.43661972 0.        ]	[0.54338804 0.69975865 0.63594256]	[0.85841025 1.         0.96946152]
48 	92   	[0.20878235 0.19252478 0.39109254]	[0.34211936 0.43661972 0.        ]	[0.5708875  0.85321134 0.5686761 ]	[0.85841025 1.         0.96946152]
49 	92   	[0.21800243 0.19526726 0.40777439]	[0.34211936 0.27927928 0.        ]	[0.58300466 0.86669029 0.54159665]	[0.85841025 1.         0.96946152]
50 	92   	[0.24303182 0.23050921 0.44473249]	[0.25208558 0.         0.        ]	[0.56966838 0.8953691  0.54429678]	[0.85841025 1.         0.96946152]
51 	92   	[0.2439303  0.08110843 0.45617915]	[0.34211936 0.43661972 0.        ]	[0.52669112 0.98535115 0.63818965]	[0.85841025 1.         0.96946152]
52 	92   	[0.25608688 0.08110843 0.48101746]	[0.34211936 0.43661972 0.        ]	[0.60319107 0.98535115 0.50120052]	[0.85841025 1.         0.96946152]
53 	92   	[0.25608688 0.08110843 0.48101746]	[0.34211936 0.43661972 0.        ]	[0.60319107 0.98535115 0.50120052]	[0.85841025 1.         0.96946152]
54 	92   	[0.25608688 0.08110843 0.48101746]	[0.34211936 0.43661972 0.        ]	[0.60319107 0.98535115 0.50120052]	[0.85841025 1.         0.96946152]
55 	92   	[0.25608688 0.08110843 0.48101746]	[0.34211936 0.43661972 0.        ]	[0.60319107 0.98535115 0.50120052]	[0.85841025 1.         0.96946152]
56 	92   	[0.25608688 0.08110843 0.48101746]	[0.34211936 0.43661972 0.        ]	[0.60319107 0.98535115 0.50120052]	[0.85841025 1.         0.96946152]
57 	92   	[0.25596124 0.1138846  0.47996403]	[0.34211936 0.43661972 0.        ]	[0.60880293 0.97310375 0.51111361]	[0.85841025 1.         0.96946152]
58 	92   	[0.25260133 0.2121709  0.46921661]	[0.34211936 0.43661972 0.        ]	[0.64247407 0.89961937 0.57059216]	[0.85841025 1.         0.96946152]
59 	92   	[0.25330949 0.16384726 0.46862673]	[0.34211936 0.43661972 0.        ]	[0.60185621 0.93768236 0.5517666 ]	[0.85841025 1.         0.96946152]
60 	92   	[0.25596124 0.09003956 0.4790911 ]	[0.34211936 0.43661972 0.        ]	[0.60880293 0.98108858 0.49810395]	[0.85841025 1.         0.96946152]
61 	92   	[0.25596124 0.09003956 0.4790911 ]	[0.34211936 0.43661972 0.        ]	[0.60880293 0.98108858 0.49810395]	[0.85841025 1.         0.96946152]
62 	92   	[0.25596124 0.09797616 0.47649881]	[0.34211936 0.43661972 0.        ]	[0.60880293 0.976826   0.50523274]	[0.85841025 1.         0.96946152]
63 	92   	[0.25534002 0.12330758 0.46663474]	[0.34211936 0.43661972 0.        ]	[0.62002664 0.9597757  0.51267266]	[0.85841025 1.         0.96946152]
64 	92   	[0.25608688 0.08110843 0.48320758]	[0.34211936 0.43661972 0.        ]	[0.60319107 0.98535115 0.50460936]	[0.85841025 1.         0.96946152]
65 	92   	[0.25608688 0.08110843 0.48320758]	[0.34211936 0.43661972 0.        ]	[0.60319107 0.98535115 0.50460936]	[0.85841025 1.         0.96946152]
66 	92   	[0.25596124 0.09905372 0.48320758]	[0.34211936 0.43661972 0.        ]	[0.60880293 0.97922745 0.50460936]	[0.85841025 1.         0.96946152]
67 	92   	[0.2557124  0.1266995  0.48265887]	[0.34211936 0.43661972 0.        ]	[0.61441478 0.96698006 0.51514698]	[0.85841025 1.         0.96946152]
68 	92   	[0.25608688 0.06965104 0.48320758]	[0.34211936 0.60784314 0.        ]	[0.60319107 0.98721228 0.50460936]	[0.85841025 1.         0.96946152]
69 	92   	[0.25511627 0.06965104 0.48143782]	[0.34211936 0.60784314 0.        ]	[0.6043932  0.98721228 0.50220922]	[0.85841025 1.         0.96946152]
70 	92   	[0.25478362 0.06965104 0.48093967]	[0.34211936 0.60784314 0.        ]	[0.59964526 0.98721228 0.51274685]	[0.85841025 1.         0.96946152]
71 	92   	[0.25473546 0.06965104 0.48143782]	[0.34211936 0.60784314 0.        ]	[0.60525712 0.98721228 0.50220922]	[0.85841025 1.         0.96946152]
72 	92   	[0.25473546 0.06965104 0.48143782]	[0.34211936 0.60784314 0.        ]	[0.60525712 0.98721228 0.50220922]	[0.85841025 1.         0.96946152]
73 	92   	[0.25473546 0.06216832 0.48143782]	[0.34211936 0.60784314 0.        ]	[0.60525712 0.98882374 0.50220922]	[0.85841025 1.         0.96946152]
74 	92   	[0.24268766 0.13156224 0.47083452]	[0.34211936 0.43661972 0.        ]	[0.66195828 0.9502109  0.39373139]	[0.85841025 1.         0.96946152]
75 	92   	[0.205577   0.17257253 0.42741215]	[0.34211936 0.43661972 0.        ]	[0.74493402 0.9107766  0.26727988]	[0.85841025 1.         0.96946152]
76 	92   	[0.21966548 0.09456665 0.43749588]	[0.34211936 0.60784314 0.        ]	[0.72248659 0.9733849  0.28835513]	[0.85841025 1.         0.96946152]
77 	92   	[0.1731203  0.07733546 0.36036571]	[0.34211936 0.60784314 0.        ]	[0.78067122 0.98191005 0.16500522]	[0.85841025 1.         0.96946152]
78 	92   	[0.0651944  0.07364135 0.23123901]	[0.42125863 0.60784314 0.        ]	[0.84656699 0.98456116 0.06082562]	[0.85841025 1.         0.96946152]
79 	92   	[0.0651944  0.09181683 0.26626139]	[0.42125863 0.60784314 0.        ]	[0.84656699 0.97603601 0.08190087]	[0.85841025 1.         0.96946152]
80 	92   	[0.0651944  0.12374408 0.33251736]	[0.42125863 0.60784314 0.        ]	[0.84656699 0.95472314 0.13458899]	[0.85841025 1.         0.96946152]
81 	92   	[0.03382482 0.19379485 0.48058965]	[0.53219623 0.60784314 0.        ]	[0.85486445 0.83375959 0.42150501]	[0.85841025 1.         0.96946152]
82 	92   	[0.03382482 0.19607843 0.48461621]	[0.53219623 0.60784314 0.        ]	[0.85486445 0.80392157 0.49526838]	[0.85841025 1.         0.96946152]
