Matsuoka quadruped, body parameters:[10, 3, 2, 5, 5, 7, 1, 6, 2, 8, 9, 8, 4, 9, 10, 10, 5, 8, 5, 1, 6, 7, 10, 4, 1, 1, 4, 4, 4, 6, 4, 7, 6, 1, 8, 1, 9]
{'b': 0.08000000000000002, 'gam': 0.04000000000000001, 'x0': 0.1, 'c': 0.5, 'a': 0.8}
Inter-module:
[[ 0.  -0.2  0.  -1.2 -0.6  0. ]
 [-0.8  0.  -1.  -1.2 -0.2 -0.2]
 [ 0.  -2.   0.   0.  -0.4 -1.4]
 [-1.2 -0.6  0.   0.  -0.2  0. ]
 [-1.2 -0.2 -0.2 -0.8  0.  -1. ]
 [ 0.  -0.4 -1.4  0.  -2.   0. ]]
Intra-module:
[[ 0.  -0.8 -0.2]
 [-1.2  0.  -1.4]
 [-1.   1.8  0. ]]
Bias:[1.8 1.9 1.8]
Drive coeff:[-0.7  0.1 -0.9]
Base period:0.3
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.01484766 0.         0.        ]	[0. 0. 0.]	[0.00155646 0.         0.        ]	[0.14319415 0.         0.        ]
1  	92   	[0.01484766 0.         0.        ]	[0. 0. 0.]	[0.00155646 0.         0.        ]	[0.14319415 0.         0.        ]
2  	92   	[0.01484766 0.         0.        ]	[0. 0. 0.]	[0.00155646 0.         0.        ]	[0.14319415 0.         0.        ]
3  	92   	[0.01484766 0.         0.        ]	[0. 0. 0.]	[0.00155646 0.         0.        ]	[0.14319415 0.         0.        ]
4  	92   	[0.01484766 0.         0.        ]	[0. 0. 0.]	[0.00155646 0.         0.        ]	[0.14319415 0.         0.        ]
5  	92   	[0.01484766 0.         0.        ]	[0. 0. 0.]	[0.00155646 0.         0.        ]	[0.14319415 0.         0.        ]
6  	92   	[0.01484766 0.         0.        ]	[0. 0. 0.]	[0.00155646 0.         0.        ]	[0.14319415 0.         0.        ]
7  	92   	[0.01484766 0.         0.        ]	[0. 0. 0.]	[0.00155646 0.         0.        ]	[0.14319415 0.         0.        ]
8  	92   	[0.01484766 0.         0.        ]	[0. 0. 0.]	[0.00155646 0.         0.        ]	[0.14319415 0.         0.        ]
9  	92   	[0.01802596 0.         0.        ]	[0. 0. 0.]	[0.00264522 0.         0.        ]	[0.14319415 0.         0.        ]
