Matsuoka quadruped, body parameters:[10, 7, 2, 10, 5, 7, 5, 8, 8, 1, 4, 8, 4, 1, 10, 1, 3, 8, 5, 3, 6, 10, 10, 4, 1, 4, 9, 8, 4, 2, 6, 9, 10, 3, 8, 1, 10]
{'b': 0.16000000000000003, 'gam': 0.09000000000000001, 'x0': 0.4, 'c': 0.5, 'a': 0.8}
Inter-module:
[[ 0.  -0.2  0.  -1.2 -0.6  0. ]
 [-0.2  0.  -1.  -1.6 -2.  -0.2]
 [ 0.  -1.6  0.   0.  -2.  -1.4]
 [-1.2 -0.6  0.   0.  -0.2  0. ]
 [-1.6 -2.  -0.2 -0.2  0.  -1. ]
 [ 0.  -2.  -1.4  0.  -1.6  0. ]]
Intra-module:
[[ 0.  -0.8 -0.2]
 [-0.2  0.  -1.4]
 [ 0.6  1.8  0. ]]
Bias:[1.8 1.4 1.1]
Drive coeff:[ 0.5  0.5 -0.1]
Base period:0.27749999999999997
gen	evals	std                               	min       	avg                                           	max                               
0  	92   	[0.000907   0.00977612 0.        ]	[0. 0. 0.]	[9.50793926e-05 1.11618548e-03 0.00000000e+00]	[0.0087473  0.09397536 0.        ]
1  	92   	[0.000907   0.01463459 0.02198632]	[0. 0. 0.]	[9.50793926e-05 2.27013120e-03 2.39675188e-03]	[0.0087473  0.10616301 0.21196283]
2  	92   	[0.01840579 0.05170057 0.02198632]	[0. 0. 0.]	[0.00215336 0.00749317 0.00239675]            	[0.17710743 0.48051948 0.21196283]
3  	92   	[0.02556107 0.05842223 0.02198632]	[0. 0. 0.]	[0.0040365  0.01042875 0.00239675]            	[0.17710743 0.48051948 0.21196283]
4  	92   	[0.03747332 0.06312436 0.02579183]	[0. 0. 0.]	[0.00695373 0.01410337 0.00383685]            	[0.26838542 0.48051948 0.21196283]
5  	92   	[0.0498947  0.06716705 0.03830364]	[0. 0. 0.]	[0.01202033 0.01766795 0.00896742]            	[0.26838542 0.48051948 0.22869165]
6  	92   	[0.06016157 0.07902573 0.04000641]	[0. 0. 0.]	[0.01689588 0.02739555 0.01028047]            	[0.32109455 0.48051948 0.22869165]
7  	92   	[0.06509942 0.08191925 0.04222356]	[0. 0. 0.]	[0.02196817 0.03092767 0.01281003]            	[0.32109455 0.48051948 0.22869165]
8  	92   	[0.06682315 0.08623855 0.0476354 ]	[0. 0. 0.]	[0.02475045 0.03819694 0.01798355]            	[0.32109455 0.48051948 0.22869165]
9  	92   	[0.0815603  0.10967048 0.06080663]	[0. 0. 0.]	[0.03896224 0.05518395 0.02643252]            	[0.34885424 0.64912281 0.30778705]
10 	92   	[0.08253637 0.11546297 0.0795642 ]	[0. 0. 0.]	[0.04189689 0.0712613  0.04337828]            	[0.34885424 0.64912281 0.33135817]
11 	92   	[0.0871875  0.13645103 0.14042845]	[0. 0. 0.]	[0.05134212 0.08821291 0.07926471]            	[0.34885424 0.64912281 0.80350576]
12 	92   	[0.09863463 0.14547224 0.16292934]	[0. 0. 0.]	[0.0660913  0.09986325 0.08776712]            	[0.46812431 0.64912281 0.80350576]
13 	92   	[0.10462791 0.14699631 0.18025615]	[0. 0. 0.]	[0.07824789 0.10144955 0.09644556]            	[0.46812431 0.64912281 0.80350576]
14 	92   	[0.10708854 0.14831996 0.19918315]	[0. 0. 0.]	[0.09106097 0.11365022 0.11548831]            	[0.46812431 0.64912281 0.80350576]
15 	92   	[0.11198073 0.17228069 0.23366226]	[0. 0. 0.]	[0.10041556 0.12902025 0.14206864]            	[0.46812431 0.64912281 0.80350576]
16 	92   	[0.14244843 0.20650711 0.26381895]	[0. 0. 0.]	[0.13700765 0.16092618 0.17981249]            	[0.79269223 1.         0.80350576]
17 	92   	[0.15059057 0.22029779 0.28124486]	[0. 0. 0.]	[0.16142823 0.18077513 0.19892421]            	[0.79269223 1.         0.80350576]
18 	92   	[0.1607374  0.23439134 0.31810986]	[0. 0. 0.]	[0.17327057 0.20061301 0.25529898]            	[0.79269223 1.         0.80350576]
19 	92   	[0.17018981 0.26403563 0.33431273]	[0. 0. 0.]	[0.1954823  0.22759039 0.30103872]            	[0.79269223 1.         0.80350576]
20 	92   	[0.17768396 0.26748639 0.35416281]	[0. 0. 0.]	[0.21575148 0.24877251 0.33355863]            	[0.79269223 1.         0.80350576]
21 	92   	[0.1802796  0.29735107 0.36938599]	[0. 0. 0.]	[0.24479924 0.25860313 0.37488793]            	[0.79269223 1.         0.80350576]
22 	92   	[0.18553828 0.31567711 0.36712792]	[0. 0. 0.]	[0.2827822  0.29682102 0.37844815]            	[0.79269223 1.         0.95715154]
23 	92   	[0.19263704 0.32905033 0.38191415]	[0. 0. 0.]	[0.32413167 0.32882599 0.4186541 ]            	[0.89509121 1.         0.97810672]
24 	92   	[0.19237987 0.33060305 0.38828818]	[0. 0. 0.]	[0.34212448 0.35774029 0.40572844]            	[0.89509121 1.         0.97810672]
25 	92   	[0.20312411 0.33926496 0.38633557]	[0. 0. 0.]	[0.36384341 0.3699965  0.41465498]            	[0.89509121 1.         0.97810672]
26 	92   	[0.18364329 0.36760255 0.37626904]	[0. 0. 0.]	[0.41023844 0.37547795 0.40964273]            	[0.89509121 1.         0.97810672]
27 	92   	[0.17871015 0.38758677 0.37523447]	[0. 0. 0.]	[0.44147028 0.44885211 0.38839094]            	[0.89509121 1.         0.97810672]
28 	92   	[0.17582463 0.39534932 0.38363649]	[0. 0. 0.]	[0.46048628 0.53818246 0.39210266]            	[0.89509121 1.         0.97810672]
29 	92   	[0.16517646 0.38906106 0.38036384]	[0. 0. 0.]	[0.48913509 0.56420824 0.40131959]            	[0.89509121 1.         0.97810672]
30 	92   	[0.16862049 0.39287897 0.38607042]	[0. 0. 0.]	[0.50308255 0.62867615 0.36155259]            	[0.89509121 1.         0.97810672]
31 	92   	[0.17113745 0.39398236 0.38685513]	[0. 0. 0.]	[0.51173087 0.65282001 0.34669511]            	[0.89509121 1.         0.97810672]
32 	92   	[0.17855259 0.39286954 0.39874923]	[0. 0. 0.]	[0.52184708 0.64069818 0.36215201]            	[0.89509121 1.         0.97810672]
33 	92   	[0.14751162 0.38263977 0.3947221 ]	[0.17746767 0.         0.        ]	[0.53683268 0.69288221 0.35903966]            	[0.89509121 1.         0.97810672]
34 	92   	[0.14261776 0.37319138 0.39741906]	[0.17746767 0.         0.        ]	[0.56291375 0.71847203 0.35438654]            	[0.89509121 1.         0.97810672]
35 	92   	[0.14592826 0.38101565 0.40648674]	[0.21007662 0.         0.        ]	[0.57459325 0.67969171 0.39670006]            	[0.89509121 1.         0.97810672]
36 	92   	[0.15048146 0.39448326 0.39977419]	[0.21007662 0.         0.        ]	[0.59602463 0.65335897 0.44155617]            	[0.89509121 1.         0.97810672]
37 	92   	[0.14688173 0.38804734 0.4145799 ]	[0.21007662 0.         0.        ]	[0.59502062 0.69374977 0.43793933]            	[0.89509121 1.         0.97810672]
38 	92   	[0.16181484 0.38782172 0.39447954]	[0.21007662 0.         0.        ]	[0.59226901 0.62151755 0.56470556]            	[0.89509121 1.         0.97810672]
39 	92   	[0.19569732 0.43285084 0.37710226]	[0.21007662 0.         0.        ]	[0.60657813 0.48950196 0.63079925]            	[0.89509121 1.         0.97810672]
40 	92   	[0.18171588 0.42142773 0.34093878]	[0.21007662 0.         0.        ]	[0.57676649 0.55564848 0.68509964]            	[0.89509121 1.         0.97810672]
41 	92   	[0.14525082 0.38916881 0.33905833]	[0.21007662 0.         0.        ]	[0.61637303 0.60931373 0.66262548]            	[0.89509121 1.         0.97810672]
42 	92   	[0.15410307 0.39352937 0.28441516]	[0.21007662 0.         0.        ]	[0.63274551 0.5556004  0.72918932]            	[0.89509121 1.         0.97810672]
43 	92   	[0.14617597 0.36746368 0.29058813]	[0.21007662 0.         0.        ]	[0.62904513 0.65214092 0.71417737]            	[0.89509121 1.         0.97810672]
44 	92   	[0.14811792 0.35942751 0.31863211]	[0.21007662 0.         0.        ]	[0.62475204 0.69220447 0.691544  ]            	[0.89509121 1.         0.97810672]
45 	92   	[0.14301044 0.33347785 0.31219168]	[0.21007662 0.         0.        ]	[0.63067981 0.76093502 0.68081831]            	[0.89509121 1.         0.97810672]
46 	92   	[0.13287764 0.32754567 0.26762708]	[0.21007662 0.         0.        ]	[0.613416   0.81867727 0.72555067]            	[0.89509121 1.         0.97810672]
47 	92   	[0.11941299 0.23371595 0.2359929 ]	[0.21007662 0.         0.        ]	[0.61503409 0.91641442 0.74874308]            	[0.89509121 1.         0.97810672]
48 	92   	[0.125347   0.2295049  0.23871759]	[0.21007662 0.         0.        ]	[0.62719105 0.89692151 0.75375327]            	[0.89509121 1.         0.97810672]
49 	92   	[0.13915582 0.25424885 0.26438387]	[0.21007662 0.         0.        ]	[0.69860913 0.78887224 0.73932263]            	[0.89509121 1.         0.97810672]
50 	92   	[0.14447001 0.28850013 0.28800128]	[0.21007662 0.         0.        ]	[0.71081389 0.74463906 0.72618334]            	[0.89509121 1.         0.97810672]
51 	92   	[0.1577809  0.35407917 0.35215494]	[0.21007662 0.         0.        ]	[0.73570743 0.6064502  0.69799881]            	[0.89509121 1.         0.97810672]
52 	92   	[0.15719691 0.37615229 0.29275382]	[0.21007662 0.         0.        ]	[0.72362964 0.59851046 0.7657399 ]            	[0.89509121 1.         0.97810672]
53 	92   	[0.15250452 0.3921666  0.3056913 ]	[0.21007662 0.         0.        ]	[0.71275244 0.60281759 0.76527658]            	[0.89509121 1.         0.97810672]
54 	92   	[0.16767291 0.36741171 0.27584473]	[0.21007662 0.         0.        ]	[0.68236992 0.58992263 0.80483818]            	[0.89509121 1.         0.97810672]
55 	92   	[0.16884485 0.37576087 0.29647284]	[0.21007662 0.         0.        ]	[0.69310727 0.60698852 0.77704704]            	[0.89509121 1.         0.97810672]
56 	92   	[0.16983227 0.37249462 0.29706028]	[0.21007662 0.         0.        ]	[0.6942203  0.61785809 0.77902035]            	[0.89509121 1.         0.97810672]
57 	92   	[0.17531548 0.36419259 0.24817936]	[0.21007662 0.         0.        ]	[0.67378154 0.61479049 0.81957342]            	[0.89509121 1.         0.97810672]
58 	92   	[0.17308848 0.36655043 0.19825029]	[0.21007662 0.         0.        ]	[0.66968486 0.60461067 0.84850832]            	[0.89509121 1.         0.97810672]
59 	92   	[0.17237788 0.34505268 0.17704036]	[0.21007662 0.         0.        ]	[0.67082726 0.62738245 0.85557202]            	[0.89509121 1.         0.97810672]
60 	92   	[0.17160674 0.3338811  0.1237568 ]	[0.21007662 0.         0.        ]	[0.67170368 0.64380649 0.87630419]            	[0.89509121 1.         0.97810672]
61 	92   	[0.17104402 0.32667638 0.08289429]	[0.21007662 0.         0.77560698]	[0.67965244 0.64936097 0.8881503 ]            	[0.89509121 1.         0.97810672]
62 	92   	[0.17241878 0.30068744 0.15358004]	[0.21007662 0.         0.        ]	[0.68752099 0.67852219 0.871775  ]            	[0.89509121 1.         0.97810672]
63 	92   	[0.17280201 0.20809082 0.17689699]	[0.21007662 0.         0.        ]	[0.70647865 0.74781845 0.85567767]            	[0.89509121 1.         0.97810672]
64 	92   	[0.17304046 0.20694065 0.17786091]	[0.21007662 0.         0.        ]	[0.71400198 0.73535562 0.86402798]            	[0.89509121 1.         0.97810672]
