Matsuoka quadruped, body parameters:[10, 3, 2, 5, 5, 7, 1, 6, 2, 10, 9, 8, 4, 9, 9, 8, 5, 8, 5, 6, 6, 7, 10, 4, 4, 9, 9, 1, 3, 2, 4, 4, 6, 2, 8, 1, 10]
{'b': 0.020000000000000004, 'gam': 0.09000000000000001, 'x0': 0.9, 'c': 2.0, 'a': 0.8}
Inter-module:
[[ 0.  -0.2  0.  -1.2 -0.6  0. ]
 [-0.8  0.  -1.  -1.2 -0.6 -0.4]
 [ 0.  -1.   0.   0.  -0.4 -1.4]
 [-1.2 -0.6  0.   0.  -0.2  0. ]
 [-1.2 -0.6 -0.4 -0.8  0.  -1. ]
 [ 0.  -0.4 -1.4  0.  -1.   0. ]]
Intra-module:
[[ 0.  -0.8 -0.2]
 [-1.2  0.  -1.4]
 [-1.   1.8  0. ]]
Bias:[1.8 1.9 2. ]
Drive coeff:[-0.7  0.1 -0.9]
Base period:0.3
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.01700521 0.05804112 0.        ]	[0. 0. 0.]	[0.00251987 0.00832152 0.        ]	[0.12849015 0.5        0.        ]
1  	92   	[0.04979419 0.05804205 0.        ]	[0. 0. 0.]	[0.01057477 0.00864119 0.        ]	[0.31888545 0.5        0.        ]
2  	92   	[0.05087649 0.05899019 0.        ]	[0. 0. 0.]	[0.01179135 0.00984448 0.        ]	[0.31888545 0.5        0.        ]
3  	92   	[0.05135448 0.06233367 0.        ]	[0. 0. 0.]	[0.01266508 0.01294885 0.        ]	[0.31888545 0.5        0.        ]
4  	92   	[0.05402947 0.06233367 0.        ]	[0. 0. 0.]	[0.01456981 0.01294885 0.        ]	[0.31888545 0.5        0.        ]
5  	92   	[0.05571064 0.06233367 0.        ]	[0. 0. 0.]	[0.01785204 0.01294885 0.        ]	[0.31888545 0.5        0.        ]
6  	92   	[0.05571064 0.06663492 0.        ]	[0. 0. 0.]	[0.01785204 0.01900864 0.        ]	[0.31888545 0.5        0.        ]
7  	92   	[0.06116547 0.06661452 0.        ]	[0. 0. 0.]	[0.02070235 0.01910022 0.        ]	[0.31888545 0.5        0.        ]
8  	92   	[0.09647355 0.06805922 0.        ]	[0. 0. 0.]	[0.02999187 0.02089042 0.        ]	[0.73747017 0.5        0.        ]
9  	92   	[0.09689472 0.0700661  0.        ]	[0. 0. 0.]	[0.03211637 0.02382419 0.        ]	[0.73747017 0.5        0.        ]
10 	92   	[0.09689472 0.07756586 0.        ]	[0. 0. 0.]	[0.03211637 0.02866795 0.        ]	[0.73747017 0.5        0.        ]
11 	92   	[0.09689472 0.07780888 0.        ]	[0. 0. 0.]	[0.03211637 0.02970005 0.        ]	[0.73747017 0.5        0.        ]
12 	92   	[0.10271819 0.07885572 0.        ]	[0. 0. 0.]	[0.03862214 0.03226235 0.        ]	[0.73747017 0.5        0.        ]
13 	92   	[0.10528176 0.07928039 0.        ]	[0. 0. 0.]	[0.04392611 0.03378583 0.        ]	[0.73747017 0.5        0.        ]
14 	92   	[0.12732207 0.08052323 0.        ]	[0. 0. 0.]	[0.05289432 0.0367666  0.        ]	[0.73747017 0.5        0.        ]
15 	92   	[0.14552764 0.08230881 0.        ]	[0. 0. 0.]	[0.06212781 0.04227315 0.        ]	[0.73747017 0.5        0.        ]
16 	92   	[0.14709702 0.08272182 0.        ]	[0. 0. 0.]	[0.0684656  0.04585186 0.        ]	[0.73747017 0.5        0.        ]
