Matsuoka quadruped, body parameters:[7, 1, 6, 1, 8, 10, 7, 7, 2, 4, 8, 4, 4, 7, 9, 6, 9, 8, 5, 7, 5, 8, 1, 4, 8, 9, 7, 3, 5, 3, 3, 9, 10, 9, 1, 6, 10]
{'b': 0.06, 'gam': 0.06999999999999999, 'x0': 0.9, 'c': 4.0, 'a': 0.8}
Inter-module:
[[ 0.  -2.   0.  -1.2 -0.6  0. ]
 [-0.6  0.  -1.2 -0.4 -1.  -0.4]
 [ 0.  -0.8  0.   0.  -0.8 -1.4]
 [-1.2 -0.6  0.   0.  -2.   0. ]
 [-0.4 -1.  -0.4 -0.6  0.  -1.2]
 [ 0.  -0.8 -1.4  0.  -0.8  0. ]]
Intra-module:
[[ 0.  -0.2  1. ]
 [-2.   0.   0.2]
 [-1.8  0.6  0. ]]
Bias:[1.4 1.8 1.4]
Drive coeff:[-0.7  0.3  0.3]
Base period:0.27
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.02738128 0.03873626 0.        ]	[0. 0. 0.]	[0.00401047 0.00774348 0.        ]	[0.21903764 0.26482063 0.        ]
1  	92   	[0.02738128 0.04103693 0.        ]	[0. 0. 0.]	[0.00401047 0.00925128 0.        ]	[0.21903764 0.26482063 0.        ]
2  	92   	[0.03391495 0.04965209 0.        ]	[0. 0. 0.]	[0.00615286 0.01348547 0.        ]	[0.21903764 0.26482063 0.        ]
3  	92   	[0.03552746 0.08904107 0.        ]	[0. 0. 0.]	[0.00733182 0.02823822 0.        ]	[0.21903764 0.64285714 0.        ]
4  	92   	[0.03552746 0.08947012 0.        ]	[0. 0. 0.]	[0.00733182 0.02977378 0.        ]	[0.21903764 0.64285714 0.        ]
5  	92   	[0.03552746 0.08979891 0.        ]	[0. 0. 0.]	[0.00733182 0.03173877 0.        ]	[0.21903764 0.64285714 0.        ]
6  	92   	[0.03552746 0.0973161  0.        ]	[0. 0. 0.]	[0.00733182 0.04501727 0.        ]	[0.21903764 0.64285714 0.        ]
7  	92   	[0.0443153  0.10141665 0.        ]	[0. 0. 0.]	[0.01019031 0.06216365 0.        ]	[0.26298176 0.64285714 0.        ]
8  	92   	[0.05429255 0.10264566 0.        ]	[0. 0. 0.]	[0.01704191 0.07817764 0.        ]	[0.26298176 0.64285714 0.        ]
9  	92   	[0.05993318 0.11005305 0.        ]	[0. 0. 0.]	[0.0238842  0.11618808 0.        ]	[0.26298176 0.64285714 0.        ]
10 	92   	[0.07173359 0.10557574 0.        ]	[0. 0. 0.]	[0.03971806 0.13586144 0.        ]	[0.26298176 0.64285714 0.        ]
11 	92   	[0.07743031 0.11104802 0.00520526]	[0. 0. 0.]	[0.05050248 0.1497021  0.00054566]	[0.26298176 0.64285714 0.05020068]
12 	92   	[0.0825216  0.12169793 0.00520526]	[0. 0. 0.]	[0.07060179 0.14840496 0.00054566]	[0.26298176 0.64285714 0.05020068]
13 	92   	[0.08396436 0.1280588  0.00795476]	[0. 0. 0.]	[0.08091608 0.13900728 0.00118226]	[0.26897678 0.64285714 0.05856688]
14 	92   	[0.08434775 0.13708083 0.00795476]	[0. 0. 0.]	[0.09874848 0.13896064 0.00118226]	[0.26897678 0.64285714 0.05856688]
15 	92   	[0.0854867  0.14825245 0.00795476]	[0. 0. 0.]	[0.10453615 0.15423973 0.00118226]	[0.26897678 0.64285714 0.05856688]
16 	92   	[0.09187477 0.15346681 0.00795476]	[0. 0. 0.]	[0.11072528 0.16450636 0.00118226]	[0.42646833 0.64285714 0.05856688]
17 	92   	[0.09380929 0.15498026 0.01380258]	[0. 0. 0.]	[0.11438303 0.16951667 0.00237776]	[0.42646833 0.64285714 0.10998634]
18 	92   	[0.09172394 0.15144024 0.01380258]	[0. 0. 0.]	[0.1251675  0.18196047 0.00237776]	[0.42646833 0.64285714 0.10998634]
19 	92   	[0.09676411 0.14954722 0.01380258]	[0. 0. 0.]	[0.13263995 0.19959524 0.00237776]	[0.42646833 0.64285714 0.10998634]
20 	92   	[0.1044603  0.15430064 0.01380258]	[0. 0. 0.]	[0.14378417 0.21775796 0.00237776]	[0.42646833 0.64285714 0.10998634]
21 	92   	[0.11025139 0.1554022  0.01380258]	[0. 0. 0.]	[0.14286215 0.2352172  0.00237776]	[0.42646833 0.64285714 0.10998634]
22 	92   	[0.12178803 0.16830826 0.07334188]	[0. 0. 0.]	[0.14945343 0.25156434 0.01207972]	[0.42646833 0.64285714 0.66064785]
23 	92   	[0.13146006 0.18170132 0.09983466]	[0. 0. 0.]	[0.14456596 0.27403491 0.02036784]	[0.42646833 0.64285714 0.66064785]
24 	92   	[0.14262305 0.19086135 0.09983466]	[0. 0. 0.]	[0.14269714 0.29627181 0.02036784]	[0.42646833 0.64285714 0.66064785]
25 	92   	[0.15103498 0.19945623 0.09983466]	[0. 0. 0.]	[0.12241786 0.35309076 0.02036784]	[0.42646833 0.64285714 0.66064785]
26 	92   	[0.16342193 0.22283166 0.12022305]	[0. 0. 0.]	[0.11203773 0.36886757 0.02967741]	[0.42646833 0.64285714 0.66064785]
27 	92   	[0.17522664 0.23817997 0.13682059]	[0. 0. 0.]	[0.13562916 0.35563611 0.03685837]	[0.42646833 0.64285714 0.66064785]
28 	92   	[0.18210105 0.25385739 0.1385013 ]	[0. 0. 0.]	[0.17109027 0.32568489 0.04058187]	[0.42646833 0.64285714 0.66064785]
29 	92   	[0.18791565 0.27895423 0.15237474]	[0. 0. 0.]	[0.17298769 0.34488356 0.04967261]	[0.42646833 1.         0.66064785]
30 	92   	[0.17580161 0.26590107 0.18687978]	[0. 0. 0.]	[0.12899348 0.39778872 0.07544428]	[0.42646833 1.         0.66064785]
31 	92   	[0.16819927 0.24345669 0.18791047]	[0. 0. 0.]	[0.11901808 0.45273082 0.07522732]	[0.42646833 1.         0.66064785]
32 	92   	[0.15378369 0.25459728 0.22346668]	[0. 0. 0.]	[0.08609435 0.48818251 0.1079829 ]	[0.42646833 1.         0.66064785]
33 	92   	[0.15838887 0.25316606 0.24517889]	[0. 0. 0.]	[0.07568035 0.51387131 0.12307815]	[0.42646833 1.         0.66064785]
34 	92   	[0.17402559 0.27094468 0.25742151]	[0. 0. 0.]	[0.10420654 0.47894506 0.14583346]	[0.42646833 1.         0.66064785]
35 	92   	[0.18971036 0.28120287 0.26637032]	[0. 0. 0.]	[0.14066276 0.45013439 0.16294214]	[0.42646833 1.         0.66064785]
36 	92   	[0.19501241 0.29094705 0.27574345]	[0. 0. 0.]	[0.20612321 0.3990687  0.19298441]	[0.42646833 1.         0.66064785]
37 	92   	[0.19832457 0.32186601 0.30193869]	[0. 0. 0.]	[0.25125051 0.39667262 0.24363   ]	[0.42646833 1.         0.66064785]
38 	92   	[0.16968333 0.27637591 0.26665134]	[0. 0. 0.]	[0.31314592 0.51478963 0.14920396]	[0.42646833 1.         0.66064785]
39 	92   	[0.12646627 0.20186855 0.19039413]	[0. 0. 0.]	[0.37184459 0.59165299 0.07021346]	[0.42646833 1.         0.66064785]
40 	92   	[0.06595547 0.12961562 0.14135326]	[0. 0. 0.]	[0.40919229 0.64087306 0.0381688 ]	[0.42646833 1.         0.70002884]
41 	92   	[0.05346729 0.09521861 0.141     ]	[0.         0.31523551 0.        ]	[0.41536    0.65395565 0.03476483]	[0.42646833 1.         0.70002884]
42 	92   	[0.05346729 0.09521861 0.15515872]	[0.         0.31523551 0.        ]	[0.41536    0.65395565 0.04194579]	[0.42646833 1.         0.70002884]
43 	92   	[0.06863805 0.10351117 0.16782229]	[0.         0.31523551 0.        ]	[0.41072448 0.6559988  0.04912674]	[0.42646833 1.         0.70002884]
44 	92   	[0.08605736 0.13158636 0.20242428]	[0.        0.3129117 0.       ]   	[0.3988728  0.67550005 0.07463968]	[0.42646833 1.         0.70002884]
45 	92   	[0.13211621 0.15874684 0.25379221]	[0.        0.3129117 0.       ]   	[0.36183173 0.68841213 0.12844839]	[0.42646833 1.         0.70002884]
46 	92   	[0.16088198 0.17316898 0.30621521]	[0.        0.3129117 0.       ]   	[0.32407486 0.70782207 0.21070261]	[0.42646833 1.         0.92152892]
47 	92   	[0.16959188 0.20341722 0.32506059]	[0. 0. 0.]                        	[0.28063307 0.762451   0.26116478]	[0.42646833 1.         0.92152892]
48 	92   	[0.1695162  0.25288585 0.33429198]	[0. 0. 0.]                        	[0.28107902 0.75229863 0.31879835]	[0.42646833 1.         0.92152892]
49 	92   	[0.16593848 0.17789502 0.33726667]	[0.         0.64285714 0.        ]	[0.29391604 0.80590062 0.3003282 ]	[0.42646833 1.         0.92152892]
50 	92   	[0.15874241 0.17789502 0.33719405]	[0.         0.64285714 0.        ]	[0.30983439 0.80590062 0.28744079]	[0.42646833 1.         0.92152892]
51 	92   	[0.17349406 0.18975098 0.3473018 ]	[0. 0. 0.]                        	[0.32146887 0.76785714 0.37418771]	[0.42646833 1.         0.92152892]
52 	92   	[0.15575382 0.19587849 0.35048648]	[0. 0. 0.]                        	[0.34151967 0.79891304 0.33153004]	[0.42646833 1.         0.92152892]
53 	92   	[0.16397125 0.19725702 0.34833437]	[0. 0. 0.]                        	[0.33738721 0.79764527 0.37859461]	[0.42646833 1.         0.92152892]
54 	92   	[0.17120061 0.19628582 0.34577533]	[0. 0. 0.]                        	[0.34148683 0.80279503 0.40189776]	[0.63916341 1.         0.92152892]
55 	92   	[0.19125897 0.1846635  0.30856868]	[0. 0. 0.]                        	[0.30903816 0.75232919 0.50285918]	[0.63916341 1.         0.92152892]
56 	92   	[0.17100142 0.18738543 0.32323004]	[0. 0. 0.]                        	[0.34020219 0.76009317 0.47456341]	[0.63916341 1.         0.92152892]
57 	92   	[0.11701722 0.19080433 0.33544167]	[0. 0. 0.]                        	[0.39119296 0.77173913 0.45671232]	[0.63916341 1.         0.92152892]
58 	92   	[0.16776217 0.17104671 0.26072194]	[0. 0. 0.]                        	[0.34411059 0.71447981 0.58100583]	[0.63916341 1.         0.92152892]
59 	92   	[0.14766907 0.16215094 0.22511811]	[0. 0. 0.]                        	[0.36480862 0.69031955 0.62300998]	[0.63916341 1.         0.92152892]
60 	92   	[0.12029154 0.17793652 0.18402351]	[0. 0. 0.]                        	[0.38493712 0.66081644 0.65542558]	[0.63916341 1.         0.92152892]
61 	92   	[0.13133222 0.14929819 0.12221304]	[0. 0. 0.]                        	[0.37918302 0.65906955 0.68869728]	[0.63916341 1.         0.92152892]
62 	92   	[0.14748393 0.20456186 0.13075044]	[0. 0. 0.]                        	[0.36576348 0.63500123 0.70089604]	[0.63916341 1.         0.92152892]
63 	92   	[0.15679133 0.22163487 0.13414091]	[0. 0. 0.]                        	[0.35697947 0.63577762 0.70827958]	[0.63916341 1.         0.92152892]
64 	92   	[0.19137308 0.25189459 0.14154116]	[0. 0. 0.]                        	[0.30519109 0.61869688 0.73043022]	[0.63916341 1.         0.92152892]
65 	92   	[0.15698945 0.28055432 0.14744424]	[0. 0. 0.]                        	[0.35618186 0.60733696 0.73792039]	[0.63916341 1.         0.92152892]
66 	92   	[0.11408003 0.20755015 0.1772296 ]	[0. 0. 0.]                        	[0.39222838 0.67819345 0.71478415]	[0.63916341 1.         0.92152892]
67 	92   	[0.12287486 0.20024425 0.19411185]	[0. 0. 0.]                        	[0.39556504 0.692945   0.71498674]	[0.81770068 1.         0.92152892]
68 	92   	[0.06558749 0.21024181 0.20922112]	[0.2413853 0.        0.       ]   	[0.4249098  0.68886891 0.69717443]	[0.81770068 1.         0.92152892]
69 	92   	[0.06488636 0.2158889  0.2081886 ]	[0.29740135 0.         0.        ]	[0.43995518 0.7365152  0.68963017]	[0.81770068 1.         0.92152892]
70 	92   	[0.07727592 0.23388439 0.3286499 ]	[0.29740135 0.         0.        ]	[0.44974163 0.67305492 0.61066824]	[0.81770068 1.         0.92152892]
71 	92   	[0.08616276 0.27137816 0.32530902]	[0.29740135 0.         0.        ]	[0.45350711 0.62647107 0.64316758]	[0.81770068 1.         0.92152892]
72 	92   	[0.09392248 0.27324755 0.31941239]	[0.29740135 0.         0.        ]	[0.45873372 0.61171952 0.65232809]	[0.81770068 1.         0.92152892]
73 	92   	[0.10736718 0.25193571 0.3142956 ]	[0.29740135 0.         0.        ]	[0.46723877 0.61609186 0.66432426]	[0.81770068 1.         0.92152892]
74 	92   	[0.1324482  0.22555811 0.30414769]	[0.29740135 0.         0.        ]	[0.48996252 0.61474338 0.66454972]	[0.81770068 1.         0.92152892]
75 	92   	[0.14041936 0.18956199 0.28074714]	[0.29740135 0.         0.        ]	[0.49846757 0.62242563 0.69090781]	[0.81770068 1.         0.92152892]
76 	92   	[0.16013612 0.10971913 0.29657289]	[0.30828068 0.47368421 0.        ]	[0.53012519 0.65532037 0.67081939]	[0.81770068 1.         0.92152892]
77 	92   	[0.18740152 0.10635285 0.33471047]	[0.30828068 0.47368421 0.        ]	[0.57225467 0.65899804 0.63817833]	[0.81770068 1.         0.92152892]
78 	92   	[0.19233656 0.10806475 0.29844741]	[0.30828068 0.47368421 0.        ]	[0.54332979 0.6571592  0.7096207 ]	[0.81770068 1.         0.92152892]
79 	92   	[0.18974064 0.14335884 0.25804897]	[0.30828068 0.         0.        ]	[0.54523557 0.65997875 0.74246435]	[0.81770068 1.         0.92152892]
80 	92   	[0.18297393 0.16976644 0.23498381]	[0.30828068 0.         0.        ]	[0.53961038 0.6515201  0.76982595]	[0.81770068 1.         0.92152892]
81 	92   	[0.18657443 0.16090938 0.23648474]	[0.30828068 0.         0.        ]	[0.54811543 0.62696143 0.77621442]	[0.81770068 1.         0.92152892]
82 	92   	[0.1833083  0.124287   0.20741361]	[0.30828068 0.         0.        ]	[0.5509953  0.63889343 0.79699823]	[0.81770068 1.         0.92152892]
83 	92   	[0.18357879 0.08876152 0.17176379]	[0.30828068 0.         0.        ]	[0.55050826 0.63995587 0.81569695]	[0.81770068 1.         0.92152892]
84 	92   	[0.19454861 0.05208233 0.15306325]	[0.42646833 0.64285714 0.        ]	[0.62014388 0.65062112 0.78317861]	[0.81770068 1.         0.92152892]
85 	92   	[0.19454861 0.05208233 0.15306325]	[0.42646833 0.64285714 0.        ]	[0.62014388 0.65062112 0.78317861]	[0.81770068 1.         0.92152892]
86 	92   	[0.19454861 0.05208233 0.15306325]	[0.42646833 0.64285714 0.        ]	[0.62014388 0.65062112 0.78317861]	[0.81770068 1.         0.92152892]
87 	92   	[0.19454861 0.05208233 0.15306325]	[0.42646833 0.64285714 0.        ]	[0.62014388 0.65062112 0.78317861]	[0.81770068 1.         0.92152892]
88 	92   	[0.19454861 0.05208233 0.15306325]	[0.42646833 0.64285714 0.        ]	[0.62014388 0.65062112 0.78317861]	[0.81770068 1.         0.92152892]
89 	92   	[0.19454861 0.05208233 0.15306325]	[0.42646833 0.64285714 0.        ]	[0.62014388 0.65062112 0.78317861]	[0.81770068 1.         0.92152892]
