Matsuoka quadruped, body parameters:[7, 1, 7, 2, 8, 10, 6, 4, 2, 3, 7, 3, 4, 7, 9, 6, 9, 8, 5, 7, 5, 8, 1, 4, 5, 9, 7, 3, 9, 3, 3, 9, 10, 9, 1, 1, 9]
{'b': 0.06, 'gam': 0.06999999999999999, 'x0': 0.9, 'c': 2.5, 'a': 0.8}
Inter-module:
[[ 0.  -2.   0.  -1.2 -0.6  0. ]
 [-0.6  0.  -1.2 -0.4 -1.  -0.4]
 [ 0.  -0.8  0.   0.  -0.8 -1.4]
 [-1.2 -0.6  0.   0.  -2.   0. ]
 [-0.4 -1.  -0.4 -0.6  0.  -1.2]
 [ 0.  -0.8 -1.4  0.  -0.8  0. ]]
Intra-module:
[[ 0.  -0.2  1. ]
 [-1.8  0.   0.6]
 [-1.8  0.6  0. ]]
Bias:[1.3 1.7 1.3]
Drive coeff:[-0.7 -0.3  0.1]
Base period:0.27
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.01335327 0.03972543 0.01480534]	[0. 0. 0.]	[0.0013998  0.00774469 0.0021744 ]	[0.12878189 0.30600028 0.11722996]
1  	92   	[0.02329625 0.04150847 0.01480534]	[0. 0. 0.]	[0.00422024 0.00931759 0.0021744 ]	[0.15541686 0.30600028 0.11722996]
2  	92   	[0.03210526 0.04732679 0.02475554]	[0. 0. 0.]	[0.00839207 0.01380895 0.00518015]	[0.15541686 0.30600028 0.14095926]
3  	92   	[0.03792756 0.05840412 0.02475554]	[0. 0. 0.]	[0.01060308 0.01755145 0.00518015]	[0.20341342 0.34431044 0.14095926]
4  	92   	[0.03921704 0.06133922 0.02879821]	[0. 0. 0.]	[0.01177161 0.02173529 0.00678056]	[0.20341342 0.34431044 0.14723826]
5  	92   	[0.04026443 0.06296979 0.0354347 ]	[0. 0. 0.]	[0.01286614 0.02437338 0.00993242]	[0.20341342 0.34431044 0.17678662]
6  	92   	[0.0454749  0.07031629 0.04801469]	[0. 0. 0.]	[0.01621382 0.03051415 0.01475934]	[0.20341342 0.34431044 0.28891081]
7  	92   	[0.04928782 0.08416833 0.07871598]	[0. 0. 0.]	[0.01942552 0.04490387 0.02518679]	[0.20341342 0.37178912 0.59423425]
8  	92   	[0.05413433 0.11333395 0.10641612]	[0. 0. 0.]	[0.02320556 0.07248256 0.03715976]	[0.20341342 0.64285714 0.66064785]
9  	92   	[0.06567276 0.11204086 0.12508908]	[0. 0. 0.]	[0.03437297 0.09128853 0.04877023]	[0.21443517 0.64285714 0.66064785]
