Matsuoka quadruped, body parameters:[8, 1, 6, 1, 8, 10, 6, 7, 2, 4, 8, 4, 4, 7, 9, 6, 9, 8, 5, 7, 5, 8, 6, 6, 5, 10, 9, 3, 5, 3, 4, 2, 7, 8, 2, 3, 8]
{'b': 0.06, 'gam': 0.09000000000000001, 'x0': 1.0, 'c': 2.5, 'a': 1.2}
Inter-module:
[[ 0.  -1.   0.  -1.2 -0.6  0. ]
 [-0.6  0.  -1.2 -0.4 -1.  -0.4]
 [ 0.  -0.8  0.   0.  -0.8 -1.4]
 [-1.2 -0.6  0.   0.  -1.   0. ]
 [-0.4 -1.  -0.4 -0.6  0.  -1.2]
 [ 0.  -0.8 -1.4  0.  -0.8  0. ]]
Intra-module:
[[ 0.  -0.2  1. ]
 [-2.   0.   0.2]
 [-1.8  1.   0. ]]
Bias:[1.4 1.8 1.4]
Drive coeff:[-0.7  0.3  0.1]
Base period:0.2625
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.01257158 0.01353576 0.03686292]	[0. 0. 0.]	[0.00131786 0.00141893 0.00586965]	[0.12124313 0.13054182 0.32326705]
1  	92   	[0.01257158 0.01356024 0.03686292]	[0. 0. 0.]	[0.00131786 0.00152132 0.00586965]	[0.12124313 0.13054182 0.32326705]
2  	92   	[0.03296967 0.01356024 0.04648492]	[0. 0. 0.]	[0.00744185 0.00152132 0.0089035 ]	[0.22228428 0.13054182 0.32326705]
3  	92   	[0.03629958 0.02303863 0.04648492]	[0. 0. 0.]	[0.00987478 0.00349056 0.0089035 ]	[0.22228428 0.18117021 0.32326705]
4  	92   	[0.04061529 0.03589026 0.05801539]	[0. 0. 0.]	[0.01356513 0.00858221 0.01264148]	[0.22228428 0.18117021 0.34389464]
5  	92   	[0.0493891  0.06000365 0.05900853]	[0. 0. 0.]	[0.02185165 0.01792249 0.01391902]	[0.22228428 0.40487679 0.34389464]
6  	92   	[0.05798995 0.0842084  0.11097184]	[0. 0. 0.]	[0.03060231 0.02755827 0.02532177]	[0.25116944 0.54651251 0.91589843]
7  	92   	[0.06131033 0.09125592 0.11579675]	[0. 0. 0.]	[0.03721912 0.03855764 0.03425901]	[0.25116944 0.54651251 0.91589843]
8  	92   	[0.10458194 0.09684697 0.14572527]	[0. 0. 0.]	[0.06790059 0.04969188 0.06385856]	[0.8061871  0.54651251 0.91589843]
9  	92   	[0.13356743 0.09902929 0.15282294]	[0. 0. 0.]	[0.08204464 0.06061459 0.08647189]	[0.8061871  0.54651251 0.91589843]
