Matsuoka quadruped, body parameters:[6, 1, 6, 3, 8, 10, 7, 7, 2, 4, 8, 4, 4, 7, 9, 6, 9, 8, 5, 7, 5, 8, 1, 4, 8, 9, 9, 3, 1, 3, 3, 1, 7, 9, 2, 2, 9]
{'b': 0.06, 'gam': 0.09000000000000001, 'x0': 0.9, 'c': 4.0, 'a': 0.8}
Inter-module:
[[ 0.  -2.   0.  -1.2 -0.6  0. ]
 [-0.6  0.  -1.2 -0.4 -1.  -0.4]
 [ 0.  -0.8  0.   0.  -0.8 -1.4]
 [-1.2 -0.6  0.   0.  -2.   0. ]
 [-0.4 -1.  -0.4 -0.6  0.  -1.2]
 [ 0.  -0.8 -1.4  0.  -0.8  0. ]]
Intra-module:
[[ 0.  -0.2  1. ]
 [-1.6  0.   0.2]
 [-1.8  0.2  0. ]]
Bias:[1.4 1.8 1.4]
Drive coeff:[-0.7  0.3  0.3]
Base period:0.2625
gen	evals	std       	min       	avg       	max       
0  	92   	[0. 0. 0.]	[0. 0. 0.]	[0. 0. 0.]	[0. 0. 0.]
1  	92   	[0.0188628  0.04849695 0.        ]	[0. 0. 0.]	[0.00197736 0.00874562 0.        ]	[0.18191696 0.3374311  0.        ]
2  	92   	[0.0188628  0.06206842 0.        ]	[0. 0. 0.]	[0.00197736 0.01608662 0.        ]	[0.18191696 0.3374311  0.        ]
3  	92   	[0.0188628  0.06954932 0.01323921]	[0. 0. 0.]	[0.00197736 0.02110268 0.00138785]	[0.18191696 0.3374311  0.12768182]
4  	92   	[0.0188628  0.06994773 0.02248904]	[0. 0. 0.]	[0.00197736 0.02214975 0.00330885]	[0.18191696 0.3374311  0.17673213]
5  	92   	[0.0188628  0.08719092 0.03155055]	[0. 0. 0.]	[0.00197736 0.02925976 0.00566521]	[0.18191696 0.51276382 0.21678563]
6  	92   	[0.0188628  0.0963214  0.03512238]	[0. 0. 0.]	[0.00197736 0.04167355 0.00734637]	[0.18191696 0.51276382 0.21678563]
7  	92   	[0.09064402 0.10861138 0.05651608]	[0. 0. 0.]	[0.01895612 0.05721976 0.01206933]	[0.70848346 0.51276382 0.43451239]
8  	92   	[0.11967231 0.12972582 0.07113323]	[0. 0. 0.]	[0.03178354 0.08767978 0.02281733]	[0.70848346 0.51276382 0.43451239]
9  	92   	[0.14377031 0.17327766 0.08197224]	[0. 0. 0.]	[0.05247255 0.15634908 0.03256137]	[0.70848346 1.         0.43451239]
10 	92   	[0.19966089 0.19086166 0.09679613]	[0. 0. 0.]	[0.10147928 0.21066915 0.0521635 ]	[0.8061871  1.         0.43451239]
11 	92   	[0.21809908 0.20874632 0.10467247]	[0. 0. 0.]	[0.15617593 0.21150965 0.06897542]	[0.8061871  1.         0.43451239]
12 	92   	[0.24213172 0.24267026 0.1155588 ]	[0. 0. 0.]	[0.21575624 0.2606319  0.07879403]	[0.8061871  1.         0.43451239]
13 	92   	[0.26760929 0.26298283 0.15688119]	[0. 0. 0.]	[0.25924084 0.31830044 0.10291631]	[0.8061871  1.         0.91589843]
14 	92   	[0.29849963 0.27054059 0.16850373]	[0. 0. 0.]	[0.32113373 0.35102968 0.1134815 ]	[0.8061871  1.         0.91589843]
15 	92   	[0.31253981 0.25646242 0.19419846]	[0. 0. 0.]	[0.34848692 0.3912363  0.1370704 ]	[0.8061871  1.         0.91589843]
16 	92   	[0.31735144 0.23067554 0.21746874]	[0. 0. 0.]	[0.36444322 0.43809261 0.15030296]	[0.8061871  1.         0.91589843]
17 	92   	[0.3165347  0.23485588 0.22751437]	[0. 0. 0.]	[0.40729299 0.47907658 0.19147044]	[0.8061871  1.         0.91589843]
