Matsuoka quadruped, body parameters:
[4, 2, 2, 10, 3, 5, 3, 10, 8, 10, 10, 3, 2, 5, 9, 5, 2, 10, 9, 7, 1, 5, 8]
{'dt': 0.04, 'b': 0.08000000000000002, 'gam': 0.020000000000000004, 'x0': 0.2, 'c': 5.0, 'a': 0.6}
Inter-module:
 [[ 0.  -1.2 -0.2 -0.6]
 [-1.6  0.  -0.2 -0.2]
 [-0.2 -0.6  0.  -1.2]
 [-0.2 -0.2 -1.6  0. ]]
Intra-module:
 [[ 0.  -0.2  1.4]
 [-0.8  0.  -1.8]
 [-0.2  1.   0. ]]
Bias: [1.3 1.2 1.5]
Drive coeff: [ 0.7 -0.1 -0.7]
gen	evals	std                               	min                               	avg                               	max                               
0  	68   	[0.00537999 0.18176415 0.00172756]	[0.00124563 0.         0.        ]	[0.00792711 0.07651233 0.00412849]	[0.02544169 0.85491595 0.01088968]
1  	68   	[0.01338815 0.18979393 0.00159755]	[0.00215367 0.00162191 0.00319463]	[0.01005443 0.11334736 0.00471593]	[0.10922904 0.85491595 0.01103631]
2  	68   	[0.01424728 0.24684362 0.00214796]	[0.00250101 0.00162191 0.00276834]	[0.01153291 0.18211632 0.00533401]	[0.10922904 0.90127074 0.01130832]
3  	68   	[0.0483456  0.30252313 0.00255709]	[0.00250131 0.00162191 0.00319431]	[0.01955004 0.25560624 0.00598232]	[0.38965528 0.92178403 0.01130832]
4  	68   	[0.06255207 0.32523271 0.00298653]	[0.00235522 0.00414291 0.00319431]	[0.0268309  0.33657046 0.00678398]	[0.38965528 0.94974426 0.01655032]
5  	68   	[0.06441317 0.35348636 0.00289092]	[0.00235522 0.00414291 0.00357882]	[0.03370922 0.479226   0.00844451]	[0.38965528 0.97249372 0.01655032]
6  	68   	[0.08270663 0.35619805 0.00264106]	[0.00235522 0.00546577 0.00375528]	[0.04985316 0.53408332 0.00926585]	[0.38965528 0.97249372 0.01655032]
7  	68   	[0.08374269 0.36879327 0.00279619]	[0.00275345 0.00546577 0.00375528]	[0.05132004 0.56557436 0.00906598]	[0.38965528 0.97249372 0.01655032]
8  	68   	[0.09418307 0.37548684 0.0028226 ]	[0.00275345 0.00546577 0.00369372]	[0.05866006 0.54460381 0.00906268]	[0.42229996 0.97249372 0.01655032]
9  	68   	[0.11590484 0.37136771 0.007734  ]	[0.00275345 0.00546577 0.00375528]	[0.0811166  0.44861071 0.0103929 ]	[0.48219543 0.97249372 0.06975841]
