Matsuoka quadruped, body parameters:
[4, 1, 4, 4, 9, 4, 2, 8, 8, 4, 8, 1, 1, 7, 2, 5, 10, 9, 6, 3, 3, 5, 4]
{'dt': 0.04, 'b': 0.08000000000000002, 'gam': 0.010000000000000002, 'x0': 0.4, 'c': 2.0, 'a': 1.8}
Inter-module:
 [[ 0.  -1.4 -0.6 -0.6]
 [-1.8  0.  -1.4 -0.6]
 [-0.6 -0.6  0.  -1.4]
 [-1.4 -0.6 -1.8  0. ]]
Intra-module:
 [[ 0.  -0.4  0.2]
 [-1.6  0.  -1. ]
 [-0.2 -0.6  0. ]]
Bias: [1.1 1.1 1.7]
Drive coeff: [-0.7 -0.1  0.9]
gen	evals	std                               	min                               	avg                               	max                               
0  	68   	[0.02068707 0.05234304 0.02519527]	[0.00240256 0.00243933 0.00267709]	[0.00977454 0.01986679 0.01368407]	[0.13962998 0.40483368 0.13908536]
1  	68   	[0.02392741 0.07363233 0.03517624]	[0.00243085 0.00275221 0.00361738]	[0.01292373 0.0365507  0.02394789]	[0.13962998 0.40483368 0.14772297]
2  	68   	[0.03395318 0.14285678 0.0463858 ]	[0.00330137 0.00297042 0.00361738]	[0.01849999 0.07454865 0.0369674 ]	[0.21303278 0.94974426 0.14772297]
3  	68   	[0.041553   0.18608083 0.05786545]	[0.00330137 0.00297042 0.00543417]	[0.02611396 0.11703631 0.05323865]	[0.21303278 0.94974426 0.18882629]
4  	68   	[0.04999055 0.20368013 0.07189501]	[0.00366991 0.00297042 0.00281644]	[0.03225863 0.16456809 0.06334991]	[0.21570318 0.94974426 0.38335298]
5  	68   	[0.06102806 0.23206152 0.07604725]	[0.00371487 0.00297042 0.00281644]	[0.04245642 0.21009786 0.06531219]	[0.21570318 0.94974426 0.38335298]
6  	68   	[0.07040586 0.31871029 0.12902808]	[0.00363278 0.00297042 0.00281644]	[0.04398397 0.28930778 0.08882222]	[0.26754322 0.96153846 0.64504782]
7  	68   	[0.07660885 0.34099704 0.16244511]	[0.0036672  0.00396113 0.00281644]	[0.05545099 0.30042899 0.1125747 ]	[0.26754322 0.96153846 0.64935065]
8  	68   	[0.08190677 0.34146529 0.18240542]	[0.00494622 0.00396113 0.00281644]	[0.06644583 0.2809622  0.12957086]	[0.26754322 0.97249372 0.64935065]
9  	68   	[0.0879974  0.37393515 0.21311378]	[0.00494622 0.00396113 0.00281644]	[0.06894602 0.34841931 0.15503241]	[0.30247994 0.97249372 0.71101099]
