Matsuoka quadruped, body parameters:
[4, 1, 4, 4, 10, 9, 3, 10, 3, 5, 10, 4, 3, 9, 5, 4, 10, 9, 9, 7, 10, 2, 8]
{'dt': 0.04, 'b': 0.08000000000000002, 'gam': 0.010000000000000002, 'x0': 0.4, 'c': 2.0, 'a': 2.0}
Inter-module:
 [[ 0.  -0.4 -0.2 -1.6]
 [-1.6  0.  -1.2 -0.2]
 [-0.2 -1.6  0.  -0.4]
 [-1.2 -0.2 -1.6  0. ]]
Intra-module:
 [[ 0.  -0.4  1.4]
 [-0.8  0.   1.8]
 [-1.4  1.   0. ]]
Bias: [1.4 1.3 1.9]
Drive coeff: [-0.1 -0.3  0.9]
gen	evals	std                               	min                               	avg                               	max                               
0  	68   	[0.00321742 0.02384575 0.00442706]	[0.00132174 0.00111454 0.00103095]	[0.00480708 0.008466   0.00569028]	[0.01562421 0.20004078 0.0246669 ]
1  	68   	[0.00319556 0.11551837 0.00573732]	[0.00199236 0.0025061  0.00175133]	[0.0060716  0.02436511 0.00819759]	[0.01562421 0.94974426 0.03634215]
2  	68   	[0.00381923 0.18924914 0.00569831]	[0.00242797 0.00218558 0.00255455]	[0.00804862 0.05182492 0.00939759]	[0.01562421 0.96153846 0.03634215]
3  	68   	[0.00393886 0.2409422  0.00664581]	[0.00242797 0.00272676 0.00308406]	[0.0090219  0.08640244 0.01073512]	[0.01597273 0.96651881 0.03634215]
4  	68   	[0.00394233 0.28073819 0.00674819]	[0.00242797 0.00272676 0.00308406]	[0.0097388  0.12337914 0.01178406]	[0.01716792 0.96651881 0.03634215]
5  	68   	[0.00419433 0.33934275 0.01018948]	[0.00242797 0.00291729 0.00275328]	[0.01007435 0.18445062 0.0143098 ]	[0.01794908 0.96651881 0.07558163]
6  	68   	[0.00433082 0.36521399 0.01031206]	[0.00242797 0.00291729 0.00275328]	[0.01068354 0.21049077 0.01485566]	[0.01794908 0.96651881 0.07558163]
7  	68   	[0.00469172 0.39758613 0.02225588]	[0.00242797 0.00291729 0.00275328]	[0.01050477 0.26359105 0.01840409]	[0.02180122 0.96651881 0.18111827]
8  	68   	[0.00515532 0.44521356 0.0226902 ]	[0.00242797 0.00344149 0.00385262]	[0.01138049 0.39150948 0.01992884]	[0.02874633 0.96651881 0.18111827]
9  	68   	[0.00796581 0.45455474 0.06069909]	[0.00242797 0.00344149 0.00385262]	[0.01232905 0.45763942 0.0273542 ]	[0.05971338 0.97249372 0.48701299]
