Matsuoka quadruped, body parameters:
[4, 1, 4, 4, 10, 4, 2, 8, 1, 10, 4, 1, 1, 7, 4, 3, 9, 2, 6, 5, 1, 5, 4]
{'dt': 0.04, 'b': 0.08000000000000002, 'gam': 0.010000000000000002, 'x0': 0.4, 'c': 2.0, 'a': 2.0}
Inter-module:
 [[ 0.  -1.4 -0.6 -2. ]
 [-1.8  0.  -0.2 -1.4]
 [-0.6 -2.   0.  -1.4]
 [-0.2 -1.4 -1.8  0. ]]
Intra-module:
 [[ 0.  -1.8  0.2]
 [-1.2  0.  -1.8]
 [-0.2 -0.6  0. ]]
Bias: [1.1 1.1 1.7]
Drive coeff: [-0.3 -0.5  0.7]
gen	evals	std                               	min                               	avg                               	max                               
0  	68   	[0.00546302 0.02849556 0.01925753]	[0.00226495 0.00178264 0.00231975]	[0.0065843  0.01312242 0.01123486]	[0.03022785 0.16063924 0.10271677]
1  	68   	[0.01927195 0.11970699 0.03391046]	[0.00248475 0.00208708 0.00317939]	[0.01177473 0.03819325 0.02212566]	[0.11830297 0.96651881 0.16320726]
2  	68   	[0.02585422 0.12115987 0.05160287]	[0.00248475 0.00208708 0.00317939]	[0.01603135 0.04897582 0.04433576]	[0.13049617 0.96651881 0.17447031]
3  	68   	[0.04141885 0.16130158 0.05493577]	[0.00248475 0.00208708 0.00399691]	[0.02857243 0.07899735 0.05073894]	[0.16500873 0.96651881 0.17447031]
4  	68   	[0.0447336  0.16038862 0.06339664]	[0.00248475 0.00208708 0.00315336]	[0.03415196 0.09089316 0.0603141 ]	[0.16500873 0.96651881 0.20822956]
5  	68   	[0.04917866 0.20578384 0.06466059]	[0.0030449  0.00208708 0.00315336]	[0.04119861 0.11499634 0.07189621]	[0.16500873 0.96651881 0.20822956]
6  	68   	[0.06144132 0.23436589 0.07287271]	[0.0030449  0.00247621 0.00315336]	[0.0510921  0.14916839 0.07651161]	[0.29951888 0.96651881 0.23214096]
7  	68   	[0.06521146 0.28167952 0.07530583]	[0.00301425 0.00247621 0.00538313]	[0.05218949 0.21588177 0.07073493]	[0.29951888 0.96651881 0.23214096]
8  	68   	[0.06621192 0.32962357 0.07793031]	[0.00301425 0.00424675 0.00368086]	[0.05496317 0.26658275 0.07028784]	[0.29951888 0.96651881 0.26044146]
9  	68   	[0.06609682 0.36643259 0.10167919]	[0.00301425 0.00424675 0.00368086]	[0.05387722 0.33335289 0.06918888]	[0.29951888 0.96651881 0.64029387]
