gen	evals	std                                          	min                                              	avg                                              	max                                          
0  	168  	[0.43399226 0.84110971 0.12003178 0.98259769]	[-0.96268079 -7.53216837 -0.98637103 -0.23363795]	[ 0.05694728  0.03959786 -0.00617237  1.36888771]	[1.26097272 2.91577254 0.47072933 6.27482219]
1  	168  	[0.39013973 1.19756141 0.17485494 1.17635344]	[-0.96268079 -7.66752309 -1.04364768  0.17602887]	[ 0.21653911  0.06750534 -0.00629001  1.93673468]	[1.26097272 2.91577254 0.67821409 6.38728881]
2  	168  	[0.32568687 1.72010716 0.2330829  1.39836088]	[-0.96268079 -8.03984729 -1.1830041   0.44369731]	[ 3.28493832e-01 -7.64890205e-05 -2.61840000e-02  2.47500301e+00]	[1.26097272 2.91577254 0.67821409 6.3898015 ]
3  	168  	[0.44025883 5.9023975  0.3647118  1.82431228]	[ -0.96268079 -71.54100035  -2.84818248   0.819122  ]	[ 0.2367211  -0.00876115 -0.03557886  3.70169149]                	[2.45196794 2.91577254 0.67821409 6.51856686]
4  	168  	[0.46611756 5.99439047 0.64556752 1.72358464]	[ -0.16415461 -71.54100035  -6.94344234   0.81962469]	[ 0.31963832 -0.04696861 -0.09168973  3.77826188]                	[3.28322691 2.91577254 0.79374512 6.51856686]
5  	168  	[0.50014164 6.16501325 0.71261085 1.67941857]	[ -1.42443371 -71.54100035  -6.94344234   0.64272743]	[ 0.41649582 -0.37770669 -0.1112241   3.33976233]                	[3.28322691 5.67247892 1.75429026 6.52485986]
6  	168  	[0.60152884 6.79453874 0.84290233 1.65416222]	[ -1.42443371 -71.54100035  -6.94344234   0.84623541]	[ 0.49660611 -0.88158973 -0.175803    3.27778067]                	[3.28322691 5.67247892 1.75429026 6.52485986]
7  	168  	[ 0.89428776 10.20962095  1.26625629  1.50629779]	[ -1.42443371 -71.54100035  -7.50460816   1.11469776]	[ 0.75847846 -3.62392001 -0.54620645  3.50429612]                	[4.03818958 5.67247892 1.75429026 6.518719  ]
8  	168  	[ 1.03447923 10.85162453  1.45091436  1.53115892]	[ -2.05378412 -71.54100035  -7.50460816   1.1056354 ]	[ 0.76809157 -3.67025928 -0.52208978  3.33542559]                	[4.03818958 5.91156599 1.75429026 6.52304683]
9  	168  	[1.12443605 8.58817447 1.26122105 1.51108673]    	[ -3.95959875 -71.54100035  -6.94344234   1.11469776]	[ 0.77027116 -3.08544578 -0.47955681  3.29271758]                	[4.506817   5.91156599 2.50885736 6.5306701 ]
10 	168  	[1.15734692 8.59654407 1.25394893 1.53291908]    	[ -3.95959875 -71.54100035  -6.94344234   0.98965291]	[ 0.69894719 -2.72337581 -0.43375161  3.33944083]                	[4.506817   5.91156599 2.50885736 6.53058627]
11 	168  	[1.26018615 8.75404572 1.34506144 1.66339049]    	[ -3.95959875 -71.54100035  -6.94344234   0.98965291]	[ 0.64829454 -2.2825894  -0.32181325  3.61910016]                	[4.75053335 5.91156599 2.62140516 6.53058627]
