gen	evals	std                                          	min                                              	avg                                                          	max                                          
0  	168  	[0.43977682 0.83813321 0.14387607 1.12570282]	[-1.03076652 -7.5188313  -1.36256939  0.02677054]	[5.40738355e-02 1.21422715e-01 3.04770275e-04 1.52836536e+00]	[1.30801598 3.3819717  0.86538992 6.9515895 ]
1  	168  	[0.37182183 1.03600779 0.15711102 1.36848925]	[-1.03076652 -7.5188313  -1.36256939 -0.03209219]	[0.25672944 0.273894   0.00874384 1.98052295]                	[1.30801598 3.3819717  0.86538992 6.9515895 ]
2  	168  	[0.35860044 1.15258927 0.20792041 1.53552005]	[-1.03076652 -7.5188313  -1.36256939  0.26990926]	[0.2835335  0.43152031 0.03064474 2.53224642]                	[1.30801598 5.32951943 1.49692964 6.95200041]
3  	168  	[0.34965788 1.44090949 0.26011525 1.89408278]	[-1.03076652 -7.5188313  -1.36256939  0.74431386]	[0.2276055  0.65798101 0.03364529 3.53258713]                	[1.30801598 5.32951943 1.49692964 6.95200041]
4  	168  	[0.43698639 1.93642546 0.34771127 1.88822854]	[-1.18199591 -7.5188313  -1.36256939  0.93355313]	[0.16643007 0.61931129 0.04157122 3.48735535]                	[1.30801598 5.32951943 1.49692964 6.95725494]
5  	168  	[0.47187665 2.48550627 0.43044984 1.88375418]	[ -0.95590305 -10.47370363  -1.36256939   0.93355313]	[ 0.20101947  0.22815425 -0.0048873   3.71661673]            	[1.38211135 5.32951943 1.49692964 6.95725494]
6  	168  	[0.4683661  2.41237971 0.46179114 1.71853394]	[ -0.91231577 -10.47370363  -1.13529843   1.38210344]	[0.21150499 0.73296532 0.09282018 3.61063943]                	[1.38211135 5.32951943 1.49692964 6.95200194]
7  	168  	[0.51522961 2.44361262 0.51308704 1.66220101]	[ -1.47201009 -11.4518627   -1.5803508    1.65315604]	[0.18254676 0.96724039 0.14982842 3.61664229]                	[1.85924673 5.9067679  1.86382264 6.97697049]
8  	168  	[0.5109208  2.2793554  0.5037166  1.58802247]	[ -2.18678806 -11.4518627   -1.5803508    1.6846933 ]	[0.15916717 0.89921281 0.08811625 4.23804114]                	[1.85924673 6.07631736 2.50440725 6.97697049]
9  	168  	[0.76192793 3.83745977 0.75355179 1.61242299]	[ -2.18678806 -11.4518627   -1.5803508    1.1306329 ]	[0.25526193 0.38320107 0.12285264 3.44297708]                	[1.87986866 6.20178612 2.60910194 6.95306807]
