gen	evals	std                                          	min                                              	avg                                          	max                                          
0  	168  	[0.44375996 0.60837612 0.09930915 0.86690286]	[-2.03750723 -2.02860784 -0.35424351 -0.27700446]	[0.03888559 0.1072805  0.005855   1.26126864]	[0.70104756 2.82669789 0.70474453 6.5195812 ]
1  	168  	[0.40397867 1.11421517 0.16313256 1.1351319 ]	[ -2.03750723 -11.74836434  -1.6957403    0.26968344]	[0.2024908  0.17056837 0.01120889 1.75100064]	[0.84729077 2.82669789 0.70474453 6.5195812 ]
2  	168  	[0.32114371 1.34248096 0.21307486 1.30403197]	[ -2.03750723 -11.74836434  -1.6957403    0.35617022]	[0.31022563 0.21437943 0.01272066 2.29480386]	[0.89621606 2.82669789 0.70474453 6.81647271]
3  	168  	[0.34651136 1.72512425 0.27306433 1.53224459]	[ -2.03750723 -11.74836434  -1.6957403    0.99210092]	[0.25910141 0.4587178  0.01753474 3.02449181]	[1.41090243 4.89158517 1.28270421 6.81647271]
4  	168  	[0.37572113 1.81025775 0.29919633 1.82130765]	[ -2.03750723 -11.74836434  -1.6957403    0.99210092]	[0.25447731 0.44629808 0.0164647  3.49741646]	[1.41090243 4.89158517 1.28270421 6.81647271]
5  	168  	[0.61999029 2.32764322 0.41783093 1.73405325]	[ -4.52068665 -15.00170597  -2.41701618   0.99210092]	[0.20573914 0.45865685 0.01990655 3.21269695]	[2.38700989 5.58875476 1.52865661 6.81647271]
6  	168  	[0.71405799 2.9428317  0.74684469 1.86983559]	[ -5.25026721 -15.00170597  -4.83851216   1.35013273]	[ 0.23684079  0.16646406 -0.01132054  3.7315079 ]	[2.38700989 5.61773522 3.77450706 6.82998648]
7  	168  	[1.02031184 5.14049677 1.16146736 1.84055494]	[ -5.25026721 -28.17299886  -4.83851216   1.35485161]	[ 0.25407683 -0.60166269 -0.04829512  3.81429959]	[3.67258239 5.61773522 3.77450706 6.82998648]
8  	168  	[1.29360027 6.95595253 1.56266379 1.7316753 ]	[ -4.2388091  -34.34954765  -5.2874484    1.08334505]	[ 0.31828965 -1.34476245 -0.15751927  3.47527927]	[4.46826703 5.92148465 4.22088283 6.82998648]
9  	168  	[1.46703636 7.01380879 1.36707674 1.71415117]	[ -4.2388091  -34.34954765  -5.2874484    1.08334505]	[ 0.44092816 -1.51725351 -0.03847972  3.42241496]	[4.46826703 5.92148465 4.22088283 6.82998648]
10 	168  	[1.71308951 6.27082698 1.4802532  1.70355127]	[ -4.2388091  -34.34954765  -5.2874484    1.08334505]	[ 0.31221302 -1.28612091  0.21786863  3.24984074]	[4.46826703 5.92148465 4.22088283 6.82998648]
11 	168  	[1.71864328 6.9790769  1.52021932 1.64705892]	[ -4.2388091  -34.34954765  -5.2874484    0.74904786]	[ 0.48962682 -1.65818951  0.10552836  3.15936818]	[4.46826703 6.22579096 4.22088283 6.83006555]
12 	168  	[1.94906447 6.96220031 1.67496581 1.63584995]	[ -4.2388091  -34.34954765  -5.2874484    0.95437905]	[ 0.34099629 -1.2166443   0.1733524   3.11622402]	[4.46826703 6.22579096 4.22088283 6.83006555]
13 	168  	[2.01606696 7.42591668 1.72877249 1.62416437]	[ -4.2388091  -34.34954765  -5.2874484    0.14992429]	[ 0.43956193 -1.87055903  0.15241949  3.03941409]	[4.46826703 6.16445089 4.22088283 6.83006601]
14 	168  	[2.09621945 8.41074884 1.77196341 1.60821152]	[ -4.88833806 -36.15965664  -5.2874484    0.14992429]	[ 0.49549545 -2.11924389  0.02748584  3.19280712]	[4.46826703 6.16445089 4.22088283 6.83157197]
15 	168  	[ 2.04370722 12.00962681  1.9645695   1.49142158]	[ -4.88833806 -49.9680813   -5.2874484    0.14992429]	[ 0.9205885  -4.34149326 -0.29588335  3.15919704]	[4.46826703 5.98194299 4.24745949 6.83157197]
16 	168  	[ 2.3010438  11.53384706  2.01498332  1.47394027]	[ -4.94876663 -49.9680813   -5.5595221    0.14992429]	[ 0.67718912 -3.96383551 -0.2963516   3.17156804]	[4.46826703 5.95582172 4.24745949 6.83157197]
17 	168  	[ 2.04451872 11.42820587  2.02294869  1.57262387]	[ -4.80942832 -49.9680813   -5.5595221    0.71956593]	[ 0.82822842 -3.18983099 -0.13650109  3.46052605]	[4.75144278 6.19599271 5.13698143 6.83157197]
18 	168  	[ 2.01823673 11.45518795  1.93002674  1.66542328]	[ -4.80942832 -49.9680813   -5.5595221    0.71956593]	[ 0.71015889 -3.37721272 -0.05081192  3.89575433]	[4.75144278 6.19599271 5.13698143 6.83157197]
19 	168  	[ 1.89116387 11.84381791  1.91731026  1.62379204]	[ -4.80942832 -49.9680813   -5.7449213    0.71956593]	[ 0.72634565 -3.17786372  0.00794536  4.38748326]	[4.77942522 6.19599271 5.13698143 6.83157197]
20 	168  	[ 2.05639939 14.83674945  2.2693633   1.46921946]	[ -3.01698959 -49.9680813   -5.5595221    0.71956593]	[ 0.96532429 -5.26276015 -0.18043576  4.60377047]	[4.75144278 6.19599271 5.74167787 6.95234815]
21 	168  	[2.23166225 7.01306517 1.73821339 1.64159647]    	[ -3.01698959 -27.94914429  -3.15843601   0.71956593]	[ 0.92234487 -0.30354407  0.75585413  4.37537615]	[5.06019662 6.22998641 5.74167787 6.95234815]
22 	168  	[2.33377691 8.28446395 1.95150522 1.56773379]    	[ -3.01698959 -22.45263397  -3.1568821    0.71956593]	[ 1.39717884 -1.19865426  0.80014595  4.22207057]	[5.06019662 6.19599271 5.75850023 6.96551895]
23 	168  	[2.29547103 9.12060903 2.14788258 1.50284043]    	[ -2.77274987 -22.90642278  -3.1568821    0.8062484 ]	[ 2.07852488 -2.64234844  0.65106347  4.33462033]	[5.99240531 6.19599271 7.35217426 6.96551895]
24 	168  	[2.42120911 9.44849226 2.19014596 1.55937676]    	[ -3.55094384 -34.92204492  -3.1568821    0.8062484 ]	[ 2.11747082 -2.11293805  0.85133256  4.26004738]	[5.99240531 6.19599271 7.35217426 6.96783501]
25 	168  	[2.35381294 7.24129483 2.29533728 1.51265824]    	[ -3.55094384 -34.92204492  -2.38472318   1.14740424]	[ 2.02032035 -0.23829412  1.04142008  4.64849723]	[5.99240531 6.19599271 7.35217426 6.96783501]
26 	168  	[2.33935479 7.32548245 2.19728177 1.51834495]    	[ -2.87681044 -34.92204492  -2.38472318   1.14740424]	[ 2.03749181 -1.13330008  0.73671948  4.92588962]	[6.50772917 6.23263147 7.35217426 6.96814296]
