gen	evals	std                                          	min                                              	avg                                              	max                                          
0  	168  	[0.21540561 0.39127941 0.05082491 1.62749896]	[-0.39326307 -3.78601644 -0.52534782 -2.15314662]	[ 0.06125381  0.05121486 -0.00109559  0.49798574]	[0.35648293 1.44032786 0.22224701 6.76710899]
1  	168  	[0.19906978 0.60162264 0.06610839 1.63124924]	[-0.3933166  -3.9849916  -0.52534782 -1.55656867]	[0.1223115  0.11872554 0.00445767 1.44248201]    	[0.46207887 3.68411836 0.44590071 6.76710899]
2  	168  	[0.20169262 0.67026132 0.12507217 1.78312404]	[-0.32422563 -4.36911077 -1.32933306 -1.55656867]	[0.09302171 0.23977264 0.00983747 2.67238909]    	[0.83556109 3.68411836 0.44590071 6.76710899]
3  	168  	[0.19579077 0.78518337 0.14455253 1.92262486]	[-0.75250088 -4.36911077 -1.32933306 -1.82982883]	[0.11593253 0.2840088  0.00792233 3.10973663]    	[0.83556109 3.68411836 0.44590071 7.48997895]
4  	168  	[0.25045296 1.0969441  0.25571714 1.87280504]	[-1.39647063 -6.02389114 -1.37199296 -1.46047436]	[0.14677223 0.35417951 0.03239987 3.31528173]    	[0.96638714 6.02126113 1.71851057 7.49233549]
5  	168  	[0.29888407 1.23669593 0.27438039 2.15169721]	[-1.39647063 -5.61469511 -1.32933306 -1.46336361]	[0.17092457 0.41419158 0.04372851 3.57034984]    	[1.13216409 6.02126113 1.71851057 7.49233549]
6  	168  	[0.30800285 1.47041232 0.32083364 2.37446945]	[-1.39647063 -7.3000569  -1.32933306 -1.46336361]	[0.17487443 0.34848808 0.03969978 4.02124464]    	[1.13216409 6.02126113 1.71851057 7.49432294]
7  	168  	[0.36509983 1.72869847 0.40735925 2.72779031]	[-1.39647063 -7.3000569  -2.31877964 -1.46336361]	[0.14452318 0.40284782 0.01481942 4.49311609]    	[1.13216409 6.02126113 1.71851057 7.49432294]
8  	168  	[0.47876761 2.04266939 0.63098698 2.21920547]	[-1.39647063 -9.97513326 -5.49685468 -1.46047436]	[ 0.1432206   0.28967784 -0.02594769  5.33241226]	[3.61901486 6.02126113 1.71851057 7.49432294]
9  	168  	[0.48231409 1.95489135 0.57243235 1.80768974]	[-1.39647063 -9.97513326 -5.49685468  1.31571823]	[0.15693918 0.75060511 0.0751461  5.27495781]    	[3.61901486 6.02126113 1.71851057 7.49432294]
10 	168  	[0.60492682 3.21603359 0.68823417 1.63830761]	[ -1.39647063 -30.13064423  -5.49685468   1.54915607]	[0.23862157 0.68722638 0.08959908 4.75237979]    	[3.61901486 6.02126113 2.11663277 7.49128424]
11 	168  	[0.7398288  4.39377236 0.91232733 1.57231666]	[ -1.83902193 -37.01849067  -5.49685468   1.81203279]	[0.29412427 0.32066944 0.00692134 4.79134339]    	[3.61901486 6.12508429 2.11663277 7.49128424]
12 	168  	[0.8311221  4.55516927 0.9556346  1.68359309]	[ -1.83902193 -37.01849067  -5.49685468   1.81203279]	[0.2000126  0.81777596 0.17890558 4.84414457]    	[3.61901486 6.12508429 2.11663277 7.49287619]
13 	168  	[0.9102357  6.34372298 1.07517286 1.75641327]	[ -1.83902193 -43.40405389  -5.49685468   1.81203279]	[0.271885   0.21821458 0.15639656 5.09864423]    	[3.61901486 6.12508429 2.19540489 7.49287619]
14 	168  	[0.99482929 5.5650152  1.16131    1.6516733 ]	[ -1.83902193 -32.39075053  -5.49685468   1.81203279]	[0.23663787 0.89228148 0.34946465 4.76399383]    	[3.61901486 6.12508429 2.19540489 7.48937074]
15 	168  	[1.05957485 6.38510077 1.16213723 1.77756801]	[ -2.60751209 -63.9531214   -5.49685468   1.81203279]	[0.18611842 1.07203481 0.42920137 4.91515445]    	[4.37603034 6.12508429 5.18287231 7.49606439]
16 	168  	[1.07465535 6.8643775  1.17322996 1.6985208 ]	[ -2.60751209 -63.9531214   -5.49685468   1.81203279]	[0.31901885 0.46767524 0.3629902  5.17351524]    	[4.37603034 6.15635194 5.18287231 7.49606439]
17 	168  	[1.12156788 7.01292385 1.19759947 1.72771533]	[ -2.61198371 -63.9531214   -5.49685468   1.02039681]	[0.32784321 0.0480533  0.39311474 5.37968026]    	[4.37603034 6.15635194 5.18287231 7.49606439]
18 	168  	[1.09241489 4.92920734 1.23976127 1.39793292]	[ -1.86322282 -30.70898244  -6.68969598   1.51886536]	[0.15154212 1.91649343 0.78251941 5.43573456]    	[4.42821104 6.15635194 5.18287231 7.49537235]
19 	168  	[1.23424187 4.52687232 1.30640089 1.36628711]	[ -1.86322282 -29.85548284  -6.68969598   2.17607973]	[0.47426002 1.66369646 0.79503896 5.33233964]    	[4.42821104 6.15635194 5.18287231 7.50061781]
20 	168  	[1.30491028 4.76414873 1.32653095 1.41364558]	[ -1.86322282 -29.85548284  -6.68969598   2.17607973]	[0.61375191 1.32202935 0.78496173 5.46734001]    	[4.42821104 6.16796819 5.18287231 7.50061781]
21 	168  	[1.37809951 5.79606007 1.43416695 1.37498961]	[ -1.86322282 -29.85548284  -6.68969598   2.17607973]	[0.6815973  0.874061   0.77275833 5.44821754]    	[4.42821104 6.16796819 5.18287231 7.50061781]
22 	168  	[1.39345413 5.7816195  1.4592021  1.29269749]	[ -1.39647063 -29.85548284  -6.68969598   2.17607973]	[0.79680243 0.7047256  0.61696556 5.59948078]    	[4.42821104 6.22851132 5.18287231 7.48864032]
23 	168  	[1.44118572 5.57673966 1.54338582 1.2412721 ]	[ -1.80870272 -29.85548284  -6.68969598   1.85414389]	[0.87672158 0.58081295 0.54957204 5.61430416]    	[4.42821104 6.22851132 5.18287231 7.48004732]
24 	168  	[1.55180217 8.85709774 1.67922978 1.29393423]	[ -1.80870272 -35.97431647  -6.68969598   1.85414389]	[ 0.93802072 -0.82352038  0.43702098  5.59934315]	[4.42821104 6.22851132 5.18287231 7.48004732]
