gen	evals	std                                          	min                                              	avg                                          	max                                          
0  	168  	[0.20947211 0.21910625 0.02293171 1.35517208]	[-0.3969342  -0.47053676 -0.08915283 -1.95707283]	[0.06960007 0.07124942 0.00182643 0.27196405]	[0.3897575  1.77497014 0.17874717 5.87834073]
1  	168  	[0.19565897 0.31585043 0.03151361 1.42350961]	[-0.3969342  -1.4370981  -0.30312829 -1.16542384]	[0.12256863 0.12854479 0.0036489  1.03018466]	[0.3897575  1.77497014 0.17874717 6.82111192]
2  	168  	[0.17328316 0.3910134  0.05512664 1.80431136]	[-0.53117225 -1.4370981  -0.34721734 -0.85392804]	[0.13546052 0.21095151 0.00733105 1.7613494 ]	[0.3897575  1.85927282 0.23695677 6.82111192]
3  	168  	[0.16373953 0.41949039 0.06546568 1.94674533]	[-0.53117225 -1.4370981  -0.30312829 -0.60971154]	[0.12155114 0.31435203 0.01344705 2.75864697]	[0.42689009 2.2779412  0.40747971 7.01063729]
4  	168  	[0.18085281 0.46060806 0.07779913 2.06782752]	[-0.53117225 -1.73434287 -0.32472898 -1.83730452]	[0.11007739 0.34669016 0.01894253 3.31314713]	[0.64738137 2.2779412  0.40747971 7.01063729]
5  	168  	[0.20047165 0.48677523 0.08064815 2.0173203 ]	[-0.53117225 -1.73434287 -0.32472898 -0.60971154]	[0.11174093 0.40730259 0.02967518 3.18905508]	[0.64738137 2.2779412  0.40747971 7.01063729]
6  	168  	[0.22543189 0.62792881 0.09697616 1.7836735 ]	[-0.53117225 -1.73434287 -0.32472898 -0.60971154]	[0.09965964 0.51943757 0.03136366 3.32292481]	[0.64738137 2.2779412  0.40747971 7.00786253]
7  	168  	[0.28239844 0.68917326 0.13000977 1.90585655]	[-1.34928082 -1.73434287 -0.32472898 -0.60971154]	[0.03940849 0.59622304 0.06306406 3.47133907]	[0.64738137 2.2779412  0.40747971 7.00843183]
8  	168  	[0.29155296 1.56191671 0.21832417 1.89168581]	[ -1.34928082 -17.27084556  -1.98466455  -0.60971154]	[0.08051018 0.43624884 0.04264615 4.16625224]	[1.17926821 2.85698448 0.65730632 7.00979366]
9  	168  	[0.41373629 2.31469985 0.30889149 1.96382724]	[ -1.34928082 -20.65962408  -2.66020907  -0.60971154]	[0.07364204 0.37364636 0.0546635  3.84675373]	[2.16074804 2.85698448 0.65730632 7.00979366]
10 	168  	[0.43850412 2.42895445 0.32867119 1.76327875]	[ -1.29677176 -20.65962408  -2.66020907  -0.60971154]	[0.12087362 0.45649125 0.04686287 3.86012993]	[2.16074804 3.10504763 0.65730632 7.00998579]
11 	168  	[0.55073987 3.81861425 0.57424474 1.75028184]	[ -1.54458763 -20.65962408  -3.16600942  -0.60971154]	[ 0.06439297 -0.01647806  0.0132901   4.16418124]	[2.3119093  3.79007861 0.80494178 7.00979366]
12 	168  	[0.65199197 1.92020758 0.44601994 1.93663764]	[ -1.37850824 -12.87185798  -3.16600942  -0.60971154]	[0.03763826 0.56473068 0.09873185 4.15850909]    	[3.36461664 3.92211838 3.31576463 7.49075496]
13 	168  	[0.67380459 3.16920246 0.73453715 2.00937642]	[ -2.91638651 -22.77193726  -4.72640911  -0.79962989]	[0.17683708 0.10284801 0.03469227 4.71853878]    	[3.40044408 5.68361258 4.5537469  7.49151592]
14 	168  	[0.63702402 2.464508   0.65516777 1.61985021]	[ -1.89946252 -22.77193726  -3.16600942  -0.60971154]	[0.22059096 0.35683352 0.05424883 5.59275735]    	[3.64644577 5.83553475 4.5537469  7.49482329]
15 	168  	[0.78530755 2.90673527 0.87932351 1.93914718]	[ -1.89946252 -22.77193726  -3.16600942   1.92951501]	[0.41117528 0.45316876 0.04533361 4.84992571]    	[3.64644577 6.03549774 4.5537469  7.49551965]
16 	168  	[0.89085095 3.37115947 1.03875146 1.65443693]	[ -1.90867814 -22.77193726  -3.16600942   1.92951501]	[0.29916121 0.32449907 0.11938832 5.73206222]    	[3.64644577 6.15150012 4.5537469  7.49738144]
17 	168  	[ 1.08869638 11.62189027  1.33383114  1.19329592]	[  -1.89946252 -131.50506696  -10.66568676    2.16990579]	[ 0.35386165 -0.87830934  0.03034549  6.48109394]	[5.70303166 6.15150012 4.5537469  7.50105542]
18 	168  	[ 1.20357681 11.71681104  1.48703807  1.04002073]	[  -1.89946252 -131.50506696  -10.66568676    2.16990579]	[ 0.40921679 -0.07490442  0.37703484  6.02921385]	[5.70303166 6.20003302 4.5537469  7.50105542]
19 	168  	[ 1.66967455 14.44852134  1.97801779  1.11879296]	[  -1.89946252 -131.50506696  -10.66568676    2.16990579]	[ 0.82955353 -1.04401239  0.42049752  5.58115082]	[5.70303166 6.20003302 4.5537469  7.49562229]
20 	168  	[ 1.79989299 17.59890608  2.13506658  1.0818357 ]	[  -1.89946252 -149.75026295  -11.29936659    2.16990579]	[ 0.83680826 -0.81342327  0.56097309  5.48002484]	[6.09404812 6.20003302 4.5537469  7.49562229]
21 	168  	[ 1.94118423 19.43059591  2.33443008  1.18989943]	[  -1.89946252 -149.75026295  -11.29936659    2.16990579]	[ 1.01162599 -2.23752923  0.4040547   5.36715781]	[6.09404812 6.20003302 4.5537469  7.49562229]
22 	168  	[ 2.0458951  25.57727621  2.77013647  1.2446771 ]	[  -1.89946252 -149.75026295  -11.29936659    2.16990579]	[ 1.36323285 -5.1408211   0.06159161  5.1805168 ]	[6.09404812 6.20003302 4.5537469  7.49562229]
23 	168  	[ 2.19785247 30.5670577   3.25761715  1.33407107]	[  -2.16292621 -149.75026295  -11.29936659    2.16990579]	[ 1.62757094 -8.55637607 -0.32189797  5.03518096]	[6.09404812 6.23146633 4.5537469  7.49752014]
