Matsuoka quadruped, body parameters:[3, 9, 4, 1, 7, 7, 4, 4, 10, 10, 3, 10, 1, 1, 8, 2, 1, 10, 2, 10, 10, 9, 5, 7, 9, 8, 9, 9, 6, 8, 9, 1]
{'b': 0.06, 'gam': 0.09000000000000001, 'x0': 0.4, 'c': 0.5, 'a': 1.4}
Inter-module:
[[ 0.  -0.8 -1.4 -0.2]
 [-1.4  0.  -0.2 -1.6]
 [-1.4 -0.2  0.  -0.8]
 [-0.2 -1.6 -1.4  0. ]]
Intra-module:
[[ 0.  -0.2 -1.4]
 [-0.2  0.   1.8]
 [ 1.4 -0.2  0. ]]
Bias:[2.  1.1 1.1]
Drive coeff:[ 0.5 -0.7 -0.9]
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.01945923 0.01423517 0.01871831]	[0. 0. 0.]	[0.00261396 0.00149225 0.00196221]	[0.17746596 0.13728715 0.18052355]
1  	92   	[0.02586921 0.01423517 0.02693284]	[0. 0. 0.]	[0.00442979 0.00149225 0.00401389]	[0.17746596 0.13728715 0.18875445]
2  	92   	[0.02637385 0.01479565 0.03166239]	[0. 0. 0.]	[0.00501891 0.00193182 0.00580366]	[0.17746596 0.13728715 0.18875445]
3  	92   	[0.04644227 0.06565268 0.04741006]	[0. 0. 0.]	[0.01220376 0.00928116 0.01234831]	[0.23038455 0.61682112 0.24327878]
4  	92   	[0.05442023 0.07079201 0.05847645]	[0. 0. 0.]	[0.01921664 0.01472414 0.01989442]	[0.23038455 0.61682112 0.24327878]
5  	92   	[0.06444868 0.1023266  0.06766517]	[ 0.          0.         -0.02446671]	[0.02861583 0.03236592 0.02935501]	[0.23093711 0.61682112 0.24327878]
6  	92   	[0.07685948 0.13095398 0.11449211]	[ 0.          0.         -0.02446671]	[0.04711251 0.060994   0.05823124]	[0.23093711 0.61682112 0.80957467]
7  	92   	[0.08015864 0.14967554 0.14612506]	[ 0.          0.         -0.02446671]	[0.07220574 0.10988676 0.10472494]	[0.23093711 0.61682112 0.80957467]
8  	92   	[0.08349734 0.19909681 0.18131597]	[ 0.          0.         -0.02446671]	[0.11986321 0.21256777 0.18563177]	[0.2994397  1.00269649 0.82418616]
9  	92   	[0.08455756 0.23350189 0.2157321 ]	[ 0.          0.         -0.00410185]	[0.14973243 0.27442755 0.23882048]	[0.33167163 1.00269649 0.82418616]
10 	92   	[0.09814314 0.24322915 0.24085738]	[ 0.          0.         -0.01929357]	[0.17754673 0.34302069 0.28216569]	[0.64623306 1.00269649 0.82418616]
11 	92   	[0.10377239 0.24453762 0.26562541]	[0. 0. 0.]                           	[0.21058125 0.43823412 0.33524627]	[0.6467407  1.00269649 0.82418616]
12 	92   	[0.09897914 0.26082802 0.28835391]	[0. 0. 0.]                           	[0.22998969 0.50099519 0.36054688]	[0.6467407  1.00269649 0.82418616]
13 	92   	[0.12532883 0.24590644 0.29145037]	[0. 0. 0.]                           	[0.24978922 0.57046079 0.44727855]	[0.6494443  1.00560526 0.83232684]
14 	92   	[0.1391059  0.23851668 0.29484681]	[0. 0. 0.]                           	[0.26690828 0.63718256 0.48700913]	[0.6494443  1.00937633 0.83232684]
15 	92   	[0.16121965 0.23403159 0.29038062]	[0. 0. 0.]                           	[0.29225827 0.6322312  0.56268098]	[0.65172915 1.00937633 0.83265756]
16 	92   	[0.1769681  0.22100342 0.28593082]	[0. 0. 0.]                           	[0.2997672  0.68899538 0.56137096]	[0.65172915 1.00937633 0.83265756]
17 	92   	[0.18922771 0.24393999 0.2938606 ]	[0. 0. 0.]                           	[0.3333743  0.65245202 0.58288952]	[0.65172915 1.01045498 0.83426451]
18 	92   	[0.19967996 0.23142677 0.29577295]	[0. 0. 0.]                           	[0.37933108 0.69794629 0.60962246]	[0.65172915 1.01112961 0.83426451]
19 	92   	[0.20657536 0.22758298 0.28559899]	[0. 0. 0.]                           	[0.37373284 0.69119444 0.6331692 ]	[0.65172915 1.01127324 0.83426451]
20 	92   	[0.20769846 0.22750677 0.29052587]	[0. 0. 0.]                           	[0.3999298  0.69950341 0.62512968]	[0.65172915 1.01127324 0.83426451]
21 	92   	[0.20882708 0.23763531 0.29185101]	[0. 0. 0.]                           	[0.40593221 0.70059697 0.62967541]	[0.65172915 1.01164705 0.83549783]
22 	92   	[0.20070159 0.262647   0.28695769]	[0. 0. 0.]                           	[0.40269093 0.73762882 0.62818175]	[0.65172915 1.01257761 0.83684301]
23 	92   	[0.20288012 0.26800409 0.27413422]	[0. 0. 0.]                           	[0.40218551 0.73806184 0.64097713]	[0.65172915 1.01257761 0.83684301]
24 	92   	[0.1959487  0.25564965 0.27348219]	[0. 0. 0.]                           	[0.40362896 0.76590147 0.63129251]	[0.65172915 1.01257761 0.83684301]
25 	92   	[0.19508131 0.23003085 0.28119813]	[0. 0. 0.]                           	[0.41016714 0.77974731 0.61745283]	[0.65172915 1.01257761 0.83684301]
26 	92   	[0.19263941 0.22774264 0.26835348]	[0. 0. 0.]                           	[0.4216965  0.7778632  0.64128035]	[0.65172915 1.01257761 0.83684301]
27 	92   	[0.19558587 0.22266367 0.25013222]	[0.         0.         0.04827191]   	[0.41642003 0.75299541 0.676833  ]	[0.65297878 1.01257761 0.83720538]
28 	92   	[0.19250785 0.1907733  0.26293107]	[0.         0.60238704 0.        ]   	[0.39940029 0.78198876 0.65741002]	[0.65297878 1.01257761 0.83852518]
29 	92   	[0.16361014 0.19394146 0.27211095]	[0.         0.60442088 0.        ]   	[0.33774551 0.81537847 0.62632247]	[0.65297878 1.01290418 0.83852518]
30 	92   	[0.168916   0.19290742 0.27247911]	[0.         0.61166771 0.        ]   	[0.34596162 0.82000631 0.6259951 ]	[0.65297878 1.01290418 0.83852518]
31 	92   	[0.17719098 0.19267954 0.2724181 ]	[0.         0.61166771 0.        ]   	[0.35669617 0.80784329 0.62598895]	[0.65297878 1.01290418 0.83852518]
32 	92   	[0.18054717 0.19247203 0.27656486]	[0.         0.61166771 0.        ]   	[0.37358074 0.80359602 0.61291631]	[0.65297878 1.01290418 0.83852518]
33 	92   	[0.1920409  0.213719   0.27105581]	[ 0.         -0.11071476  0.        ]	[0.4116159  0.79487663 0.62299667]	[0.65297878 1.01290418 0.83912067]
34 	92   	[0.18850621 0.21867527 0.27323106]	[ 0.         -0.11071476  0.        ]	[0.38831737 0.82598727 0.60326868]	[0.65345282 1.01290418 0.83912067]
35 	92   	[0.19408293 0.23440588 0.27257569]	[ 0.18596123 -0.11071476  0.        ]	[0.40188809 0.81162236 0.59235836]	[0.65536934 1.01290418 0.83912067]
36 	92   	[0.19511747 0.23320906 0.28556996]	[ 0.18596123 -0.11071476  0.        ]	[0.42216011 0.78716436 0.58177025]	[0.65536934 1.01290418 0.83912067]
