Matsuoka quadruped, body parameters:[2, 9, 4, 6, 6, 4, 1, 3, 10, 10, 6, 6, 1, 1, 8, 5, 1, 10, 2, 10, 10, 8, 5, 7, 9, 3, 7, 9, 6, 8, 9, 4]
{'b': 0.04000000000000001, 'gam': 0.09000000000000001, 'x0': 0.4, 'c': 3.0, 'a': 1.2}
Inter-module:
[[ 0.  -1.4 -1.6 -0.2]
 [-2.   0.  -0.2 -1. ]
 [-1.6 -0.2  0.  -1.4]
 [-0.2 -1.  -2.   0. ]]
Intra-module:
[[ 0.  -0.2 -1.4]
 [-0.2  0.   1.8]
 [ 1.  -0.2  0. ]]
Bias:[1.6 1.1 1.1]
Drive coeff:[ 0.5 -0.1 -0.9]
Base period:7.2
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.03465867 0.04088589 0.        ]	[0. 0. 0.]	[0.00467377 0.00428601 0.        ]	[0.31518783 0.39431255 0.        ]
1  	92   	[0.03596845 0.04493283 0.        ]	[0. 0. 0.]	[0.00573468 0.00628726 0.        ]	[0.31518783 0.39431255 0.        ]
2  	92   	[0.04205333 0.05076993 0.        ]	[0. 0. 0.]	[0.00808266 0.00883497 0.        ]	[0.31518783 0.39431255 0.        ]
3  	92   	[0.05019353 0.05927402 0.01614253]	[0. 0. 0.]	[0.01231579 0.01353947 0.0016922 ]	[0.31518783 0.39431255 0.15568209]
4  	92   	[0.05429441 0.07001047 0.02738811]	[0. 0. 0.]	[0.0146253  0.02081466 0.00403022]	[0.31518783 0.39431255 0.21509857]
5  	92   	[0.07211734 0.09149804 0.04002878]	[0. 0. 0.]	[0.02810075 0.03669444 0.00845388]	[0.35392938 0.39431255 0.2433416 ]
6  	92   	[0.09632759 0.13791006 0.07024889]	[0. 0. 0.]	[0.05272598 0.08668881 0.02302519]	[0.40039105 0.66173383 0.36788538]
7  	92   	[0.10129778 0.16606034 0.08616217]	[0. 0. 0.]	[0.0770409  0.15404227 0.04081891]	[0.40039105 0.66418751 0.36788538]
8  	92   	[0.11910187 0.16212615 0.09124124]	[0. 0. 0.]	[0.11851923 0.21109752 0.05516472]	[0.6230527  0.66418751 0.36788538]
9  	92   	[0.13514621 0.19260943 0.17682225]	[0. 0. 0.]	[0.12690054 0.28091081 0.11662937]	[0.6230527  0.66585753 0.81184715]
