Matsuoka quadruped, body parameters:[2, 9, 4, 6, 6, 4, 1, 3, 10, 10, 6, 6, 1, 1, 8, 5, 1, 10, 2, 10, 10, 9, 5, 7, 9, 8, 5, 9, 6, 8, 9, 4]
{'b': 0.04000000000000001, 'gam': 0.09000000000000001, 'x0': 0.4, 'c': 3.0, 'a': 1.2}
Inter-module:
[[ 0.  -1.4 -1.6 -0.2]
 [-2.   0.  -0.2 -1. ]
 [-1.6 -0.2  0.  -1.4]
 [-0.2 -1.  -2.   0. ]]
Intra-module:
[[ 0.  -0.2 -1.4]
 [-0.2  0.   1.8]
 [ 1.4 -0.2  0. ]]
Bias:[1.6 1.1 1.1]
Drive coeff:[ 0.5 -0.1 -0.9]
Base period:5.76
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.05305076 0.02565434 0.02665241]	[0. 0. 0.]	[0.00890076 0.00268931 0.00279393]	[0.47252754 0.2474161  0.25704174]
1  	92   	[0.06497512 0.02948702 0.02665241]	[0. 0. 0.]	[0.01995205 0.00424309 0.00279393]	[0.47252754 0.2474161  0.25704174]
2  	92   	[0.07004197 0.02948702 0.03445024]	[0. 0. 0.]	[0.02963598 0.00424309 0.00608928]	[0.47252754 0.2474161  0.25704174]
3  	92   	[0.08456952 0.03400439 0.04000307]	[0. 0. 0.]	[0.04762099 0.00606566 0.00828871]	[0.47252754 0.2474161  0.25704174]
4  	92   	[0.08884723 0.04668257 0.0754436 ]	[0. 0. 0.]	[0.07130074 0.01288555 0.01622137]	[0.47252754 0.26400153 0.61788184]
5  	92   	[0.11070755 0.05645841 0.08518586]	[0. 0. 0.]	[0.11514241 0.02066528 0.0280183 ]	[0.65046005 0.26400153 0.61788184]
6  	92   	[0.11327511 0.0893281  0.13030915]	[0. 0. 0.]	[0.1530065  0.03773936 0.05768981]	[0.65046005 0.58188426 0.63021114]
7  	92   	[0.12464579 0.13080907 0.13235906]	[0. 0. 0.]	[0.15200927 0.07691171 0.07506824]	[0.65046005 0.60839379 0.63021114]
8  	92   	[0.12561369 0.15469706 0.13924926]	[0. 0. 0.]	[0.16029974 0.11790102 0.10718447]	[0.65046005 0.61378843 0.63021114]
9  	92   	[0.12663722 0.19042098 0.1682952 ]	[0. 0. 0.]	[0.17964492 0.17440585 0.15488975]	[0.65046005 0.61936466 0.6360534 ]
10 	92   	[0.1355246  0.22109571 0.19733656]	[0. 0. 0.]	[0.18956101 0.22944122 0.21026638]	[0.65046005 0.96324886 0.64150098]
11 	92   	[0.13881347 0.26927032 0.21078122]	[0. 0. 0.]	[0.20864894 0.30477585 0.25987686]	[0.65046005 0.96475257 0.64150098]
12 	92   	[0.13701126 0.30229405 0.22017042]	[0. 0. 0.]	[0.23282401 0.3680186  0.30645347]	[0.65046005 0.9656022  0.64333893]
13 	92   	[0.13157229 0.31676412 0.22117069]	[0. 0. 0.]	[0.25667753 0.43935116 0.33932094]	[0.65046005 0.96746721 0.64333893]
14 	92   	[0.13029272 0.3189998  0.22729166]	[0. 0. 0.]	[0.27503864 0.49263316 0.35495543]	[0.65046005 0.96884371 0.64333893]
