Matsuoka quadruped, body parameters:[1, 9, 5, 3, 1, 4, 4, 4, 9, 10, 3, 5, 1, 1, 9, 5, 4, 10, 2, 3, 10, 9, 4, 9, 10, 3, 5, 9, 5, 4, 5, 1]
{'b': 0.020000000000000004, 'gam': 0.09000000000000001, 'x0': 0.5, 'c': 1.5, 'a': 0.2}
Inter-module:
[[ 0.  -1.4 -1.4 -0.4]
 [-1.4  0.  -0.2 -1.6]
 [-1.4 -0.4  0.  -1.4]
 [-0.2 -1.6 -1.4  0. ]]
Intra-module:
[[ 0.  -0.2 -1.4]
 [-1.6  0.   1.8]
 [ 1.4 -0.6  0. ]]
Bias:[1.5 1.1 1.1]
Drive coeff:[ 0.7 -0.1 -0.3]
Base period:4.96
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.01779077 0.0045986  0.        ]	[0. 0. 0.]	[0.00321864 0.00048206 0.        ]	[0.14998471 0.04434995 0.        ]
1  	92   	[0.02366356 0.00577234 0.01508045]	[0. 0. 0.]	[0.0058654  0.00090643 0.00219956]	[0.14998471 0.04434995 0.13091095]
2  	92   	[0.03370194 0.02486062 0.01918471]	[ 0.         -0.04256789  0.        ]	[0.010439   0.00450216 0.00401602]	[0.21700294 0.21238457 0.13091095]
3  	92   	[0.0363587  0.05508946 0.03231901]	[ 0.         -0.04256789  0.        ]	[0.01380999 0.01486562 0.00828852]	[0.21700294 0.31600223 0.22446411]
4  	92   	[0.04595491 0.07039731 0.04443206]	[ 0.         -0.04256789  0.        ]	[0.02171889 0.02264022 0.01397965]	[0.21700294 0.4054809  0.27175876]
5  	92   	[0.05764327 0.07726275 0.05114697]	[ 0.         -0.04256789  0.        ]	[0.04170926 0.03819684 0.02268544]	[0.26569062 0.4054809  0.27175876]
6  	92   	[0.06664477 0.13716036 0.05585405]	[ 0.         -0.04256789  0.        ]	[0.07232943 0.08393227 0.03331013]	[0.26569062 1.095127   0.27175876]
7  	92   	[0.09423276 0.18017199 0.08315602]	[ 0.         -0.04256789  0.        ]	[0.10124296 0.13569156 0.06979778]	[0.56284158 1.09994328 0.48502585]
8  	92   	[0.10625177 0.18957366 0.10060207]	[0. 0. 0.]                           	[0.13406754 0.16612139 0.10207674]	[0.56284158 1.09994328 0.64000856]
9  	92   	[0.11206034 0.19913199 0.13943077]	[ 0.          0.         -0.03158835]	[0.14934851 0.21959437 0.14466787]	[0.56284158 1.09994328 0.7181145 ]
10 	92   	[0.11909462 0.24128662 0.15782795]	[0. 0. 0.]                           	[0.17911465 0.26901831 0.18008599]	[0.56284158 1.09994328 0.7181145 ]
11 	92   	[0.14682371 0.26097274 0.17912285]	[0. 0. 0.]                           	[0.20031493 0.31216818 0.22227002]	[0.88745794 1.09994328 0.7181145 ]
12 	92   	[0.13955791 0.28939106 0.18782905]	[0. 0. 0.]                           	[0.21868472 0.34134561 0.24225744]	[0.88745794 1.09994328 0.7181145 ]
13 	92   	[0.13849082 0.33312196 0.21479305]	[0. 0. 0.]                           	[0.25008603 0.45814219 0.27783572]	[0.88745794 1.09994328 0.7181145 ]
14 	92   	[0.13527002 0.32640471 0.22504599]	[ 0.          0.         -0.03819701]	[0.26490044 0.50529811 0.30443213]	[0.88745794 1.09994328 0.7181145 ]
15 	92   	[0.12898795 0.34944771 0.22576897]	[ 0.          0.         -0.03819701]	[0.27512488 0.55099961 0.31781837]	[0.88745794 1.09994328 0.7181145 ]
16 	92   	[0.11928172 0.34879706 0.22771507]	[ 0.          0.         -0.03819701]	[0.29792165 0.60221962 0.31160233]	[0.88745794 1.10198598 0.7181145 ]
17 	92   	[0.10795472 0.35563494 0.22978323]	[ 0.07868506  0.         -0.03819701]	[0.31457292 0.58909777 0.32593104]	[0.88745794 1.10198598 0.71851228]
18 	92   	[0.11190555 0.34353073 0.23311365]	[ 0.07868506  0.         -0.05821795]	[0.31717393 0.62507921 0.3528463 ]	[0.88745794 1.10198598 0.72096521]
19 	92   	[0.11876637 0.35058818 0.2379654 ]	[-0.0487176   0.         -0.03819701]	[0.32325993 0.60052036 0.3619698 ]	[0.88745794 1.10198598 0.72166708]
20 	92   	[0.11817884 0.36081531 0.23176336]	[-0.0487176   0.         -0.03819701]	[0.33428193 0.63100411 0.33236637]	[0.88745794 1.10198598 0.72166708]
21 	92   	[0.11902117 0.35161551 0.23012447]	[-0.0487176   0.         -0.03819701]	[0.33990711 0.64485882 0.35129813]	[0.88745794 1.10198598 0.72166708]
22 	92   	[0.12947956 0.35431286 0.22794397]	[-0.0487176   0.         -0.03819701]	[0.34702433 0.66310026 0.35116835]	[0.88745794 1.10198598 0.72166708]
23 	92   	[0.13430138 0.34800089 0.23857421]	[-0.0487176   0.         -0.03819701]	[0.35710914 0.69131501 0.35361877]	[0.88745794 1.10198598 0.72166708]
24 	92   	[0.14143065 0.34780671 0.23618602]	[-0.0487176   0.         -0.03819701]	[0.3526369  0.70100707 0.38334727]	[0.88745794 1.10198598 0.72166708]
25 	92   	[0.14426323 0.34634565 0.24351582]	[-0.0487176   0.         -0.03819701]	[0.35890225 0.68127425 0.39670815]	[0.88745794 1.10285367 0.72166708]
26 	92   	[0.15605672 0.33685869 0.2510242 ]	[-0.0487176  0.         0.       ]   	[0.36336874 0.69555889 0.42482909]	[0.88771005 1.10285367 0.72166708]
27 	92   	[0.14636185 0.33784985 0.25233555]	[-0.0487176  0.         0.       ]   	[0.37672666 0.68068946 0.42126248]	[0.88771005 1.10285367 0.72166708]
28 	92   	[0.14917793 0.32777763 0.26070374]	[-0.0487176  0.         0.       ]   	[0.38579528 0.66538072 0.42864017]	[0.90809396 1.10285367 0.72166708]
29 	92   	[0.16382175 0.33596723 0.25780082]	[-0.0487176  0.         0.       ]   	[0.38945661 0.6586891  0.42044327]	[0.90927641 1.10285367 0.7229393 ]
30 	92   	[0.19058716 0.32319929 0.25742411]	[-0.04883879  0.          0.        ]	[0.38953017 0.66930185 0.41031811]	[0.90927641 1.10285367 0.7229393 ]
31 	92   	[0.21650121 0.31914006 0.24844818]	[-0.04883879  0.          0.        ]	[0.37440385 0.71353155 0.41516647]	[0.90927641 1.10285367 0.7229393 ]
32 	92   	[0.22972138 0.34244499 0.25426264]	[-0.04883879  0.          0.        ]	[0.40635646 0.69204341 0.40960425]	[0.90927641 1.10285367 0.7229393 ]
33 	92   	[0.24145945 0.33900896 0.2458666 ]	[-0.04883879  0.          0.        ]	[0.4443808  0.64818237 0.41944906]	[0.90927641 1.10285367 0.7229393 ]
34 	92   	[0.25717778 0.31283338 0.25114021]	[-0.04883879  0.          0.        ]	[0.42932855 0.71694233 0.4532924 ]	[0.90927641 1.10285367 0.85511404]
35 	92   	[0.26676793 0.31573117 0.25132879]	[-0.04883879  0.          0.        ]	[0.45488838 0.67833679 0.45488431]	[0.90927641 1.10285367 0.85511404]
36 	92   	[0.24684205 0.3033441  0.24207604]	[-0.0487176  0.         0.       ]   	[0.43110015 0.69979135 0.46883828]	[0.90929916 1.10285367 0.85511404]
37 	92   	[0.24963616 0.31315917 0.24960655]	[-0.0487176   0.         -0.04879069]	[0.44769281 0.68245379 0.46553226]	[0.90944386 1.10285367 0.85852012]
38 	92   	[0.25212876 0.30522699 0.24223925]	[0.08243881 0.         0.        ]   	[0.49077392 0.68950303 0.46553985]	[0.90944386 1.10285367 0.85852012]
39 	92   	[0.24156222 0.30676526 0.23997256]	[0.08243881 0.         0.        ]   	[0.4559031  0.71004385 0.47673066]	[0.90944386 1.10285367 0.85852012]
40 	92   	[0.2195202  0.30643042 0.23173829]	[0.08243881 0.         0.        ]   	[0.43642127 0.72540015 0.49724171]	[0.90944386 1.10285367 0.85852012]
41 	92   	[0.22662702 0.29826624 0.23354248]	[0. 0. 0.]                           	[0.4414438  0.72968962 0.50011163]	[0.90944386 1.10285367 0.85852012]
42 	92   	[0.22224046 0.29716225 0.23324826]	[0. 0. 0.]                           	[0.44883144 0.72821883 0.50243246]	[0.90944386 1.10285367 0.85852012]
43 	92   	[0.22996477 0.31584399 0.23295009]	[0. 0. 0.]                           	[0.47369583 0.69453275 0.50764098]	[0.90944386 1.10285367 0.85852012]
44 	92   	[0.2226466  0.30530669 0.23457073]	[0. 0. 0.]                           	[0.44975835 0.70476494 0.51329252]	[0.90944386 1.10285367 0.85852012]
45 	92   	[0.21948298 0.29817265 0.23396766]	[0. 0. 0.]                           	[0.4517171  0.71071737 0.51345331]	[0.90944386 1.10285367 0.85852012]
46 	92   	[0.22004748 0.3065765  0.23663276]	[0. 0. 0.]                           	[0.46813374 0.70105469 0.50050366]	[0.90944386 1.10285367 0.85852012]
47 	92   	[0.22233018 0.30571926 0.23081609]	[0.08243881 0.         0.        ]   	[0.48653003 0.68733749 0.51303841]	[0.90944386 1.10285367 0.85852012]
