Matsuoka quadruped, body parameters:[6, 5, 4, 1, 4, 2, 1, 1, 10, 8, 1, 7, 5, 8, 9, 6, 8, 6, 1, 7, 10, 6, 3, 5, 4, 5, 6, 10, 7, 8, 9, 2]
{'b': 0.12, 'gam': 0.05, 'x0': 0.4, 'c': 0.5, 'a': 0.8}
Inter-module:
[[ 0.  -1.8 -2.  -0.2]
 [-2.   0.  -0.6 -2. ]
 [-2.  -0.2  0.  -1.8]
 [-0.6 -2.  -2.   0. ]]
Intra-module:
[[ 0.  -1.  -1.8]
 [-0.8  0.   1.8]
 [ 0.2 -1.   0. ]]
Bias:[1.7 1.5 1.8]
Drive coeff:[0.7 0.1 0.5]
Base period:6.72
gen	evals	std       	min       	avg       	max       
0  	92   	[0. 0. 0.]	[0. 0. 0.]	[0. 0. 0.]	[0. 0. 0.]
1  	92   	[0.00604101 0.00321104 0.        ]	[0. 0. 0.]	[0.00063327 0.00033661 0.        ]	[0.05826087 0.03096796 0.        ]
2  	92   	[0.03597369 0.02655719 0.        ]	[0. 0. 0.]	[0.00679313 0.00354019 0.        ]	[0.3157305 0.2514019 0.       ]   
3  	92   	[0.03599268 0.02675672 0.        ]	[0. 0. 0.]	[0.00701126 0.0039232  0.        ]	[0.3157305 0.2514019 0.       ]   
4  	92   	[0.03691646 0.02720877 0.00684854]	[0. 0. 0.]	[0.00795206 0.00475157 0.00071792]	[0.3157305  0.2514019  0.06604887]
5  	92   	[0.04162759 0.03827339 0.01779914]	[0. 0. 0.]	[0.01387021 0.00969119 0.00244804]	[0.3157305 0.2514019 0.1591708]   
6  	92   	[0.04592996 0.04556968 0.04501984]	[0. 0. 0.]	[0.01842963 0.01457379 0.0097563 ]	[0.3157305  0.2514019  0.28044054]
7  	92   	[0.05771288 0.0459236  0.04522531]	[-0.05341024  0.          0.        ]	[0.02642886 0.01747545 0.01032748]	[0.3157305  0.2514019  0.28044054]
8  	92   	[0.05867084 0.10637293 0.06233828]	[-0.05341024 -0.01673363 -0.00403842]	[0.03410599 0.03899817 0.0164124 ]	[0.3157305  0.64842787 0.41264292]
9  	92   	[0.06360854 0.139695   0.0696429 ]	[-0.05341024 -0.01673363 -0.00403842]	[0.04513168 0.06160114 0.0220432 ]	[0.3157305  0.66038446 0.41264292]
10 	92   	[0.07699865 0.15404001 0.08663612]	[-0.03861925 -0.04896478 -0.00403842]	[0.06546481 0.08639203 0.041723  ]	[0.3157305  0.67230163 0.41264292]
11 	92   	[0.09849944 0.21651036 0.09439582]	[ 0.         -0.04896478 -0.00403842]	[0.08867354 0.13140833 0.06014951]	[0.5528284  0.97529201 0.41264292]
12 	92   	[0.10880716 0.24932464 0.14124655]	[-0.03635651 -0.04896478 -0.00403842]	[0.11240288 0.19872462 0.10696741]	[0.5528284  0.97529201 0.76478274]
13 	92   	[0.12126717 0.26401213 0.15124198]	[ 0.         -0.04896478 -0.00403842]	[0.14765721 0.27452197 0.14300036]	[0.56111535 0.97529201 0.76478274]
14 	92   	[0.13085294 0.27407251 0.1894555 ]	[ 0.         -0.04896478 -0.00403842]	[0.16853221 0.29437731 0.17658986]	[0.57320434 0.97529201 0.77163905]
15 	92   	[0.14308948 0.29004116 0.23479628]	[ 0.         -0.12393046 -0.00403842]	[0.18988776 0.33833691 0.23161689]	[0.57320434 0.97529201 0.77259603]
16 	92   	[0.14973436 0.29094766 0.25130459]	[ 0.         -0.12393046  0.        ]	[0.21003663 0.36963048 0.27154273]	[0.57320434 0.97529201 0.77653595]
17 	92   	[0.16705366 0.30501486 0.26236078]	[ 0.         -0.04612346  0.        ]	[0.23932042 0.40240218 0.31365471]	[0.57915624 0.98507246 0.77653595]
18 	92   	[0.17588767 0.29099446 0.28788523]	[0. 0. 0.]                           	[0.27040965 0.48880867 0.36531206]	[0.57915624 0.98507246 0.77653595]
19 	92   	[0.17786674 0.30657368 0.28883323]	[0. 0. 0.]                           	[0.29864518 0.5288119  0.41422407]	[0.58271682 0.98507246 0.77653595]
20 	92   	[0.18439934 0.28477654 0.29970712]	[0. 0. 0.]                           	[0.3200756  0.58981396 0.42384711]	[0.58271682 0.98507246 0.77653595]
21 	92   	[0.17826079 0.27854502 0.29538453]	[0. 0. 0.]                           	[0.32995641 0.61936729 0.41927056]	[0.58271682 0.98507246 0.77653595]
22 	92   	[0.18021422 0.29442451 0.29810287]	[0. 0. 0.]                           	[0.34336275 0.60917958 0.4416149 ]	[0.58271682 0.98507246 0.77653595]
23 	92   	[0.17105185 0.29650819 0.29872178]	[0. 0. 0.]                           	[0.3640811  0.59417135 0.4796385 ]	[0.58271682 0.98507246 0.77653595]
24 	92   	[0.17282452 0.29338661 0.29753112]	[0. 0. 0.]                           	[0.37807255 0.62684731 0.45070724]	[0.58271682 0.98894994 0.77928024]
25 	92   	[0.17680122 0.3255087  0.29860858]	[0. 0. 0.]                           	[0.37431203 0.59113536 0.49506584]	[0.58318596 0.98894994 0.77928024]
26 	92   	[0.17016953 0.33334907 0.3066845 ]	[0. 0. 0.]                           	[0.38066774 0.60314943 0.49194955]	[0.58318596 0.98894994 0.77928024]
27 	92   	[0.16964965 0.30768857 0.29916233]	[0. 0. 0.]                           	[0.37742148 0.63220129 0.49851632]	[0.58318596 0.98894994 0.77928024]
28 	92   	[0.17264712 0.28089407 0.30132423]	[0. 0. 0.]                           	[0.38056168 0.67449328 0.46783562]	[0.58318596 0.98894994 0.77928024]
29 	92   	[0.17609206 0.28381409 0.3098583 ]	[0. 0. 0.]                           	[0.38721932 0.68940363 0.47845297]	[0.58388285 0.99290568 0.77928024]
30 	92   	[0.177634   0.28289736 0.29854443]	[0. 0. 0.]                           	[0.36671445 0.6872524  0.51124925]	[0.58388285 0.99290568 0.77928024]
31 	92   	[0.17605086 0.29184709 0.28882072]	[0. 0. 0.]                           	[0.37857617 0.68016386 0.51400772]	[0.58388285 0.99290568 0.77928024]
