Matsuoka quadruped, body parameters:[7, 4, 5, 1, 8, 1, 1, 10, 10, 8, 1, 7, 4, 8, 9, 9, 8, 6, 1, 7, 10, 6, 3, 5, 4, 5, 6, 10, 7, 8, 9, 2]
{'b': 0.13999999999999999, 'gam': 0.04000000000000001, 'x0': 0.5, 'c': 0.5, 'a': 1.6}
Inter-module:
[[ 0.  -2.  -0.2 -0.2]
 [-2.   0.  -0.6 -2. ]
 [-0.2 -0.2  0.  -2. ]
 [-0.6 -2.  -2.   0. ]]
Intra-module:
[[ 0.  -1.  -1.8]
 [-0.8  0.   1.8]
 [ 0.2 -1.   0. ]]
Bias:[1.7 1.4 1.8]
Drive coeff:[0.7 0.7 0.5]
Base period:7.2
gen	evals	std                               	min       	avg                                           	max                               
0  	92   	[0.00027119 0.         0.        ]	[0. 0. 0.]	[2.84285642e-05 0.00000000e+00 0.00000000e+00]	[0.00261543 0.         0.        ]
1  	92   	[0.00027119 0.         0.        ]	[0. 0. 0.]	[2.84285642e-05 0.00000000e+00 0.00000000e+00]	[0.00261543 0.         0.        ]
2  	92   	[0.00446085 0.         0.        ]	[0. 0. 0.]	[0.0004955 0.        0.       ]               	[0.04297057 0.         0.        ]
3  	92   	[0.00446085 0.         0.        ]	[0. 0. 0.]	[0.0004955 0.        0.       ]               	[0.04297057 0.         0.        ]
4  	92   	[0.00451268 0.0090543  0.        ]	[0. 0. 0.]	[0.00057264 0.00094915 0.        ]            	[0.04297057 0.08732162 0.        ]
5  	92   	[0.00451268 0.0090543  0.        ]	[0. 0. 0.]	[0.00057264 0.00094915 0.        ]            	[0.04297057 0.08732162 0.        ]
6  	92   	[0.00451268 0.0090543  0.        ]	[0. 0. 0.]	[0.00057264 0.00094915 0.        ]            	[0.04297057 0.08732162 0.        ]
7  	92   	[0.00759528 0.0090543  0.        ]	[0. 0. 0.]	[0.00146796 0.00094915 0.        ]            	[0.0514204  0.08732162 0.        ]
8  	92   	[0.00928824 0.01039371 0.        ]	[0. 0. 0.]	[0.00204477 0.0014947  0.        ]            	[0.05306648 0.08732162 0.        ]
9  	92   	[0.01091261 0.01039371 0.        ]	[0. 0. 0.]	[0.00299918 0.0014947  0.        ]            	[0.05306648 0.08732162 0.        ]
10 	92   	[0.01418653 0.01039371 0.        ]	[0. 0. 0.]	[0.00465998 0.0014947  0.        ]            	[0.0728772  0.08732162 0.        ]
11 	92   	[0.01505507 0.01742286 0.        ]	[0. 0. 0.]	[0.00558114 0.00297705 0.        ]            	[0.0728772  0.13637564 0.        ]
12 	92   	[0.0164652  0.01742266 0.        ]	[0. 0. 0.]	[0.00747846 0.00304129 0.        ]            	[0.0728772  0.13637564 0.        ]
13 	92   	[0.01742207 0.02036107 0.        ]	[0. 0. 0.]	[0.00951223 0.00467768 0.        ]            	[0.0728772  0.13637564 0.        ]
14 	92   	[0.02230548 0.02360864 0.        ]	[0. 0. 0.]	[0.0169807  0.00738319 0.        ]            	[0.08273353 0.13637564 0.        ]
15 	92   	[0.02465823 0.02755142 0.        ]	[0. 0. 0.]	[0.02782571 0.01171282 0.        ]            	[0.09648538 0.13637564 0.        ]
16 	92   	[0.02746707 0.0304349  0.        ]	[0. 0. 0.]	[0.04222269 0.01656319 0.        ]            	[0.16946543 0.13637564 0.        ]
17 	92   	[0.02967538 0.03312227 0.        ]	[0. 0. 0.]	[0.04629568 0.0215596  0.        ]            	[0.16946543 0.13637564 0.        ]
18 	92   	[0.03938857 0.03778553 0.        ]	[0. 0. 0.]	[0.04755312 0.03310205 0.        ]            	[0.19020842 0.13637564 0.        ]
19 	92   	[0.03942573 0.03763365 0.        ]	[0. 0. 0.]	[0.04532039 0.04573821 0.        ]            	[0.19020842 0.13637564 0.        ]
20 	92   	[0.03809887 0.03792358 0.        ]	[0. 0. 0.]	[0.05289212 0.06012103 0.        ]            	[0.19020842 0.13712798 0.        ]
21 	92   	[0.03988927 0.0372347  0.        ]	[0. 0. 0.]	[0.05737534 0.06465498 0.        ]            	[0.19020842 0.13712798 0.        ]
22 	92   	[0.04553046 0.0392238  0.        ]	[0. 0. 0.]	[0.06280737 0.07097411 0.        ]            	[0.27032612 0.19260752 0.        ]
23 	92   	[0.04780789 0.04358743 0.        ]	[0. 0. 0.]	[0.06737387 0.07957776 0.        ]            	[0.27032612 0.22083043 0.        ]
24 	92   	[0.05099033 0.05096422 0.        ]	[0. 0. 0.]	[0.07488093 0.08817215 0.        ]            	[0.27032612 0.32675897 0.        ]
25 	92   	[0.05525103 0.05503195 0.        ]	[0. 0. 0.]	[0.07903155 0.09597203 0.        ]            	[0.27032612 0.32675897 0.        ]
26 	92   	[0.05375182 0.0561086  0.        ]	[0. 0. 0.]	[0.08286612 0.09968005 0.        ]            	[0.27032612 0.32675897 0.        ]
27 	92   	[0.06676547 0.06404053 0.        ]	[0. 0. 0.]	[0.09145518 0.10959228 0.        ]            	[0.4306821  0.35109428 0.        ]
28 	92   	[0.07047805 0.10610134 0.        ]	[0. 0. 0.]	[0.09593268 0.13532746 0.        ]            	[0.4306821 0.6340055 0.       ]   
29 	92   	[0.06993633 0.1290494  0.        ]	[0. 0. 0.]	[0.09866813 0.16255535 0.        ]            	[0.4306821 0.6340055 0.       ]   
30 	92   	[0.07486613 0.14064431 0.03159928]	[0. 0. 0.]	[0.10625309 0.17202193 0.00434939]            	[0.4306821 0.6340055 0.2823705]   
31 	92   	[0.07492898 0.14622306 0.03159928]	[0. 0. 0.]	[0.11366722 0.18942561 0.00434939]            	[0.4306821 0.6340055 0.2823705]   
32 	92   	[0.0814717  0.15861581 0.05051244]	[-0.03454496  0.          0.        ]	[0.11367728 0.2109998  0.00852855]            	[0.4306821  0.63681341 0.38448231]
33 	92   	[0.08654423 0.16267701 0.05412567]	[-0.03454496  0.          0.        ]	[0.12130869 0.22601406 0.01066274]            	[0.4306821  0.63681341 0.38448231]
34 	92   	[0.09178249 0.16382937 0.07578973]	[-0.03454496  0.          0.        ]	[0.12891935 0.24339551 0.01634249]            	[0.4306821  0.63681341 0.52253685]
35 	92   	[0.10028534 0.17216285 0.087738  ]	[-0.03454496  0.          0.        ]	[0.13538999 0.25195358 0.02348137]            	[0.49626439 0.67204063 0.52253685]
36 	92   	[0.10452207 0.17632754 0.10953598]	[-0.03233468  0.          0.        ]	[0.13495132 0.27073188 0.03895894]            	[0.49626439 0.67204063 0.52253685]
37 	92   	[0.11319761 0.18496716 0.15584644]	[-0.03233468  0.          0.        ]	[0.14177247 0.28834169 0.0666166 ]            	[0.49626439 0.67204063 0.69797084]
38 	92   	[0.1410671  0.21288819 0.19613835]	[-0.04974572  0.          0.        ]	[0.15851632 0.32090274 0.11811776]            	[0.67065835 0.95823206 0.69797084]
39 	92   	[0.16770476 0.23274311 0.22626072]	[-0.04974572  0.          0.        ]	[0.18968469 0.35714996 0.17851472]            	[0.67065835 0.95823206 0.82817046]
40 	92   	[0.19418728 0.25127116 0.22451915]	[-0.04974572  0.          0.        ]	[0.2125312  0.40297852 0.23678648]            	[0.78665197 0.96725752 0.82817046]
41 	92   	[0.21693407 0.26034551 0.21824909]	[-0.04974572  0.          0.        ]	[0.23374094 0.4466052  0.29260706]            	[0.79745363 0.96739175 0.82817046]
42 	92   	[0.20796482 0.2524833  0.24393671]	[-0.04974572  0.          0.        ]	[0.28828434 0.50488842 0.35783168]            	[0.79745363 0.96739175 0.82817046]
43 	92   	[0.21923308 0.25812307 0.24873361]	[-0.04974572  0.          0.        ]	[0.31047373 0.54840533 0.40042323]            	[0.79745363 0.96739175 0.83071741]
44 	92   	[0.22859817 0.24655786 0.25234005]	[-0.04974572  0.          0.        ]	[0.34811534 0.57656354 0.41331936]            	[0.79745363 0.96739175 0.83071741]
45 	92   	[0.241826   0.22354544 0.2330389 ]	[-0.04974572  0.          0.        ]	[0.34889182 0.61569833 0.44433991]            	[0.79811027 0.98197522 0.83071741]
46 	92   	[0.24434835 0.22280833 0.22823083]	[-0.04974572  0.          0.        ]	[0.39071789 0.64059806 0.44498706]            	[0.80136521 0.98197522 0.86149302]
