Matsuoka quadruped, body parameters:[1, 5, 4, 6, 7, 2, 1, 1, 10, 9, 1, 7, 6, 9, 9, 6, 7, 6, 4, 6, 8, 6, 3, 5, 4, 5, 5, 10, 3, 8, 9, 2]
{'b': 0.020000000000000004, 'gam': 0.05, 'x0': 0.4, 'c': 3.0, 'a': 1.4}
Inter-module:
[[ 0.  -1.8 -2.  -0.2]
 [-2.   0.  -0.4 -2. ]
 [-2.  -0.2  0.  -1.8]
 [-0.4 -2.  -2.   0. ]]
Intra-module:
[[ 0.  -1.  -0.6]
 [-1.   0.   1. ]
 [ 0.2 -1.   0. ]]
Bias:[1.7 1.6 1.9]
Drive coeff:[0.7 0.1 0.3]
gen	evals	std                            	min       	avg                               	max                               
0  	92   	[0.0058798 0.        0.       ]	[0. 0. 0.]	[0.00061637 0.         0.        ]	[0.05670608 0.         0.        ]
1  	92   	[0.0058798 0.        0.       ]	[0. 0. 0.]	[0.00061637 0.         0.        ]	[0.05670608 0.         0.        ]
2  	92   	[0.0058798 0.        0.       ]	[0. 0. 0.]	[0.00061637 0.         0.        ]	[0.05670608 0.         0.        ]
3  	92   	[0.0058798 0.        0.       ]	[0. 0. 0.]	[0.00061637 0.         0.        ]	[0.05670608 0.         0.        ]
4  	92   	[0.00871066 0.         0.        ]	[0. 0. 0.]	[0.00129689 0.         0.        ]	[0.06260763 0.         0.        ]
5  	92   	[0.00939149 0.         0.        ]	[0. 0. 0.]	[0.00167943 0.         0.        ]	[0.06260763 0.         0.        ]
6  	92   	[0.01204575 0.         0.        ]	[0. 0. 0.]	[0.00282906 0.         0.        ]	[0.06260763 0.         0.        ]
7  	92   	[0.01537093 0.         0.        ]	[0. 0. 0.]	[0.00495741 0.         0.        ]	[0.06260763 0.         0.        ]
8  	92   	[0.0307548  0.01282868 0.        ]	[0. 0. 0.]	[0.01161054 0.00134481 0.        ]	[0.17544034 0.12372264 0.        ]
9  	92   	[0.03612381 0.01778554 0.        ]	[0. 0. 0.]	[0.0204714  0.00265102 0.        ]	[0.17544034 0.12372264 0.        ]
10 	92   	[0.03934983 0.03387573 0.        ]	[0. 0. 0.]	[0.033709   0.00570263 0.        ]	[0.17544034 0.28074778 0.        ]
11 	92   	[0.03166934 0.03387573 0.        ]	[0. 0. 0.]	[0.05248241 0.00570263 0.        ]	[0.17544034 0.28074778 0.        ]
12 	92   	[0.0404539  0.03387573 0.02469175]	[0. 0. 0.]	[0.06820234 0.00570263 0.0025884 ]	[0.25874569 0.28074778 0.23813268]
13 	92   	[0.06262178 0.04024734 0.02469175]	[0. 0. 0.]	[0.08337181 0.00985162 0.0025884 ]	[0.41806306 0.28074778 0.23813268]
14 	92   	[0.07391316 0.05750444 0.02988041]	[0. 0. 0.]	[0.09813166 0.01772542 0.00438105]	[0.41806306 0.32569668 0.23813268]
15 	92   	[0.08755729 0.09978347 0.03367719]	[0. 0. 0.]	[0.11281603 0.04465395 0.00657743]	[0.41806306 0.43852167 0.23813268]
16 	92   	[0.11207539 0.15088941 0.10593186]	[0. 0. 0.]	[0.13662203 0.07687472 0.02148231]	[0.63857849 0.93094542 0.8004187 ]
17 	92   	[0.12516963 0.17480447 0.10940698]	[0. 0. 0.]	[0.13954971 0.11042054 0.02664495]	[0.63857849 0.93094542 0.8004187 ]
18 	92   	[0.16075944 0.19834736 0.14071073]	[0. 0. 0.]	[0.14630374 0.15029333 0.04296085]	[0.64816178 0.93094542 0.8004187 ]
19 	92   	[0.1814496  0.21745864 0.1651129 ]	[0. 0. 0.]	[0.14595018 0.18837649 0.06621381]	[0.64816178 0.93094542 0.8004187 ]
20 	92   	[0.18200986 0.24338159 0.18960046]	[0. 0. 0.]	[0.13490515 0.22850108 0.10839978]	[0.64816178 0.93094542 0.8004187 ]
21 	92   	[0.18802843 0.2473479  0.20216093]	[0. 0. 0.]	[0.13808005 0.27506036 0.13838815]	[0.69348485 0.93094542 0.8031495 ]
22 	92   	[0.20205936 0.2690827  0.20175656]	[0. 0. 0.]	[0.14296821 0.36260373 0.16507384]	[0.69348485 0.93418894 0.8031495 ]
23 	92   	[0.19067765 0.2739363  0.21489872]	[0. 0. 0.]	[0.14475127 0.42231103 0.19716355]	[0.69348485 0.93432144 0.8031495 ]
24 	92   	[0.19193977 0.28525052 0.23020398]	[0. 0. 0.]	[0.16654773 0.45162009 0.22047752]	[0.69348485 0.94198718 0.8031495 ]
25 	92   	[0.19444629 0.27844943 0.2625031 ]	[0. 0. 0.]	[0.18092833 0.50886792 0.27433257]	[0.69348485 0.94198718 0.8031495 ]
26 	92   	[0.19100964 0.28103381 0.25867226]	[0. 0. 0.]	[0.19514056 0.52024532 0.26867909]	[0.69348485 0.94198718 0.8031495 ]
27 	92   	[0.18691264 0.28202096 0.2585652 ]	[0. 0. 0.]	[0.20640648 0.53943334 0.2684651 ]	[0.69348485 0.94198718 0.8031495 ]
28 	92   	[0.18757424 0.28753775 0.25754181]	[0. 0. 0.]	[0.20123258 0.5458292  0.29006271]	[0.69348485 0.94198718 0.8031495 ]
29 	92   	[0.17740754 0.27056573 0.26562213]	[0. 0. 0.]	[0.20254245 0.56964655 0.30699306]	[0.69348485 0.94198718 0.8031495 ]
30 	92   	[0.17554045 0.26787238 0.27034698]	[0. 0. 0.]	[0.20510548 0.58174946 0.31606641]	[0.69348485 0.94198718 0.8031495 ]
31 	92   	[0.18649724 0.29194025 0.28015895]	[0. 0. 0.]	[0.19825695 0.59375706 0.33548484]	[0.69348485 0.94198718 0.8031495 ]
