Matsuoka quadruped, body parameters:[1, 10, 7, 6, 4, 2, 1, 4, 8, 10, 5, 10, 2, 2, 10, 2, 10, 7, 2, 6, 9, 10, 3, 1, 7, 6, 8, 9, 4, 9, 10, 1]
{'b': 0.020000000000000004, 'gam': 0.1, 'x0': 0.7, 'c': 3.0, 'a': 0.8}
Inter-module:
[[ 0.  -1.8 -1.4 -0.6]
 [-2.   0.  -0.2 -1.2]
 [-1.4 -0.6  0.  -1.8]
 [-0.2 -1.2 -2.   0. ]]
Intra-module:
[[ 0.  -0.8 -1.4]
 [-1.   0.   1.4]
 [ 1.8 -1.   0. ]]
Bias:[2.  1.2 1.2]
Drive coeff:[ 0.9 -0.7  0.9]
gen	evals	std                               	min                                  	avg                               	max                               
0  	92   	[0.02708155 0.01756902 0.01180485]	[ 0.         -0.03471017  0.        ]	[0.00511781 0.00136891 0.00123748]	[0.21768374 0.16259526 0.11384861]
1  	92   	[0.03488468 0.03216848 0.02545728]	[ 0.         -0.03471017  0.        ]	[0.01039623 0.00856742 0.00583281]	[0.21768374 0.16259526 0.16955263]
2  	92   	[0.04255956 0.04977319 0.03238945]	[ 0.         -0.03471017  0.        ]	[0.01712038 0.01913311 0.01073859]	[0.21768374 0.28357425 0.16955263]
3  	92   	[0.05106973 0.06847937 0.0432407 ]	[ 0.         -0.03471017 -0.00147751]	[0.02663225 0.03519742 0.02109277]	[0.21768374 0.37065293 0.16955263]
4  	92   	[0.0677457  0.09918257 0.06135999]	[ 0.         -0.03471017 -0.00224728]	[0.05162369 0.07109721 0.04462505]	[0.29036057 0.55734602 0.25174838]
5  	92   	[0.06372008 0.11342758 0.06254668]	[ 0.         -0.03471017  0.        ]	[0.08952444 0.1111325  0.0782093 ]	[0.29036057 0.55734602 0.25174838]
6  	92   	[0.0856513  0.13205732 0.08635722]	[ 0.         -0.03471017  0.        ]	[0.11919739 0.16638341 0.12215147]	[0.60578215 0.56021112 0.56720756]
7  	92   	[0.08432178 0.13915488 0.08453076]	[ 0.         -0.03471017  0.        ]	[0.14319222 0.21103175 0.14590163]	[0.60578215 0.70969637 0.56720756]
8  	92   	[0.09424668 0.15518921 0.08858137]	[-0.01775113 -0.03471017  0.        ]	[0.17142935 0.26046029 0.17132684]	[0.6070094  0.96365668 0.56720756]
9  	92   	[0.10407758 0.19068295 0.09877502]	[ 0.         -0.04304746  0.        ]	[0.18792983 0.30804836 0.19450247]	[0.6070094  0.96646629 0.56720756]
10 	92   	[0.10399265 0.22320274 0.11863426]	[ 0.         -0.04304746  0.        ]	[0.21159026 0.36945443 0.21430843]	[0.6070094  0.96732514 0.56720756]
11 	92   	[0.11977193 0.2557387  0.12084718]	[ 0.         -0.04304746  0.        ]	[0.24396162 0.4428146  0.24104589]	[0.60779686 0.96732514 0.56720756]
12 	92   	[0.1412955  0.30508152 0.13776613]	[-0.04085474 -0.09169174  0.        ]	[0.26561424 0.50174799 0.26650814]	[0.61861761 0.96843594 0.57785291]
13 	92   	[0.15894412 0.33486146 0.14632578]	[ 0.         -0.09169174  0.        ]	[0.27889786 0.54147424 0.29569742]	[0.61861761 0.96843594 0.57785291]
14 	92   	[0.16285494 0.3303455  0.14822317]	[ 0.         -0.08718228  0.        ]	[0.28658808 0.6202254  0.31282173]	[0.61861761 0.96843594 0.58937435]
15 	92   	[0.17709772 0.32839373 0.14828183]	[ 0.         -0.06651174  0.        ]	[0.28091128 0.6136446  0.34402504]	[0.61861761 0.97039642 0.73554213]
16 	92   	[0.17151996 0.33039796 0.14639771]	[0. 0. 0.]                           	[0.31606737 0.63902689 0.35385562]	[0.61861761 0.97039642 0.7410293 ]
17 	92   	[0.17266823 0.32292405 0.1564006 ]	[0. 0. 0.]                           	[0.3226535  0.63924086 0.35001486]	[0.61861761 0.97039642 0.7410293 ]
18 	92   	[0.17752656 0.31701015 0.16867465]	[0.         0.12379747 0.        ]   	[0.34443283 0.63042364 0.34174311]	[0.61861761 0.97039642 0.7410293 ]
19 	92   	[0.19617193 0.2943447  0.17745096]	[0.         0.12379747 0.        ]   	[0.3762576  0.59491586 0.37529138]	[0.61861761 0.97039642 0.7410293 ]
20 	92   	[0.18512322 0.28831293 0.19841596]	[0.         0.12379747 0.        ]   	[0.38794702 0.5670521  0.36607159]	[0.61861761 0.97039642 0.81909   ]
21 	92   	[0.1907234  0.28698075 0.194806  ]	[0.         0.12379747 0.        ]   	[0.39020606 0.59157396 0.37942148]	[0.61861761 0.97039642 0.81909   ]
22 	92   	[0.18659002 0.29310321 0.20193601]	[0.         0.12379747 0.        ]   	[0.41476311 0.59192938 0.37028628]	[0.61861761 0.97039642 0.81909   ]
23 	92   	[0.18556643 0.27378324 0.20767829]	[0.         0.12982207 0.        ]   	[0.40687773 0.58787621 0.39081519]	[0.62279382 0.97039642 0.81909   ]
24 	92   	[0.17902466 0.2750493  0.20064484]	[0.         0.12982207 0.        ]   	[0.39285347 0.58823738 0.41748682]	[0.62279382 0.97296463 0.81909   ]
25 	92   	[0.17629667 0.28771453 0.20240061]	[0. 0. 0.]                           	[0.3932152  0.61308618 0.42744734]	[0.62279382 0.97296463 0.81909   ]
26 	92   	[0.18191489 0.30060419 0.21224001]	[0. 0. 0.]                           	[0.42402852 0.64596278 0.40068058]	[0.62279382 0.97296463 0.81909   ]
27 	92   	[0.18192606 0.28932831 0.2100128 ]	[0. 0. 0.]                           	[0.40786063 0.6720554  0.41814861]	[0.62279382 0.97296463 0.81909   ]
28 	92   	[0.17842353 0.29021039 0.19888713]	[0.1668448 0.        0.       ]      	[0.43323817 0.63352954 0.43120918]	[0.62279382 0.97296463 0.81909   ]
29 	92   	[0.18064566 0.28983882 0.21839165]	[0.1668448 0.        0.       ]      	[0.43225292 0.60818989 0.41491988]	[0.6239416  0.97296463 0.81909   ]
30 	92   	[0.18117475 0.27944766 0.20406672]	[0.1668448 0.        0.       ]      	[0.42721285 0.6220445  0.43946838]	[0.62426189 0.97296463 0.81909   ]
31 	92   	[0.17857863 0.2761686  0.20884035]	[0.1668448 0.        0.       ]      	[0.41972009 0.62418562 0.4383549 ]	[0.6287735  0.97296463 0.81909   ]
32 	92   	[0.17745351 0.28573831 0.18873248]	[0.1668448 0.        0.       ]      	[0.42501711 0.62272043 0.44321211]	[0.6287735  0.97296463 0.81909   ]
33 	92   	[0.17858831 0.28628296 0.18970203]	[0.1653459 0.        0.       ]      	[0.4207724  0.61536548 0.45957512]	[0.6287735  0.97296463 0.81909   ]
34 	92   	[0.17724994 0.28477858 0.19045494]	[0.1653459 0.        0.       ]      	[0.41365118 0.63061776 0.46112815]	[0.6287735  0.97296463 0.81909   ]
35 	92   	[0.17505164 0.27932756 0.18503273]	[0.1653459 0.        0.       ]      	[0.4075638  0.64689398 0.47010733]	[0.6287735  0.97296463 0.82218029]
36 	92   	[0.17513022 0.27540611 0.17946454]	[0.1653459 0.        0.       ]      	[0.40773185 0.64874605 0.47481373]	[0.6287735  0.97296463 0.82218029]
37 	92   	[0.17408181 0.27754308 0.19623101]	[0.1653459 0.        0.       ]      	[0.43056624 0.63276594 0.45328449]	[0.6287735  0.97296463 0.82218029]
38 	92   	[0.17416019 0.26549161 0.19022385]	[0.1653459 0.        0.       ]      	[0.42597011 0.63769333 0.45856557]	[0.6287735  0.97296463 0.82218029]
39 	92   	[0.1729279  0.26601413 0.19630468]	[0.1653459 0.        0.       ]      	[0.42899741 0.6487984  0.45125215]	[0.63002015 0.97296463 0.82218029]
40 	92   	[0.17772897 0.26552338 0.20886906]	[0.1653459 0.        0.       ]      	[0.4296194  0.63215637 0.45495651]	[0.63002015 0.97296463 0.82218029]
41 	92   	[0.17412775 0.25660825 0.19655044]	[0.1653459 0.        0.       ]      	[0.4174253  0.65249716 0.47497741]	[0.63002015 0.97296463 0.82218029]
42 	92   	[0.17582364 0.26379705 0.20239487]	[0.1653459 0.        0.       ]      	[0.40800517 0.65700172 0.48122024]	[0.63002015 0.97296463 0.82218029]
43 	92   	[0.17598703 0.26259642 0.21681036]	[0.1653459 0.        0.       ]      	[0.40312327 0.67077185 0.47161918]	[0.63002015 0.97296463 0.82218029]
44 	92   	[0.17455813 0.26177934 0.21819622]	[0.1653459 0.        0.       ]      	[0.39928218 0.68190609 0.46850941]	[0.63097029 0.97296463 0.82218029]
45 	92   	[0.17870932 0.25930101 0.22489353]	[0.1653459 0.        0.       ]      	[0.42265379 0.63871261 0.47848015]	[0.63097029 0.97296463 0.82218029]
46 	92   	[0.18115681 0.24721929 0.23239581]	[0.1653459 0.        0.       ]      	[0.42815146 0.60890961 0.48547094]	[0.63097029 0.97296463 0.82218029]
47 	92   	[0.18455383 0.25175002 0.23870537]	[0.1653459 0.        0.       ]      	[0.40946697 0.59867468 0.50244417]	[0.63097029 0.97296463 0.82218029]
48 	92   	[0.18385375 0.25738372 0.23295543]	[0.1653459 0.        0.       ]      	[0.40572967 0.60304654 0.50556933]	[0.63097029 0.97307195 0.82218029]
49 	92   	[0.18258141 0.25543136 0.22812851]	[0.1668448 0.        0.       ]      	[0.40639101 0.60934601 0.51314129]	[0.63097029 0.97307195 0.82218029]
50 	92   	[0.18073846 0.25484093 0.22625683]	[0.1668448 0.        0.       ]      	[0.40861264 0.60949462 0.51212655]	[0.63097029 0.97307195 0.82218029]
51 	92   	[0.18381385 0.25890318 0.22649635]	[0. 0. 0.]                           	[0.41075061 0.6116388  0.51796293]	[0.63097029 0.97307195 0.82218029]
52 	92   	[0.17876246 0.25844921 0.23117048]	[0.1668448  0.16794369 0.        ]   	[0.40650596 0.62518749 0.51041524]	[0.63097029 0.97307195 0.82218029]
53 	92   	[0.17261003 0.26370061 0.2021635 ]	[0.1668448  0.16794369 0.        ]   	[0.38952053 0.64613796 0.5348241 ]	[0.63097029 0.97307195 0.82218029]
54 	92   	[0.18012877 0.27102683 0.19534624]	[0.1663375  0.15984094 0.        ]   	[0.41161456 0.64139072 0.53807104]	[0.63097029 0.97307195 0.82218029]
55 	92   	[0.18142015 0.27016715 0.18234403]	[0.1663375  0.15984094 0.        ]   	[0.41072436 0.65461675 0.53784509]	[0.63097029 0.97307195 0.82218029]
56 	92   	[0.18104597 0.27363161 0.17377316]	[0.1663375  0.15984094 0.        ]   	[0.40208206 0.64567523 0.54859976]	[0.63097029 0.97307195 0.82218029]
57 	92   	[0.17868346 0.26124327 0.17791569]	[0.1663375  0.15984094 0.        ]   	[0.39910572 0.67586455 0.54623785]	[0.63097029 0.97307195 0.82218029]
58 	92   	[0.17654493 0.26395236 0.17446805]	[0.1663375  0.15672304 0.        ]   	[0.40163839 0.68297501 0.54806256]	[0.63097029 0.97307195 0.82218029]
59 	92   	[0.17752709 0.27060563 0.17201314]	[0.16740117 0.15672304 0.        ]   	[0.41463116 0.67034145 0.55188013]	[0.63097029 0.97307195 0.82218029]
60 	92   	[0.17948037 0.26483546 0.17948834]	[0.16740117 0.15984094 0.        ]   	[0.41035449 0.66539138 0.56169326]	[0.63097029 0.97307195 0.82218029]
61 	92   	[0.18152633 0.25852445 0.17516082]	[0.         0.15984094 0.        ]   	[0.40722484 0.67517857 0.55823433]	[0.63097029 0.97307195 0.82218029]
62 	92   	[0.186674   0.26015145 0.17845063]	[0.         0.15984094 0.        ]   	[0.39732314 0.69581423 0.55817557]	[0.63097029 0.97307195 0.82218029]
63 	92   	[0.18039657 0.25482256 0.17868787]	[0.         0.15984094 0.        ]   	[0.39424139 0.7028807  0.55899127]	[0.63097029 0.97307195 0.82218029]
64 	92   	[0.18119596 0.25857178 0.17878476]	[0.         0.15984094 0.        ]   	[0.39666207 0.69964133 0.55887171]	[0.63097029 0.97307195 0.82218029]
65 	92   	[0.1824828  0.25944961 0.17800005]	[0.         0.15984094 0.        ]   	[0.41237943 0.68629722 0.56324303]	[0.63097029 0.97307195 0.82218029]
66 	92   	[0.17834842 0.25454128 0.16955636]	[0.         0.15984094 0.        ]   	[0.4109207  0.69809413 0.56724409]	[0.63097029 0.97307195 0.82218029]
67 	92   	[0.18009495 0.25710673 0.17164737]	[0.         0.15984094 0.        ]   	[0.40647798 0.68398511 0.57601995]	[0.63097029 0.97307195 0.82218029]
