Matsuoka quadruped, body parameters:[1, 10, 6, 7, 1, 2, 4, 4, 8, 7, 6, 10, 1, 5, 9, 2, 3, 7, 2, 8, 9, 10, 3, 1, 7, 3, 5, 9, 10, 1, 1, 1]
{'b': 0.020000000000000004, 'gam': 0.1, 'x0': 0.6, 'c': 3.5, 'a': 0.2}
Inter-module:
[[ 0.  -1.8 -1.4 -0.6]
 [-1.4  0.  -0.8 -1. ]
 [-1.4 -0.6  0.  -1.8]
 [-0.8 -1.  -1.4  0. ]]
Intra-module:
[[ 0.  -0.8 -1.4]
 [-0.6  0.   1.4]
 [ 1.8 -1.   0. ]]
Bias:[2.  1.1 1.5]
Drive coeff:[ 0.7 -0.7 -0.5]
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.01667378 0.01798674 0.01276114]	[0. 0. 0.]	[0.00441001 0.00475635 0.00287116]	[0.11271696 0.10553197 0.0820653 ]
1  	92   	[0.02688337 0.02273519 0.01488266]	[0. 0. 0.]	[0.00936858 0.00930466 0.00435698]	[0.18209069 0.10553197 0.0820653 ]
2  	92   	[0.04007962 0.03431948 0.02077143]	[0. 0. 0.]	[0.01999079 0.02042717 0.00951687]	[0.20192132 0.13726143 0.0820653 ]
3  	92   	[0.04252878 0.04466682 0.02474993]	[0. 0. 0.]	[0.03154272 0.0359425  0.01458736]	[0.20192132 0.2618243  0.08957623]
4  	92   	[0.04582497 0.04524216 0.02856365]	[0. 0. 0.]	[0.05228447 0.05556877 0.02832386]	[0.25088561 0.2618243  0.09269549]
5  	92   	[0.04524391 0.05494171 0.03626641]	[0. 0. 0.]	[0.07064554 0.08060033 0.04602326]	[0.25088561 0.27869747 0.15216818]
6  	92   	[0.04631513 0.0681206  0.04049095]	[0. 0. 0.]	[0.08219606 0.10515428 0.05674069]	[0.25088561 0.45196725 0.15355833]
7  	92   	[0.04321214 0.07291103 0.04848305]	[0. 0. 0.]	[0.09050995 0.11698361 0.06285992]	[0.25088561 0.45196725 0.27390374]
8  	92   	[0.04630566 0.07990506 0.0567161 ]	[0. 0. 0.]	[0.10288664 0.13494037 0.06460358]	[0.25088561 0.45196725 0.27390374]
9  	92   	[0.04589763 0.08889629 0.06270975]	[0. 0. 0.]	[0.10958301 0.15119657 0.07562345]	[0.25088561 0.45196725 0.27390374]
10 	92   	[0.04953526 0.09958622 0.07338042]	[0. 0. 0.]	[0.12079497 0.17575912 0.0873261 ]	[0.25088561 0.47356095 0.27390374]
11 	92   	[0.0461644  0.1371331  0.07849432]	[0. 0. 0.]	[0.12749794 0.22304237 0.11247381]	[0.25088561 0.5748872  0.27390374]
12 	92   	[0.04610876 0.14549103 0.07603602]	[0. 0. 0.]	[0.13424753 0.24821723 0.11868035]	[0.25088561 0.5748872  0.27390374]
13 	92   	[0.04469168 0.15019803 0.07535692]	[0.05767421 0.         0.        ]	[0.14237074 0.28685326 0.13911771]	[0.25088561 0.5748872  0.27852288]
14 	92   	[0.04616623 0.15432558 0.07279543]	[0.04645955 0.         0.        ]	[0.14316681 0.33373943 0.14754094]	[0.25088561 0.5929821  0.27852288]
15 	92   	[0.04586474 0.15422397 0.07872656]	[0.04645955 0.         0.        ]	[0.14944185 0.34068539 0.15341228]	[0.25088561 0.5929821  0.29910786]
16 	92   	[0.05165583 0.16009776 0.08474371]	[0.04645955 0.         0.        ]	[0.15297983 0.35888882 0.15972063]	[0.26729167 0.5929821  0.29910786]
17 	92   	[0.06356053 0.15771814 0.08665874]	[0.04645955 0.         0.        ]	[0.16466731 0.36448793 0.15899561]	[0.40881618 0.5978659  0.29910786]
18 	92   	[0.06396914 0.14449678 0.08730821]	[0.04645955 0.         0.        ]	[0.16674336 0.35774153 0.16894577]	[0.40881618 0.5978659  0.29910786]
19 	92   	[0.06505533 0.15538583 0.08827044]	[0.04645955 0.         0.        ]	[0.16956333 0.34976343 0.17924275]	[0.40881618 0.5978659  0.41298679]
20 	92   	[0.07471039 0.16086041 0.09310763]	[0.04645955 0.         0.        ]	[0.17623759 0.35048531 0.18379613]	[0.40881618 0.5978659  0.41298679]
21 	92   	[0.0791127  0.15770977 0.09283784]	[0.04645955 0.         0.        ]	[0.18404015 0.34678815 0.1850297 ]	[0.40881618 0.5978659  0.41298679]
22 	92   	[0.08311075 0.16293632 0.11218332]	[0.04645955 0.         0.        ]	[0.18737116 0.33702419 0.19000272]	[0.40881618 0.5978659  0.65930092]
23 	92   	[0.08314776 0.15781433 0.10886266]	[0.04645955 0.         0.        ]	[0.18983038 0.35238402 0.19693743]	[0.40881618 0.5978659  0.65930092]
24 	92   	[0.09194484 0.16345799 0.12003339]	[0.04645955 0.         0.        ]	[0.20087577 0.33320186 0.19713181]	[0.43852621 0.5978659  0.65930092]
25 	92   	[0.10403028 0.16658435 0.11334307]	[0.04645955 0.         0.        ]	[0.20207248 0.33121148 0.21990614]	[0.46683538 0.5978659  0.65930092]
26 	92   	[0.10689776 0.1623323  0.11131687]	[0.04645955 0.         0.        ]	[0.19874912 0.3418696  0.21953526]	[0.46683538 0.5978659  0.65930092]
27 	92   	[0.11479521 0.16059284 0.11164201]	[0.04645955 0.         0.        ]	[0.21142909 0.33943223 0.22264441]	[0.46683538 0.5978659  0.65930092]
28 	92   	[0.11590052 0.15711082 0.10874232]	[0.08331075 0.         0.        ]	[0.21538361 0.34112345 0.22632524]	[0.46683538 0.5978659  0.65930092]
29 	92   	[0.12205865 0.16472929 0.12114374]	[0.05364222 0.         0.        ]	[0.23648394 0.31029647 0.22664275]	[0.46683538 0.75906957 0.65930092]
30 	92   	[0.11951246 0.16739127 0.13384681]	[0.05601003 0.         0.        ]	[0.24552079 0.30978286 0.22611678]	[0.46683538 0.75906957 0.75715173]
31 	92   	[0.12768516 0.16355248 0.1433918 ]	[0.08331075 0.         0.        ]	[0.26625707 0.31353383 0.22751219]	[0.6913064  0.75906957 0.75715173]
32 	92   	[0.12626366 0.1692094  0.14804358]	[0.07515542 0.         0.        ]	[0.26749607 0.32141531 0.23122226]	[0.6913064  0.75906957 0.76091453]
33 	92   	[0.14153633 0.15587098 0.15072985]	[0.07515542 0.         0.        ]	[0.30195524 0.31601353 0.24359686]	[0.71764642 0.75906957 0.76091453]
34 	92   	[0.14977156 0.17542757 0.16760303]	[0.07515542 0.         0.        ]	[0.33616751 0.31093391 0.26014205]	[0.71764642 0.76268443 0.76091453]
35 	92   	[0.15959715 0.16974785 0.17458606]	[0. 0. 0.]                        	[0.34516361 0.32115901 0.2950286 ]	[0.71770793 0.76268443 0.76091453]
36 	92   	[0.14082727 0.15126731 0.17980631]	[0.07515542 0.         0.        ]	[0.38631083 0.30224219 0.2856817 ]	[0.71770793 0.76268443 0.76091453]
37 	92   	[0.1253603  0.14654306 0.18829559]	[0.07515542 0.         0.        ]	[0.40886347 0.29084846 0.2951816 ]	[0.71770793 0.76268443 0.76091453]
38 	92   	[0.12992391 0.17575    0.1796263 ]	[0.18735382 0.         0.        ]	[0.42216446 0.30233992 0.33269413]	[0.71806364 1.00198981 0.76091453]
39 	92   	[0.14859673 0.18858405 0.20042418]	[0.13690439 0.         0.        ]	[0.41389713 0.35192544 0.36970198]	[0.71806364 1.00198981 0.76091453]
40 	92   	[0.15542387 0.2020732  0.20587477]	[0.13690439 0.         0.        ]	[0.41831497 0.36113598 0.39819091]	[0.71806364 1.00198981 0.76091453]
41 	92   	[0.15303133 0.2013648  0.21424348]	[0.13690439 0.         0.        ]	[0.43794198 0.3752463  0.40182482]	[0.71806364 1.00198981 0.76091453]
42 	92   	[0.16860997 0.2028375  0.22249702]	[0. 0. 0.]                        	[0.43478555 0.39085698 0.45348982]	[0.71806364 1.00198981 0.99251289]
43 	92   	[0.17619259 0.20494367 0.22855152]	[0. 0. 0.]                        	[0.43131871 0.40701093 0.47356384]	[0.71806364 1.00198981 0.99251289]
44 	92   	[0.18649997 0.20499529 0.21242709]	[0. 0. 0.]                        	[0.43691754 0.40545112 0.51372351]	[0.71806364 1.00198981 0.99251289]
45 	92   	[0.20107996 0.2075388  0.21902084]	[0. 0. 0.]                        	[0.4211001  0.44335532 0.508584  ]	[0.71812752 1.00198981 0.99251289]
46 	92   	[0.20782783 0.19669995 0.2109261 ]	[0. 0. 0.]                        	[0.41264415 0.45527574 0.53715129]	[0.71812752 1.00198981 0.99251289]
47 	92   	[0.20386229 0.18278866 0.20755383]	[0. 0. 0.]                        	[0.44611656 0.47406642 0.53238295]	[0.71812752 1.00198981 0.99251289]
48 	92   	[0.20629761 0.17969969 0.21678284]	[0. 0. 0.]                        	[0.4547189  0.47295924 0.52973949]	[0.71812752 1.00198981 0.99251289]
49 	92   	[0.20288157 0.17977004 0.20671292]	[0. 0. 0.]                        	[0.45326086 0.47688111 0.5432102 ]	[0.71812752 1.00198981 0.99251289]
50 	92   	[0.20683139 0.18114959 0.21467106]	[0. 0. 0.]                        	[0.45083672 0.47542741 0.5368047 ]	[0.71812752 1.00198981 0.99251289]
51 	92   	[0.21030456 0.18144061 0.22127919]	[0. 0. 0.]                        	[0.45691632 0.47631319 0.53320001]	[0.71812752 1.00198981 0.99251289]
52 	92   	[0.21827192 0.18559878 0.2240315 ]	[0. 0. 0.]                        	[0.45593287 0.47351205 0.53915549]	[0.92254694 1.00198981 0.99251289]
53 	92   	[0.21537696 0.18884924 0.22503427]	[0. 0. 0.]                        	[0.44488884 0.47265409 0.55631856]	[0.92254694 1.00198981 0.99251289]
54 	92   	[0.21326895 0.18960598 0.19081225]	[0. 0. 0.]                        	[0.44570647 0.46461781 0.59198714]	[0.92254694 1.00198981 0.99251289]
