Matsuoka quadruped, body parameters:[1, 10, 6, 1, 9, 2, 5, 4, 8, 10, 5, 9, 1, 3, 10, 2, 10, 7, 2, 6, 9, 10, 3, 1, 9, 3, 10, 9, 4, 8, 9, 1]
{'b': 0.020000000000000004, 'gam': 0.1, 'x0': 0.6, 'c': 0.5, 'a': 1.8}
Inter-module:
[[ 0.  -1.8 -1.4 -0.6]
 [-1.2  0.  -0.2 -1.2]
 [-1.4 -0.6  0.  -1.8]
 [-0.2 -1.2 -1.2  0. ]]
Intra-module:
[[ 0.  -0.8 -1.4]
 [-1.   0.   1.4]
 [ 1.8 -1.   0. ]]
Bias:[1.9 1.1 1.3]
Drive coeff:[ 0.9 -0.7  0.9]
Base period:4.48
gen	evals	std                               	min                                  	avg                               	max                               
0  	92   	[0.02184845 0.00971555 0.0056409 ]	[ 0.         -0.00709537  0.        ]	[0.004751   0.00093757 0.00059133]	[0.1520725  0.09335194 0.05440206]
1  	92   	[0.02870484 0.01957932 0.01773267]	[0. 0. 0.]                           	[0.00872532 0.00437515 0.00317021]	[0.1520725  0.12026629 0.12564227]
2  	92   	[0.03306806 0.02380017 0.01773267]	[0. 0. 0.]                           	[0.01233568 0.0064245  0.00317021]	[0.1520725  0.12138162 0.12564227]
3  	92   	[0.04216061 0.03128301 0.0300581 ]	[-0.1111041  0.         0.       ]   	[0.01703892 0.01156601 0.00810604]	[0.16615065 0.12824803 0.17654343]
4  	92   	[0.05192414 0.06726832 0.04218096]	[-0.1111041  0.         0.       ]   	[0.02303292 0.01843899 0.01249831]	[0.29987794 0.58668113 0.26454807]
5  	92   	[0.06383599 0.08619218 0.05379748]	[-0.1111041  0.         0.       ]   	[0.04202557 0.03657694 0.02048935]	[0.29987794 0.58668113 0.26454807]
6  	92   	[0.0677838  0.09146485 0.06214354]	[-0.1111041  -0.00038967  0.        ]	[0.06082098 0.05906284 0.0326333 ]	[0.29987794 0.58668113 0.26454807]
7  	92   	[0.07571863 0.14648091 0.07619293]	[ 0.         0.        -0.0523891]   	[0.09011861 0.10262147 0.05632982]	[0.300123   1.00435591 0.29888938]
8  	92   	[0.07720172 0.17943126 0.10181874]	[ 0.         0.        -0.0523891]   	[0.12308461 0.14965561 0.09708344]	[0.32266481 1.00435591 0.58904017]
9  	92   	[0.07999548 0.21111907 0.10642329]	[ 0.         0.        -0.0523891]   	[0.14146551 0.2143634  0.13200464]	[0.32266481 1.00767338 0.58904017]
