Matsuoka quadruped, body parameters:[5, 9, 9, 5, 2, 4, 3, 3, 10, 10, 4, 10, 8, 10, 5, 1, 4, 10, 1, 9, 10, 7, 4, 3, 6, 1, 4, 8, 8, 8, 9, 7]
{'b': 0.1, 'gam': 0.09000000000000001, 'x0': 0.9, 'c': 2.5, 'a': 0.4}
Inter-module:
[[ 0.  -1.4 -1.6 -0.2]
 [-1.6  0.  -0.2 -1.4]
 [-1.6 -0.2  0.  -1.4]
 [-0.2 -1.4 -1.6  0. ]]
Intra-module:
[[ 0.  -0.2 -1.8]
 [-0.4  0.   1.8]
 [ 0.6 -0.6  0. ]]
Bias:[2.  1.8 2. ]
Drive coeff:[-0.1 -0.9 -0.3]
Base period:6.08
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.01336874 0.02658039 0.01552073]	[0. 0. 0.]	[0.00145564 0.00278638 0.00162701]	[0.1288882  0.25634717 0.14968531]
1  	92   	[0.01868263 0.02825014 0.02047933]	[0. 0. 0.]	[0.0028398 0.0038205 0.0030456]   	[0.1288882  0.25634717 0.14968531]
2  	92   	[0.0287993  0.03371511 0.03490673]	[0. 0. 0.]	[0.00650983 0.00612421 0.00604254]	[0.15695597 0.25634717 0.27571882]
3  	92   	[0.03809693 0.04179425 0.0411061 ]	[0. 0. 0.]	[0.01350438 0.0115086  0.01022952]	[0.16214675 0.25634717 0.27571882]
4  	92   	[0.04785023 0.05669055 0.04824612]	[0. 0. 0.]	[0.02438958 0.02214142 0.01649306]	[0.16214675 0.25634717 0.27571882]
5  	92   	[0.05760648 0.07072176 0.06448141]	[0. 0. 0.]	[0.04416676 0.04199298 0.03259826]	[0.18394839 0.25634717 0.27571882]
6  	92   	[0.06037875 0.11373793 0.09646601]	[ 0.         -0.00082237  0.        ]	[0.07538901 0.08015075 0.07333051]	[0.19113226 0.77057866 0.5530348 ]
7  	92   	[0.04910237 0.14502596 0.10827602]	[ 0.         -0.00082237  0.        ]	[0.11924295 0.15777649 0.14042351]	[0.2341331  0.77057866 0.5530348 ]
8  	92   	[0.05067887 0.15154342 0.11842788]	[0. 0. 0.]                           	[0.1379261  0.21357343 0.1835061 ]	[0.27022148 0.77057866 0.5530348 ]
9  	92   	[0.04988355 0.17067383 0.14502466]	[-0.0159725  -0.00565493  0.        ]	[0.15307234 0.26524779 0.21264423]	[0.27045128 0.78663645 0.55755527]
10 	92   	[0.05868788 0.19509362 0.15772976]	[-0.0159725  -0.00565493  0.        ]	[0.15879679 0.29862408 0.23201935]	[0.27045128 0.89038147 0.55755527]
11 	92   	[0.06195464 0.20693963 0.16441957]	[-0.0159725  -0.01843761  0.        ]	[0.17586322 0.34256896 0.2739812 ]	[0.27051064 0.89038147 0.55755527]
12 	92   	[0.06333745 0.22735839 0.15615806]	[ 0.         -0.01843761  0.        ]	[0.19400902 0.40700967 0.32097977]	[0.33175067 0.90814766 0.55755527]
13 	92   	[0.06610638 0.20851949 0.16828862]	[0. 0. 0.]                           	[0.20503442 0.49038929 0.35316496]	[0.33784234 0.90814766 0.55755527]
14 	92   	[0.05715802 0.21491519 0.15953189]	[0. 0. 0.]                           	[0.22751804 0.53157436 0.38113454]	[0.33956903 0.91791014 0.55755527]
15 	92   	[0.04475827 0.23105859 0.15680544]	[0.13238187 0.         0.        ]   	[0.24037813 0.58333041 0.39303933]	[0.34226482 0.91791014 0.55755527]
16 	92   	[0.05100822 0.21710227 0.16203527]	[0.05208974 0.         0.        ]   	[0.24679215 0.61012709 0.39495426]	[0.34226482 0.91791014 0.55755527]
17 	92   	[0.04843007 0.23399638 0.16262834]	[0.13238187 0.         0.        ]   	[0.25895287 0.62758955 0.3973846 ]	[0.34226482 0.91791014 0.55755527]
18 	92   	[0.04911334 0.22266354 0.16167084]	[0.13238187 0.         0.        ]   	[0.26466715 0.65423524 0.40773831]	[0.34226482 0.92107299 0.55764538]
19 	92   	[0.0513108  0.22878842 0.16475972]	[0.13238187 0.         0.        ]   	[0.26781593 0.64811371 0.40440661]	[0.34226482 0.92107299 0.55967005]
20 	92   	[0.06216821 0.23042533 0.19159587]	[0.13238187 0.         0.        ]   	[0.27267788 0.60675466 0.40723417]	[0.34227249 0.92107299 0.56050721]
