Matsuoka quadruped, body parameters:[6, 8, 4, 3, 2, 1, 3, 3, 8, 8, 1, 10, 7, 9, 6, 6, 3, 10, 1, 3, 10, 7, 4, 3, 2, 6, 10, 9, 4, 5, 6, 1]
{'b': 0.12, 'gam': 0.08000000000000002, 'x0': 0.4, 'c': 1.5, 'a': 0.4}
Inter-module:
[[ 0.  -2.  -1.6 -0.6]
 [-1.6  0.  -0.6 -2. ]
 [-1.6 -0.6  0.  -2. ]
 [-0.6 -2.  -1.6  0. ]]
Intra-module:
[[ 0.  -0.2 -1.8]
 [-1.6  0.   1.8]
 [ 0.6 -0.6  0. ]]
Bias:[2.  1.7 1.9]
Drive coeff:[ 0.1  0.1 -0.5]
Base period:5.92
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.00277593 0.00209277 0.        ]	[0. 0. 0.]	[0.00031661 0.00021938 0.        ]	[0.02668699 0.02018313 0.        ]
1  	92   	[0.02501471 0.05788882 0.02903235]	[0. 0. 0.]	[0.00454288 0.00663332 0.00304342]	[0.18118611 0.55757195 0.27999436]
2  	92   	[0.03274319 0.05796814 0.02903235]	[0. 0. 0.]	[0.00717863 0.00703224 0.00304342]	[0.20641754 0.55757195 0.27999436]
3  	92   	[0.04710811 0.05836722 0.03165973]	[0. 0. 0.]	[0.01193609 0.00826895 0.00440104]	[0.32757704 0.55757195 0.27999436]
4  	92   	[0.05720611 0.06116971 0.03439066]	[0. 0. 0.]	[0.01853317 0.0122016  0.00585813]	[0.32757704 0.55757195 0.27999436]
5  	92   	[0.0662896  0.06159862 0.04738942]	[0. 0. 0.]	[0.02894972 0.0142897  0.00934097]	[0.32757704 0.55757195 0.32042116]
6  	92   	[0.09358923 0.06485371 0.05451497]	[0. 0. 0.]	[0.04821659 0.02051293 0.01356106]	[0.65141108 0.55757195 0.32042116]
7  	92   	[0.09701824 0.07018195 0.06287519]	[0. 0. 0.]	[0.07787382 0.0324585  0.02055525]	[0.65141108 0.55757195 0.32042116]
8  	92   	[0.13695928 0.07214557 0.0674575 ]	[0. 0. 0.]	[0.09589385 0.04524098 0.02565942]	[0.92705537 0.55757195 0.32042116]
9  	92   	[0.15666252 0.11002595 0.07119132]	[0. 0. 0.]	[0.1068705  0.06836742 0.029756  ]	[0.92705537 0.70038235 0.32042116]
10 	92   	[0.16832443 0.13591681 0.09359742]	[0. 0. 0.]	[0.13201206 0.09849264 0.04605307]	[0.92705537 0.70038235 0.48021906]
11 	92   	[0.19232295 0.16287414 0.12906478]	[ 0.          0.         -0.02169287]	[0.17332724 0.13530038 0.07267006]	[0.92705537 0.70038235 0.86503664]
12 	92   	[0.20761773 0.18949281 0.14940639]	[ 0.          0.         -0.02169287]	[0.21233549 0.1804892  0.12315545]	[0.92705537 0.70038235 0.86503664]
13 	92   	[0.21838301 0.20500562 0.15083191]	[ 0.         -0.01841662 -0.00272869]	[0.2367785  0.22484168 0.15025155]	[0.92705537 0.70038235 0.86503664]
14 	92   	[0.23493587 0.26484434 0.19318803]	[-0.0173862  -0.01841662  0.        ]	[0.27891945 0.28464011 0.18144587]	[0.92705537 1.06561825 0.9812154 ]
15 	92   	[0.24292889 0.28602766 0.24929107]	[ 0.         -0.00980184  0.        ]	[0.32982445 0.37893535 0.24434553]	[0.92705537 1.08128827 0.9812154 ]
16 	92   	[0.25162821 0.27924469 0.27794938]	[0. 0. 0.]                           	[0.36303439 0.41683279 0.29663733]	[0.92705537 1.08128827 0.9812154 ]
17 	92   	[0.24074738 0.29925836 0.31375411]	[0. 0. 0.]                           	[0.3830473  0.45590348 0.34311462]	[0.92705537 1.08128827 0.9812154 ]
18 	92   	[0.22711823 0.33202082 0.33224488]	[0. 0. 0.]                           	[0.42333932 0.5106166  0.38566812]	[0.92791326 1.08128827 0.98131288]
19 	92   	[0.21749956 0.33963397 0.34043378]	[0. 0. 0.]                           	[0.40711484 0.48515641 0.45293018]	[0.92791326 1.09344811 0.98131288]
20 	92   	[0.21134256 0.34244647 0.32504789]	[0. 0. 0.]                           	[0.42014731 0.54016635 0.40658105]	[0.92791326 1.09344811 0.98131288]
21 	92   	[0.19834739 0.35200777 0.31945728]	[0.12334494 0.         0.        ]   	[0.42207986 0.5637785  0.39798653]	[0.92791326 1.09344811 0.99020268]
22 	92   	[0.20772623 0.35798932 0.32785101]	[0.08539824 0.         0.        ]   	[0.43085388 0.57674152 0.39945144]	[0.92791326 1.09344811 0.99020268]
23 	92   	[0.21949402 0.37136837 0.33545393]	[0.08539824 0.         0.        ]   	[0.44474628 0.54727104 0.39806408]	[0.92791326 1.09344811 0.99020268]
24 	92   	[0.22751458 0.40450498 0.3305701 ]	[0.08539824 0.         0.        ]   	[0.46041363 0.5197545  0.40574046]	[0.92791326 1.09344811 0.99020268]
25 	92   	[0.21447813 0.39081054 0.32942976]	[0.08539824 0.         0.        ]   	[0.4513899  0.57920161 0.42713584]	[0.92791326 1.09344811 0.99020268]
26 	92   	[0.21413418 0.37480616 0.32939302]	[0.08539824 0.         0.        ]   	[0.43729035 0.62051398 0.44826664]	[0.92822849 1.09344811 0.99020268]
27 	92   	[0.21589777 0.3777462  0.3298599 ]	[0.08539824 0.         0.        ]   	[0.44280926 0.65242193 0.44319795]	[0.92822849 1.09344811 0.99020268]
28 	92   	[0.22318044 0.35252278 0.3442683 ]	[0.08539824 0.         0.        ]   	[0.45533548 0.63775033 0.45878326]	[0.92827862 1.09344811 0.99020268]
29 	92   	[0.21743234 0.36182734 0.35086232]	[0.08539824 0.         0.        ]   	[0.43078256 0.64733161 0.51655773]	[0.92827862 1.09344811 0.99020268]
30 	92   	[0.22932243 0.37825238 0.3591982 ]	[0.08539824 0.         0.        ]   	[0.44610899 0.64431714 0.5162852 ]	[0.92827862 1.09344811 0.99020268]
31 	92   	[0.23936983 0.39154697 0.35518289]	[0.08539824 0.         0.        ]   	[0.4519454  0.64258242 0.53525171]	[0.92827862 1.09344811 0.99020268]
32 	92   	[0.23874309 0.34903531 0.34633384]	[0.08539824 0.         0.        ]   	[0.46339656 0.71269257 0.50565468]	[0.92827862 1.09344811 0.99020268]
33 	92   	[0.24041181 0.34933594 0.3388145 ]	[0.08539824 0.         0.        ]   	[0.47597877 0.70851404 0.52702039]	[0.92853304 1.10350166 0.99020268]
34 	92   	[0.24748961 0.36370561 0.34165997]	[0.08539824 0.         0.        ]   	[0.486416   0.68689382 0.51709218]	[0.92853304 1.10350166 0.99020268]
35 	92   	[0.24838209 0.37112635 0.35055165]	[0.08539824 0.         0.        ]   	[0.48928746 0.69672893 0.52794562]	[0.92853304 1.10350166 0.99020268]
36 	92   	[0.25448456 0.37942759 0.34925605]	[0.01511664 0.         0.        ]   	[0.49143522 0.6929136  0.52192446]	[0.92853304 1.10350166 0.99020268]
