Matsuoka quadruped, body parameters:[1, 8, 9, 5, 2, 4, 3, 3, 10, 10, 4, 10, 8, 10, 5, 6, 2, 8, 3, 2, 10, 10, 2, 5, 6, 1, 10, 8, 8, 8, 9, 4]
{'b': 0.020000000000000004, 'gam': 0.08000000000000002, 'x0': 0.9, 'c': 2.5, 'a': 0.4}
Inter-module:
[[ 0.  -1.4 -1.6 -0.2]
 [-1.6  0.  -0.2 -1.4]
 [-1.6 -0.2  0.  -1.4]
 [-0.2 -1.4 -1.6  0. ]]
Intra-module:
[[ 0.  -0.6 -1. ]
 [-1.8  0.   1.8]
 [ 1.8 -1.4  0. ]]
Bias:[2.  1.8 2. ]
Drive coeff:[-0.1  0.1 -0.7]
Base period:4.48
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.01885149 0.02798999 0.00607775]	[0. 0. 0.]	[0.00560354 0.00847688 0.00063712]	[0.09316377 0.16935662 0.05861512]
1  	92   	[0.02637587 0.04170345 0.01087107]	[-0.00194047  0.          0.        ]	[0.01184067 0.02151992 0.00199463]	[0.09444132 0.16935662 0.06385924]
2  	92   	[0.03405642 0.0458621  0.01752671]	[-0.00194047  0.          0.        ]	[0.01952335 0.03235194 0.00412556]	[0.14962184 0.16935662 0.11736556]
3  	92   	[0.03912338 0.04877081 0.03263399]	[-0.00194047  0.          0.        ]	[0.02881875 0.04811363 0.01111823]	[0.14962184 0.16935662 0.18992076]
4  	92   	[0.04347779 0.05636926 0.03475097]	[-0.00194047 -0.01915376  0.        ]	[0.04599703 0.06046599 0.01385355]	[0.14962184 0.30235788 0.18992076]
5  	92   	[0.05779434 0.11032719 0.04472979]	[ 0.         -0.01458437  0.        ]	[0.05537536 0.07711831 0.01992121]	[0.28791019 0.96541544 0.25358228]
6  	92   	[0.07317928 0.14207076 0.05550802]	[ 0.         -0.01458437  0.        ]	[0.06738404 0.09701625 0.03111185]	[0.40184273 0.96541544 0.25358228]
7  	92   	[0.08044277 0.14528008 0.06063956]	[ 0.         -0.01458437  0.        ]	[0.08174695 0.12172993 0.04691419]	[0.40184273 0.96541544 0.25358228]
8  	92   	[0.08631785 0.17599461 0.09234958]	[ 0.         -0.00679734  0.        ]	[0.09506628 0.146117   0.06715102]	[0.40184273 0.9654582  0.55740243]
9  	92   	[0.09608701 0.18043504 0.09859019]	[ 0.         -0.00679734 -0.0229176 ]	[0.12024889 0.15613696 0.08713525]	[0.41645378 0.9654582  0.55740243]
10 	92   	[0.11186391 0.19577908 0.11473003]	[-0.00532708  0.         -0.0229176 ]	[0.13675213 0.19253064 0.11538699]	[0.41843034 0.96627923 0.55740243]
11 	92   	[0.11287729 0.22937251 0.13960381]	[-0.00532708  0.          0.        ]	[0.16611905 0.23249022 0.16605921]	[0.41946728 0.96777733 0.56775455]
12 	92   	[0.11942771 0.24501104 0.15020944]	[-0.00532708  0.          0.        ]	[0.18067908 0.26087805 0.21015519]	[0.45539887 0.96777733 0.56775455]
13 	92   	[0.12746015 0.28684328 0.16766717]	[-0.00532708  0.          0.        ]	[0.20404279 0.32687777 0.26125594]	[0.65372492 0.96785319 0.58179093]
