Matsuoka quadruped, body parameters:[3, 8, 4, 3, 2, 1, 3, 7, 10, 10, 4, 10, 8, 9, 5, 1, 4, 10, 1, 3, 10, 7, 4, 10, 1, 9, 10, 9, 4, 5, 6, 1]
{'b': 0.06, 'gam': 0.08000000000000002, 'x0': 0.4, 'c': 1.5, 'a': 0.4}
Inter-module:
[[ 0.  -2.  -0.8 -0.2]
 [-1.6  0.  -0.2 -1.4]
 [-0.8 -0.2  0.  -2. ]
 [-0.2 -1.4 -1.6  0. ]]
Intra-module:
[[ 0.  -0.2 -1.8]
 [-1.6  0.   1.8]
 [ 0.6 -0.6  0. ]]
Bias:[2.  1.8 1.9]
Drive coeff:[-0.1 -0.9 -0.3]
Base period:4.48
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.01802808 0.02164562 0.03300258]	[0. 0. 0.]	[0.00315632 0.0039385  0.00684991]	[0.11822831 0.14041399 0.21834965]
1  	92   	[0.02656775 0.03486582 0.0486871 ]	[ 0.         -0.02360634  0.        ]	[0.00632134 0.00901024 0.0131738 ]	[0.15172904 0.19916814 0.24747234]
2  	92   	[0.04283781 0.05617479 0.06861741]	[ 0.         -0.02360634  0.        ]	[0.01612396 0.02187348 0.02643783]	[0.18408217 0.2429865  0.29756228]
3  	92   	[0.0544981  0.07016532 0.08185131]	[ 0.         -0.02360634  0.        ]	[0.02933356 0.0381356  0.04191886]	[0.18408217 0.29756369 0.33361541]
4  	92   	[0.0612647  0.0865521  0.09079324]	[ 0.         -0.02360634  0.        ]	[0.0532601  0.06868442 0.06545704]	[0.18408217 0.43936596 0.33361541]
5  	92   	[0.06071508 0.07975693 0.10104748]	[ 0.         -0.03699911  0.        ]	[0.09140112 0.12046014 0.10858647]	[0.21675683 0.43936596 0.44612117]
6  	92   	[0.0669533  0.08779225 0.10807806]	[ 0.         -0.03699911 -0.01506273]	[0.10213391 0.14051418 0.15551682]	[0.21841729 0.43936596 0.60779415]
7  	92   	[0.07143949 0.08625736 0.11292843]	[ 0.         -0.03699911 -0.01506273]	[0.10972122 0.16920136 0.17712403]	[0.21848581 0.43936596 0.60779415]
8  	92   	[0.0777805  0.09177886 0.12496053]	[0. 0. 0.]                           	[0.1181615  0.19209462 0.21571115]	[0.21848581 0.46780783 0.61295933]
9  	92   	[0.08794194 0.12006681 0.16610646]	[0. 0. 0.]                           	[0.12732031 0.21353773 0.26161874]	[0.21895013 0.61842514 0.6970083 ]
10 	92   	[0.09363072 0.12749073 0.17776725]	[ 0.          0.         -0.04001065]	[0.14606073 0.23887856 0.28457942]	[0.36663035 0.62143411 0.6970083 ]
11 	92   	[0.10905843 0.13157774 0.19400587]	[ 0.          0.         -0.04001065]	[0.16575143 0.24961439 0.2886533 ]	[0.73966038 0.62143411 0.6970083 ]
12 	92   	[0.10424216 0.14295397 0.21260968]	[ 0.          0.         -0.04001065]	[0.17955716 0.26240488 0.31764548]	[0.73966038 0.62143411 0.6970083 ]
13 	92   	[0.11019319 0.16111764 0.22664139]	[0. 0. 0.]                           	[0.1773178  0.28886367 0.32518396]	[0.73966038 0.62494173 0.6970083 ]
14 	92   	[0.11607091 0.17091707 0.23813827]	[0. 0. 0.]                           	[0.20045737 0.30816704 0.33310363]	[0.74594732 0.62494173 0.6970083 ]
15 	92   	[0.12551622 0.17325324 0.23021492]	[0. 0. 0.]                           	[0.21543753 0.34170964 0.35370252]	[0.74594732 1.04152316 0.6970083 ]
16 	92   	[0.14522978 0.19571213 0.24007206]	[0. 0. 0.]                           	[0.22828959 0.3414651  0.37111927]	[0.74618582 1.04923079 0.6970083 ]
17 	92   	[0.14534858 0.19801841 0.23832364]	[0. 0. 0.]                           	[0.22902203 0.34196638 0.39808496]	[0.74618582 1.04923079 0.6970083 ]
18 	92   	[0.14905561 0.20340754 0.25391771]	[0. 0. 0.]                           	[0.22841859 0.34517993 0.4085883 ]	[0.74809682 1.04923079 0.93201487]
19 	92   	[0.14811256 0.20402061 0.25553661]	[0. 0. 0.]                           	[0.24858123 0.35946091 0.39057106]	[0.74809682 1.04923079 0.93201487]
20 	92   	[0.1487973  0.20084193 0.25309327]	[0. 0. 0.]                           	[0.25535728 0.37066221 0.37258975]	[0.74809682 1.04923079 0.93201487]
21 	92   	[0.15652521 0.19144002 0.24151991]	[0. 0. 0.]                           	[0.2727764  0.36828039 0.38508101]	[0.74809682 1.04923079 0.93201487]
22 	92   	[0.17901436 0.22235984 0.25456877]	[0. 0. 0.]                           	[0.2813673  0.39249428 0.39173601]	[0.74809682 1.04923079 0.93201487]
23 	92   	[0.18569626 0.23133986 0.23259301]	[0. 0. 0.]                           	[0.27781328 0.40603848 0.43809217]	[0.74809682 1.04923079 0.93201487]
24 	92   	[0.19073967 0.22824563 0.24731476]	[0. 0. 0.]                           	[0.27426126 0.42037254 0.43149574]	[0.74809682 1.04923079 0.93201487]
25 	92   	[0.18233861 0.21726653 0.24300986]	[0. 0. 0.]                           	[0.27310846 0.43671424 0.43609954]	[0.74809682 1.04923079 0.93201487]
26 	92   	[0.18992476 0.21103505 0.24974494]	[0. 0. 0.]                           	[0.27920377 0.43851852 0.42163379]	[0.74809682 1.04923079 0.93201487]
