Matsuoka quadruped, body parameters:[2, 5, 9, 5, 3, 3, 1, 1, 10, 10, 4, 5, 6, 8, 10, 4, 10, 10, 1, 5, 10, 8, 2, 1, 8, 7, 3, 7, 9, 8, 9, 1]
{'b': 0.04000000000000001, 'gam': 0.05, 'x0': 0.9, 'c': 2.5, 'a': 0.6}
Inter-module:
[[ 0.  -1.6 -2.  -0.2]
 [-2.   0.  -0.2 -1.4]
 [-2.  -0.2  0.  -1.6]
 [-0.2 -1.4 -2.   0. ]]
Intra-module:
[[ 0.  -0.2 -1.8]
 [-1.2  0.   1.8]
 [ 1.  -1.4  0. ]]
Bias:[1.5 1.6 1.8]
Drive coeff:[ 0.9 -0.3  0.9]
Base period:4.32
gen	evals	std                               	min                                  	avg                               	max                               
0  	92   	[0.03928981 0.04323273 0.03536558]	[ 0.         -0.02177315  0.        ]	[0.01539344 0.01279971 0.00922617]	[0.20169148 0.31842778 0.21306665]
1  	92   	[0.05120729 0.07592926 0.04689973]	[-0.01577319 -0.02608985  0.        ]	[0.02549813 0.02828278 0.01622175]	[0.29351913 0.57842684 0.26459594]
2  	92   	[0.06650533 0.09845983 0.10762566]	[-0.01577319 -0.03359129  0.        ]	[0.04908345 0.0499703  0.04116293]	[0.29351913 0.57842684 0.85853902]
3  	92   	[0.0756359  0.13482869 0.17872191]	[-0.03815197 -0.02608985  0.        ]	[0.07184779 0.09126048 0.08953232]	[0.29351913 0.57856422 0.86682866]
4  	92   	[0.07271917 0.15555457 0.20493826]	[-0.0036811  -0.02712142  0.        ]	[0.09503235 0.14198149 0.14087703]	[0.29351913 0.57856422 0.86682866]
5  	92   	[0.08170958 0.17057513 0.24532786]	[ 0.         -0.07690676  0.        ]	[0.11345209 0.19257365 0.2067151 ]	[0.29351913 0.57856422 0.86682866]
6  	92   	[0.08844804 0.17977871 0.24501871]	[ 0.         -0.08574146 -0.02989057]	[0.1332441  0.22475897 0.22258691]	[0.44670896 0.57856422 0.86682866]
7  	92   	[0.09993966 0.2156228  0.26880319]	[-0.01006348 -0.07690676 -0.01659672]	[0.14885958 0.30223038 0.28563519]	[0.44670896 1.00032377 0.86739489]
8  	92   	[0.10587436 0.24525274 0.29858139]	[-0.01006348 -0.07690676 -0.01659672]	[0.15870717 0.3804352  0.34319056]	[0.44670896 1.00032377 0.86739489]
9  	92   	[0.1115413  0.28973578 0.30815529]	[ 0.         -0.03473681 -0.01659672]	[0.18826863 0.46962675 0.37442093]	[0.44794551 1.00442991 0.87249635]
10 	92   	[0.13083877 0.29478859 0.30688406]	[ 0.        -0.0723379  0.       ]   	[0.22068425 0.53107573 0.4360204 ]	[0.63863108 1.00442991 0.87249635]
11 	92   	[0.13359099 0.30589584 0.32619575]	[ 0.        -0.0723379  0.       ]   	[0.24535242 0.57050076 0.5599694 ]	[0.63863108 1.00620291 0.87249635]
12 	92   	[0.1232455  0.30846799 0.33505374]	[-0.00686597 -0.00462729  0.        ]	[0.27648147 0.62637592 0.54095783]	[0.65287892 1.01250808 0.87249635]
13 	92   	[0.11858559 0.30391453 0.34277804]	[-0.00686597  0.         -0.07849385]	[0.28524055 0.62675442 0.58051733]	[0.65287892 1.01280742 0.87523262]
14 	92   	[0.12617671 0.36143238 0.35651744]	[-0.08299903 -0.10229759 -0.07849385]	[0.31431004 0.64213516 0.49222328]	[0.68299331 1.01368929 0.87523262]
15 	92   	[0.1308607  0.34910295 0.35552198]	[-0.08299903  0.          0.        ]	[0.314374   0.68202816 0.53655068]	[0.68299331 1.01368929 0.87523262]
16 	92   	[0.14234656 0.33024349 0.3517963 ]	[-0.08299903  0.          0.        ]	[0.2998754  0.72620081 0.55826181]	[0.68299331 1.01660999 0.87523262]
17 	92   	[0.15326085 0.32175857 0.29747831]	[-0.08299903  0.          0.        ]	[0.30142666 0.76210256 0.63028462]	[0.68299331 1.01660999 0.87566118]
18 	92   	[0.15591562 0.31744055 0.29326811]	[-0.03818716  0.         -0.0075027 ]	[0.30771864 0.75450456 0.64755392]	[0.68299331 1.01660999 0.87566118]
19 	92   	[0.16139295 0.31773921 0.30350074]	[-0.03818716  0.          0.        ]	[0.31711195 0.72307879 0.62302902]	[0.68911939 1.01660999 0.87566118]
20 	92   	[0.18999065 0.3674976  0.33118468]	[-0.03818716  0.         -0.11286801]	[0.36241085 0.66101838 0.49574607]	[0.68911939 1.01698883 0.87566118]
21 	92   	[0.18756467 0.34134885 0.33853093]	[-0.03818716  0.         -0.11286801]	[0.35995539 0.6567133  0.53549793]	[0.68911939 1.01926016 0.87566118]
22 	92   	[0.19116795 0.32492476 0.30467448]	[-0.03959244  0.         -0.11286801]	[0.33105742 0.72084967 0.63711841]	[0.68911939 1.01926016 0.87566118]
23 	92   	[0.18797333 0.31796189 0.30139391]	[-0.03974945  0.         -0.03031545]	[0.33359011 0.76477739 0.61853524]	[0.68911939 1.01926016 0.87566118]
24 	92   	[0.19258998 0.3299179  0.30476642]	[-0.03974945  0.         -0.03031545]	[0.35082086 0.72107391 0.63381165]	[0.68911939 1.01926016 0.87566118]
25 	92   	[0.19224804 0.32088327 0.26408134]	[-0.04084427  0.         -0.03031545]	[0.36960469 0.72280503 0.69087878]	[0.68911939 1.01926016 0.87566118]
26 	92   	[0.18518446 0.31757774 0.23911754]	[-0.03818716  0.         -0.03031545]	[0.36641874 0.76285644 0.73970612]	[0.68981719 1.01926016 0.87566118]
27 	92   	[0.18510118 0.31842633 0.25397067]	[-0.03818716  0.         -0.03031545]	[0.39212745 0.76053502 0.70752432]	[0.68981719 1.01926016 0.87566118]
28 	92   	[0.18647682 0.27837639 0.25078396]	[-0.03818716  0.         -0.03031545]	[0.38755574 0.8008399  0.71248862]	[0.68981719 1.01926016 0.87566118]
29 	92   	[0.19253386 0.28972115 0.24234796]	[-0.03818716  0.          0.        ]	[0.40057528 0.80975119 0.71311846]	[0.69201966 1.01994277 0.87716559]
30 	92   	[0.20083224 0.30003386 0.24567103]	[-0.03818716  0.          0.        ]	[0.39479641 0.80632109 0.69537557]	[0.69619582 1.01994277 0.87716559]
31 	92   	[0.20680481 0.31917266 0.24066645]	[-0.03818716  0.          0.        ]	[0.40971016 0.76007029 0.71585659]	[0.69619582 1.01994277 0.87716559]
