Matsuoka quadruped, body parameters:[2, 7, 5, 8, 3, 3, 1, 1, 10, 10, 4, 6, 6, 9, 10, 4, 1, 7, 2, 4, 8, 10, 3, 3, 6, 5, 3, 7, 8, 8, 9, 1]
{'b': 0.04000000000000001, 'gam': 0.06999999999999999, 'x0': 0.5, 'c': 4.0, 'a': 0.6}
Inter-module:
[[ 0.  -1.6 -2.  -0.2]
 [-2.   0.  -0.2 -1.4]
 [-2.  -0.2  0.  -1.6]
 [-0.2 -1.4 -2.   0. ]]
Intra-module:
[[ 0.  -0.8 -1.4]
 [-1.4  0.   1. ]
 [ 1.8 -1.   0. ]]
Bias:[1.6 1.6 1.9]
Drive coeff:[ 0.9 -0.3 -0.9]
Base period:5.44
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.02706979 0.02206585 0.00772465]	[0. 0. 0.]	[0.0046596  0.00447551 0.00080976]	[0.22663301 0.15375404 0.07449818]
1  	92   	[0.03724578 0.03488626 0.03942221]	[-0.01861742  0.          0.        ]	[0.01020726 0.00856807 0.0067225 ]	[0.22663301 0.21278244 0.35047649]
2  	92   	[0.04348314 0.04993822 0.03941637]	[-0.03775025  0.          0.        ]	[0.01558469 0.01395454 0.00681634]	[0.22663301 0.30179991 0.35047649]
3  	92   	[0.05331705 0.05426984 0.0464993 ]	[-0.03775025  0.          0.        ]	[0.02680335 0.01922229 0.01296162]	[0.22663301 0.30179991 0.35047649]
4  	92   	[0.06388132 0.06887451 0.05171363]	[-0.04231617  0.          0.        ]	[0.04350454 0.03424484 0.01951498]	[0.30082174 0.30252015 0.35047649]
5  	92   	[0.0693085  0.08520029 0.07306904]	[-0.04231617  0.          0.        ]	[0.07280476 0.06296333 0.04225   ]	[0.30082174 0.36659518 0.35047649]
6  	92   	[0.10385021 0.11124558 0.086314  ]	[-0.04231617  0.         -0.02066763]	[0.10242305 0.12094975 0.07386664]	[0.6443552  0.61618029 0.35047649]
7  	92   	[0.11852858 0.12789707 0.12291474]	[-0.00762727  0.         -0.02066763]	[0.14073895 0.15302987 0.09822476]	[0.6517758  0.62021062 0.56814909]
8  	92   	[0.11591063 0.13180204 0.13208714]	[ 0.          0.         -0.00808218]	[0.16787131 0.16149414 0.11930195]	[0.6517758  0.62021062 0.56814909]
9  	92   	[0.12053176 0.18762808 0.17166853]	[ 0.          0.         -0.00808218]	[0.19566032 0.19335986 0.1400623 ]	[0.6517758  0.98638749 0.7169988 ]
10 	92   	[0.14642574 0.21823707 0.19062005]	[-0.01187597 -0.01392855 -0.058511  ]	[0.21618583 0.23602141 0.16610332]	[0.89637911 0.98758862 0.72757779]
11 	92   	[0.14931605 0.24955497 0.21088418]	[ 0.         -0.01392855 -0.00274067]	[0.24964979 0.29430829 0.19943311]	[0.89804081 0.98758862 0.72757779]
12 	92   	[0.16102489 0.27097189 0.24859029]	[ 0.01520033 -0.01392855 -0.02973709]	[0.26963861 0.37500156 0.2768418 ]	[0.89804081 0.98758862 0.72757779]
13 	92   	[0.16411369 0.3020771  0.25363933]	[-0.0110086  -0.01392855 -0.02973709]	[0.28023732 0.44131285 0.3284631 ]	[0.89804081 0.98758862 0.72757779]
14 	92   	[0.16526306 0.3006731  0.26423263]	[ 0.01731881  0.         -0.02973709]	[0.29891453 0.54086375 0.39043531]	[0.89804081 0.98758862 0.72757779]
15 	92   	[0.17081213 0.31297475 0.2639379 ]	[0.01731881 0.         0.        ]   	[0.31346448 0.58212489 0.40694675]	[0.89804081 0.98860275 0.97850976]
16 	92   	[0.16959696 0.33190434 0.27755763]	[0.10907704 0.         0.        ]   	[0.34300406 0.59674048 0.38677385]	[0.89804081 0.98866726 0.97850976]
17 	92   	[0.1745624  0.32086825 0.27664188]	[0.10907704 0.         0.        ]   	[0.35837777 0.57026435 0.37491913]	[0.89804081 0.98866726 0.97850976]
18 	92   	[0.18466952 0.32223475 0.26608115]	[0.10907704 0.         0.        ]   	[0.36141115 0.58192819 0.36458816]	[0.89804081 0.99003914 0.97850976]
19 	92   	[0.19618218 0.33363644 0.28648417]	[0.10907704 0.         0.        ]   	[0.37098196 0.5508008  0.38934405]	[0.89804081 0.99026887 0.97850976]
20 	92   	[0.19354179 0.33701935 0.28128189]	[0.10907704 0.         0.        ]   	[0.37222997 0.56131731 0.40767816]	[0.89804081 0.99026887 0.97850976]
21 	92   	[0.2073626  0.34604284 0.27531688]	[0.07859937 0.         0.        ]   	[0.39158812 0.58515126 0.37165857]	[0.89804081 0.99026887 0.97850976]
22 	92   	[0.20001703 0.35355298 0.27871006]	[0.07859937 0.         0.        ]   	[0.3871663  0.59888606 0.3924758 ]	[0.90015976 0.99026887 0.97913431]
23 	92   	[0.20557264 0.36254616 0.27776785]	[0.07859937 0.         0.        ]   	[0.39142232 0.59403043 0.40491369]	[0.90015976 0.99026887 0.97913431]
24 	92   	[0.20131021 0.35608239 0.27892278]	[0.07859937 0.         0.        ]   	[0.38683623 0.61473735 0.42638757]	[0.90015976 0.99026887 0.97913431]
25 	92   	[0.2005426  0.36040932 0.27219215]	[0.07859937 0.         0.        ]   	[0.39013622 0.63971299 0.4380702 ]	[0.90015976 0.99026887 0.97913431]
26 	92   	[0.21371097 0.37154917 0.27226778]	[0.07859937 0.         0.        ]   	[0.40916196 0.59539423 0.43937672]	[0.90278833 0.99026887 0.97913431]
27 	92   	[0.21942918 0.35222099 0.27091215]	[0.07859937 0.         0.        ]   	[0.40484468 0.63030537 0.4734741 ]	[0.90278833 0.99026887 0.97913431]
28 	92   	[0.22293585 0.34484693 0.27382828]	[0.07859937 0.         0.        ]   	[0.41752742 0.62024716 0.47675251]	[0.90278833 0.99026887 0.97913431]
