Matsuoka quadruped, body parameters:[2, 7, 5, 5, 3, 3, 4, 4, 10, 10, 3, 3, 10, 8, 10, 10, 10, 10, 1, 4, 10, 8, 3, 7, 7, 10, 4, 7, 4, 8, 9, 2]
{'b': 0.04000000000000001, 'gam': 0.06999999999999999, 'x0': 0.5, 'c': 2.5, 'a': 0.6}
Inter-module:
[[ 0.  -1.6 -1.4 -0.2]
 [-1.4  0.  -0.2 -1.6]
 [-1.4 -0.2  0.  -1.6]
 [-0.2 -1.6 -1.4  0. ]]
Intra-module:
[[ 0.  -0.2 -1.8]
 [-1.4  0.   1.8]
 [ 1.  -1.   0. ]]
Bias:[1.3 2.  1.8]
Drive coeff:[0.9 0.9 0.9]
Base period:4.16
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.04702897 0.02146224 0.02501148]	[0. 0. 0.]	[0.00864234 0.00342062 0.00282882]	[0.40868047 0.16419898 0.24063278]
1  	92   	[0.05015405 0.02246586 0.02501037]	[0. 0. 0.]	[0.01257681 0.00415527 0.00287872]	[0.40868047 0.16419898 0.24063278]
2  	92   	[0.05288024 0.02899433 0.02501037]	[0. 0. 0.]	[0.01661682 0.00801204 0.00287872]	[0.40868047 0.16419898 0.24063278]
3  	92   	[0.0576155  0.04049699 0.02954691]	[0. 0. 0.]	[0.02316083 0.01657235 0.0053059 ]	[0.40868047 0.17958584 0.24063278]
4  	92   	[0.06331889 0.05612605 0.04269124]	[0. 0. 0.]	[0.03982466 0.02890203 0.01495334]	[0.40868047 0.25482043 0.24063278]
5  	92   	[0.0651085  0.06276275 0.05399449]	[ 0.         -0.01804926  0.        ]	[0.06201584 0.04496834 0.02646612]	[0.40868047 0.25482043 0.24063278]
6  	92   	[0.07277318 0.09306738 0.07363291]	[ 0.         -0.01804926  0.        ]	[0.08007087 0.08241971 0.05044734]	[0.40868047 0.54899499 0.27917351]
7  	92   	[0.07912468 0.10679204 0.07704838]	[ 0.         -0.01804926  0.        ]	[0.11079474 0.12595153 0.0868307 ]	[0.40868047 0.54899499 0.27917351]
8  	92   	[0.0789466  0.13829578 0.10132898]	[0. 0. 0.]                           	[0.1433943  0.18030581 0.13007824]	[0.40868047 0.55135121 0.62354433]
9  	92   	[0.08163383 0.16470499 0.11164756]	[0. 0. 0.]                           	[0.15770228 0.21842187 0.16662128]	[0.40868047 0.55135121 0.63120527]
10 	92   	[0.09795799 0.1895411  0.13181536]	[0. 0. 0.]                           	[0.17455012 0.25469046 0.20481678]	[0.40949759 0.55135121 0.63120527]
11 	92   	[0.11533741 0.21431783 0.17072987]	[0. 0. 0.]                           	[0.182323   0.31570871 0.24657938]	[0.40949759 0.97099183 0.89300661]
12 	92   	[0.11501563 0.2364135  0.18610933]	[0. 0. 0.]                           	[0.20085198 0.36266949 0.27782606]	[0.40992835 0.97099183 0.89300661]
13 	92   	[0.12008552 0.24273848 0.2175618 ]	[0. 0. 0.]                           	[0.21231734 0.38649681 0.34109535]	[0.40992835 0.97197896 0.89300661]
14 	92   	[0.1264107  0.26145484 0.21643439]	[0. 0. 0.]                           	[0.22494982 0.41845826 0.37877261]	[0.40992835 0.97197896 0.89300661]
15 	92   	[0.12362523 0.2707955  0.21084365]	[0. 0. 0.]                           	[0.23212165 0.4328286  0.39057485]	[0.40992835 0.97217426 0.89300661]
16 	92   	[0.12380371 0.25291671 0.22554189]	[0. 0. 0.]                           	[0.22360671 0.47771668 0.43337307]	[0.40992835 0.97217426 0.91328795]
17 	92   	[0.12309003 0.26736689 0.2311501 ]	[0. 0. 0.]                           	[0.23537374 0.47746678 0.44291892]	[0.40992835 0.97264679 0.91328795]
18 	92   	[0.13410216 0.28582986 0.230765  ]	[0. 0. 0.]                           	[0.23737141 0.48991288 0.43615747]	[0.41094656 0.97264679 0.91328795]
19 	92   	[0.13498442 0.28969148 0.21928632]	[0. 0. 0.]                           	[0.24285553 0.52227553 0.45993798]	[0.41094656 0.97264679 0.91328795]
20 	92   	[0.13258602 0.2994964  0.22376376]	[0. 0. 0.]                           	[0.24999586 0.53338341 0.43484677]	[0.41094656 0.97312848 0.91328795]
21 	92   	[0.12586819 0.30543818 0.22437207]	[0. 0. 0.]                           	[0.25388963 0.56374005 0.45628214]	[0.41094656 0.97354993 0.91328795]
22 	92   	[0.13131163 0.31519183 0.22634262]	[0. 0. 0.]                           	[0.26213177 0.55977218 0.47876964]	[0.41094656 0.97373065 0.91328795]
23 	92   	[0.11848875 0.30823094 0.22550614]	[0. 0. 0.]                           	[0.27490712 0.58733232 0.47145298]	[0.41094656 0.97395564 0.91328795]
24 	92   	[0.11113062 0.30360706 0.23203773]	[0. 0. 0.]                           	[0.27827021 0.61358078 0.45599211]	[0.41094656 0.97395564 0.91328795]
25 	92   	[0.10793927 0.29407154 0.22679263]	[0. 0. 0.]                           	[0.27242118 0.64073292 0.46584992]	[0.41094656 0.97395564 0.91328795]
26 	92   	[0.11359841 0.29342806 0.22787626]	[0. 0. 0.]                           	[0.27314647 0.64194575 0.46934271]	[0.41094656 0.97395564 0.91328795]
27 	92   	[0.1234759  0.28097129 0.23350344]	[0. 0. 0.]                           	[0.27726055 0.58527211 0.49265684]	[0.41094656 0.97395564 0.91416718]
28 	92   	[0.12150985 0.30720535 0.23480631]	[0. 0. 0.]                           	[0.27730147 0.58419541 0.50706142]	[0.41094656 0.97395564 0.91416718]
29 	92   	[0.12271705 0.30277662 0.2332267 ]	[0. 0. 0.]                           	[0.27735678 0.57493163 0.51458199]	[0.41094656 0.9748372  0.91416718]
30 	92   	[0.11982615 0.32147715 0.23305769]	[0. 0. 0.]                           	[0.28565951 0.55280691 0.53840329]	[0.41094656 0.9748372  0.91472072]
31 	92   	[0.11731466 0.30011335 0.24089894]	[0. 0. 0.]                           	[0.27977142 0.5890182  0.54248583]	[0.41176554 0.9748372  0.91472072]
32 	92   	[0.11563843 0.31343858 0.22050002]	[0. 0. 0.]                           	[0.26625229 0.62090053 0.57081941]	[0.41266206 0.9748372  0.91472072]
33 	92   	[0.12465058 0.29342475 0.21722246]	[0. 0. 0.]                           	[0.25502445 0.65864693 0.58656855]	[0.41266206 0.9748372  0.91770335]
34 	92   	[0.13236743 0.28716303 0.21503128]	[0. 0. 0.]                           	[0.25739657 0.60533159 0.60658564]	[0.41521767 0.9748372  0.91770335]
35 	92   	[0.11563937 0.30436827 0.23732924]	[0. 0. 0.]                           	[0.28449121 0.62507346 0.57025834]	[0.41521767 0.9748372  0.91770335]
36 	92   	[0.11288144 0.29153541 0.23465063]	[0. 0. 0.]                           	[0.29727889 0.62933578 0.57848969]	[0.41521767 0.9748372  0.9184235 ]
37 	92   	[0.11541301 0.28673145 0.24963248]	[0. 0. 0.]                           	[0.29289019 0.67235032 0.57069501]	[0.41521767 0.9748372  0.9184235 ]
38 	92   	[0.12255644 0.27504579 0.23934445]	[0. 0. 0.]                           	[0.2883601  0.67192157 0.56400383]	[0.41521767 0.97489012 0.9184235 ]
39 	92   	[0.11762175 0.29572386 0.24115947]	[0. 0. 0.]                           	[0.29423393 0.67351133 0.56059969]	[0.4163551  0.97489012 0.9184235 ]
40 	92   	[0.11805925 0.30056658 0.25954341]	[0. 0. 0.]                           	[0.29742675 0.68626804 0.54581163]	[0.4163551  0.97489012 0.9184235 ]
41 	92   	[0.12310101 0.30896622 0.25006368]	[0. 0. 0.]                           	[0.29379923 0.69052954 0.55931332]	[0.4163551  0.97489012 0.9184235 ]
42 	92   	[0.11580282 0.30744627 0.24643834]	[0. 0. 0.]                           	[0.3111212  0.66630058 0.57305925]	[0.4163551  0.97489012 0.9184235 ]
43 	92   	[0.1156669  0.30163694 0.24073935]	[0.         0.         0.20278687]   	[0.30880936 0.65701747 0.59518709]	[0.4163551  0.97489012 0.9184235 ]
44 	92   	[0.11492789 0.31401472 0.24226006]	[0.         0.         0.20278687]   	[0.31032654 0.65926432 0.59270372]	[0.41646688 0.97489012 0.9184235 ]
45 	92   	[0.11800967 0.30695055 0.23437701]	[0.         0.         0.20278687]   	[0.30011115 0.65150148 0.62559834]	[0.41646688 0.97489012 0.9184235 ]
46 	92   	[0.12131908 0.30782265 0.23515618]	[0.         0.         0.20377042]   	[0.30117498 0.66952417 0.61214602]	[0.41646688 0.97489012 0.9184235 ]
47 	92   	[0.11903484 0.3025934  0.22779952]	[0.         0.         0.20377042]   	[0.29315041 0.70558052 0.58675361]	[0.41646688 0.97489012 0.9184235 ]
48 	92   	[0.12110546 0.30505066 0.238651  ]	[0. 0. 0.]                           	[0.30076243 0.69415943 0.57221543]	[0.41646688 0.97489012 0.9184235 ]
49 	92   	[0.10223765 0.31411757 0.25018913]	[0. 0. 0.]                           	[0.31236355 0.68797011 0.57112815]	[0.41646688 0.97489012 0.9184235 ]
50 	92   	[0.1003557  0.30694361 0.24520688]	[0.         0.         0.18351138]   	[0.31308655 0.70262063 0.55790574]	[0.41646688 0.97489012 0.9184235 ]
51 	92   	[0.10042137 0.30782479 0.24888917]	[0. 0. 0.]                           	[0.31516795 0.71734141 0.54670979]	[0.41646688 0.97489012 0.9184235 ]
52 	92   	[0.10430821 0.3161053  0.24217502]	[0. 0. 0.]                           	[0.30831771 0.72447076 0.54755693]	[0.41646688 0.97489012 0.9184235 ]
