Matsuoka quadruped, body parameters:[2, 7, 5, 2, 3, 3, 4, 4, 10, 10, 3, 3, 10, 8, 10, 10, 10, 10, 1, 4, 10, 8, 3, 7, 7, 10, 4, 7, 4, 8, 9, 2]
{'b': 0.04000000000000001, 'gam': 0.06999999999999999, 'x0': 0.5, 'c': 1.0, 'a': 0.6}
Inter-module:
[[ 0.  -1.6 -1.4 -0.2]
 [-1.4  0.  -0.2 -1.6]
 [-1.4 -0.2  0.  -1.6]
 [-0.2 -1.6 -1.4  0. ]]
Intra-module:
[[ 0.  -0.2 -1.8]
 [-1.4  0.   1.8]
 [ 1.  -1.   0. ]]
Bias:[1.3 2.  1.8]
Drive coeff:[0.9 0.9 0.9]
Base period:4.16
gen	evals	std                               	min                                  	avg                               	max                               
0  	92   	[0.01546411 0.04607308 0.04725473]	[ 0.         -0.01816718  0.        ]	[0.00234933 0.00779479 0.00610881]	[0.13960784 0.41551396 0.45006385]
1  	92   	[0.01546411 0.05404439 0.06284636]	[ 0.         -0.01816718  0.        ]	[0.00234933 0.01406193 0.01303374]	[0.13960784 0.41551396 0.45006385]
2  	92   	[0.02676795 0.0660853  0.06700321]	[ 0.         -0.01816718  0.        ]	[0.00523654 0.02226575 0.01817441]	[0.20580653 0.41551396 0.45006385]
3  	92   	[0.04019616 0.0777024  0.07162859]	[ 0.         -0.01816718  0.        ]	[0.01131277 0.03310857 0.02294661]	[0.26301707 0.41551396 0.45006385]
4  	92   	[0.05740844 0.10911293 0.09947867]	[ 0.         -0.01816718  0.        ]	[0.02063639 0.05742    0.04480208]	[0.2895713  0.54338103 0.50110235]
5  	92   	[0.07716301 0.14201765 0.11274554]	[ 0.         -0.01816718  0.        ]	[0.04270238 0.09829416 0.07114223]	[0.2895713  0.58260062 0.50110235]
6  	92   	[0.08478717 0.15945043 0.12855432]	[ 0.         -0.01816718 -0.03214055]	[0.06490664 0.15298482 0.11417081]	[0.2895713  0.58260062 0.50689203]
7  	92   	[0.09101805 0.18658    0.14867486]	[ 0.         -0.02241038 -0.03214055]	[0.10050323 0.22496805 0.16966825]	[0.2895713  0.96875289 0.62994424]
8  	92   	[0.09476814 0.1799535  0.15478299]	[0. 0. 0.]                           	[0.13132865 0.30997009 0.19676253]	[0.2896877  0.96875289 0.62994424]
9  	92   	[0.09934949 0.1795895  0.15610365]	[0. 0. 0.]                           	[0.15543914 0.3623301  0.25243918]	[0.40783407 0.97193692 0.63529288]
10 	92   	[0.09641847 0.19028203 0.17307673]	[0. 0. 0.]                           	[0.17780545 0.40059002 0.25226025]	[0.40783407 0.97193692 0.68128106]
11 	92   	[0.09410117 0.20185883 0.18690203]	[0. 0. 0.]                           	[0.19298789 0.45606981 0.28243674]	[0.40783407 0.97193692 0.90760957]
12 	92   	[0.09527099 0.19987554 0.2047278 ]	[0. 0. 0.]                           	[0.20209602 0.49929338 0.31494584]	[0.40783407 0.97193692 0.90760957]
13 	92   	[0.08887626 0.17770266 0.23274409]	[0. 0. 0.]                           	[0.21863377 0.532949   0.34477793]	[0.40783407 0.97193692 0.90760957]
14 	92   	[0.07297329 0.2051088  0.2302012 ]	[0. 0. 0.]                           	[0.23419307 0.54367734 0.38489096]	[0.40783407 0.97193692 0.90760957]
15 	92   	[0.06961958 0.22362498 0.24060192]	[0. 0. 0.]                           	[0.24178782 0.56421558 0.37051549]	[0.40783407 0.97193692 0.90760957]
16 	92   	[0.07517974 0.21273231 0.23377843]	[0. 0. 0.]                           	[0.24755928 0.60641884 0.3680439 ]	[0.40834709 0.97193692 0.90760957]
17 	92   	[0.08087822 0.23844392 0.23533945]	[0. 0. 0.]                           	[0.24389239 0.62236019 0.42372971]	[0.40834709 0.97193692 0.90760957]
18 	92   	[0.08208646 0.2482614  0.23862751]	[0. 0. 0.]                           	[0.24597163 0.63347869 0.42780371]	[0.40834709 0.97193692 0.90760957]
19 	92   	[0.07974026 0.23951527 0.24713747]	[0. 0. 0.]                           	[0.25704812 0.63293606 0.41662429]	[0.40834709 0.97193692 0.90760957]
20 	92   	[0.08450487 0.25211006 0.25787808]	[0. 0. 0.]                           	[0.25842184 0.6380338  0.42284984]	[0.40920163 0.97193692 0.91176623]
21 	92   	[0.08738779 0.23730817 0.25685036]	[0. 0. 0.]                           	[0.26064736 0.64451616 0.44340186]	[0.41252674 0.97204869 0.91176623]
22 	92   	[0.08696078 0.23880264 0.25605472]	[0. 0. 0.]                           	[0.26649016 0.65444983 0.46377355]	[0.41252674 0.97204869 0.91176623]
23 	92   	[0.08765618 0.23973125 0.23689082]	[0. 0. 0.]                           	[0.26794709 0.64946607 0.49015942]	[0.41252674 0.97204869 0.91176623]
24 	92   	[0.09903345 0.2205964  0.25683989]	[0.         0.23620932 0.        ]   	[0.2713931  0.6743947  0.47129475]	[0.41290764 0.9731198  0.91176623]
25 	92   	[0.09954199 0.22224422 0.25756788]	[0.         0.23620932 0.        ]   	[0.27078461 0.67258951 0.47776421]	[0.41343549 0.9731198  0.91176623]
26 	92   	[0.10488565 0.22179208 0.26286898]	[0.         0.23620932 0.        ]   	[0.27384391 0.66082339 0.48658011]	[0.41508272 0.97355562 0.91176623]
27 	92   	[0.10414755 0.23194362 0.25340926]	[0.         0.20314498 0.        ]   	[0.26192982 0.66514136 0.50863725]	[0.41508272 0.97355562 0.91176623]
28 	92   	[0.10119775 0.22221424 0.2666349 ]	[0.         0.20314498 0.        ]   	[0.27992518 0.65524007 0.49304089]	[0.41508272 0.97355562 0.91176623]
29 	92   	[0.10545737 0.23866616 0.27473005]	[0. 0. 0.]                           	[0.28686189 0.67544117 0.50357192]	[0.41508272 0.97355562 0.91176623]
30 	92   	[0.10185522 0.22347907 0.26886916]	[0.         0.20314498 0.        ]   	[0.28873238 0.68855531 0.53432636]	[0.41508272 0.97355562 0.91812227]
31 	92   	[0.10449766 0.22739089 0.2349294 ]	[0.         0.20314498 0.        ]   	[0.28472175 0.70240585 0.55502863]	[0.41508272 0.97355562 0.91812227]
32 	92   	[0.11005952 0.22937952 0.24178613]	[0.         0.20314498 0.        ]   	[0.29350401 0.70374132 0.57038056]	[0.41508272 0.97439355 0.91812227]
33 	92   	[0.11024703 0.2271749  0.24113947]	[0.         0.20314498 0.        ]   	[0.29050825 0.72616317 0.57337378]	[0.41508272 0.97439355 0.91812227]
34 	92   	[0.1132882  0.22097508 0.24601727]	[0.         0.20314498 0.        ]   	[0.30666583 0.6941127  0.57004336]	[0.41508272 0.97439355 0.91812227]
35 	92   	[0.11435716 0.22118856 0.23793261]	[0.         0.20314498 0.        ]   	[0.30552262 0.68794741 0.58100774]	[0.41519515 0.97439355 0.91812227]
36 	92   	[0.10479496 0.22197103 0.24363466]	[0.         0.20314498 0.        ]   	[0.30679148 0.69905237 0.58357143]	[0.41519515 0.97439355 0.91812227]
37 	92   	[0.10301035 0.22690034 0.24488855]	[0.         0.20314498 0.        ]   	[0.30277664 0.71115992 0.5865116 ]	[0.41519515 0.97439355 0.91812227]
38 	92   	[0.10054085 0.22516365 0.2457376 ]	[0.         0.20314498 0.        ]   	[0.29445639 0.73304627 0.59661076]	[0.41519515 0.97510328 0.91812227]
39 	92   	[0.10318604 0.23381882 0.26630607]	[0.         0.20314498 0.        ]   	[0.29926742 0.71734953 0.57887609]	[0.41519515 0.97510328 0.92246884]
40 	92   	[0.10588916 0.23286374 0.26962842]	[0.         0.23620932 0.        ]   	[0.29977218 0.73719226 0.57426908]	[0.41519515 0.97510328 0.92246884]
41 	92   	[0.10671594 0.23326292 0.26410155]	[0.         0.23620932 0.        ]   	[0.29507129 0.74588402 0.6007769 ]	[0.41519515 0.97510328 0.92246884]
42 	92   	[0.10508219 0.24303992 0.26545288]	[0. 0. 0.]                           	[0.2931021  0.74239283 0.59554743]	[0.41542382 0.97510328 0.92246884]
43 	92   	[0.1011231  0.21843559 0.25624072]	[0.         0.37992815 0.        ]   	[0.29452548 0.76660512 0.59652581]	[0.4178797  0.97510328 0.92246884]
44 	92   	[0.10121018 0.21862439 0.25466016]	[0.         0.37992815 0.        ]   	[0.29458512 0.76201002 0.60645451]	[0.4178797  0.97510328 0.92246884]
45 	92   	[0.09889256 0.21765559 0.25552325]	[0.         0.37992815 0.        ]   	[0.309312   0.78027091 0.57395147]	[0.4178797  0.97510328 0.92246884]
46 	92   	[0.09838543 0.21668846 0.2557993 ]	[0.         0.37992815 0.        ]   	[0.31461774 0.78939401 0.55972388]	[0.4178797  0.97510328 0.92246884]
47 	92   	[0.09543332 0.21096501 0.2563056 ]	[0.         0.37992815 0.        ]   	[0.30562862 0.81708827 0.57063245]	[0.4178797  0.97510328 0.92246884]
48 	92   	[0.09552752 0.21081125 0.25479896]	[0.         0.37992815 0.        ]   	[0.30420578 0.81050432 0.57171802]	[0.4178797  0.97510328 0.92246884]
49 	92   	[0.08596603 0.21489818 0.23482252]	[0.16530231 0.37992815 0.        ]   	[0.31451339 0.79225649 0.59281034]	[0.4178797  0.97739946 0.92246884]
50 	92   	[0.08895008 0.21720753 0.22718935]	[0.16530231 0.37992815 0.        ]   	[0.32258284 0.76459467 0.60305403]	[0.4178797  0.97739946 0.92246884]
51 	92   	[0.09495706 0.23008066 0.21122317]	[0. 0. 0.]                           	[0.31943031 0.76764379 0.63011792]	[0.4178797  0.97739946 0.92246884]
52 	92   	[0.09905359 0.23048314 0.2358544 ]	[0. 0. 0.]                           	[0.31182032 0.78854721 0.613247  ]	[0.4178797  0.97739946 0.92396211]
53 	92   	[0.09556583 0.24383443 0.25221134]	[0.16530231 0.         0.        ]   	[0.30706064 0.76092074 0.63016394]	[0.4178797  0.97739946 0.92601393]
54 	92   	[0.09313578 0.23956446 0.23902968]	[0.16540881 0.         0.08550459]   	[0.29819055 0.76959502 0.64175851]	[0.4178797  0.97739946 0.92601393]
55 	92   	[0.09337303 0.25575761 0.23939731]	[0.16554188 0.         0.        ]   	[0.29543224 0.7646717  0.65054222]	[0.4178797  0.97739946 0.92601393]
56 	92   	[0.09019062 0.25552381 0.23019495]	[0.16554188 0.         0.        ]   	[0.29654013 0.77891136 0.65825466]	[0.4178797  0.97739946 0.92601393]
57 	92   	[0.08750481 0.23605735 0.21899476]	[0.16554188 0.         0.        ]   	[0.31432216 0.81730778 0.63939206]	[0.4178797  0.97739946 0.92601393]
58 	92   	[0.08723426 0.22094879 0.19652664]	[0.16554188 0.         0.08550459]   	[0.30783006 0.8279684  0.66472759]	[0.41850967 0.97739946 0.92601393]
59 	92   	[0.08086746 0.21800307 0.19087518]	[0.16713952 0.         0.24980059]   	[0.31658399 0.83725378 0.66216266]	[0.41850967 0.97739946 0.92601393]
60 	92   	[0.0821296  0.21944489 0.18064708]	[0.16713952 0.         0.24980059]   	[0.31703907 0.83285191 0.67399227]	[0.41864215 0.97739946 0.92601393]
61 	92   	[0.08056959 0.22398299 0.18576501]	[0.16713952 0.         0.24980059]   	[0.31010135 0.81918637 0.68216892]	[0.41864215 0.97739946 0.92601393]
