Matsuoka quadruped, body parameters:[4, 6, 2, 3, 3, 3, 6, 5, 9, 10, 5, 4, 8, 9, 8, 3, 8, 10, 3, 4, 9, 7, 2, 9, 9, 1, 10, 7, 4, 8, 9, 2]
{'b': 0.08000000000000002, 'gam': 0.06, 'x0': 0.2, 'c': 1.5, 'a': 0.6}
Inter-module:
[[ 0.  -1.6 -1.2 -0.4]
 [-1.   0.  -0.2 -1.2]
 [-1.2 -0.4  0.  -1.6]
 [-0.2 -1.2 -1.   0. ]]
Intra-module:
[[ 0.  -0.2 -1. ]
 [-1.4  0.   1.4]
 [ 0.6 -1.4  0. ]]
Bias:[1.4 1.8 1.9]
Drive coeff:[ 0.5 -0.5  0.5]
Base period:4.96
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.03431663 0.04668287 0.03141645]	[0. 0. 0.]	[0.00953198 0.01227216 0.00574816]	[0.17908456 0.27085905 0.19604422]
1  	92   	[0.05871219 0.05338694 0.03650968]	[0. 0. 0.]	[0.02474123 0.01885899 0.00864979]	[0.37151238 0.27085905 0.19604422]
2  	92   	[0.06487662 0.06175521 0.04204453]	[0. 0. 0.]	[0.02996406 0.02813647 0.01416498]	[0.37151238 0.27085905 0.19604422]
3  	92   	[0.07315852 0.07966336 0.05557561]	[0. 0. 0.]	[0.04391183 0.04915884 0.02523858]	[0.37151238 0.43475465 0.24136898]
4  	92   	[0.10416811 0.11984954 0.10007016]	[0. 0. 0.]	[0.07812425 0.09111909 0.05147869]	[0.68021398 0.56669203 0.63269562]
5  	92   	[0.12180776 0.12961015 0.10182691]	[0. 0. 0.]	[0.10311318 0.11754389 0.07378255]	[0.68021398 0.60840253 0.63269562]
6  	92   	[0.1180909  0.15852294 0.10488554]	[0. 0. 0.]	[0.13013127 0.15582553 0.10438048]	[0.68021398 0.9194957  0.63269562]
7  	92   	[0.12304165 0.18390323 0.13275762]	[0. 0. 0.]	[0.15414622 0.21418344 0.1486976 ]	[0.68021398 0.9194957  0.64793582]
8  	92   	[0.13430793 0.20206809 0.16141161]	[0. 0. 0.]	[0.18320377 0.26895061 0.18033427]	[0.74149754 0.92619743 0.64793582]
9  	92   	[0.12986073 0.24983555 0.17803089]	[0. 0. 0.]	[0.21197978 0.33472866 0.23633793]	[0.74149754 0.96969495 0.64793582]
10 	92   	[0.1287433  0.26924653 0.20782826]	[0. 0. 0.]	[0.22998725 0.37463713 0.28435875]	[0.74149754 0.96969495 0.65289245]
11 	92   	[0.12597035 0.28494178 0.22062753]	[0. 0. 0.]	[0.24267526 0.42919759 0.32942347]	[0.74149754 0.96969495 0.65428731]
12 	92   	[0.12501395 0.29733614 0.21999785]	[0. 0. 0.]	[0.26303733 0.47567014 0.34952883]	[0.74149754 0.98670132 0.65428731]
13 	92   	[0.11227292 0.31501566 0.22850786]	[0.17372066 0.         0.        ]	[0.29439242 0.56414097 0.35823063]	[0.74149754 0.98670132 0.65428731]
14 	92   	[0.11695003 0.30937568 0.22494255]	[0. 0. 0.]                        	[0.29380752 0.66285205 0.37421853]	[0.74149754 0.98670132 0.65428731]
15 	92   	[0.12327984 0.32234531 0.23237721]	[0. 0. 0.]                        	[0.31162962 0.61655579 0.38744485]	[0.74149754 0.98670132 0.65428731]
16 	92   	[0.1390692  0.31466662 0.23806222]	[0. 0. 0.]                        	[0.32494669 0.62863505 0.41985413]	[0.74149754 0.98783575 0.65428731]
17 	92   	[0.14271075 0.30241808 0.23926534]	[0. 0. 0.]                        	[0.33223377 0.669901   0.40326999]	[0.74149754 0.98817476 0.65428731]
18 	92   	[0.16124843 0.31816512 0.24114174]	[0. 0. 0.]                        	[0.35909864 0.69112722 0.36560824]	[0.74149754 0.9893984  0.65460225]
19 	92   	[0.16811644 0.28679887 0.24159241]	[0. 0. 0.]                        	[0.36856417 0.73808285 0.38227639]	[0.74149754 0.9893984  0.65460225]
20 	92   	[0.16967475 0.30056705 0.24391096]	[0.21864202 0.         0.        ]	[0.39645612 0.67345368 0.35888446]	[0.74212619 0.9893984  0.65460225]
21 	92   	[0.1578016  0.2540811  0.22715918]	[0.21864202 0.         0.        ]	[0.38587625 0.71241319 0.3534674 ]	[0.74212619 0.9893984  0.65601867]
22 	92   	[0.14039268 0.24185774 0.21191882]	[0.21950422 0.         0.        ]	[0.35817893 0.76884832 0.38759288]	[0.74212619 0.98960037 0.65601867]
23 	92   	[0.15428619 0.28639833 0.20875517]	[0.21950422 0.         0.        ]	[0.37922054 0.72625495 0.38293245]	[0.74212619 0.99012915 0.65601867]
24 	92   	[0.1675557  0.24983883 0.20713127]	[0.21950422 0.         0.        ]	[0.38589979 0.78299352 0.38239924]	[0.74212619 0.99012915 0.65601867]
25 	92   	[0.17630038 0.25464294 0.21456847]	[0.21950422 0.         0.        ]	[0.40452854 0.76149802 0.40464275]	[0.74250831 0.99177316 0.65601867]
26 	92   	[0.1729322  0.24940704 0.2157315 ]	[0.21950422 0.         0.        ]	[0.40163004 0.76187294 0.42512254]	[0.74250831 0.99177316 0.657798  ]
27 	92   	[0.17258524 0.23788382 0.19082515]	[0.21950422 0.         0.        ]	[0.40048809 0.7610376  0.46279526]	[0.7496298  0.99177316 0.657798  ]
28 	92   	[0.18829375 0.2228892  0.1854162 ]	[0.22196148 0.         0.        ]	[0.4197116  0.77046747 0.46566765]	[0.7496298  0.99177316 0.657798  ]
29 	92   	[0.19169966 0.22560428 0.18118305]	[0.22196148 0.         0.        ]	[0.43773166 0.74168302 0.46938163]	[0.7496298  0.99177316 0.657798  ]
30 	92   	[0.19003137 0.23274065 0.18096181]	[0.22196148 0.         0.        ]	[0.44174696 0.75526951 0.46095593]	[0.74978115 0.99177316 0.657798  ]
31 	92   	[0.19950543 0.22953322 0.18622208]	[0.22196148 0.         0.        ]	[0.48046608 0.7211288  0.46806733]	[0.74978115 1.00123527 0.657798  ]
32 	92   	[0.20115463 0.22734681 0.17105115]	[0.22371633 0.         0.21758725]	[0.48850632 0.71947454 0.46172188]	[0.749864   1.00123527 0.65791615]
33 	92   	[0.20114647 0.23533661 0.16396338]	[0.22371633 0.         0.21847641]	[0.48642968 0.74824764 0.45718616]	[0.749864   1.00123527 0.65791615]
34 	92   	[0.19258743 0.23808704 0.16052391]	[0.22371633 0.         0.21847641]	[0.47156862 0.7593375  0.48498268]	[0.749864   1.00123527 0.65791615]
35 	92   	[0.19897598 0.2233149  0.16084588]	[0.22371633 0.27897311 0.21847641]	[0.49182726 0.75032141 0.48163451]	[0.749864   1.00123527 0.65791615]
36 	92   	[0.20527901 0.22301161 0.165629  ]	[0.22333098 0.27897311 0.21847641]	[0.5017376  0.74209853 0.4701512 ]	[0.749864   1.00123527 0.65791615]
37 	92   	[0.20303947 0.22872174 0.17341944]	[0.22333098 0.27897311 0.        ]	[0.51537515 0.74452157 0.45147233]	[0.749864   1.00123527 0.65791615]
38 	92   	[0.20681274 0.23948453 0.16726551]	[0.22333098 0.27897311 0.        ]	[0.50730148 0.75637225 0.47765165]	[0.749864   1.00123527 0.65791615]
39 	92   	[0.21294873 0.24415175 0.17098209]	[0.22350651 0.27897311 0.        ]	[0.5060517  0.73525827 0.46560957]	[0.749864   1.00123527 0.65974602]
40 	92   	[0.21075896 0.23849905 0.17087676]	[0.22350651 0.27897311 0.        ]	[0.50341988 0.7544037  0.46318181]	[0.749864   1.00123527 0.65974602]
41 	92   	[0.21041609 0.24932567 0.16864825]	[0.22350651 0.         0.        ]	[0.51351722 0.7394195  0.45923538]	[0.749864   1.00123527 0.65974602]
42 	92   	[0.20429471 0.25202275 0.17353304]	[0.22350651 0.         0.        ]	[0.53362013 0.7316553  0.46708827]	[0.749864   1.00123527 0.65974602]
43 	92   	[0.20206962 0.24521514 0.17509221]	[0.22350651 0.         0.        ]	[0.54536081 0.74667613 0.45240484]	[0.74991192 1.00123527 0.65974602]
44 	92   	[0.20290494 0.24391094 0.17103158]	[0.22350651 0.         0.        ]	[0.54900263 0.75275403 0.44935707]	[0.74991192 1.00123527 0.65974602]
