Matsuoka quadruped, body parameters:[1, 10, 8, 7, 6, 2, 2, 6, 9, 9, 5, 10, 2, 1, 10, 1, 7, 10, 1, 5, 9, 9, 3, 9, 6, 9, 9, 9, 10, 6, 8, 1]
{'b': 0.020000000000000004, 'gam': 0.1, 'x0': 0.8, 'c': 3.5, 'a': 1.2}
Inter-module:
[[ 0.  -1.8 -1.  -0.4]
 [-1.8  0.  -0.4 -1.2]
 [-1.  -0.4  0.  -1.8]
 [-0.4 -1.2 -1.8  0. ]]
Intra-module:
[[ 0.  -0.2 -1.8]
 [-1.2  0.   1.4]
 [ 1.4 -1.   0. ]]
Bias:[2.  1.2 1.1]
Drive coeff:[ 0.9 -0.9  0.3]
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.02838121 0.03846466 0.00944356]	[0. 0. 0.]	[0.00615058 0.01122296 0.00139024]	[0.21699504 0.19205931 0.07402594]
1  	92   	[0.02976484 0.04443352 0.01336826]	[0. 0. 0.]	[0.00758825 0.0161084  0.00239752]	[0.21699504 0.19205931 0.09267001]
2  	92   	[0.03580868 0.04971831 0.03799719]	[0. 0. 0.]	[0.0126513  0.02395722 0.00744953]	[0.21699504 0.19205931 0.33558284]
3  	92   	[0.03977733 0.08479216 0.04757685]	[0. 0. 0.]	[0.01851482 0.04616875 0.0153144 ]	[0.21699504 0.56655439 0.33558284]
4  	92   	[0.04760037 0.08948608 0.06557529]	[0. 0. 0.]	[0.02835725 0.06780327 0.03345127]	[0.2246463  0.56655439 0.34545606]
5  	92   	[0.05196219 0.10559131 0.11008543]	[0. 0. 0.]	[0.05020336 0.10371222 0.0667483 ]	[0.2246463  0.56655439 0.87047599]
6  	92   	[0.0546659  0.12052408 0.11197628]	[0. 0. 0.]	[0.07750759 0.14395572 0.10997116]	[0.29064517 0.59487878 0.87047599]
7  	92   	[0.06133766 0.1379245  0.17683701]	[0. 0. 0.]	[0.09908161 0.19312391 0.15567516]	[0.29064517 0.59552319 0.89332494]
8  	92   	[0.05955167 0.16265024 0.17885729]	[0. 0. 0.]	[0.11897891 0.22039959 0.19119408]	[0.29064517 0.87669358 0.89332494]
9  	92   	[0.09067985 0.17091527 0.19134034]	[0. 0. 0.]	[0.14145279 0.26025383 0.23410292]	[0.73448386 0.87669358 0.89332494]
10 	92   	[0.10404144 0.19789167 0.21867273]	[0. 0. 0.]	[0.16395277 0.29594676 0.26096584]	[0.73448386 1.02547243 0.90057995]
11 	92   	[0.09904452 0.19233275 0.22516498]	[0. 0. 0.]	[0.17539929 0.33640622 0.28731149]	[0.73448386 1.02547243 0.90057995]
12 	92   	[0.10061642 0.19040907 0.2654444 ]	[0. 0. 0.]	[0.18047013 0.37822469 0.35548818]	[0.73448386 1.02547243 0.90057995]
13 	92   	[0.12395069 0.19354916 0.28584035]	[0. 0. 0.]	[0.20143016 0.39388942 0.4012519 ]	[0.73448386 1.02547243 0.90279571]
14 	92   	[0.14465598 0.19272307 0.29697732]	[0. 0. 0.]	[0.21110344 0.41612394 0.43854628]	[0.73448386 1.02547243 0.90279571]
15 	92   	[0.15370728 0.20081938 0.29541829]	[0. 0. 0.]	[0.23293892 0.40035738 0.44893362]	[0.73448386 1.02547243 0.90279571]
16 	92   	[0.16225005 0.2223911  0.3083823 ]	[0. 0. 0.]	[0.24441192 0.39893323 0.50180697]	[0.73448386 1.02547243 0.90951219]
17 	92   	[0.17530375 0.22526294 0.30873989]	[0.08897027 0.         0.        ]	[0.26019498 0.43087248 0.53010934]	[0.73448386 1.02547243 0.90951219]
18 	92   	[0.18644514 0.23301567 0.31923457]	[0.08897027 0.         0.        ]	[0.29290645 0.42708972 0.52046698]	[0.73448386 1.04497768 0.91195998]
19 	92   	[0.19781756 0.23834003 0.32793038]	[0.08897027 0.         0.        ]	[0.31882315 0.41820091 0.55322121]	[0.73448386 1.04497768 0.92226721]
20 	92   	[0.20318878 0.26931213 0.3434658 ]	[0.08897027 0.         0.        ]	[0.3384348  0.42493915 0.52810928]	[0.74480067 1.04497768 0.92226721]
21 	92   	[0.21311953 0.28166213 0.32970254]	[0.08897027 0.         0.        ]	[0.34968755 0.43402899 0.57199123]	[0.74480067 1.06969017 0.92226721]
22 	92   	[0.22851341 0.29005535 0.31273582]	[0.08897027 0.         0.        ]	[0.36304178 0.45813187 0.60639296]	[0.74480067 1.09390917 0.92226721]
23 	92   	[0.23830008 0.28129568 0.29252815]	[0.09898132 0.         0.        ]	[0.37559561 0.46847366 0.65920066]	[0.75063319 1.09390917 0.92269765]
24 	92   	[0.24130046 0.27795288 0.26907987]	[0.09898132 0.         0.        ]	[0.38980558 0.44817991 0.68999867]	[0.75131523 1.09390917 0.92269765]
25 	92   	[0.24521768 0.29704937 0.27153215]	[0.09898132 0.         0.        ]	[0.41843391 0.45573841 0.70646891]	[0.75131523 1.09390917 0.92355794]
26 	92   	[0.25488129 0.29656071 0.25082617]	[0.09898132 0.         0.        ]	[0.42978639 0.48484974 0.74824355]	[0.75131523 1.09390917 0.92355794]
27 	92   	[0.25040616 0.28319484 0.26688542]	[0.09898132 0.         0.        ]	[0.40644871 0.54559544 0.72279564]	[0.76588714 1.09390917 0.92355794]
28 	92   	[0.25640052 0.28447599 0.29574899]	[0.09898132 0.         0.        ]	[0.42192085 0.57324242 0.67812201]	[0.76588714 1.09390917 0.92355794]
29 	92   	[0.25936261 0.27315    0.27109958]	[0.09898132 0.         0.        ]	[0.43984472 0.57251058 0.71402746]	[0.76588714 1.09390917 0.92355794]
30 	92   	[0.26475364 0.28342132 0.24079418]	[0.09898132 0.         0.        ]	[0.46814583 0.56685334 0.75462917]	[0.7662923  1.09390917 0.92355794]
31 	92   	[0.26313202 0.2867724  0.22347708]	[0.09898132 0.         0.        ]	[0.49862479 0.56132273 0.76167565]	[0.7662923  1.09390917 0.92355794]
32 	92   	[0.26486068 0.30157854 0.22909969]	[0.09422778 0.         0.        ]	[0.51304582 0.58492746 0.75000246]	[0.7662923  1.10685775 0.92538064]
33 	92   	[0.26470893 0.30329362 0.25813636]	[0.09422778 0.         0.        ]	[0.50760526 0.61856606 0.71419646]	[0.7662923  1.10685775 0.92538064]
34 	92   	[0.26014101 0.32872749 0.26824282]	[0.09422778 0.         0.        ]	[0.53294462 0.60602931 0.69449903]	[0.7719464  1.10685775 0.92538064]
35 	92   	[0.25648381 0.34435424 0.27927523]	[0.09422778 0.         0.        ]	[0.5453023  0.60775027 0.68012496]	[0.7719464  1.10685775 0.92538064]
36 	92   	[0.25546207 0.29840993 0.28074314]	[0.09422778 0.         0.        ]	[0.54210368 0.65251723 0.68780614]	[0.7719464  1.10685775 0.92538064]
37 	92   	[0.25576754 0.30724234 0.28092058]	[0.09422778 0.         0.        ]	[0.56010189 0.65526468 0.71405982]	[0.7719464  1.10685775 0.92538064]
38 	92   	[0.25829775 0.29527128 0.28239256]	[0.08644471 0.         0.        ]	[0.55519732 0.69613315 0.70784198]	[0.7719464  1.10685775 0.92538064]
39 	92   	[0.2522624  0.30316037 0.29084017]	[0.08002663 0.         0.        ]	[0.5690843  0.7105667  0.70031574]	[0.7719464  1.10685775 0.92538064]
40 	92   	[0.24061851 0.30399225 0.28655975]	[0.09155717 0.         0.        ]	[0.59565226 0.70382265 0.72649872]	[0.7719464  1.10685775 0.92538064]
41 	92   	[0.23118386 0.29035673 0.27505689]	[0.09422778 0.         0.        ]	[0.61032065 0.70564175 0.74995094]	[0.7719464  1.10685775 0.92538064]
42 	92   	[0.21364642 0.28641993 0.26124934]	[0.09898132 0.         0.        ]	[0.63213141 0.70497679 0.75745542]	[0.7719464  1.10685775 0.92538064]
43 	92   	[0.21534155 0.28087125 0.25149306]	[0. 0. 0.]                        	[0.63664094 0.72968767 0.762731  ]	[0.7719464  1.10685775 0.92538064]
