Matsuoka quadruped, body parameters:[1, 7, 8, 7, 3, 2, 3, 4, 9, 9, 3, 5, 2, 8, 9, 1, 8, 7, 1, 5, 9, 10, 3, 5, 1, 2, 9, 10, 10, 6, 8, 1]
{'b': 0.020000000000000004, 'gam': 0.06999999999999999, 'x0': 0.8, 'c': 3.5, 'a': 0.6}
Inter-module:
[[ 0.  -1.8 -1.4 -0.4]
 [-1.6  0.  -0.4 -1.6]
 [-1.4 -0.4  0.  -1.8]
 [-0.4 -1.6 -1.6  0. ]]
Intra-module:
[[ 0.  -0.8 -1.8]
 [-1.2  0.   1.4]
 [ 1.8 -1.   0. ]]
Bias:[1.5 1.2 1.8]
Drive coeff:[ 0.7 -0.9  0.5]
Base period:4.96
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.01056958 0.02391534 0.00878306]	[0. 0. 0.]	[0.00183952 0.00378589 0.00126339]	[0.0885815  0.19122438 0.07375269]
1  	92   	[0.01357899 0.03437993 0.02784628]	[0. 0. 0.]	[0.00342264 0.00855862 0.00571353]	[0.0885815  0.19832645 0.21025409]
2  	92   	[0.023242   0.04905761 0.04220251]	[0. 0. 0.]	[0.00788439 0.01587269 0.0126619 ]	[0.11139814 0.27903755 0.27711544]
3  	92   	[0.03686159 0.05622244 0.05530842]	[ 0.          0.         -0.02998782]	[0.01655957 0.02739785 0.02259427]	[0.16546583 0.27903755 0.27711544]
4  	92   	[0.04808701 0.06802739 0.07703302]	[ 0.          0.         -0.02998782]	[0.03257445 0.047189   0.04315346]	[0.16546583 0.27903755 0.42540701]
5  	92   	[0.05713148 0.07771694 0.07977159]	[ 0.          0.         -0.02998782]	[0.05804795 0.07680291 0.06536365]	[0.21395025 0.45182459 0.42540701]
6  	92   	[0.05376594 0.08309734 0.08303049]	[0. 0. 0.]                           	[0.08922718 0.12201797 0.11257183]	[0.23325194 0.45182459 0.42540701]
7  	92   	[0.0556256  0.10416704 0.11215442]	[0. 0. 0.]                           	[0.11736755 0.16866791 0.16146302]	[0.29865541 0.62995835 0.67110064]
8  	92   	[0.05912452 0.13913906 0.12507824]	[0. 0. 0.]                           	[0.13576997 0.21865764 0.18519546]	[0.29865541 1.03282858 0.6731079 ]
9  	92   	[0.0673069  0.15335057 0.14203084]	[0. 0. 0.]                           	[0.15207212 0.235055   0.22198332]	[0.42437349 1.03282858 0.69663609]
10 	92   	[0.07272857 0.18494242 0.17690519]	[0. 0. 0.]                           	[0.15513771 0.28067751 0.25961206]	[0.42437349 1.03282858 0.81932293]
