Matsuoka quadruped, body parameters:[1, 5, 1, 7, 8, 4, 8, 4, 10, 9, 1, 7, 3, 10, 2, 1, 8, 8, 1, 2, 8, 8, 3, 9, 6, 7, 3, 9, 3, 7, 8, 5]
{'b': 0.020000000000000004, 'gam': 0.05, 'x0': 0.1, 'c': 3.5, 'a': 1.6}
Inter-module:
[[ 0.  -1.4 -1.4 -0.2]
 [-0.6  0.  -0.4 -2. ]
 [-1.4 -0.2  0.  -1.4]
 [-0.4 -2.  -0.6  0. ]]
Intra-module:
[[ 0.  -0.6 -1.8]
 [-1.8  0.   1. ]
 [ 1.  -1.   0. ]]
Bias:[1.7 1.3 2. ]
Drive coeff:[-0.7 -0.9  0.5]
Base period:6.72
gen	evals	std                            	min       	avg                               	max                               
0  	92   	[0.0344835 0.0110951 0.       ]	[0. 0. 0.]	[0.00783525 0.00147695 0.        ]	[0.25131701 0.10181015 0.        ]
1  	92   	[0.03639845 0.02233951 0.02401154]	[0. 0. 0.]	[0.00974268 0.00352581 0.00349039]	[0.25131701 0.18849572 0.20251924]
2  	92   	[0.04661338 0.03666858 0.03529238]	[0. 0. 0.]	[0.01633084 0.00779079 0.00835812]	[0.25131701 0.24741949 0.20251924]
3  	92   	[0.0779652  0.09668889 0.03969299]	[0. 0. 0.]	[0.03442091 0.02835623 0.01035643]	[0.39897833 0.58455523 0.20251924]
4  	92   	[0.08950685 0.11545278 0.06013285]	[0. 0. 0.]	[0.05573976 0.04466124 0.02131057]	[0.39897833 0.58455523 0.28982093]
5  	92   	[0.09414917 0.13836798 0.11051566]	[0. 0. 0.]	[0.0858697  0.08075269 0.04541134]	[0.39897833 0.58455523 0.73202451]
6  	92   	[0.096008   0.16289251 0.12172322]	[0. 0. 0.]	[0.12118106 0.14587024 0.08059029]	[0.39897833 0.60726783 0.73202451]
7  	92   	[0.09020786 0.16587276 0.14079311]	[0. 0. 0.]	[0.14420244 0.2230264  0.13211352]	[0.39897833 0.61172841 0.73202451]
8  	92   	[0.10669308 0.18543393 0.19208568]	[0. 0. 0.]	[0.17225113 0.27930079 0.18890519]	[0.54097755 0.64224731 0.73915622]
9  	92   	[0.12512387 0.21592981 0.21427117]	[0. 0. 0.]	[0.1985797  0.33461263 0.23239106]	[0.56187707 0.85600085 0.74476926]
10 	92   	[0.13390781 0.2095722  0.2475645 ]	[0. 0. 0.]	[0.24040437 0.44800901 0.26979993]	[0.56187707 0.91220185 0.75082429]
11 	92   	[0.15323386 0.23057771 0.27807734]	[0. 0. 0.]	[0.26277022 0.50502781 0.34578268]	[0.56187707 0.95978956 0.75082429]
12 	92   	[0.15199544 0.20062898 0.29584243]	[0. 0. 0.]	[0.29008504 0.57101052 0.38390996]	[0.56187707 0.95978956 0.75082429]
13 	92   	[0.1599354  0.18776202 0.29861971]	[0. 0. 0.]	[0.31319591 0.60705542 0.40649464]	[0.56277567 0.95978956 0.75082429]
14 	92   	[0.14610495 0.1757658  0.3018341 ]	[0. 0. 0.]	[0.35305216 0.6425818  0.41057043]	[0.56290238 0.95978956 0.75632142]
15 	92   	[0.15301887 0.18040952 0.29088988]	[0. 0. 0.]	[0.35368522 0.66228052 0.47174411]	[0.56380989 0.95978956 0.75784355]
16 	92   	[0.13455682 0.16363412 0.27785337]	[0. 0. 0.]	[0.374362   0.67419406 0.49707382]	[0.56380989 0.95978956 0.75987769]
17 	92   	[0.14310971 0.17233761 0.28446592]	[0. 0. 0.]	[0.380736   0.6884841  0.47071059]	[0.56380989 0.95978956 0.75987769]
18 	92   	[0.13794038 0.17622841 0.29032353]	[0. 0. 0.]	[0.39428722 0.70455965 0.43484364]	[0.56380989 0.95978956 0.75987769]
19 	92   	[0.13939464 0.18933808 0.29055178]	[0. 0. 0.]	[0.42612421 0.69025767 0.46559125]	[0.56874549 0.95978956 0.75987769]
20 	92   	[0.15117881 0.19209135 0.29061868]	[0. 0. 0.]	[0.43774735 0.69455096 0.47876846]	[0.89645031 0.96415166 0.75987769]
21 	92   	[0.15049955 0.18612831 0.29797613]	[0.16517503 0.         0.        ]	[0.44157028 0.70989745 0.45319338]	[0.89645031 0.96415166 0.75987769]
22 	92   	[0.1461836  0.18680571 0.29439105]	[0.16517503 0.         0.        ]	[0.46139965 0.71506103 0.43122031]	[0.89645031 0.96415166 0.75987769]
23 	92   	[0.14855761 0.19002592 0.30782174]	[0.16517503 0.         0.        ]	[0.47679039 0.72889082 0.4574159 ]	[0.89645031 0.96415166 0.75987769]
24 	92   	[0.14855129 0.21633075 0.31415191]	[0.16517503 0.         0.        ]	[0.48109343 0.72046416 0.46410359]	[0.89645031 0.96415166 0.76013166]
