Matsuoka quadruped, body parameters:[1, 2, 8, 8, 8, 1, 5, 4, 10, 9, 1, 8, 1, 8, 3, 1, 8, 7, 4, 5, 9, 9, 3, 9, 6, 9, 9, 9, 10, 6, 8, 1]
{'b': 0.020000000000000004, 'gam': 0.020000000000000004, 'x0': 0.8, 'c': 4.0, 'a': 1.6}
Inter-module:
[[ 0.  -2.  -1.4 -0.2]
 [-1.2  0.  -0.4 -2. ]
 [-1.4 -0.2  0.  -2. ]
 [-0.4 -2.  -1.2  0. ]]
Intra-module:
[[ 0.  -0.8 -0.6]
 [-1.2  0.   1.4]
 [ 1.4 -1.   0. ]]
Bias:[1.8 1.1 1.8]
Drive coeff:[-0.5 -0.9  0.5]
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.0030974  0.00305675 0.        ]	[0. 0. 0.]	[0.0003247  0.00035505 0.        ]	[0.02987198 0.02932716 0.        ]
1  	92   	[0.0151613  0.00305675 0.        ]	[0. 0. 0.]	[0.00252813 0.00035505 0.        ]	[0.1135309  0.02932716 0.        ]
2  	92   	[0.02345879 0.00305675 0.        ]	[0. 0. 0.]	[0.00542495 0.00035505 0.        ]	[0.13292044 0.02932716 0.        ]
3  	92   	[0.03838922 0.01642123 0.        ]	[0. 0. 0.]	[0.01216382 0.00205028 0.        ]	[0.21950138 0.1559613  0.        ]
4  	92   	[0.06978971 0.01661221 0.        ]	[0. 0. 0.]	[0.02199786 0.00233708 0.        ]	[0.55029857 0.1559613  0.        ]
5  	92   	[0.07553107 0.01661221 0.        ]	[0. 0. 0.]	[0.02973448 0.00233708 0.        ]	[0.55029857 0.1559613  0.        ]
6  	92   	[0.07753875 0.02260003 0.01632077]	[0. 0. 0.]	[0.03795598 0.00475928 0.00171088]	[0.55029857 0.1559613  0.15740107]
7  	92   	[0.08984275 0.02381062 0.019755  ]	[0. 0. 0.]	[0.05995638 0.00559908 0.00320577]	[0.55029857 0.1559613  0.15740107]
8  	92   	[0.09161695 0.02942057 0.02033969]	[0. 0. 0.]	[0.08306085 0.00868314 0.00374978]	[0.55029857 0.16145553 0.15740107]
9  	92   	[0.09097787 0.03507982 0.02178368]	[0. 0. 0.]	[0.10678963 0.01340825 0.00494494]	[0.55029857 0.16145553 0.15740107]
10 	92   	[0.09210012 0.04015522 0.02178368]	[0. 0. 0.]	[0.14249043 0.01936825 0.00494494]	[0.55029857 0.16145553 0.15740107]
11 	92   	[0.11632474 0.06757036 0.04457817]	[0. 0. 0.]	[0.14472446 0.0409637  0.01595379]	[0.56770959 0.36450725 0.21270625]
12 	92   	[0.13001113 0.09158338 0.0742388 ]	[0. 0. 0.]	[0.13072095 0.06421891 0.02805805]	[0.56770959 0.55061943 0.54865946]
13 	92   	[0.13181833 0.145985   0.16305065]	[0. 0. 0.]	[0.15264923 0.09633216 0.06190631]	[0.56770959 1.05988085 1.02329073]
14 	92   	[0.12817047 0.15686052 0.19696838]	[0. 0. 0.]	[0.16775114 0.11925592 0.10051362]	[0.56770959 1.05988085 1.02625069]
15 	92   	[0.14312702 0.18684005 0.21725134]	[0. 0. 0.]	[0.19210383 0.15272634 0.13175904]	[0.96452815 1.07445479 1.02625069]
16 	92   	[0.14145875 0.21835279 0.25092485]	[0. 0. 0.]	[0.21114205 0.20646047 0.17828783]	[0.96452815 1.07445479 1.02625069]
17 	92   	[0.15507316 0.25156356 0.28736181]	[0. 0. 0.]	[0.24025783 0.26439232 0.24256073]	[0.96452815 1.07923645 1.0321754 ]
18 	92   	[0.14805667 0.28876612 0.32016249]	[0. 0. 0.]	[0.26595824 0.3414511  0.29133704]	[0.96452815 1.07923645 1.0321754 ]
19 	92   	[0.20395491 0.31549181 0.34195122]	[0. 0. 0.]	[0.31440047 0.44549295 0.36554248]	[0.96452815 1.0796575  1.0321754 ]
20 	92   	[0.21605197 0.32829813 0.34231687]	[0. 0. 0.]	[0.32560164 0.51692274 0.4063677 ]	[0.96452815 1.0796575  1.03410638]
21 	92   	[0.22088422 0.35891626 0.34978192]	[0. 0. 0.]	[0.36236763 0.55591976 0.42333197]	[0.96452815 1.08194226 1.0411655 ]
22 	92   	[0.23520551 0.35132376 0.38037658]	[0. 0. 0.]	[0.37723618 0.61927313 0.50355296]	[0.96452815 1.08194226 1.0411655 ]
