Matsuoka quadruped, body parameters:[1, 10, 3, 2, 8, 5, 5, 3, 10, 10, 5, 10, 8, 3, 9, 6, 4, 9, 1, 2, 8, 9, 2, 9, 10, 7, 6, 2, 10, 8, 10, 2]
{'b': 0.020000000000000004, 'gam': 0.1, 'x0': 0.3, 'c': 1.0, 'a': 1.6}
Inter-module:
[[ 0.  -1.2 -1.6 -0.2]
 [-1.2  0.  -0.2 -1.2]
 [-1.6 -0.2  0.  -1.2]
 [-0.2 -1.2 -1.2  0. ]]
Intra-module:
[[ 0.  -0.4 -1.8]
 [-1.8  0.   1. ]
 [ 1.4 -1.4  0. ]]
Bias:[2.  1.8 1.3]
Drive coeff:[ 0.7  0.1 -0.3]
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.01802987 0.03290777 0.01087472]	[0. 0. 0.]	[0.0049263  0.00723995 0.00253065]	[0.10120059 0.23994322 0.06372024]
1  	92   	[0.07270709 0.04968622 0.05115616]	[0. 0. 0.]	[0.0171793  0.01490509 0.00902198]	[0.62544438 0.34313401 0.48239121]
2  	92   	[0.07897798 0.08806813 0.05336382]	[0. 0. 0.]	[0.02702383 0.03676667 0.01355443]	[0.62544438 0.5035223  0.48239121]
3  	92   	[0.08142245 0.10059919 0.05782095]	[0. 0. 0.]	[0.03796232 0.05675526 0.02427634]	[0.62544438 0.50827884 0.48239121]
4  	92   	[0.08524445 0.13522047 0.09670972]	[0. 0. 0.]	[0.05644507 0.08955838 0.04472448]	[0.62544438 0.87821344 0.76130648]
5  	92   	[0.08617649 0.13723813 0.10040891]	[0. 0. 0.]	[0.06618095 0.11433344 0.06074282]	[0.62544438 0.87821344 0.76130648]
6  	92   	[0.09098695 0.1690981  0.10588002]	[0. 0. 0.]	[0.08237905 0.14763185 0.08160227]	[0.62544438 0.88102167 0.76130648]
7  	92   	[0.0952531  0.18610657 0.13408636]	[0. 0. 0.]	[0.09949317 0.18071689 0.10875329]	[0.62544438 0.88102167 0.76522781]
8  	92   	[0.10135937 0.20030391 0.13299049]	[0. 0. 0.]	[0.11494399 0.21853717 0.13050212]	[0.62544438 0.88102687 0.76522781]
9  	92   	[0.09922054 0.20887498 0.14780486]	[0. 0. 0.]	[0.13129451 0.23535841 0.15280962]	[0.62544438 0.88102687 0.76522781]
10 	92   	[0.12416036 0.23890535 0.15904556]	[0. 0. 0.]	[0.1602195  0.28722961 0.1969003 ]	[0.62701868 0.88348582 0.76522781]
11 	92   	[0.13022043 0.26374757 0.16586542]	[0. 0. 0.]	[0.18403259 0.33579037 0.23404188]	[0.62701868 0.88348582 0.76522781]
12 	92   	[0.12755998 0.2917571  0.1698649 ]	[0. 0. 0.]	[0.20790986 0.40691403 0.25626903]	[0.62701868 0.88348582 0.76522781]
13 	92   	[0.12186028 0.30299861 0.17813039]	[0.06013568 0.         0.        ]	[0.23540816 0.48271957 0.28589659]	[0.62701868 0.88348582 0.76522781]
14 	92   	[0.12836817 0.3215546  0.19642448]	[0.07180445 0.         0.        ]	[0.26013478 0.53963737 0.30307922]	[0.62701868 0.88348582 0.76522781]
15 	92   	[0.12436465 0.32330697 0.20581786]	[0.07024464 0.         0.        ]	[0.28266263 0.6080428  0.30443713]	[0.62701868 0.88348582 0.76522781]
16 	92   	[0.13867153 0.32502089 0.20267743]	[0.07410828 0.         0.04209859]	[0.29796306 0.55537695 0.31972296]	[0.62701868 0.88348582 0.76522781]
17 	92   	[0.12779315 0.33734328 0.20323827]	[0.07410828 0.         0.04209859]	[0.31950871 0.57667448 0.31025677]	[0.62701868 0.88395395 0.76522781]
18 	92   	[0.13230557 0.31981776 0.20050705]	[0.0800227  0.         0.04209859]	[0.33963908 0.61023408 0.32316828]	[0.62701868 0.88395395 0.76522781]
19 	92   	[0.13721752 0.29242501 0.1924043 ]	[0.0800227  0.         0.07776214]	[0.3441758  0.67304839 0.32386348]	[0.62701868 0.88650022 0.76522781]
20 	92   	[0.13760364 0.2976471  0.18943757]	[0.08103243 0.         0.0839037 ]	[0.35676622 0.674359   0.33226977]	[0.62701868 0.88650022 0.76522781]
21 	92   	[0.14443964 0.30515115 0.1966821 ]	[0.08103243 0.         0.        ]	[0.37985526 0.63612942 0.35132113]	[0.62701868 0.88650022 0.76522781]
22 	92   	[0.14414408 0.32206019 0.1772372 ]	[0.08103243 0.         0.        ]	[0.40259269 0.58715503 0.3620504 ]	[0.62701868 0.88650022 0.76522781]
23 	92   	[0.14229861 0.30181442 0.17537263]	[0.08103243 0.         0.11284797]	[0.41881228 0.59872751 0.37489412]	[0.62701868 0.88650022 0.76522781]
24 	92   	[0.13443344 0.30606473 0.17996934]	[0.08103243 0.         0.12994356]	[0.44809725 0.54664076 0.40505788]	[0.62701868 0.8866374  0.76522781]
25 	92   	[0.13237555 0.29229701 0.18427395]	[0.08103243 0.         0.09837109]	[0.44770229 0.57560991 0.40891094]	[0.62701868 0.88772739 0.76522781]
26 	92   	[0.14697439 0.29633725 0.19730986]	[0.         0.         0.11371947]	[0.42131999 0.61832258 0.44030482]	[0.6302998  0.88772739 0.76522781]
27 	92   	[0.14803805 0.28240383 0.2057543 ]	[0.         0.         0.10503252]	[0.41410597 0.66561865 0.44878783]	[0.6302998  0.88772739 0.76522781]
28 	92   	[0.14903633 0.28356935 0.20046731]	[0.08103243 0.         0.13339046]	[0.44607507 0.64949986 0.45722053]	[0.6302998  0.89803726 0.76522781]
29 	92   	[0.14053614 0.2819112  0.19838276]	[0.08103243 0.         0.13339046]	[0.4618845  0.66521834 0.47361005]	[0.6302998  0.89803726 0.76522781]
30 	92   	[0.13399407 0.29353323 0.19007409]	[0.08103243 0.         0.13339046]	[0.46733765 0.645026   0.49980971]	[0.6302998  0.89803726 0.76522781]
31 	92   	[0.14159563 0.2958674  0.18441834]	[0.08103243 0.         0.24072437]	[0.45516282 0.63541749 0.5345047 ]	[0.6302998  0.89803726 0.76623007]
32 	92   	[0.13902152 0.27815273 0.1875131 ]	[0.08103243 0.         0.24072437]	[0.46110786 0.64613753 0.53295934]	[0.6302998  0.89803726 0.76623007]
33 	92   	[0.14676788 0.27439917 0.1903632 ]	[0.08103243 0.         0.24072437]	[0.4563683  0.65359279 0.53742386]	[0.6302998  0.89803726 0.76623007]
34 	92   	[0.14150929 0.26732412 0.1911482 ]	[0.08103243 0.         0.24072437]	[0.45855258 0.67354865 0.54459007]	[0.6302998  0.89803726 0.76623007]
35 	92   	[0.1435464  0.24782757 0.19651432]	[0.08103243 0.         0.23695155]	[0.46330575 0.70171984 0.53608558]	[0.6302998  0.89803726 0.76623007]
36 	92   	[0.14460776 0.24060708 0.19469058]	[0.08103243 0.         0.23695155]	[0.47141286 0.71532541 0.52802226]	[0.63150992 0.89803726 0.76623007]
37 	92   	[0.14754855 0.2539678  0.19588502]	[0.08103243 0.         0.23695155]	[0.47478984 0.70052901 0.5450216 ]	[0.63150992 0.89803726 0.76623007]
38 	92   	[0.15556984 0.25806272 0.20155943]	[0.08103243 0.         0.23695155]	[0.46800287 0.69902876 0.55599812]	[0.63150992 0.89803726 0.76623007]
39 	92   	[0.15294713 0.25566142 0.20415022]	[0.08103243 0.         0.23056827]	[0.47326751 0.7062799  0.55539919]	[0.63150992 0.91284162 0.76623007]
40 	92   	[0.15625066 0.25641084 0.19672012]	[0.06042134 0.         0.23056827]	[0.47999545 0.70257043 0.57247923]	[0.63150992 0.91284162 0.76623007]
41 	92   	[0.14768445 0.25964018 0.19911814]	[0.08103243 0.         0.10599621]	[0.50350225 0.67481315 0.54660354]	[0.63150992 0.91284162 0.76623007]
42 	92   	[0.14423979 0.25423107 0.19360254]	[0.08103243 0.         0.23056827]	[0.50074945 0.68136496 0.56415511]	[0.63150992 0.91284162 0.76623007]
43 	92   	[0.14890998 0.26001692 0.18977385]	[0.08103243 0.         0.23056827]	[0.50390692 0.67277948 0.57278171]	[0.63150992 0.91284162 0.76623007]
44 	92   	[0.15547943 0.26516622 0.18753467]	[0.05712141 0.         0.23056827]	[0.49630063 0.68751225 0.57868151]	[0.63150992 0.91284162 0.76623007]
45 	92   	[0.15577514 0.25973986 0.18816528]	[0.05712141 0.         0.23056827]	[0.49760716 0.69461436 0.57823692]	[0.63150992 0.91284162 0.76623007]
46 	92   	[0.16280387 0.26886899 0.19272824]	[0.05712141 0.         0.23056827]	[0.49037381 0.69533551 0.57755354]	[0.63150992 0.91284162 0.76623007]
47 	92   	[0.16438519 0.26004294 0.19016091]	[0.07327366 0.         0.23056827]	[0.49064088 0.70842546 0.58079834]	[0.63150992 0.91284162 0.76623007]
48 	92   	[0.16321681 0.25890969 0.18833089]	[0.07327366 0.         0.23056827]	[0.50392701 0.71288582 0.5616037 ]	[0.63150992 0.91284162 0.76623007]
49 	92   	[0.16424621 0.27127479 0.17564401]	[0.07327366 0.         0.23056827]	[0.49071574 0.71133375 0.59446603]	[0.63349774 0.91284162 0.76623007]
50 	92   	[0.16181565 0.28549701 0.17651313]	[0.07327366 0.         0.23056827]	[0.49532321 0.69823541 0.58942248]	[0.63349774 0.91284162 0.76623007]
51 	92   	[0.15824743 0.2847393  0.17240213]	[0.07327366 0.         0.23056827]	[0.49859724 0.6963913  0.59044815]	[0.63349774 0.91284162 0.76623007]
52 	92   	[0.15820322 0.28278883 0.1723495 ]	[0.07327366 0.         0.23056827]	[0.49784801 0.69670253 0.58813034]	[0.63349774 0.91284162 0.76623007]
53 	92   	[0.1581566  0.27832294 0.17392375]	[0.07327366 0.         0.23056827]	[0.4982948  0.69597957 0.5872098 ]	[0.63349774 0.91284162 0.76623007]
54 	92   	[0.15913701 0.28291054 0.17547603]	[0.07327366 0.         0.23056827]	[0.50692536 0.69807284 0.58443274]	[0.63349774 0.91284162 0.76623007]
55 	92   	[0.15833293 0.28210891 0.17411504]	[0.07327366 0.         0.23056827]	[0.5092516  0.69965493 0.58299455]	[0.63349774 0.91284162 0.76623007]
56 	92   	[0.15845942 0.28205295 0.17413792]	[0.07327366 0.         0.23056827]	[0.51018686 0.69956391 0.58193039]	[0.63349774 0.91284162 0.76623007]
57 	92   	[0.15803629 0.28234211 0.16836069]	[0.07327366 0.         0.23056827]	[0.50667023 0.70027071 0.58540223]	[0.63349774 0.91284162 0.76623007]
58 	92   	[0.15639974 0.282171   0.16814953]	[0.07327366 0.         0.23056827]	[0.50850862 0.70049684 0.58519689]	[0.63349774 0.91284162 0.76623007]
59 	92   	[0.15597507 0.28196319 0.16754502]	[0.07327366 0.         0.23056827]	[0.51196772 0.695832   0.58893595]	[0.63349774 0.91284162 0.76623007]
60 	92   	[0.15624201 0.28777853 0.16865027]	[0.07327366 0.         0.23056827]	[0.51152123 0.68969686 0.58759162]	[0.63603593 0.91284162 0.76623007]
61 	92   	[0.15578772 0.2819942  0.16627306]	[0.07327366 0.         0.23056827]	[0.51713647 0.69690328 0.58624314]	[0.63603593 0.91284162 0.76623007]
62 	92   	[0.15537077 0.27243204 0.16524846]	[0.07327366 0.         0.23056827]	[0.51615405 0.70338749 0.59402208]	[0.63603593 0.91284162 0.76623007]
63 	92   	[0.15612159 0.27273946 0.16381488]	[0.07327366 0.         0.23056827]	[0.5130538  0.70468368 0.59192591]	[0.63603593 0.91284162 0.76623007]
64 	92   	[0.15541805 0.27228783 0.16192254]	[0.07327366 0.         0.23056827]	[0.51622481 0.7014791  0.59552699]	[0.63603593 0.91284162 0.76623007]
65 	92   	[0.15541805 0.27228783 0.16192254]	[0.07327366 0.         0.23056827]	[0.51622481 0.7014791  0.59552699]	[0.63603593 0.91284162 0.76623007]
66 	92   	[0.15536552 0.27338205 0.16269609]	[0.07327366 0.         0.23056827]	[0.5155675  0.6998064  0.59636936]	[0.63603593 0.91284162 0.76623007]
67 	92   	[0.15455094 0.27288908 0.16196664]	[0.07327366 0.         0.23056827]	[0.51687488 0.70362793 0.596753  ]	[0.63603593 0.91284162 0.76623007]
68 	92   	[0.15474521 0.27315956 0.16199245]	[0.07327366 0.         0.23056827]	[0.51490219 0.69945785 0.60009916]	[0.63603593 0.91284162 0.76623007]
69 	92   	[0.15473076 0.26326973 0.16156636]	[0.07327366 0.         0.23056827]	[0.51488228 0.70626038 0.60060866]	[0.63603593 0.91284162 0.76623007]
70 	92   	[0.15473076 0.26326973 0.16156636]	[0.07327366 0.         0.23056827]	[0.51488228 0.70626038 0.60060866]	[0.63603593 0.91284162 0.76623007]
