Matsuoka quadruped, body parameters:[1, 10, 4, 2, 8, 5, 5, 8, 10, 8, 5, 10, 8, 3, 9, 6, 4, 9, 1, 2, 8, 9, 3, 9, 10, 7, 6, 8, 10, 8, 10, 2]
{'b': 0.020000000000000004, 'gam': 0.1, 'x0': 0.4, 'c': 1.0, 'a': 1.6}
Inter-module:
[[ 0.  -1.2 -0.6 -0.2]
 [-1.2  0.  -0.6 -1.2]
 [-0.6 -0.2  0.  -1.2]
 [-0.6 -1.2 -1.2  0. ]]
Intra-module:
[[ 0.  -0.4 -1.8]
 [-1.8  0.   1. ]
 [ 1.4 -1.   0. ]]
Bias:[2.  1.8 1.3]
Drive coeff:[ 0.7  0.1 -0.3]
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.04099161 0.06462976 0.03460174]	[0. 0. 0.]	[0.00510773 0.01219747 0.00641279]	[0.39297057 0.5298433  0.21603417]
1  	92   	[0.04995215 0.08354225 0.05171593]	[0. 0. 0.]	[0.01101866 0.02628895 0.01531331]	[0.39297057 0.5298433  0.26831126]
2  	92   	[0.05984974 0.10048622 0.07221055]	[0. 0. 0.]	[0.02484222 0.04498406 0.03328124]	[0.39297057 0.5298433  0.30782764]
3  	92   	[0.07051083 0.12154335 0.09903294]	[0. 0. 0.]	[0.04321788 0.07602608 0.05960975]	[0.39297057 0.5298433  0.5963843 ]
4  	92   	[0.07487772 0.15503717 0.12808953]	[0. 0. 0.]	[0.07615948 0.14861707 0.11532227]	[0.39297057 0.90791322 0.60999263]
5  	92   	[0.07689185 0.16343379 0.14484145]	[0. 0. 0.]	[0.10553618 0.23579165 0.20052435]	[0.39297057 0.90791322 0.61849533]
6  	92   	[0.07326775 0.18366379 0.15281414]	[0. 0. 0.]	[0.13203448 0.29022665 0.24629501]	[0.39297057 0.90791322 0.61849533]
7  	92   	[0.06751322 0.22584703 0.1611454 ]	[0. 0. 0.]	[0.15972201 0.38858013 0.29158619]	[0.39297057 0.94003887 0.62273554]
8  	92   	[0.07038372 0.24485099 0.16593919]	[0. 0. 0.]	[0.176107   0.50325283 0.34595104]	[0.39297057 0.94003887 0.62273554]
9  	92   	[0.06510866 0.23118818 0.18784201]	[0. 0. 0.]	[0.19695398 0.58364369 0.37748963]	[0.39297057 0.94003887 0.62273554]
10 	92   	[0.07410929 0.26910994 0.18028487]	[0.         0.         0.12626904]	[0.20451891 0.61064797 0.39013512]	[0.39297057 0.94003887 0.85041062]
11 	92   	[0.07112201 0.2318481  0.18762092]	[0. 0. 0.]                        	[0.22522755 0.64829651 0.4132549 ]	[0.39297057 0.94003887 0.85041062]
