Matsuoka quadruped, body parameters:[1, 10, 1, 2, 8, 5, 5, 3, 10, 10, 5, 9, 8, 8, 9, 6, 4, 9, 1, 2, 8, 8, 5, 9, 10, 7, 2, 10, 2, 1, 1, 2]
{'b': 0.020000000000000004, 'gam': 0.1, 'x0': 0.1, 'c': 1.0, 'a': 1.6}
Inter-module:
[[ 0.  -1.2 -1.6 -0.2]
 [-1.2  0.  -0.2 -1.2]
 [-1.6 -0.2  0.  -1.2]
 [-0.2 -1.2 -1.2  0. ]]
Intra-module:
[[ 0.  -0.4 -1.8]
 [-1.8  0.   1. ]
 [ 1.  -0.2  0. ]]
Bias:[1.9 1.8 1.8]
Drive coeff:[ 0.7  0.1 -0.3]
gen	evals	std                               	min       	avg                            	max                               
0  	92   	[0.         0.03013302 0.        ]	[0. 0. 0.]	[0.        0.0031588 0.       ]	[0.         0.29060946 0.        ]
1  	92   	[0.01651362 0.04565948 0.01484579]	[0. 0. 0.]	[0.0017311  0.00815338 0.00155626]	[0.15926095 0.29256715 0.14317606]
2  	92   	[0.0258751  0.06018934 0.01484579]	[0. 0. 0.]	[0.00472779 0.01409887 0.00155626]	[0.18480368 0.31859477 0.14317606]
3  	92   	[0.04018612 0.07843715 0.02727677]	[0. 0. 0.]	[0.01128599 0.02326976 0.00499963]	[0.24072822 0.40950563 0.16441517]
4  	92   	[0.0598037  0.10534034 0.04746131]	[0. 0. 0.]	[0.02447381 0.04485316 0.01345228]	[0.24072822 0.40950563 0.22826806]
5  	92   	[0.08138099 0.13876771 0.06841008]	[0. 0. 0.]	[0.04711885 0.08379839 0.02708149]	[0.29561472 0.49918936 0.287468  ]
6  	92   	[0.1182312  0.16333054 0.0943361 ]	[0. 0. 0.]	[0.08940914 0.14160507 0.05536062]	[0.69524716 0.79663742 0.3549596 ]
7  	92   	[0.12771563 0.17922193 0.11223125]	[0. 0. 0.]	[0.13430949 0.23398448 0.10603879]	[0.69524716 0.79663742 0.36684793]
8  	92   	[0.12051104 0.20058776 0.12286188]	[0. 0. 0.]	[0.18357818 0.33436398 0.16567109]	[0.69524716 1.08518757 0.49026125]
9  	92   	[0.16379203 0.2288059  0.1635488 ]	[0. 0. 0.]	[0.24833517 0.41381101 0.24040508]	[0.92839755 1.08518757 1.06337937]
10 	92   	[0.1798589  0.24829461 0.20904126]	[0. 0. 0.]	[0.26765872 0.4721939  0.27659177]	[0.92839755 1.0963978  1.07182961]
11 	92   	[0.18515745 0.26608556 0.21722994]	[0. 0. 0.]	[0.31751455 0.54847326 0.30876472]	[0.92839755 1.0963978  1.07182961]
12 	92   	[0.24126099 0.29335019 0.25979323]	[0. 0. 0.]	[0.3636188  0.64852296 0.37275934]	[1.04916336 1.10411572 1.07666384]
13 	92   	[0.25722921 0.30913672 0.27825954]	[0. 0. 0.]	[0.37981108 0.63449129 0.41281494]	[1.04916336 1.10411572 1.0841816 ]
14 	92   	[0.26729068 0.28983715 0.27198452]	[0. 0. 0.]	[0.38240116 0.66584471 0.42817379]	[1.04916336 1.10411572 1.0841816 ]
15 	92   	[0.27989907 0.25806618 0.29223273]	[0. 0. 0.]	[0.3666059  0.69148025 0.48258498]	[1.04916336 1.10567165 1.0851396 ]
16 	92   	[0.26249466 0.24968506 0.3180726 ]	[0. 0. 0.]	[0.42425645 0.73871334 0.47007359]	[1.0571656  1.11060755 1.0851396 ]
17 	92   	[0.28335566 0.28774163 0.33946697]	[0. 0. 0.]	[0.4380993  0.71669863 0.50150252]	[1.0571656  1.11060755 1.0851396 ]
18 	92   	[0.31522433 0.27519065 0.37698191]	[0. 0. 0.]	[0.47546818 0.74336472 0.53613874]	[1.0571656  1.11060755 1.0851396 ]
19 	92   	[0.31044998 0.25959675 0.38034279]	[0. 0. 0.]	[0.49596666 0.75842034 0.5215669 ]	[1.06491373 1.11060755 1.09049812]
20 	92   	[0.30755931 0.26972955 0.37110672]	[0. 0. 0.]	[0.49922208 0.77934012 0.53024636]	[1.06961081 1.11060755 1.09049812]
21 	92   	[0.31636601 0.28262202 0.37928583]	[0. 0. 0.]	[0.52300329 0.79197974 0.537822  ]	[1.06961081 1.11060755 1.09387917]
22 	92   	[0.32767022 0.28614833 0.38585969]	[0. 0. 0.]	[0.52263496 0.78442527 0.567751  ]	[1.06961081 1.11060755 1.09387917]
23 	92   	[0.33620131 0.30751442 0.40312616]	[0. 0. 0.]	[0.54828452 0.77124675 0.57889651]	[1.06961081 1.11060755 1.09555995]
24 	92   	[0.34095299 0.28482329 0.40556028]	[0. 0. 0.]	[0.54640996 0.802774   0.59476936]	[1.08419779 1.11060755 1.09650296]
25 	92   	[0.34022742 0.2690357  0.38822623]	[0. 0. 0.]	[0.58736865 0.80532838 0.59551806]	[1.08419779 1.1136092  1.09650296]
26 	92   	[0.34519376 0.2799114  0.39082537]	[0. 0. 0.]	[0.57972724 0.79849852 0.6055177 ]	[1.08419779 1.1136092  1.1062988 ]
27 	92   	[0.34984275 0.2585824  0.39606006]	[0. 0. 0.]	[0.59068124 0.81048458 0.62096656]	[1.11220391 1.1136092  1.1062988 ]
28 	92   	[0.35460566 0.26260024 0.39932063]	[0. 0. 0.]	[0.61269305 0.80383134 0.70402737]	[1.11220391 1.11443008 1.1062988 ]
29 	92   	[0.36882078 0.27056789 0.41347962]	[0. 0. 0.]	[0.60200865 0.81700039 0.68703481]	[1.11220391 1.11443008 1.1062988 ]
30 	92   	[0.36876709 0.25960411 0.40690572]	[0. 0. 0.]	[0.6339106  0.8232059  0.63462154]	[1.11220391 1.11443008 1.1062988 ]
31 	92   	[0.37023153 0.26264031 0.41981647]	[0. 0. 0.]	[0.62886295 0.83021977 0.63974104]	[1.11220391 1.11443008 1.1062988 ]
32 	92   	[0.37454262 0.26930186 0.4147493 ]	[0. 0. 0.]	[0.63254246 0.82692479 0.65397309]	[1.11220391 1.11443008 1.1062988 ]
33 	92   	[0.37505617 0.26652313 0.42392623]	[0. 0. 0.]	[0.61347005 0.83994069 0.66534135]	[1.11220391 1.11443008 1.1062988 ]
34 	92   	[0.37638496 0.25393356 0.42472125]	[0. 0. 0.]	[0.60720444 0.85516517 0.67316069]	[1.11220391 1.11443008 1.1062988 ]
35 	92   	[0.37192344 0.2315878  0.41916929]	[0. 0. 0.]	[0.59332231 0.87765538 0.67048274]	[1.11220391 1.11443008 1.1062988 ]
36 	92   	[0.39343349 0.28928458 0.44598818]	[0. 0. 0.]	[0.6562744  0.79812826 0.70558623]	[1.11220391 1.11443008 1.1062988 ]
37 	92   	[0.3987972  0.26700625 0.45996424]	[0. 0. 0.]	[0.66392039 0.82055474 0.66095491]	[1.11220391 1.11443008 1.1062988 ]
38 	92   	[0.40925526 0.28432522 0.46547289]	[0. 0. 0.]	[0.64975553 0.81655129 0.69298199]	[1.11220391 1.11443008 1.1062988 ]
39 	92   	[0.41522157 0.28554089 0.45409044]	[0. 0. 0.]	[0.63936479 0.82558346 0.75556884]	[1.11220391 1.11443008 1.1062988 ]
40 	92   	[0.41688721 0.26999556 0.47309838]	[0. 0. 0.]	[0.62561872 0.84459994 0.71009329]	[1.11220391 1.11443008 1.1062988 ]
41 	92   	[0.41474547 0.24997195 0.4648066 ]	[0. 0. 0.]	[0.61831577 0.86572237 0.72534151]	[1.11220391 1.11443008 1.1062988 ]
42 	92   	[0.40832794 0.26994241 0.460313  ]	[0. 0. 0.]	[0.64133774 0.85313284 0.72929434]	[1.11220391 1.11443008 1.1062988 ]
43 	92   	[0.40569594 0.27268421 0.48078598]	[0. 0. 0.]	[0.63155086 0.87842676 0.67777205]	[1.11220391 1.11443008 1.1062988 ]
44 	92   	[0.4105846  0.23822689 0.47405532]	[0. 0. 0.]	[0.61820252 0.88992205 0.69267382]	[1.11220391 1.11443008 1.1062988 ]
45 	92   	[0.40774142 0.23665044 0.47004771]	[0. 0. 0.]	[0.62017159 0.88383938 0.68826461]	[1.11220391 1.11443008 1.1062988 ]
46 	92   	[0.41066104 0.23503854 0.46997853]	[0. 0. 0.]	[0.64396531 0.88603511 0.69663663]	[1.11220391 1.11443008 1.1062988 ]
47 	92   	[0.41250771 0.25289021 0.46589162]	[0. 0. 0.]	[0.66656747 0.88537587 0.69590318]	[1.11220391 1.11443008 1.1062988 ]
48 	92   	[0.40313551 0.25469741 0.46919034]	[0. 0. 0.]	[0.69223749 0.8873693  0.67595576]	[1.11220391 1.11443008 1.1062988 ]
49 	92   	[0.40281182 0.25275499 0.46140542]	[0. 0. 0.]	[0.68785798 0.88171497 0.68306306]	[1.11220391 1.11805839 1.1062988 ]
50 	92   	[0.39867455 0.23513076 0.46280014]	[0. 0. 0.]	[0.72664625 0.89480426 0.69975088]	[1.11220391 1.11805839 1.1062988 ]
51 	92   	[0.37901917 0.26040673 0.45918528]	[0. 0. 0.]	[0.77386248 0.86015281 0.71834002]	[1.11220391 1.11805839 1.1062988 ]
52 	92   	[0.38362265 0.25611513 0.46347132]	[0. 0. 0.]	[0.7711733  0.86474971 0.70647694]	[1.11220391 1.11805839 1.1062988 ]
53 	92   	[0.38426963 0.25933395 0.46094159]	[0. 0. 0.]	[0.76543975 0.85689197 0.72165767]	[1.11220391 1.11805839 1.1062988 ]
54 	92   	[0.37972032 0.25640417 0.46177159]	[0. 0. 0.]	[0.77493053 0.86407822 0.71286031]	[1.11220391 1.11805839 1.1062988 ]
55 	92   	[0.37713913 0.26062817 0.46126549]	[0. 0. 0.]	[0.77704853 0.85940588 0.72147685]	[1.11220391 1.11805839 1.1062988 ]
56 	92   	[0.37770922 0.25761565 0.46572481]	[0. 0. 0.]	[0.77778025 0.86169297 0.70974976]	[1.11220391 1.11805839 1.1062988 ]
57 	92   	[0.37873394 0.2565393  0.47253208]	[0. 0. 0.]	[0.77083611 0.8760891  0.68726439]	[1.11220391 1.11805839 1.1062988 ]
58 	92   	[0.38577061 0.25326772 0.47909245]	[0. 0. 0.]	[0.76710855 0.87886611 0.67296437]	[1.11220391 1.11805839 1.1062988 ]
