Matsuoka quadruped, body parameters:[2, 7, 4, 10, 1, 9, 9, 2, 6, 3, 5, 10, 4, 8, 10, 4, 9, 5, 1, 1, 10, 9, 1, 6, 2, 8, 1, 10, 10, 8, 9, 1]
{'b': 0.04000000000000001, 'gam': 0.06999999999999999, 'x0': 0.4, 'c': 5.0, 'a': 0.2}
Inter-module:
[[ 0.  -0.4 -1.8 -1. ]
 [-0.4  0.  -1.6 -1.2]
 [-1.8 -1.   0.  -0.4]
 [-1.6 -1.2 -0.4  0. ]]
Intra-module:
[[ 0.  -1.2 -1.8]
 [-2.   0.   1.8]
 [ 1.4 -1.8  0. ]]
Bias:[2.  1.4 1.8]
Drive coeff:[ 0.9 -0.3  0.7]
Base period:4.64
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.06481329 0.0954719  0.08849583]	[0. 0. 0.]	[0.03639954 0.0383373  0.01830544]	[0.23220915 0.55523031 0.71012025]
1  	92   	[0.07400856 0.10222686 0.09331046]	[0. 0. 0.]	[0.06200119 0.05820968 0.02864228]	[0.28195975 0.55523031 0.71012025]
2  	92   	[0.07809906 0.11160263 0.10182902]	[0. 0. 0.]	[0.09529839 0.10513005 0.0447924 ]	[0.31049178 0.55523031 0.71012025]
3  	92   	[0.09393446 0.13923709 0.10935098]	[0. 0. 0.]	[0.12401335 0.15349314 0.07465853]	[0.62975379 0.95632152 0.71012025]
4  	92   	[0.10876674 0.14492472 0.14437643]	[0. 0. 0.]	[0.15640651 0.19472858 0.11339146]	[0.69468015 0.95632152 0.71012025]
5  	92   	[0.11474606 0.13861559 0.17107121]	[0. 0. 0.]	[0.17962015 0.23519057 0.14434534]	[0.69468015 0.95632152 0.71012025]
6  	92   	[0.11773417 0.14265743 0.18986496]	[0. 0. 0.]	[0.1916441  0.27623884 0.18713623]	[0.69468015 0.95632152 0.71012025]
7  	92   	[0.13007554 0.18683471 0.2104294 ]	[0. 0. 0.]	[0.22389359 0.33761726 0.24334913]	[0.69468015 0.95869391 0.7152255 ]
8  	92   	[0.14127068 0.20188979 0.23611508]	[0. 0. 0.]	[0.25284721 0.37833919 0.30081685]	[0.72186916 0.96268605 0.89364057]
9  	92   	[0.15069706 0.19548463 0.23598621]	[0. 0. 0.]	[0.27564905 0.41420909 0.34161265]	[0.84573293 0.96268605 0.89364057]
10 	92   	[0.15059907 0.232141   0.23084757]	[0. 0. 0.]	[0.29300397 0.44378749 0.38286139]	[0.84573293 0.96268605 0.89364057]
11 	92   	[0.16876705 0.23019658 0.24156032]	[0. 0. 0.]	[0.31342127 0.48867415 0.41197356]	[0.84573293 0.96268605 0.89364057]
12 	92   	[0.19725298 0.22473466 0.24071806]	[0.10518728 0.         0.        ]	[0.35693359 0.54076805 0.44292876]	[0.85175427 0.97600026 0.89364057]
13 	92   	[0.21902639 0.22814925 0.2376485 ]	[0.10518728 0.         0.        ]	[0.40053857 0.57476783 0.46892062]	[0.85198528 0.97600026 0.89364057]
14 	92   	[0.22774677 0.2293488  0.22921865]	[0.14009251 0.         0.        ]	[0.41458523 0.59413888 0.47869863]	[0.85198528 0.97600026 0.89364057]
15 	92   	[0.2401258 0.2189418 0.2243466]   	[0.11853598 0.         0.        ]	[0.44947072 0.60932148 0.50559737]	[0.85198528 0.98093881 0.89364057]
16 	92   	[0.24774916 0.21218471 0.22872833]	[0.11853598 0.         0.        ]	[0.45391745 0.62844979 0.52629728]	[0.85198528 0.98093881 0.89364057]
17 	92   	[0.25216425 0.22713561 0.23128764]	[0.11853598 0.         0.        ]	[0.48370799 0.65719729 0.49361377]	[0.85323589 0.98093881 0.89364057]
18 	92   	[0.25570622 0.20914612 0.23205745]	[0.11853598 0.         0.        ]	[0.49120553 0.62246638 0.52667127]	[0.85323589 0.98093881 0.9038431 ]
19 	92   	[0.25986292 0.20034917 0.23991187]	[0. 0. 0.]                        	[0.53397253 0.61369557 0.50755792]	[0.85323589 0.98194099 0.9038431 ]
20 	92   	[0.25516687 0.206766   0.23748416]	[0.14626846 0.         0.        ]	[0.54365884 0.63080877 0.51745799]	[0.85323589 0.98497223 0.9038431 ]
21 	92   	[0.24237793 0.20938707 0.23775027]	[0.14626846 0.         0.        ]	[0.58796834 0.65533073 0.49920947]	[0.85323589 0.98497223 0.9038431 ]
22 	92   	[0.23325639 0.21860821 0.2371193 ]	[0.14626846 0.         0.        ]	[0.56962372 0.67554472 0.51704384]	[0.85544633 0.98497223 0.9038431 ]
23 	92   	[0.24017591 0.21829117 0.24246716]	[0.14626846 0.25508498 0.        ]	[0.55053972 0.6913349  0.52925115]	[0.85764111 0.98497223 0.9038431 ]
24 	92   	[0.25314316 0.21636927 0.25726597]	[0.13748848 0.25508498 0.        ]	[0.5177846  0.71854123 0.54390285]	[0.85764111 0.98497223 0.9038431 ]
25 	92   	[0.25551468 0.21006444 0.24203739]	[0.14626846 0.25508498 0.        ]	[0.52126689 0.72528885 0.55151774]	[0.85808175 0.98497223 0.9038431 ]
26 	92   	[0.25235659 0.21069334 0.23056722]	[0.14626846 0.25508498 0.        ]	[0.50466727 0.73684548 0.583645  ]	[0.85808175 0.98497223 0.9038431 ]
27 	92   	[0.25805731 0.21552313 0.22816251]	[0.14626846 0.25508498 0.        ]	[0.49685524 0.73727545 0.5870773 ]	[0.86159788 0.98497223 0.9038431 ]
28 	92   	[0.25922552 0.2103853  0.21591953]	[0.14626846 0.25508498 0.        ]	[0.50573247 0.74316756 0.57919574]	[0.86159788 0.98497223 0.90845423]
29 	92   	[0.26000865 0.20784016 0.22564089]	[0.14626846 0.25508498 0.        ]	[0.50646231 0.73090433 0.57115216]	[0.86159788 0.98497223 0.90845423]
30 	92   	[0.2491065  0.20749906 0.22522423]	[0.14626846 0.25508498 0.        ]	[0.51276962 0.71605958 0.57796249]	[0.86159788 0.98497223 0.90845423]
31 	92   	[0.24363698 0.2079251  0.22559459]	[0.14626846 0.25508498 0.        ]	[0.51341713 0.70854302 0.58110477]	[0.86159788 0.98497223 0.90845423]
32 	92   	[0.24168696 0.2079393  0.22667069]	[0.14626846 0.25508498 0.        ]	[0.53102282 0.70488205 0.58082762]	[0.86159788 0.98497223 0.90845423]
33 	92   	[0.23913316 0.20693537 0.22922958]	[0.14626846 0.25508498 0.        ]	[0.52748462 0.71082819 0.58247034]	[0.86159788 0.98869563 0.90845423]
34 	92   	[0.22482636 0.20813615 0.23593208]	[0.14626846 0.25508498 0.        ]	[0.57959546 0.69575846 0.55428991]	[0.86159788 0.99193868 0.90845423]
35 	92   	[0.22199526 0.20446122 0.24240474]	[0.16608392 0.25508498 0.        ]	[0.60184394 0.70833474 0.54336983]	[0.8634874  0.99193868 0.90845423]
36 	92   	[0.22504884 0.21141081 0.23477492]	[0.16608392 0.1778075  0.        ]	[0.5976382  0.6855614  0.56190462]	[0.8634874  0.99193868 0.90845423]
37 	92   	[0.23117304 0.21521688 0.22448618]	[0.16608392 0.         0.        ]	[0.61011813 0.66785344 0.56043905]	[0.8634874  0.99193868 0.90845423]
38 	92   	[0.23445997 0.20516108 0.22952222]	[0.16608392 0.25508498 0.        ]	[0.61797823 0.70173286 0.55324001]	[0.86364902 0.99193868 0.90845423]
39 	92   	[0.22858963 0.21027836 0.23108552]	[0.16608392 0.25952031 0.        ]	[0.61728574 0.69123904 0.55946694]	[0.86385302 0.99193868 0.90845423]
40 	92   	[0.22971167 0.20343213 0.23542296]	[0.16608392 0.25952031 0.        ]	[0.63276729 0.70537031 0.54164659]	[0.86465428 0.99193868 0.90845423]
41 	92   	[0.23088736 0.2014041  0.2348583 ]	[0.16608392 0.25952031 0.        ]	[0.64540808 0.70028001 0.53627092]	[0.86465428 0.99193868 0.90845423]
42 	92   	[0.22549526 0.19663804 0.23803962]	[0.16608392 0.40549632 0.        ]	[0.64052679 0.72340487 0.52556642]	[0.86465428 0.99193868 0.90845423]
43 	92   	[0.22626457 0.20885642 0.21927212]	[0.16608392 0.31108821 0.        ]	[0.60891304 0.71389398 0.58137491]	[0.86465428 0.99193868 0.90845423]
44 	92   	[0.22806592 0.20751307 0.21926598]	[0.16608392 0.31108821 0.        ]	[0.60470358 0.70013588 0.58745642]	[0.86465428 0.99193868 0.90845423]
45 	92   	[0.22076098 0.20311137 0.2169923 ]	[0.16608392 0.31108821 0.        ]	[0.59593754 0.7039403  0.60251446]	[0.86465428 0.99486012 0.9105243 ]
46 	92   	[0.22858532 0.19608295 0.19538543]	[0.16608392 0.31108821 0.15955476]	[0.58430956 0.66287264 0.64953856]	[0.86465428 0.99486012 0.9105243 ]
47 	92   	[0.21922176 0.20370663 0.19263142]	[0.16608392 0.         0.15955476]	[0.62750174 0.65879347 0.62904932]	[0.86465428 0.99486012 0.9105243 ]
48 	92   	[0.19784618 0.18700086 0.20034855]	[0.16608392 0.         0.14512628]	[0.64827575 0.63861058 0.62812672]	[0.86465428 0.99546183 0.9105243 ]
49 	92   	[0.19825484 0.18971032 0.20200079]	[0.16608392 0.         0.14512628]	[0.65009784 0.63513754 0.63051357]	[0.86465428 0.99546183 0.9105243 ]
50 	92   	[0.20732026 0.19279406 0.20341209]	[0.16473911 0.         0.14512628]	[0.65042556 0.6471002  0.62644332]	[0.86465428 0.99546183 0.9105243 ]
51 	92   	[0.21055608 0.20077047 0.20459988]	[0.16473911 0.         0.14512628]	[0.64430522 0.66011545 0.61802149]	[0.86465428 0.99546183 0.9105243 ]
52 	92   	[0.21614635 0.20784681 0.20493562]	[0.16473911 0.         0.14512628]	[0.64267442 0.67922577 0.60526406]	[0.86465428 0.99546183 0.9105243 ]
53 	92   	[0.21754264 0.20781999 0.20705938]	[0.16473911 0.         0.14512628]	[0.63929884 0.67928568 0.6073845 ]	[0.86465428 0.99546183 0.9105243 ]
54 	92   	[0.21248646 0.20684172 0.20685164]	[0.16473911 0.         0.14512628]	[0.65705895 0.67332721 0.59839912]	[0.86465428 0.99546183 0.9105243 ]
55 	92   	[0.21561421 0.20796224 0.20743029]	[0.16473911 0.         0.14512628]	[0.65425539 0.69050344 0.59285759]	[0.86465428 0.99546183 0.9105243 ]
56 	92   	[0.21430854 0.21284135 0.20494968]	[0.16473911 0.         0.14512628]	[0.66278677 0.69255128 0.59904892]	[0.86465428 0.99546183 0.9105243 ]
57 	92   	[0.21563286 0.20352705 0.19998959]	[0.16608392 0.         0.14512628]	[0.66790449 0.67128166 0.60512036]	[0.86465428 0.99546183 0.9105243 ]
58 	92   	[0.22717959 0.20016175 0.19870416]	[0.16608392 0.37613358 0.14512628]	[0.64986143 0.67457929 0.62756348]	[0.86465428 0.99546183 0.9105243 ]
59 	92   	[0.22681713 0.20269175 0.19632705]	[0.16608392 0.37613358 0.14512628]	[0.65161028 0.68480787 0.6235298 ]	[0.86465428 0.99546183 0.9105243 ]
60 	92   	[0.22528324 0.19972937 0.19898894]	[0.16608392 0.37613358 0.14512628]	[0.64765337 0.68684913 0.61314222]	[0.86465428 0.99546183 0.91382925]
61 	92   	[0.23140901 0.19542227 0.20290734]	[0.16608392 0.37613358 0.14512628]	[0.65722713 0.67144403 0.61379007]	[0.86465428 0.99546183 0.91382925]
62 	92   	[0.23428806 0.19735614 0.1994372 ]	[0.16608392 0.37613358 0.14512628]	[0.65771085 0.68200709 0.60880675]	[0.86465428 0.99546183 0.91382925]
63 	92   	[0.22892871 0.19742997 0.20052702]	[0.16608392 0.37613358 0.14512628]	[0.67277022 0.68172381 0.6024822 ]	[0.86465428 0.99546183 0.91382925]
64 	92   	[0.2262308  0.19773333 0.20268721]	[0.17194085 0.37613358 0.14512628]	[0.68125064 0.68489642 0.59662315]	[0.86465428 0.99546183 0.91382925]
65 	92   	[0.19900393 0.20492583 0.19185335]	[0.17194085 0.         0.22462504]	[0.70902467 0.67847468 0.59816228]	[0.86465428 0.99546183 0.91382925]
66 	92   	[0.1986935  0.19049252 0.18829851]	[0.17194085 0.37613358 0.22462504]	[0.709262   0.67998749 0.60648737]	[0.86465428 0.99546183 0.91382925]
67 	92   	[0.19883246 0.19481975 0.19263683]	[0.17194085 0.3402354  0.22462504]	[0.71424165 0.67283231 0.61081367]	[0.86465428 0.99546183 0.91382925]
68 	92   	[0.20913754 0.1936069  0.19654926]	[0.         0.37613358 0.22462504]	[0.7161893  0.68038953 0.60581801]	[0.86465428 0.99546183 0.91382925]
69 	92   	[0.2191809  0.19093653 0.19268708]	[0.         0.37613358 0.22462504]	[0.72118771 0.68347967 0.59332349]	[0.86465428 0.99546183 0.91382925]
70 	92   	[0.21018556 0.18860186 0.19559692]	[0.         0.37613358 0.22462504]	[0.73285442 0.67504794 0.59053331]	[0.86502438 0.99546183 0.91382925]
71 	92   	[0.22027025 0.189043   0.19491752]	[0.         0.37613358 0.22462504]	[0.72207153 0.68163392 0.5925413 ]	[0.86502438 0.99546183 0.91382925]
72 	92   	[0.19216466 0.18639929 0.19030913]	[0.17194085 0.37613358 0.22462504]	[0.74029815 0.67677214 0.59922209]	[0.86502438 0.99546183 0.91382925]
73 	92   	[0.18843105 0.1894051  0.18979455]	[0.17194085 0.37613358 0.22462504]	[0.74885322 0.6822656  0.59090203]	[0.86502438 0.99546183 0.91382925]
74 	92   	[0.18837139 0.1873758  0.18894885]	[0.17194085 0.37613358 0.22462504]	[0.74874675 0.67791519 0.5944564 ]	[0.86502438 0.99546183 0.91382925]
75 	92   	[0.18201287 0.18364274 0.18806381]	[0.17194085 0.37613358 0.22462504]	[0.76014488 0.67773839 0.58855481]	[0.86711354 0.99546183 0.91382925]
76 	92   	[0.21602666 0.20190419 0.19117568]	[0.17194085 0.37613358 0.22462504]	[0.71223562 0.71139969 0.64507386]	[0.86465428 0.99546183 0.91382925]
77 	92   	[0.2193442  0.21107982 0.20102055]	[0.23567778 0.37613358 0.22462504]	[0.67606868 0.73821836 0.65716682]	[0.8642436  0.99546183 0.9105243 ]
78 	92   	[0.22406011 0.2194132  0.2016052 ]	[0.16979549 0.17544689 0.22462504]	[0.6672223  0.75054984 0.65502829]	[0.8642436  0.99546183 0.9105243 ]
79 	92   	[0.21872386 0.21222006 0.20251613]	[0.23567778 0.37613358 0.22462504]	[0.66957258 0.7603783  0.65821417]	[0.8642436  0.99546183 0.9105243 ]
80 	92   	[0.22419641 0.2147136  0.20782978]	[0.17053629 0.37613358 0.22462504]	[0.66627768 0.76705108 0.65324361]	[0.8642436  0.99546183 0.9105243 ]
81 	92   	[0.22322616 0.21279849 0.21101536]	[0.17053629 0.37613358 0.22462504]	[0.67506691 0.77721289 0.64473345]	[0.8642436  0.99546183 0.9105243 ]
82 	92   	[0.2306298  0.21563697 0.21340804]	[0.17053629 0.319248   0.22462504]	[0.6678897  0.78455453 0.63711058]	[0.8642436  0.99546183 0.9105243 ]
