Matsuoka quadruped, body parameters:[2, 7, 4, 2, 10, 10, 9, 6, 8, 2, 1, 10, 4, 4, 8, 6, 6, 10, 1, 7, 10, 9, 1, 6, 2, 8, 1, 10, 4, 8, 9, 2]
{'b': 0.04000000000000001, 'gam': 0.06999999999999999, 'x0': 0.4, 'c': 1.0, 'a': 2.0}
Inter-module:
[[ 0.  -0.2 -1.  -0.6]
 [-0.4  0.  -1.8 -2. ]
 [-1.  -0.6  0.  -0.2]
 [-1.8 -2.  -0.4  0. ]]
Intra-module:
[[ 0.  -0.2 -1.8]
 [-0.8  0.   1.8]
 [ 1.4 -1.8  0. ]]
Bias:[2.  1.4 1.4]
Drive coeff:[0.5 0.1 0.1]
Base period:6.72
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.04340377 0.02246093 0.0115252 ]	[0. 0. 0.]	[0.01690537 0.00408324 0.00132359]	[0.19827297 0.1637857  0.11072263]
1  	92   	[0.05623152 0.02900971 0.01860214]	[0. 0. 0.]	[0.0313251  0.00689666 0.00352138]	[0.27946943 0.1637857  0.11072263]
2  	92   	[0.07348595 0.04754466 0.02980195]	[0. 0. 0.]	[0.06287659 0.0180345  0.00864323]	[0.4344548 0.1873453 0.1254437]   
3  	92   	[0.063994   0.06141946 0.04353416]	[0. 0. 0.]	[0.10791015 0.03504096 0.01968464]	[0.4344548  0.26133475 0.17235236]
4  	92   	[0.06528196 0.09661992 0.09282361]	[0. 0. 0.]	[0.12717808 0.06968305 0.04641342]	[0.4344548  0.61601557 0.74178153]
5  	92   	[0.1104414  0.09750959 0.09375781]	[0. 0. 0.]	[0.1337887  0.12160308 0.07666356]	[0.81740823 0.61601557 0.74178153]
6  	92   	[0.10692412 0.11472786 0.09298072]	[0. 0. 0.]	[0.16500168 0.16782904 0.11084734]	[0.81740823 0.64348655 0.74178153]
7  	92   	[0.10237684 0.13987588 0.11573022]	[0. 0. 0.]	[0.18371389 0.21208608 0.13249144]	[0.81740823 0.83235691 0.74178153]
8  	92   	[0.11091826 0.17703061 0.13370624]	[0. 0. 0.]	[0.21202146 0.26790091 0.16814095]	[0.81740823 0.89495662 0.74178153]
9  	92   	[0.10779915 0.2228673  0.15789272]	[0. 0. 0.]	[0.23852855 0.33969795 0.19634739]	[0.81740823 0.93728758 0.74178153]
10 	92   	[0.11949485 0.2274543  0.18515152]	[0. 0. 0.]	[0.25669479 0.40291067 0.22097039]	[0.81740823 0.93728758 0.74178153]
11 	92   	[0.12010806 0.2204241  0.23128576]	[0. 0. 0.]	[0.27960982 0.50696774 0.29395463]	[0.81740823 0.93728758 0.92666624]
12 	92   	[0.11796698 0.19866069 0.25289239]	[0. 0. 0.]	[0.29180759 0.57508833 0.33872738]	[0.81740823 0.95097283 0.92666624]
13 	92   	[0.11659192 0.1998808  0.27625647]	[0. 0. 0.]	[0.31602861 0.6292091  0.39852175]	[0.81740823 0.95097283 0.92666624]
14 	92   	[0.11247388 0.20135486 0.2686924 ]	[0.19466781 0.         0.        ]	[0.33942547 0.62164071 0.44205272]	[0.81740823 0.95906973 0.92666624]
15 	92   	[0.12408868 0.19886638 0.26298554]	[0.16788275 0.20952935 0.        ]	[0.34427605 0.64893685 0.48410563]	[0.81740823 0.96099481 0.92666624]
