Matsuoka quadruped, body parameters:[2, 3, 4, 2, 6, 5, 10, 4, 8, 10, 2, 10, 4, 6, 8, 4, 6, 10, 7, 8, 10, 7, 1, 7, 9, 5, 3, 10, 1, 8, 9, 5]
{'b': 0.04000000000000001, 'gam': 0.03, 'x0': 0.4, 'c': 1.0, 'a': 1.2}
Inter-module:
[[ 0.  -1.2 -1.4 -0.6]
 [-0.2  0.  -0.2 -1.8]
 [-1.4 -0.6  0.  -1.2]
 [-0.2 -1.8 -0.2  0. ]]
Intra-module:
[[ 0.  -0.2  0.6]
 [-0.6  0.   1.8]
 [ 0.6 -1.8  0. ]]
Bias:[2.  1.4 1.6]
Drive coeff:[ 0.5 -0.3  0.1]
Base period:4.64
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.03213675 0.02688202 0.01242097]	[0. 0. 0.]	[0.01282582 0.00830853 0.00224951]	[0.17411692 0.17203917 0.08028414]
1  	92   	[0.03953056 0.03433747 0.01629419]	[0. 0. 0.]	[0.02145651 0.01662977 0.00416876]	[0.17411692 0.17203917 0.08756859]
2  	92   	[0.06704531 0.04302568 0.02945999]	[0. 0. 0.]	[0.04291534 0.02661925 0.00905836]	[0.48352048 0.19462707 0.18359981]
3  	92   	[0.0665977  0.05525749 0.0298549 ]	[0. 0. 0.]	[0.05972268 0.04273994 0.01000849]	[0.48352048 0.32931867 0.18359981]
4  	92   	[0.06954061 0.06394366 0.0366048 ]	[0. 0. 0.]	[0.06203937 0.06508486 0.01630327]	[0.48352048 0.3911678  0.18359981]
5  	92   	[0.06911262 0.07438227 0.04379638]	[0. 0. 0.]	[0.06837187 0.07367527 0.02391644]	[0.48352048 0.43383961 0.19583644]
6  	92   	[0.07438947 0.07550853 0.04852851]	[0. 0. 0.]	[0.07793073 0.08417492 0.03325794]	[0.48352048 0.43383961 0.19583644]
7  	92   	[0.08378695 0.07802981 0.0529937 ]	[0. 0. 0.]	[0.08567927 0.09013717 0.04934099]	[0.48352048 0.43383961 0.20836609]
8  	92   	[0.09583589 0.08254364 0.05809851]	[0. 0. 0.]	[0.0984448  0.10239913 0.05772073]	[0.5484091  0.43383961 0.20836609]
9  	92   	[0.09826056 0.0923528  0.06944307]	[0. 0. 0.]	[0.10535732 0.11279849 0.06959585]	[0.5484091  0.4355601  0.40844014]
10 	92   	[0.11376445 0.09740599 0.09854731]	[0. 0. 0.]	[0.12127194 0.12157867 0.0853696 ]	[0.5484091 0.4355601 0.5501356]   
11 	92   	[0.12265837 0.10188639 0.09853332]	[0. 0. 0.]	[0.13087402 0.1317397  0.09351338]	[0.60252637 0.4355601  0.5501356 ]
12 	92   	[0.14007702 0.11481353 0.1211707 ]	[0. 0. 0.]	[0.15702135 0.14921707 0.1077802 ]	[0.60252637 0.7116362  0.5501356 ]
13 	92   	[0.15257357 0.11446084 0.13120046]	[0. 0. 0.]	[0.17754273 0.15283095 0.12379115]	[0.60252637 0.7116362  0.5501356 ]
14 	92   	[0.16576307 0.13921854 0.14992176]	[0. 0. 0.]	[0.20088153 0.18069129 0.1479722 ]	[0.60252637 0.74357269 0.5501356 ]
15 	92   	[0.17330592 0.14418649 0.15847   ]	[0. 0. 0.]	[0.23511022 0.19122805 0.15027531]	[0.60252637 0.74357269 0.5501356 ]
16 	92   	[0.18258514 0.17383598 0.17107387]	[0. 0. 0.]	[0.25383231 0.22118418 0.1668087 ]	[0.60252637 0.74357269 0.55812331]
17 	92   	[0.19202854 0.19021208 0.18479126]	[0. 0. 0.]	[0.28240926 0.25437862 0.17962626]	[0.60252637 0.74357269 0.56364511]
18 	92   	[0.17656642 0.20899499 0.19765248]	[0. 0. 0.]	[0.33816098 0.2977767  0.18807406]	[0.60252637 0.8153529  0.5710714 ]
19 	92   	[0.18132676 0.22518995 0.21586776]	[0. 0. 0.]	[0.35294405 0.3402454  0.22238898]	[0.60529169 0.83416304 0.7446746 ]
20 	92   	[0.17361993 0.23678729 0.21683604]	[0. 0. 0.]	[0.3350426  0.36646636 0.24262194]	[0.60529169 0.83416304 0.7446746 ]
21 	92   	[0.1723758  0.2433222  0.21678667]	[0. 0. 0.]	[0.34181132 0.38270102 0.25519192]	[0.61178508 0.83416304 0.7446746 ]
22 	92   	[0.17779793 0.23334745 0.22352324]	[0. 0. 0.]	[0.33510844 0.41298712 0.28500849]	[0.61178508 0.83416304 0.7446746 ]
23 	92   	[0.18709701 0.2470003  0.21711294]	[0. 0. 0.]	[0.34129344 0.42217652 0.30483441]	[0.61178508 0.83416304 0.7446746 ]
24 	92   	[0.19209277 0.25464825 0.21705815]	[0. 0. 0.]	[0.35761702 0.41988098 0.30654067]	[0.61178508 0.83416304 0.7446746 ]
25 	92   	[0.19928803 0.27369445 0.21965217]	[0. 0. 0.]	[0.36617782 0.41201129 0.33014125]	[0.61178508 0.83416304 0.7446746 ]
26 	92   	[0.18220325 0.25390079 0.22261092]	[0. 0. 0.]	[0.3417362  0.48955068 0.34862732]	[0.61178508 0.83416304 0.7446746 ]
27 	92   	[0.17024174 0.24054525 0.22322371]	[0. 0. 0.]	[0.32265346 0.51699908 0.363981  ]	[0.61178508 0.83416304 0.75941545]
28 	92   	[0.16616568 0.24331236 0.22316496]	[0. 0. 0.]	[0.32662941 0.50647937 0.37293869]	[0.61178508 0.83416304 0.75941545]
29 	92   	[0.17083174 0.24497498 0.22831136]	[0. 0. 0.]	[0.32929383 0.48592949 0.36132144]	[0.61178508 0.83416304 0.75941545]
30 	92   	[0.16976002 0.24818672 0.23300943]	[0. 0. 0.]	[0.33741628 0.46518146 0.35084699]	[0.61178508 0.83416304 0.75941545]
31 	92   	[0.17534662 0.25419011 0.23119661]	[0. 0. 0.]	[0.34851956 0.46653272 0.33317427]	[0.61178508 0.83416304 0.75941545]
32 	92   	[0.1703645  0.24633336 0.2216442 ]	[0. 0. 0.]	[0.33889594 0.48161607 0.3688489 ]	[0.61178508 0.83416446 0.75941545]
33 	92   	[0.16526744 0.25131796 0.22022295]	[0. 0. 0.]	[0.33582202 0.48493283 0.37279191]	[0.61178508 0.83416446 0.75941545]
34 	92   	[0.16183131 0.25943232 0.22636282]	[0. 0. 0.]	[0.3344501  0.46854898 0.39052868]	[0.61178508 0.83458511 0.76149598]
35 	92   	[0.15833864 0.26048446 0.21541629]	[0. 0. 0.]	[0.3273392  0.47794452 0.40604524]	[0.61178508 0.83458511 0.76149598]
36 	92   	[0.15483903 0.25666149 0.22587034]	[0. 0. 0.]	[0.34034881 0.46710482 0.37739133]	[0.61178508 0.83458511 0.76149598]
37 	92   	[0.15113488 0.25010264 0.21296165]	[0. 0. 0.]	[0.33908675 0.44438055 0.40882923]	[0.61394675 0.83458511 0.76149598]
