Matsuoka quadruped, body parameters:[1, 8, 8, 3, 1, 9, 10, 5, 5, 2, 10, 9, 8, 1, 4, 9, 8, 2, 9, 10, 2, 3, 9, 8, 10, 8, 9, 10, 6, 9, 10, 3]
{'b': 0.020000000000000004, 'gam': 0.08000000000000002, 'x0': 0.8, 'c': 1.5, 'a': 0.2}
Inter-module:
[[ 0.  -0.4 -1.2 -1.2]
 [-0.2  0.  -1.8 -0.2]
 [-1.2 -1.2  0.  -0.4]
 [-1.8 -0.2 -0.2  0. ]]
Intra-module:
[[ 0.  -1.8  1.4]
 [-0.2  0.  -1.4]
 [-1.   1.4  0. ]]
Bias:[1.9 1.8 1.1]
Drive coeff:[-0.3  0.7  0.5]
Base period:4.16
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.01562196 0.02004328 0.02431785]	[0. 0. 0.]	[0.00237827 0.00303195 0.0050171 ]	[0.11695292 0.15383273 0.16331453]
1  	92   	[0.02583926 0.08362237 0.03486844]	[0. 0. 0.]	[0.00660408 0.01800481 0.01015413]	[0.14625257 0.74556845 0.19506888]
2  	92   	[0.0326193  0.09199505 0.04620269]	[0. 0. 0.]	[0.0105452  0.02874389 0.01850248]	[0.15009514 0.74556845 0.19506888]
3  	92   	[0.04463899 0.10718968 0.07230634]	[0. 0. 0.]	[0.02319733 0.04925611 0.03279883]	[0.16600067 0.74556845 0.50074855]
4  	92   	[0.05799278 0.13937404 0.09205597]	[0. 0. 0.]	[0.04129669 0.08732745 0.05851163]	[0.2266326  0.75530886 0.50479299]
5  	92   	[0.06229559 0.16645594 0.10352179]	[0. 0. 0.]	[0.07531258 0.15023776 0.10636213]	[0.23067374 0.77266378 0.50479299]
6  	92   	[0.05902155 0.17784856 0.11877636]	[0. 0. 0.]	[0.11268503 0.2408036  0.16033157]	[0.23198539 0.79687047 0.50703358]
7  	92   	[0.06479852 0.1967568  0.10608813]	[0. 0. 0.]	[0.13026733 0.31836551 0.20204066]	[0.23198539 0.79687047 0.50703358]
8  	92   	[0.0607694  0.20882268 0.11819771]	[0. 0. 0.]	[0.15737847 0.42554294 0.23743962]	[0.23434923 0.79687047 0.52258773]
9  	92   	[0.06206666 0.20954631 0.12066426]	[0. 0. 0.]	[0.17753784 0.50196412 0.26935687]	[0.23434923 0.79687047 0.52258773]
10 	92   	[0.05259558 0.19250974 0.13182002]	[0. 0. 0.]	[0.1989949  0.59525507 0.28930562]	[0.31183027 0.79687047 0.52258773]
11 	92   	[0.0356092  0.17441922 0.13783653]	[0. 0. 0.]	[0.21529239 0.63513848 0.31753511]	[0.32244184 0.80110669 0.52258773]
12 	92   	[0.06522574 0.17950792 0.13991203]	[0. 0. 0.]	[0.21680568 0.62087641 0.33624154]	[0.68580968 0.80110669 0.54897459]
13 	92   	[0.08147916 0.18034606 0.13871029]	[0. 0. 0.]	[0.22321991 0.63046447 0.3455405 ]	[0.68951336 0.80110669 0.54897459]
