Matsuoka quadruped, body parameters:[1, 8, 9, 9, 8, 10, 10, 5, 5, 1, 8, 2, 4, 5, 3, 9, 8, 2, 9, 10, 2, 3, 9, 4, 1, 8, 4, 9, 1, 3, 4, 1]
{'b': 0.020000000000000004, 'gam': 0.08000000000000002, 'x0': 0.9, 'c': 4.5, 'a': 1.6}
Inter-module:
[[ 0.  -0.2 -1.2 -1.2]
 [-0.2  0.  -2.  -0.6]
 [-1.2 -1.2  0.  -0.2]
 [-2.  -0.6 -0.2  0. ]]
Intra-module:
[[ 0.  -1.8  1.4]
 [-0.2  0.  -1.4]
 [-1.   1.4  0. ]]
Bias:[1.2 1.4 1.5]
Drive coeff:[-0.5  0.7  0.5]
Base period:4.8
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.04710516 0.02594857 0.01343168]	[0. 0. 0.]	[0.0118231  0.00485711 0.00140802]	[0.29746573 0.17217612 0.12953807]
1  	92   	[0.05944333 0.04715753 0.02638382]	[0. 0. 0.]	[0.02013453 0.0135716  0.00534794]	[0.29746573 0.24816116 0.17060326]
2  	92   	[0.07259708 0.07472783 0.042888  ]	[0. 0. 0.]	[0.03273401 0.02961194 0.01338369]	[0.29746573 0.37143926 0.20453747]
3  	92   	[0.09599687 0.09382296 0.06568758]	[0. 0. 0.]	[0.05389656 0.05358634 0.02637623]	[0.44151985 0.37143926 0.34226498]
4  	92   	[0.10998918 0.10007009 0.08761662]	[0. 0. 0.]	[0.08099792 0.08112369 0.05066631]	[0.44151985 0.37143926 0.4408296 ]
5  	92   	[0.10925902 0.0959784  0.09709235]	[0. 0. 0.]	[0.1131172  0.12207791 0.09209455]	[0.44151985 0.37143926 0.4408296 ]
6  	92   	[0.11481872 0.10450022 0.10343839]	[0. 0. 0.]	[0.14674185 0.16277532 0.13421846]	[0.66095557 0.42903119 0.4408296 ]
7  	92   	[0.11236833 0.14402975 0.11340251]	[0. 0. 0.]	[0.17184493 0.19513519 0.16646613]	[0.66095557 0.70821065 0.44797512]
8  	92   	[0.10488139 0.18072827 0.12756838]	[0. 0. 0.]	[0.20584278 0.23959812 0.18002295]	[0.66095557 1.15976777 0.52277168]
9  	92   	[0.1458795  0.20270381 0.17849917]	[0. 0. 0.]	[0.22412558 0.29202932 0.23883376]	[1.066455   1.16197805 1.13892476]
10 	92   	[0.14513683 0.28410644 0.19437244]	[0. 0. 0.]	[0.25722712 0.37277686 0.27788932]	[1.066455   1.17673062 1.13892476]
11 	92   	[0.14351449 0.3212079  0.23083714]	[0. 0. 0.]	[0.27014429 0.39142472 0.32484837]	[1.066455   1.18276635 1.14013628]
12 	92   	[0.16545118 0.40513049 0.2668438 ]	[0. 0. 0.]	[0.3149993  0.51456078 0.35472673]	[1.066455   1.18276635 1.14041781]
13 	92   	[0.17660929 0.38824391 0.316438  ]	[0.16269679 0.         0.        ]	[0.36015878 0.62145268 0.40969467]	[1.066455   1.18276635 1.14351272]
14 	92   	[0.18261438 0.38856403 0.3572552 ]	[0. 0. 0.]                        	[0.37700069 0.7341083  0.4783667 ]	[1.066455   1.18276635 1.14730598]
15 	92   	[0.19389386 0.39613729 0.37350593]	[0. 0. 0.]                        	[0.4123186  0.76479822 0.52989376]	[1.066455   1.18387134 1.14730598]
16 	92   	[0.19293839 0.36981418 0.36455532]	[0.20940023 0.         0.        ]	[0.41661163 0.77949421 0.53771657]	[1.066455   1.18387134 1.14819452]
17 	92   	[0.20059205 0.35351015 0.37326194]	[0.20940023 0.         0.        ]	[0.41666505 0.80462453 0.59165584]	[1.066455   1.1839535  1.14839911]
18 	92   	[0.19859107 0.37266282 0.3735258 ]	[0.21010049 0.         0.        ]	[0.44706218 0.82243676 0.54863578]	[1.066455   1.1839535  1.15053469]
19 	92   	[0.21733328 0.37271857 0.38118686]	[0.21135722 0.         0.        ]	[0.4566708  0.80434706 0.5850237 ]	[1.066455   1.1839535  1.15053469]
20 	92   	[0.2461373  0.39322558 0.37585672]	[0.21607655 0.         0.        ]	[0.50421038 0.78097821 0.54090734]	[1.06755776 1.1839535  1.15053469]
21 	92   	[0.27154491 0.40222248 0.39986443]	[0.21388983 0.         0.        ]	[0.47772702 0.84554037 0.61848342]	[1.07182318 1.18407544 1.15538503]
22 	92   	[0.28632016 0.33968303 0.40790566]	[0.21182199 0.         0.        ]	[0.51040666 0.891809   0.60105334]	[1.07182318 1.18421688 1.15538503]
23 	92   	[0.27917843 0.29330297 0.40687335]	[0.21182199 0.         0.        ]	[0.50787501 0.97296063 0.58442326]	[1.07182318 1.18421688 1.15538503]
24 	92   	[0.26991546 0.26550511 0.43202914]	[0.26618969 0.         0.        ]	[0.4929387  0.98123174 0.65921677]	[1.07182318 1.18522925 1.15538503]
25 	92   	[0.26771772 0.26583404 0.41581091]	[0.26622565 0.         0.        ]	[0.48675385 0.9756691  0.64709236]	[1.07182318 1.18522925 1.15538503]
26 	92   	[0.28432811 0.24819106 0.42398037]	[0.26622565 0.         0.        ]	[0.5221299  1.03513335 0.58313223]	[1.07182318 1.18522925 1.15538503]
27 	92   	[0.29589    0.24355256 0.43358288]	[0.26629986 0.         0.        ]	[0.55628799 1.02901725 0.55320693]	[1.07182318 1.18522925 1.15538503]
28 	92   	[0.30020151 0.25125489 0.43476057]	[0.26629986 0.         0.        ]	[0.56090004 1.01667987 0.60077858]	[1.07182318 1.18522925 1.15538503]
29 	92   	[0.30794439 0.25159214 0.44283518]	[0.26629986 0.         0.        ]	[0.58831163 1.00252777 0.63690406]	[1.07182318 1.18522925 1.15538503]
30 	92   	[0.31423957 0.2912541  0.44177968]	[0.26589506 0.         0.        ]	[0.56720325 0.98652395 0.6298831 ]	[1.07934622 1.18522925 1.15538503]
31 	92   	[0.31837072 0.30899829 0.43421561]	[0.26589506 0.         0.        ]	[0.56709617 0.96891407 0.67816934]	[1.07934622 1.18522925 1.15538503]
32 	92   	[0.32704891 0.30692425 0.44836903]	[0.26589506 0.         0.        ]	[0.60919135 0.94405816 0.69482178]	[1.07934622 1.18522925 1.15538503]
33 	92   	[0.34849147 0.31164617 0.45829373]	[0.26589506 0.         0.        ]	[0.61591642 0.91239451 0.75860717]	[1.07934622 1.18522925 1.15538503]
34 	92   	[0.34915892 0.32359159 0.43934163]	[0.26570507 0.         0.        ]	[0.62736492 0.91667924 0.81116779]	[1.07934622 1.18522925 1.15538503]
35 	92   	[0.35715049 0.28217768 0.46833337]	[0.21432302 0.         0.        ]	[0.66491112 0.94801022 0.72291051]	[1.07934622 1.18522925 1.15538503]
36 	92   	[0.35500134 0.28097359 0.45590009]	[0.21432302 0.         0.        ]	[0.66032573 0.96328926 0.73261729]	[1.07934622 1.18522925 1.15538503]
37 	92   	[0.3413242  0.27409124 0.44339593]	[0.21432302 0.         0.        ]	[0.65687086 0.95802014 0.75119519]	[1.07934622 1.18522925 1.15538503]
38 	92   	[0.34451831 0.2816431  0.42769396]	[0. 0. 0.]                        	[0.6575354  0.95692153 0.76259242]	[1.07934622 1.18799781 1.15538503]
39 	92   	[0.35047694 0.2894306  0.40625938]	[0. 0. 0.]                        	[0.66342236 0.93076955 0.81711551]	[1.07934622 1.18799781 1.15538503]
40 	92   	[0.36238911 0.28947065 0.40613931]	[0. 0. 0.]                        	[0.66350314 0.93732686 0.83973338]	[1.07934622 1.18799781 1.15538503]
41 	92   	[0.36453263 0.27935824 0.39517052]	[0. 0. 0.]                        	[0.6686215  0.94440244 0.86080609]	[1.07934622 1.18799781 1.15538503]
42 	92   	[0.36382538 0.27575749 0.40061416]	[0. 0. 0.]                        	[0.71558178 0.96117211 0.84165997]	[1.07934622 1.18799781 1.15538503]
43 	92   	[0.36360129 0.27315209 0.37382578]	[0. 0. 0.]                        	[0.71534073 0.98031728 0.89230824]	[1.07934622 1.18799781 1.15538503]
44 	92   	[0.36471373 0.27479588 0.3697574 ]	[0. 0. 0.]                        	[0.71451494 0.96484809 0.90149427]	[1.07934622 1.18799781 1.15538503]
45 	92   	[0.36534287 0.28058919 0.35183605]	[0. 0. 0.]                        	[0.72108308 0.95503959 0.93714957]	[1.07934622 1.18799781 1.15538503]
46 	92   	[0.36534702 0.27774283 0.3519625 ]	[0. 0. 0.]                        	[0.70680446 0.96251687 0.93736787]	[1.07934622 1.18799781 1.15538503]
47 	92   	[0.36647978 0.27776568 0.35558061]	[0. 0. 0.]                        	[0.70608039 0.95742968 0.9421826 ]	[1.07934622 1.18799781 1.15538503]
48 	92   	[0.36650809 0.27742562 0.36211479]	[0. 0. 0.]                        	[0.70605087 0.95762959 0.93264072]	[1.07934622 1.18799781 1.15538503]
49 	92   	[0.3655396  0.26636856 0.36280623]	[0. 0. 0.]                        	[0.71480822 0.96069213 0.93251401]	[1.07934622 1.18799781 1.15538503]
50 	92   	[0.36386501 0.26605953 0.36593879]	[0. 0. 0.]                        	[0.72456409 0.96060451 0.93027211]	[1.07934622 1.18799781 1.15538503]
51 	92   	[0.36682071 0.28327656 0.3773073 ]	[0. 0. 0.]                        	[0.72217991 0.94791255 0.91153064]	[1.07934622 1.18799781 1.15538503]
52 	92   	[0.36700926 0.28314252 0.3876376 ]	[0. 0. 0.]                        	[0.72238391 0.95307356 0.89224326]	[1.07934622 1.18799781 1.15538503]
53 	92   	[0.36671362 0.27856527 0.37516286]	[0. 0. 0.]                        	[0.71414644 0.97086746 0.91289773]	[1.07934622 1.18799781 1.15574278]
54 	92   	[0.36425052 0.27827886 0.38105815]	[0. 0. 0.]                        	[0.73168085 0.97571615 0.89687333]	[1.07934622 1.18799781 1.15574278]
55 	92   	[0.36586828 0.27840348 0.38112452]	[0. 0. 0.]                        	[0.7298286  0.97569451 0.89690155]	[1.07934622 1.18799781 1.15574278]
56 	92   	[0.36722748 0.27756957 0.3737379 ]	[0. 0. 0.]                        	[0.73602499 0.98064382 0.90056415]	[1.07934622 1.18799781 1.15574278]
