Matsuoka quadruped, body parameters:[1, 3, 8, 3, 3, 9, 8, 4, 6, 2, 10, 10, 8, 1, 1, 8, 8, 2, 9, 10, 2, 3, 10, 1, 5, 5, 9, 9, 10, 9, 10, 1]
{'b': 0.020000000000000004, 'gam': 0.03, 'x0': 0.8, 'c': 1.5, 'a': 0.6}
Inter-module:
[[ 0.  -0.4 -1.4 -1. ]
 [-0.6  0.  -1.8 -0.2]
 [-1.4 -1.   0.  -0.4]
 [-1.8 -0.2 -0.6  0. ]]
Intra-module:
[[ 0.  -1.8  1.4]
 [-0.2  0.  -1.4]
 [-1.   1.8  0. ]]
Bias:[2.  1.8 1.1]
Drive coeff:[-0.9  0.5  0.5]
Base period:4.0
gen	evals	std                               	min       	avg                               	max                               
0  	92   	[0.0087702  0.01271495 0.01544334]	[0. 0. 0.]	[0.00178575 0.00328791 0.00384339]	[0.0656815  0.07345929 0.09747672]
1  	92   	[0.01859749 0.02319035 0.02164752]	[0. 0. 0.]	[0.00362351 0.00683832 0.00628877]	[0.15991927 0.17808369 0.14012895]
2  	92   	[0.02068777 0.02968509 0.02559085]	[0. 0. 0.]	[0.00539485 0.01276104 0.00991849]	[0.15991927 0.17808369 0.14012895]
3  	92   	[0.02753824 0.03549442 0.03100525]	[0. 0. 0.]	[0.01051277 0.02246918 0.01676496]	[0.15991927 0.17808369 0.14012895]
4  	92   	[0.0310866  0.04519736 0.03823828]	[0. 0. 0.]	[0.01643968 0.04203479 0.03142341]	[0.15991927 0.22288847 0.14012895]
5  	92   	[0.03760978 0.07983127 0.03952812]	[0. 0. 0.]	[0.03089313 0.07230117 0.050319  ]	[0.15991927 0.48739155 0.14012895]
6  	92   	[0.04426331 0.08413571 0.05482598]	[0. 0. 0.]	[0.04468218 0.0973241  0.07139265]	[0.23410633 0.48739155 0.35500483]
7  	92   	[0.04589212 0.09586452 0.07456041]	[0. 0. 0.]	[0.05492583 0.12270539 0.09596278]	[0.23410633 0.48739155 0.4318104 ]
8  	92   	[0.04722408 0.10785554 0.10105996]	[0. 0. 0.]	[0.07108319 0.14885826 0.11766774]	[0.23410633 0.50512334 0.50330759]
9  	92   	[0.05349331 0.12895297 0.11096836]	[0. 0. 0.]	[0.07823978 0.18033368 0.13682211]	[0.23482904 0.85420598 0.53772892]
10 	92   	[0.0679336  0.16111065 0.11559142]	[0. 0. 0.]	[0.08525491 0.22386409 0.15446704]	[0.35957108 0.85420598 0.53772892]
11 	92   	[0.06803699 0.17672317 0.12413542]	[0. 0. 0.]	[0.09359183 0.27592596 0.17545485]	[0.35957108 0.85420598 0.53772892]
12 	92   	[0.07909656 0.19049101 0.13422309]	[0. 0. 0.]	[0.10508795 0.32043645 0.20235408]	[0.35957108 0.85420598 0.53772892]
13 	92   	[0.0934261  0.19637241 0.13445701]	[0. 0. 0.]	[0.12451691 0.36561269 0.22437258]	[0.61041209 0.85762644 0.53772892]
14 	92   	[0.08951957 0.20798967 0.13670808]	[0. 0. 0.]	[0.13768458 0.39214569 0.23672002]	[0.61041209 0.85762644 0.53772892]
15 	92   	[0.09290741 0.19404691 0.13691203]	[0. 0. 0.]	[0.14004874 0.43994474 0.23737614]	[0.61041209 0.85762644 0.53772892]
16 	92   	[0.08996082 0.20195688 0.14076932]	[0. 0. 0.]	[0.15119262 0.45597169 0.25124391]	[0.61041209 0.85762644 0.53772892]
17 	92   	[0.08370963 0.19784066 0.14271511]	[0. 0. 0.]	[0.16776617 0.47708836 0.25199285]	[0.61041209 0.85762644 0.53772892]
18 	92   	[0.09222338 0.22563671 0.14711827]	[0. 0. 0.]	[0.18222244 0.46789066 0.25510482]	[0.61041209 0.85906508 0.53772892]
19 	92   	[0.099888   0.23773801 0.15233463]	[0. 0. 0.]	[0.19029227 0.47054205 0.28227997]	[0.61041209 0.85906508 0.53772892]
20 	92   	[0.10763019 0.23174854 0.14754346]	[0. 0. 0.]	[0.18776212 0.48822393 0.31335408]	[0.61041209 0.85906508 0.60004918]
21 	92   	[0.10908796 0.23320027 0.1399515 ]	[0. 0. 0.]	[0.19586905 0.48834806 0.32819211]	[0.61041209 0.85906508 0.60004918]
22 	92   	[0.12309979 0.25935783 0.13956433]	[0. 0. 0.]	[0.20803719 0.47307296 0.33505887]	[0.61041209 0.85906508 0.60004918]
23 	92   	[0.13102015 0.26716931 0.13887985]	[0. 0. 0.]	[0.21444048 0.50075417 0.33981223]	[0.63826557 0.85916847 0.60004918]
24 	92   	[0.14821652 0.26728489 0.15260779]	[0. 0. 0.]	[0.2390696  0.51438382 0.3502123 ]	[0.63842761 0.86013095 0.80574762]
25 	92   	[0.15913282 0.26562501 0.15857898]	[0. 0. 0.]	[0.25822354 0.51879214 0.35465807]	[0.63842761 0.86147002 0.80574762]
26 	92   	[0.17281147 0.26050787 0.15257976]	[0. 0. 0.]	[0.27685658 0.49787862 0.36457989]	[0.66713976 0.869494   0.80574762]
27 	92   	[0.18858903 0.26587373 0.15388257]	[0. 0. 0.]	[0.2953641  0.51756207 0.37215084]	[0.66713976 0.87251106 0.80574762]
28 	92   	[0.18493504 0.25826907 0.15454096]	[0. 0. 0.]	[0.28196836 0.53551207 0.39376184]	[0.66713976 0.87251106 0.80574762]
29 	92   	[0.1808064  0.25103518 0.17225184]	[0. 0. 0.]	[0.32770877 0.51817152 0.3776672 ]	[0.66713976 0.88743055 0.80574762]
30 	92   	[0.18354173 0.25764774 0.17095617]	[0. 0. 0.]	[0.33658227 0.51876324 0.37497347]	[0.66713976 0.88743055 0.80574762]
31 	92   	[0.18629873 0.26376515 0.16869368]	[0. 0. 0.]	[0.35015515 0.51196188 0.37981575]	[0.66713976 0.88743055 0.80574762]
32 	92   	[0.19230112 0.27404505 0.17956234]	[0. 0. 0.]	[0.3797063  0.49794366 0.37236786]	[0.66713976 0.88743055 0.80574762]
33 	92   	[0.19806654 0.28401725 0.18125845]	[0. 0. 0.]	[0.39858376 0.50995833 0.38182746]	[0.66713976 0.88743055 0.80574762]
34 	92   	[0.19801561 0.28427117 0.18714306]	[0. 0. 0.]	[0.41253647 0.48792657 0.38716012]	[0.66713976 0.88743055 0.80574762]
35 	92   	[0.2091855  0.28777485 0.18954838]	[0. 0. 0.]	[0.39861509 0.50450003 0.4113949 ]	[0.66713976 0.88743055 0.80574762]
36 	92   	[0.21027308 0.29310289 0.18896428]	[0. 0. 0.]	[0.4100021  0.50074896 0.41576603]	[0.66713976 0.88896679 0.80574762]
37 	92   	[0.22086225 0.29757232 0.18488704]	[0. 0. 0.]	[0.40785914 0.51340352 0.42853171]	[0.66713976 0.88896679 0.80574762]
38 	92   	[0.21587301 0.29568725 0.18559785]	[0. 0. 0.]	[0.42949037 0.48973624 0.44186946]	[0.66713976 0.88896679 0.80574762]
39 	92   	[0.2056104  0.30139529 0.18303671]	[0. 0. 0.]	[0.43839515 0.48096575 0.44900144]	[0.66713976 0.88976277 0.80574762]
40 	92   	[0.19962517 0.30801066 0.18265693]	[0.12660936 0.         0.        ]	[0.46382733 0.46282303 0.46732851]	[0.66713976 0.88976277 0.80574762]
41 	92   	[0.20448418 0.31412411 0.18108741]	[0.12660936 0.         0.        ]	[0.45677998 0.46499676 0.48482366]	[0.66713976 0.88976277 0.80574762]
42 	92   	[0.20185801 0.3068847  0.18606102]	[0.12660936 0.         0.        ]	[0.44974566 0.49942712 0.48587429]	[0.66713976 0.88976277 0.80574762]
43 	92   	[0.2049298 0.3160472 0.1938335]   	[0. 0. 0.]                        	[0.44255779 0.51197518 0.4992813 ]	[0.66713976 0.89370898 0.81564346]
44 	92   	[0.20799649 0.31231718 0.21004909]	[0. 0. 0.]                        	[0.43650122 0.55144722 0.4910162 ]	[0.68603367 0.89370898 0.81564346]
45 	92   	[0.20908044 0.31145309 0.20529542]	[0. 0. 0.]                        	[0.43850506 0.56341717 0.50772914]	[0.68603367 0.89370898 0.81564346]
46 	92   	[0.2080688  0.30804668 0.21465554]	[0. 0. 0.]                        	[0.47025143 0.54104524 0.48144292]	[0.68840807 0.89611729 0.81564346]
47 	92   	[0.20970922 0.30431736 0.22583048]	[0. 0. 0.]                        	[0.45043925 0.56503204 0.48118087]	[0.71173617 0.89611729 0.81564346]
48 	92   	[0.21224225 0.2945462  0.21825676]	[0.         0.         0.11939206]	[0.45389939 0.55932276 0.49122026]	[0.71173617 0.89611729 0.81564346]
49 	92   	[0.20904645 0.29203098 0.22045326]	[0.         0.         0.11939206]	[0.47305135 0.58179359 0.48502589]	[0.71173617 0.89611729 0.81564346]
50 	92   	[0.20823873 0.28892937 0.22157958]	[0.         0.         0.11939206]	[0.47459524 0.57650488 0.47656717]	[0.71173617 0.89611729 0.81564346]
51 	92   	[0.21089227 0.2699329  0.22209636]	[0.         0.         0.11939206]	[0.44899489 0.6166253  0.49832996]	[0.71366117 0.89611729 0.81564346]
52 	92   	[0.20895437 0.2861286  0.21832632]	[0.         0.         0.11939206]	[0.44952081 0.60142973 0.51583527]	[0.71366117 0.89611729 0.81564346]
53 	92   	[0.21017661 0.28979221 0.23203726]	[0. 0. 0.]                        	[0.44494781 0.61039563 0.51586088]	[0.71366117 0.89611729 0.81564346]
54 	92   	[0.21033647 0.28927629 0.22835195]	[0.         0.         0.11939206]	[0.45355936 0.6145765  0.52132316]	[0.71366117 0.89611729 0.81564346]
55 	92   	[0.21297154 0.28243689 0.23706362]	[0.         0.         0.11939206]	[0.4603694  0.61507914 0.51854478]	[0.71366117 0.89611729 0.81564346]
56 	92   	[0.21306914 0.27568432 0.23949597]	[0.         0.         0.11939206]	[0.46334328 0.61915582 0.50848459]	[0.7208629  0.89611729 0.81564346]
57 	92   	[0.21168495 0.28392736 0.22943608]	[0.         0.         0.11939206]	[0.46179628 0.6115678  0.51917866]	[0.7208629  0.89611729 0.81564346]
58 	92   	[0.21296792 0.29500628 0.21971346]	[0.         0.         0.11939206]	[0.44595281 0.59943007 0.54728807]	[0.7208629  0.89611729 0.81679911]
59 	92   	[0.21019089 0.29379129 0.21299944]	[0.         0.         0.13604376]	[0.44299056 0.59988432 0.55128725]	[0.7208629  0.89611729 0.81679911]
60 	92   	[0.21133291 0.29248021 0.22058037]	[0.         0.         0.13089883]	[0.45667821 0.58012429 0.54595571]	[0.7208629  0.89611729 0.81679911]
61 	92   	[0.21867977 0.29448382 0.22268321]	[0.         0.         0.12612987]	[0.45663091 0.58012067 0.540979  ]	[0.72645244 0.89611729 0.81679911]
62 	92   	[0.21273205 0.30005802 0.22579404]	[0. 0. 0.]                        	[0.46374149 0.5692501  0.54966283]	[0.72645244 0.89611729 0.81679911]
63 	92   	[0.21058795 0.29869855 0.2235521 ]	[0. 0. 0.]                        	[0.46783246 0.56773375 0.55351633]	[0.72645244 0.89611729 0.81679911]
64 	92   	[0.2101784  0.30011429 0.21833014]	[0. 0. 0.]                        	[0.4719986  0.57432295 0.5502535 ]	[0.72645244 0.89611729 0.81679911]
65 	92   	[0.21745969 0.28836391 0.22279457]	[0. 0. 0.]                        	[0.45970052 0.60644768 0.53512235]	[0.72645244 0.89611729 0.81679911]
66 	92   	[0.22098347 0.29085557 0.21762972]	[0. 0. 0.]                        	[0.4626168  0.59934544 0.53823313]	[0.72645244 0.89611729 0.81679911]
