Matsuoka quadruped, body parameters:[1, 8, 1, 8, 8, 6, 1, 2, 10, 4, 9, 1, 5, 1, 3, 2, 3, 2, 9, 4, 2, 3, 9, 4, 10, 10, 9, 9, 8, 1, 1, 1]
{'b': 0.020000000000000004, 'gam': 0.08000000000000002, 'x0': 0.1, 'c': 4.0, 'a': 1.6}
Inter-module:
[[ 0.  -1.  -1.8 -0.2]
 [-2.   0.  -1.4 -0.4]
 [-1.8 -0.2  0.  -1. ]
 [-1.4 -0.4 -2.   0. ]]
Intra-module:
[[ 0.  -1.8  1.4]
 [-1.4  0.  -1.4]
 [-1.   1.4  0. ]]
Bias:[1.1 1.5 1.1]
Drive coeff:[-0.5 -0.7 -0.5]
Base period:9.28
gen	evals	std       	min       	avg       	max       
0  	92   	[0. 0. 0.]	[0. 0. 0.]	[0. 0. 0.]	[0. 0. 0.]
1  	92   	[0.         0.         0.02490191]	[0. 0. 0.]	[0.         0.         0.00357023]	[0.         0.         0.21048565]
2  	92   	[0.         0.         0.03217067]	[0. 0. 0.]	[0.         0.         0.00574495]	[0.         0.         0.21048565]
3  	92   	[0.         0.         0.06593777]	[0. 0. 0.]	[0.         0.         0.01335988]	[0.         0.         0.54102709]
4  	92   	[0.        0.        0.0732573]   	[0. 0. 0.]	[0.         0.         0.01685596]	[0.         0.         0.54102709]
5  	92   	[0.         0.         0.08234792]	[0. 0. 0.]	[0.         0.         0.02274928]	[0.         0.         0.54102709]
6  	92   	[0.         0.01204794 0.08984988]	[0. 0. 0.]	[0.         0.00126297 0.02863639]	[0.         0.11619295 0.54102709]
7  	92   	[0.         0.01204794 0.13884087]	[0. 0. 0.]	[0.         0.00126297 0.05748441]	[0.         0.11619295 0.8540923 ]
8  	92   	[0.         0.03508227 0.15282737]	[0. 0. 0.]	[0.         0.00473083 0.07048521]	[0.        0.3190434 0.8540923]   
9  	92   	[0.00434299 0.0490788  0.15834717]	[0. 0. 0.]	[0.00045527 0.00838106 0.09746554]	[0.04188479 0.33582107 0.8540923 ]
10 	92   	[0.00434299 0.10246529 0.22781253]	[0. 0. 0.]	[0.00045527 0.01790258 0.1774165 ]	[0.04188479 0.87598024 1.12106005]
11 	92   	[0.00434299 0.10765648 0.23727401]	[0. 0. 0.]	[0.00045527 0.02156707 0.22245914]	[0.04188479 0.87598024 1.12106005]
12 	92   	[0.00434299 0.11303556 0.24771104]	[0. 0. 0.]	[0.00045527 0.02736565 0.31233068]	[0.04188479 0.87598024 1.12106005]
13 	92   	[0.00434299 0.1717402  0.27170088]	[0. 0. 0.]	[0.00045527 0.05642436 0.366491  ]	[0.04188479 0.87598024 1.12106005]
14 	92   	[0.00434299 0.21078579 0.30840188]	[0. 0. 0.]	[0.00045527 0.08547537 0.43307232]	[0.04188479 0.88009868 1.12670662]
15 	92   	[0.00434299 0.25370849 0.32198518]	[0. 0. 0.]	[4.55269490e-04 1.23053971e-01 4.97093247e-01]	[0.04188479 0.88480131 1.12670662]
16 	92   	[0.00434299 0.25527881 0.33047181]	[0. 0. 0.]	[4.55269490e-04 1.32198286e-01 5.29557252e-01]	[0.04188479 0.88480131 1.12670662]
17 	92   	[0.00434299 0.2767682  0.35692297]	[0. 0. 0.]	[4.55269490e-04 1.60399877e-01 5.79845978e-01]	[0.04188479 0.88480131 1.12910772]
18 	92   	[0.00434299 0.2857112  0.39343105]	[0. 0. 0.]	[4.55269490e-04 1.84687735e-01 5.91054114e-01]	[0.04188479 0.88480131 1.12910772]
19 	92   	[0.00434299 0.29041959 0.43337929]	[0. 0. 0.]	[4.55269490e-04 2.04481534e-01 5.79865460e-01]	[0.04188479 0.88480131 1.12910772]
20 	92   	[0.00434299 0.28463428 0.46112878]	[0. 0. 0.]	[4.55269490e-04 2.31829170e-01 5.18842835e-01]	[0.04188479 0.88480131 1.12910772]
21 	92   	[0.00434299 0.29694913 0.45783946]	[0. 0. 0.]	[4.55269490e-04 2.86139454e-01 4.96416361e-01]	[0.04188479 0.88480131 1.12910772]
22 	92   	[0.00434299 0.30380738 0.45011022]	[0. 0. 0.]	[4.55269490e-04 3.11388014e-01 4.74466341e-01]	[0.04188479 0.89379807 1.12910772]
23 	92   	[0.11537224 0.32035166 0.43779951]	[0. 0. 0.]	[0.012546   0.35783972 0.47655543]            	[1.11234711 0.89379807 1.12910772]
24 	92   	[0.11537224 0.31918239 0.43271232]	[0. 0. 0.]	[0.012546   0.39660387 0.49652712]            	[1.11234711 0.89379807 1.14929413]
25 	92   	[0.11537224 0.32880546 0.43254908]	[0. 0. 0.]	[0.012546   0.44250617 0.5281418 ]            	[1.11234711 0.89379807 1.14929413]
26 	92   	[0.11549818 0.33271449 0.43777443]	[0. 0. 0.]	[0.01367557 0.46593484 0.55322466]            	[1.11234711 0.89379807 1.14929413]
27 	92   	[0.1444442  0.3518103  0.44588357]	[0. 0. 0.]	[0.02522146 0.51669677 0.59166801]            	[1.11234711 1.18386891 1.14929413]
28 	92   	[0.15178638 0.3546624  0.44434179]	[0. 0. 0.]	[0.03039532 0.54473369 0.61997513]            	[1.11234711 1.18386891 1.14929413]
29 	92   	[0.15178638 0.36314354 0.44208864]	[0. 0. 0.]	[0.03039532 0.56879119 0.678197  ]            	[1.11234711 1.18386891 1.14929413]
30 	92   	[0.17254576 0.35494521 0.43117987]	[0. 0. 0.]	[0.03933746 0.5985656  0.70752168]            	[1.11234711 1.18386891 1.15401408]
31 	92   	[0.20758319 0.35424441 0.43240225]	[0. 0. 0.]	[0.0553019  0.63404601 0.73003446]            	[1.11234711 1.18386891 1.15401408]
32 	92   	[0.22732144 0.37465715 0.44906646]	[0. 0. 0.]	[0.08181476 0.6218265  0.7186447 ]            	[1.11234711 1.18386891 1.17193587]
33 	92   	[0.25328873 0.37459242 0.45098227]	[0. 0. 0.]	[0.10964924 0.61912014 0.71448268]            	[1.11234711 1.18386891 1.17193587]
34 	92   	[0.27606835 0.38072742 0.45612786]	[0. 0. 0.]	[0.12835623 0.61325359 0.72572493]            	[1.11234711 1.18386891 1.17998535]
35 	92   	[0.28598741 0.38011665 0.45374282]	[0. 0. 0.]	[0.14137896 0.60679604 0.73354804]            	[1.11234711 1.18386891 1.17998535]
36 	92   	[0.29436857 0.39066803 0.45541974]	[0. 0. 0.]	[0.15792663 0.6054583  0.73517179]            	[1.11234711 1.18386891 1.17998535]
37 	92   	[0.30738627 0.39813625 0.45920715]	[0. 0. 0.]	[0.17536281 0.58205459 0.72110003]            	[1.11234711 1.18386891 1.17998535]
38 	92   	[0.3201823  0.39752576 0.46165895]	[0. 0. 0.]	[0.20007614 0.56065839 0.70849554]            	[1.11234711 1.18386891 1.17998535]
39 	92   	[0.34937298 0.40091948 0.46141665]	[0. 0. 0.]	[0.23360778 0.53526578 0.691511  ]            	[1.11574443 1.18386891 1.17998535]
40 	92   	[0.36570231 0.39297896 0.45911329]	[0. 0. 0.]	[0.2747516  0.51031197 0.66703791]            	[1.11574443 1.18386891 1.17998535]
41 	92   	[0.39251017 0.37506394 0.42846282]	[0. 0. 0.]	[0.29335819 0.56966812 0.76901405]            	[1.11574443 1.18386891 1.17998535]
42 	92   	[0.4220856  0.37117944 0.41729004]	[0. 0. 0.]	[0.3597788  0.58754039 0.79669482]            	[1.11574443 1.18386891 1.17998535]
43 	92   	[0.42752877 0.36453001 0.39408081]	[0. 0. 0.]	[0.39787803 0.61063    0.82760908]            	[1.11574443 1.18386891 1.17998535]
44 	92   	[0.4353773  0.36298564 0.39139717]	[0. 0. 0.]	[0.41882379 0.64902623 0.84821809]            	[1.11574443 1.18386891 1.17998535]
45 	92   	[0.43509325 0.38779984 0.38983952]	[0. 0. 0.]	[0.49330185 0.62752278 0.83628704]            	[1.11917301 1.19911319 1.17998535]
46 	92   	[0.43080286 0.39073111 0.39922852]	[0. 0. 0.]	[0.56994293 0.6135522  0.82887499]            	[1.12079171 1.19911319 1.17998535]
47 	92   	[0.4260474  0.38207279 0.40235762]	[0. 0. 0.]	[0.56086443 0.6330514  0.83938492]            	[1.12079171 1.19911319 1.17998535]
