0,1,2,3,4,5,6,7,8
6.0,1.0,1.0,11.0,3.0,11.0,11.0,11.0,3.0
6.0,1.0,1.0,11.0,11.0,11.0,11.0,11.0,3.0
6.0,1.0,1.0,11.0,11.0,11.0,11.0,11.0,3.0
6.0,1.0,1.0,11.0,11.0,11.0,11.0,11.0,3.0
6.0,1.0,1.0,11.0,11.0,11.0,11.0,11.0,1.0
6.0,1.0,1.0,11.0,11.0,11.0,11.0,11.0,1.0
1.0,1.0,1.0,11.0,11.0,11.0,11.0,11.0,1.0
1.0,1.0,1.0,11.0,11.0,11.0,11.0,11.0,1.0
1.0,1.0,1.0,11.0,11.0,11.0,11.0,11.0,1.0
1.0,1.0,1.0,11.0,11.0,11.0,11.0,11.0,1.0
1.0,1.0,1.0,11.0,11.0,11.0,11.0,11.0,1.0
1.0,1.0,1.0,11.0,11.0,11.0,11.0,11.0,1.0
1.0,1.0,1.0,11.0,11.0,11.0,11.0,11.0,1.0
1.0,1.0,1.0,11.0,11.0,11.0,11.0,1.0,1.0
1.0,1.0,11.0,11.0,11.0,11.0,11.0,1.0,1.0
1.0,1.0,1.0,11.0,11.0,11.0,11.0,1.0,1.0
1.0,1.0,1.0,11.0,11.0,11.0,11.0,1.0,1.0
1.0,1.0,1.0,11.0,11.0,11.0,11.0,1.0,1.0
1.0,1.0,1.0,11.0,11.0,11.0,11.0,1.0,1.0
1.0,1.0,1.0,11.0,11.0,11.0,11.0,1.0,1.0
1.0,1.0,1.0,11.0,11.0,11.0,11.0,11.0,1.0
